""	"ID"	"Description"	"Count"	"GeneRatio"	"geneID"
"GO:0016829"	"GO:0016829"	"lyase activity"	112	"112/139"	"100274380/100274380/100274380/100274380/100274380/100274380/100274380/100274380/100274380/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/100272845/100272845/100272845/100272845/100272845/100272845/100272845/100272845/100272845/100272845/100272845/100272845/100272845/100272845/100272845/100272845/100272845/100272845/100272845/100272845/100272845/100272845/100272845/100272845/100272845/100382914/100382914/100382914/103633249/103633249/103633249/103633249/103633249/103633249/103633249/103633249/103633249/103633249/103633249/103633249/103633249/103633249/103633249/103633249/103633249/103633249/103633249/103633249/103633249/103633249/103633249/103633249/103633249/103633249/103633249/103633249/103633249/103633249/103633249/103633249/103633249/103641105/103641105/103641105/103641105/103641105/103641105/103641105/103641105/103641105/103641105/103641105/103641105/103641105/103641105/103641105/103641105/103641105/103641105/103641105/103641105"
"GO:0016853"	"GO:0016853"	"isomerase activity"	10	"10/139"	"103646716/103646716/103646716/103646716/103646716/103646716/103646716/103646716/103646716/103646716"
"GO:0016874"	"GO:0016874"	"ligase activity"	5	"5/139"	"100282035/100282035/100282035/100282035/100282035"
"GO:0032451"	"GO:0032451"	"demethylase activity"	0	"0/139"	""
"GO:0061783"	"GO:0061783"	"peptidoglycan muralytic activity"	0	"0/139"	""
"GO:0140096"	"GO:0140096"	"catalytic activity, acting on a protein"	80	"80/139"	"103646716/103646716/103646716/103646716/103646716/103646716/103646716/103646716/103646716/103646716/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/100281022/100281022/100281022/100281022/100281022/100281022/100281022/100281022/100281022/100281022/100281022/100281786/100281786/100281786/100281786/100281786/100281786/100281786/100281786/100281786/100281786/100281786/100281786/100281786/100281786/100281786/100286280/100286280/100286280/100286280/103627890/103627890/103627890/103627890/103627890/103627890/103627890/100382179/100382179/100382179/100282035/100282035/100282035/100282035/100282035"
"GO:0140640"	"GO:0140640"	"catalytic activity, acting on a nucleic acid"	0	"0/139"	""
"GO:1904091"	"GO:1904091"	"non-ribosomal peptide synthetase activity"	0	"0/139"	""
"GO:0003735"	"GO:0003735"	"structural constituent of ribosome"	0	"0/139"	""
"GO:0005199"	"GO:0005199"	"structural constituent of cell wall"	0	"0/139"	""
"GO:0005200"	"GO:0005200"	"structural constituent of cytoskeleton"	0	"0/139"	""
"GO:0005201"	"GO:0005201"	"extracellular matrix structural constituent"	0	"0/139"	""
"GO:0005212"	"GO:0005212"	"structural constituent of eye lens"	0	"0/139"	""
"GO:0005213"	"GO:0005213"	"structural constituent of egg chorion"	0	"0/139"	""
"GO:0008147"	"GO:0008147"	"structural constituent of bone"	0	"0/139"	""
"GO:0008307"	"GO:0008307"	"structural constituent of muscle"	0	"0/139"	""
"GO:0008316"	"GO:0008316"	"structural constituent of vitelline membrane"	0	"0/139"	""
"GO:0016490"	"GO:0016490"	"structural constituent of peritrophic membrane"	0	"0/139"	""
"GO:0017056"	"GO:0017056"	"structural constituent of nuclear pore"	0	"0/139"	""
"GO:0019911"	"GO:0019911"	"structural constituent of myelin sheath"	0	"0/139"	""
"GO:0030280"	"GO:0030280"	"structural constituent of skin epidermis"	0	"0/139"	""
"GO:0030281"	"GO:0030281"	"structural constituent of cutaneous appendage"	0	"0/139"	""
"GO:0030527"	"GO:0030527"	"structural constituent of chromatin"	41	"41/139"	"103504712/103504712/103504712/103504712/103504712/103504712/103504712/103504712/103504712/103504712/103504712/103504712/103504712/103504712/103504712/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638138"
"GO:0039660"	"GO:0039660"	"structural constituent of virion"	0	"0/139"	""
"GO:0042302"	"GO:0042302"	"structural constituent of cuticle"	0	"0/139"	""
"GO:0043886"	"GO:0043886"	"structural constituent of carboxysome shell"	0	"0/139"	""
"GO:0097099"	"GO:0097099"	"structural constituent of albumen"	0	"0/139"	""
"GO:0097493"	"GO:0097493"	"structural molecule activity conferring elasticity"	0	"0/139"	""
"GO:0098918"	"GO:0098918"	"structural constituent of synapse"	0	"0/139"	""
"GO:0140756"	"GO:0140756"	"structural constituent of proteasome"	0	"0/139"	""
"GO:0005319"	"GO:0005319"	"lipid transporter activity"	0	"0/139"	""
"GO:0022857"	"GO:0022857"	"transmembrane transporter activity"	102	"102/139"	"100273056/100273056/100273056/100273056/100273056/100273056/100273056/100273056/100273056/100273056/100273056/100273056/100273056/100273056/100273056/100273056/100273056/100283255/100283255/100283255/100283255/100283255/100283255/100283255/100283255/100283255/100283255/100283255/100283255/103626569/103626569/103626569/103626569/103626569/103626569/103626569/103626569/103626569/103626569/103626569/103626569/103626569/103626569/103626569/103626569/103626569/103626569/103626569/103626569/103626569/103626569/103626569/103626569/103626569/103626569/103627571/103627571/103627571/103627571/103627571/103627571/103627571/103627571/103627571/103627571/103627571/103627796/103627796/103627796/103627796/103627796/103627796/103627796/103627796/541897/541897/541897/541897/541897/541897/541897/541897/541897/541897/541897/541897/100280539/100280539/100280539/100280539/100280539/100280539/100280539/100280539/100280539/100280539/100280539/100280539/100280539/100280539/100280539/100280539"
"GO:0140318"	"GO:0140318"	"protein transporter activity"	0	"0/139"	""
"GO:0000035"	"GO:0000035"	"acyl binding"	0	"0/139"	""
"GO:0003823"	"GO:0003823"	"antigen binding"	0	"0/139"	""
"GO:0005515"	"GO:0005515"	"protein binding"	92	"92/139"	"542723/542723/542723/542723/542723/542723/542723/542723/542723/100281022/100281022/100281022/100281022/100281022/100281022/100281022/100281022/100281022/100281022/100281022/103504712/103504712/103504712/103504712/103504712/103504712/103504712/103504712/103504712/103504712/103504712/103504712/103504712/103504712/103504712/100279586/100279586/100279586/100279586/542714/542714/542714/542714/542714/542714/542714/542714/542714/542714/542714/542714/542714/542714/542714/542714/542714/542714/542714/542714/542714/542714/542714/100283766/100283766/100283766/100283766/100283766/100283766/100283766/100283766/100284818/100284818/100284818/100284818/100284818/100284818/100284818/100284818/100196928/100196928/100196928/100196928/100196928/100196928/100196928/100196928/100196928/100196928/100196928/100196928/100196928/100196928"
"GO:0005549"	"GO:0005549"	"odorant binding"	0	"0/139"	""
"GO:0008289"	"GO:0008289"	"lipid binding"	6	"6/139"	"103649719/103649719/103649719/103649719/103649719/103649719"
"GO:0008430"	"GO:0008430"	"selenium binding"	0	"0/139"	""
"GO:0015643"	"GO:0015643"	"toxic substance binding"	0	"0/139"	""
"GO:0019808"	"GO:0019808"	"polyamine binding"	0	"0/139"	""
"GO:0030246"	"GO:0030246"	"carbohydrate binding"	15	"15/139"	"100281786/100281786/100281786/100281786/100281786/100281786/100281786/100281786/100281786/100281786/100281786/100281786/100281786/100281786/100281786"
"GO:0031409"	"GO:0031409"	"pigment binding"	0	"0/139"	""
"GO:0033218"	"GO:0033218"	"amide binding"	0	"0/139"	""
"GO:0033226"	"GO:0033226"	"2-aminoethylphosphonate binding"	0	"0/139"	""
"GO:0035731"	"GO:0035731"	"dinitrosyl-iron complex binding"	0	"0/139"	""
"GO:0036094"	"GO:0036094"	"small molecule binding"	217	"217/139"	"100382402/100382402/100382402/100382402/100274380/100274380/100274380/100274380/100274380/100274380/100274380/100274380/100274380/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/100281786/100281786/100281786/100281786/100281786/100281786/100281786/100281786/100281786/100281786/100281786/100281786/100281786/100281786/100281786/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/100280907/100280907/100280907/100280907/100280907/100280907/100280907/100280907/100280907/100280907/100282845/100282845/100282845/100282845/100282845/100282845/100282845/100282845/100282845/100282845/100282845/100282845/100282845/100282845/100282845/100282845/100382914/100382914/100382914/103633147/103633147/103633147/103633147/103633147/103641262/103641262/103641262/103641262/100196928/100196928/100196928/100196928/100196928/100196928/100196928/100196928/100196928/100196928/100196928/100196928/100196928/100196928"
"GO:0042165"	"GO:0042165"	"neurotransmitter binding"	0	"0/139"	""
"GO:0042562"	"GO:0042562"	"hormone binding"	0	"0/139"	""
"GO:0043167"	"GO:0043167"	"ion binding"	663	"663/139"	"100192603/100192603/100192603/100192603/100192603/100192603/100192603/100192603/100192603/100192603/100192603/100192603/100192603/100192603/100192603/100192603/100192603/100192603/100192603/100192603/100192603/100383648/100383648/100383648/100383648/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/100382402/100382402/100382402/100382402/103640631/103640631/103640631/103640631/103640631/103640631/100274380/100274380/100274380/100274380/100274380/100274380/100274380/100274380/100274380/103643889/103643889/103643889/103643889/103643889/103643889/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100281181/100281181/100281181/100281181/100281181/100281181/100281181/100281181/100281181/100281181/100281181/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103649719/103649719/103649719/103649719/103649719/103649719/100282017/100282017/100282017/100282017/100282017/100282017/100282017/100282017/100282017/100282017/100282017/100282017/100281786/100281786/100281786/100281786/100281786/100281786/100281786/100281786/100281786/100281786/100281786/100281786/100281786/100281786/100281786/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/100280907/100280907/100280907/100280907/100280907/100280907/100280907/100280907/100280907/100280907/100191769/100191769/100191769/100191769/100191769/100191769/100191769/100191769/100191769/100274473/100274473/100274473/100274473/100274473/100274473/100274473/100284998/100284998/100284998/100284998/100284998/100284998/100284998/103627438/103627438/103627438/103627438/103627438/103627438/103627438/100282845/100282845/100282845/100282845/100282845/100282845/100282845/100282845/100282845/100282845/100282845/100282845/100282845/100282845/100282845/100282845/100279973/100279973/100279973/100279973/100279973/100279973/100279973/100279973/100279973/100279973/100382914/100382914/100382914/100284383/100284383/100284383/100284383/100284383/100284383/100284383/100382364/100382364/100382364/100382364/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/103633147/103633147/103633147/103633147/103633147/103633249/103633249/103633249/103633249/103633249/103633249/103633249/103633249/103633249/103633249/103633249/103633249/103633249/103633249/103633249/103633249/103633249/103633249/103633249/103633249/103633249/103633249/103633249/103633249/103633249/103633249/103633249/103633249/103633249/103633249/103633249/103633249/103633249/542714/542714/542714/542714/542714/542714/542714/542714/542714/542714/542714/542714/542714/542714/542714/542714/542714/542714/542714/542714/542714/542714/542714/100281145/100281145/100281145/100281145/100281145/100281114/100191153/100191153/100191153/100191153/100191153/100191153/100191153/100191153/100191153/100191153/100191153/103641105/103641105/103641105/103641105/103641105/103641105/103641105/103641105/103641105/103641105/103641105/103641105/103641105/103641105/103641105/103641105/103641105/103641105/103641105/103641105/103641262/103641262/103641262/103641262/100283644/100283644/100283644/100283644/100283644/100283644/100283644/100283644/100283644/100283644/100283644/100283644/100196928/100196928/100196928/100196928/100196928/100196928/100196928/100196928/100196928/100196928/100196928/100196928/100196928/100196928"
"GO:0043176"	"GO:0043176"	"amine binding"	0	"0/139"	""
"GO:0043287"	"GO:0043287"	"poly(3-hydroxyalkanoate) binding"	0	"0/139"	""
"GO:0043515"	"GO:0043515"	"kinetochore binding"	0	"0/139"	""
"GO:0044590"	"GO:0044590"	"iron-sulfur-molybdenum cofactor binding"	0	"0/139"	""
"GO:0044877"	"GO:0044877"	"protein-containing complex binding"	0	"0/139"	""
"GO:0046790"	"GO:0046790"	"virion binding"	0	"0/139"	""
"GO:0046812"	"GO:0046812"	"host cell surface binding"	0	"0/139"	""
"GO:0046848"	"GO:0046848"	"hydroxyapatite binding"	0	"0/139"	""
"GO:0048038"	"GO:0048038"	"quinone binding"	0	"0/139"	""
"GO:0050436"	"GO:0050436"	"microfibril binding"	0	"0/139"	""
"GO:0050825"	"GO:0050825"	"ice binding"	0	"0/139"	""
"GO:0050840"	"GO:0050840"	"extracellular matrix binding"	0	"0/139"	""
"GO:0050997"	"GO:0050997"	"quaternary ammonium group binding"	0	"0/139"	""
"GO:0051192"	"GO:0051192"	"prosthetic group binding"	0	"0/139"	""
"GO:0051540"	"GO:0051540"	"metal cluster binding"	7	"7/139"	"100284383/100284383/100284383/100284383/100284383/100284383/100284383"
"GO:0070025"	"GO:0070025"	"carbon monoxide binding"	0	"0/139"	""
"GO:0070026"	"GO:0070026"	"nitric oxide binding"	0	"0/139"	""
"GO:0072328"	"GO:0072328"	"alkene binding"	0	"0/139"	""
"GO:0072341"	"GO:0072341"	"modified amino acid binding"	0	"0/139"	""
"GO:0097159"	"GO:0097159"	"organic cyclic compound binding"	708	"708/139"	"100280131/100280131/100280131/100280131/100280131/100280131/100280131/100280131/100280131/100280131/100280131/100280131/100280131/100280131/100280131/100280131/100280131/100280131/100280131/100280131/100192603/100192603/100192603/100192603/100192603/100192603/100192603/100192603/100192603/100192603/100192603/100192603/100192603/100192603/100192603/100192603/100192603/100192603/100192603/100192603/100192603/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/100382402/100382402/100382402/100382402/103644933/103644933/103644933/103644933/103644933/103644933/100274380/100274380/100274380/100274380/100274380/100274380/100274380/100274380/100274380/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100281181/100281181/100281181/100281181/100281181/100281181/100281181/100281181/100281181/100281181/100281181/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/542716/542716/542716/542716/542716/542716/542716/542716/542716/542716/542716/542716/542716/542716/542716/542716/103504712/103504712/103504712/103504712/103504712/103504712/103504712/103504712/103504712/103504712/103504712/103504712/103504712/103504712/103504712/100281786/100281786/100281786/100281786/100281786/100281786/100281786/100281786/100281786/100281786/100281786/100281786/100281786/100281786/100281786/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/542320/542320/542320/542320/542320/542320/542320/542320/542320/542320/542320/542320/542320/542320/100281091/100281091/100281091/100281091/100281091/100281091/100281091/100281091/100281091/100281091/100281091/100281091/100281091/100281091/100273616/100273616/100273616/100280907/100280907/100280907/100280907/100280907/100280907/100280907/100280907/100280907/100280907/100191769/100191769/100191769/100191769/100191769/100191769/100191769/100191769/100191769/100274473/100274473/100274473/100274473/100274473/100274473/100274473/103626984/103626984/100284998/100284998/100284998/100284998/100284998/100284998/100284998/100282845/100282845/100282845/100282845/100282845/100282845/100282845/100282845/100282845/100282845/100282845/100282845/100282845/100282845/100282845/100282845/100279973/100279973/100279973/100279973/100279973/100279973/100279973/100279973/100279973/100279973/100501680/100501680/100382914/100382914/100382914/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/103633147/103633147/103633147/103633147/103633147/100282512/100282512/100282512/100282512/100282512/100282512/100282512/100282512/100282512/100282512/100282512/100282512/100282512/100282512/100282512/100282512/100282512/100282512/100282512/100282512/100282512/100282512/100282512/100282512/100282512/100282512/100282512/100282512/100285398/100285398/100285398/100285398/100285398/100285398/100285398/100274453/100274453/100274453/100274453/100274453/100274453/100274453/100274453/100274453/100274453/100274453/100274453/100274453/100274453/100274453/100274453/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638672/103638672/103638672/103638672/103638672/103638672/103638672/103638672/100192099/100192099/100192099/100192099/100192099/100192099/100191153/100191153/100191153/100191153/100191153/100191153/100191153/100191153/100191153/100191153/100191153/100284818/100284818/100284818/100284818/100284818/100284818/100284818/100284818/103641262/103641262/103641262/103641262/100196928/100196928/100196928/100196928/100196928/100196928/100196928/100196928/100196928/100196928/100196928/100196928/100196928/100196928"
"GO:0097243"	"GO:0097243"	"flavonoid binding"	0	"0/139"	""
