""	"ID"	"Description"	"Count"	"GeneRatio"	"geneID"
"GO:0030080"	"GO:0030080"	"B875 antenna complex"	0	"0/139"	""
"GO:0030081"	"GO:0030081"	"B800-820 antenna complex"	0	"0/139"	""
"GO:0030082"	"GO:0030082"	"B800-850 antenna complex"	0	"0/139"	""
"GO:0030256"	"GO:0030256"	"type I protein secretion system complex"	0	"0/139"	""
"GO:0030257"	"GO:0030257"	"type III protein secretion system complex"	0	"0/139"	""
"GO:0030314"	"GO:0030314"	"junctional membrane complex"	0	"0/139"	""
"GO:0030990"	"GO:0030990"	"intraciliary transport particle"	0	"0/139"	""
"GO:0030991"	"GO:0030991"	"intraciliary transport particle A"	0	"0/139"	""
"GO:0030992"	"GO:0030992"	"intraciliary transport particle B"	0	"0/139"	""
"GO:0030993"	"GO:0030993"	"axonemal heterotrimeric kinesin-II complex"	0	"0/139"	""
"GO:0031074"	"GO:0031074"	"nucleocytoplasmic transport complex"	0	"0/139"	""
"GO:0031105"	"GO:0031105"	"septin complex"	0	"0/139"	""
"GO:0031209"	"GO:0031209"	"SCAR complex"	0	"0/139"	""
"GO:0031251"	"GO:0031251"	"PAN complex"	0	"0/139"	""
"GO:0031389"	"GO:0031389"	"Rad17 RFC-like complex"	0	"0/139"	""
"GO:0031395"	"GO:0031395"	"bursicon neuropeptide hormone complex"	0	"0/139"	""
"GO:0031511"	"GO:0031511"	"Mis6-Sim4 complex"	0	"0/139"	""
"GO:0031521"	"GO:0031521"	"spitzenkorper"	0	"0/139"	""
"GO:0031680"	"GO:0031680"	"G-protein beta/gamma-subunit complex"	0	"0/139"	""
"GO:0031838"	"GO:0031838"	"haptoglobin-hemoglobin complex"	0	"0/139"	""
"GO:0031941"	"GO:0031941"	"filamentous actin"	0	"0/139"	""
"GO:0032300"	"GO:0032300"	"mismatch repair complex"	0	"0/139"	""
"GO:0032311"	"GO:0032311"	"angiogenin-PRI complex"	0	"0/139"	""
"GO:0032766"	"GO:0032766"	"NHE3/E3KARP/ACTN4 complex"	0	"0/139"	""
"GO:0032992"	"GO:0032992"	"protein-carbohydrate complex"	0	"0/139"	""
"GO:0032993"	"GO:0032993"	"protein-DNA complex"	41	"41/139"	"103504712/103504712/103504712/103504712/103504712/103504712/103504712/103504712/103504712/103504712/103504712/103504712/103504712/103504712/103504712/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638138"
"GO:0032994"	"GO:0032994"	"protein-lipid complex"	0	"0/139"	""
"GO:0033061"	"GO:0033061"	"DNA recombinase mediator complex"	0	"0/139"	""
"GO:0033104"	"GO:0033104"	"type VI protein secretion system complex"	0	"0/139"	""
"GO:0033186"	"GO:0033186"	"CAF-1 complex"	0	"0/139"	""
"GO:0033193"	"GO:0033193"	"Lsd1/2 complex"	0	"0/139"	""
"GO:0033551"	"GO:0033551"	"monopolin complex"	0	"0/139"	""
"GO:0033596"	"GO:0033596"	"TSC1-TSC2 complex"	0	"0/139"	""
"GO:0034044"	"GO:0034044"	"exomer complex"	0	"0/139"	""
"GO:0034270"	"GO:0034270"	"Cvt complex"	0	"0/139"	""
"GO:0034464"	"GO:0034464"	"BBSome"	0	"0/139"	""
"GO:0034748"	"GO:0034748"	"Par3-APC-KIF3A complex"	0	"0/139"	""
"GO:0034749"	"GO:0034749"	"Scrib-APC complex"	0	"0/139"	""
"GO:0034750"	"GO:0034750"	"Scrib-APC-beta-catenin complex"	0	"0/139"	""
"GO:0034973"	"GO:0034973"	"Sid2-Mob1 complex"	0	"0/139"	""
"GO:0034996"	"GO:0034996"	"RasGAP-Fyn-Lyn-Yes complex"	0	"0/139"	""
"GO:0035649"	"GO:0035649"	"Nrd1 complex"	0	"0/139"	""
"GO:0035658"	"GO:0035658"	"Mon1-Ccz1 complex"	0	"0/139"	""
"GO:0035693"	"GO:0035693"	"NOS2-CD74 complex"	0	"0/139"	""
"GO:0035859"	"GO:0035859"	"Seh1-associated complex"	0	"0/139"	""
"GO:0036038"	"GO:0036038"	"MKS complex"	0	"0/139"	""
"GO:0036284"	"GO:0036284"	"tubulobulbar complex"	0	"0/139"	""
"GO:0036286"	"GO:0036286"	"eisosome filament"	0	"0/139"	""
"GO:0036375"	"GO:0036375"	"Kibra-Ex-Mer complex"	0	"0/139"	""
"GO:0036398"	"GO:0036398"	"TCR signalosome"	0	"0/139"	""
"GO:0036452"	"GO:0036452"	"ESCRT complex"	0	"0/139"	""
"GO:0036454"	"GO:0036454"	"growth factor complex"	0	"0/139"	""
"GO:0036501"	"GO:0036501"	"UFD1-NPL4 complex"	0	"0/139"	""
"GO:0038045"	"GO:0038045"	"large latent transforming growth factor-beta complex"	0	"0/139"	""
"GO:0038059"	"GO:0038059"	"IKKalpha-IKKalpha complex"	0	"0/139"	""
"GO:0039658"	"GO:0039658"	"TBK1-IKKE-DDX3 complex"	0	"0/139"	""
"GO:0042555"	"GO:0042555"	"MCM complex"	0	"0/139"	""
"GO:0043235"	"GO:0043235"	"receptor complex"	0	"0/139"	""
"GO:0043256"	"GO:0043256"	"laminin complex"	0	"0/139"	""
"GO:0043291"	"GO:0043291"	"RAVE complex"	0	"0/139"	""
"GO:0043293"	"GO:0043293"	"apoptosome"	0	"0/139"	""
"GO:0043493"	"GO:0043493"	"viral terminase complex"	0	"0/139"	""
"GO:0043511"	"GO:0043511"	"inhibin complex"	0	"0/139"	""
"GO:0043514"	"GO:0043514"	"interleukin-12 complex"	0	"0/139"	""
"GO:0043684"	"GO:0043684"	"type IV secretion system complex"	0	"0/139"	""
"GO:0043850"	"GO:0043850"	"RecFOR complex"	0	"0/139"	""
"GO:0044697"	"GO:0044697"	"HICS complex"	0	"0/139"	""
"GO:0044777"	"GO:0044777"	"single-stranded DNA-binding protein complex"	0	"0/139"	""
"GO:0044816"	"GO:0044816"	"Nsk1-Dlc1 complex"	0	"0/139"	""
"GO:0045298"	"GO:0045298"	"tubulin complex"	0	"0/139"	""
"GO:0046798"	"GO:0046798"	"viral portal complex"	0	"0/139"	""
"GO:0046806"	"GO:0046806"	"viral scaffold"	0	"0/139"	""
"GO:0048180"	"GO:0048180"	"activin complex"	0	"0/139"	""
"GO:0055087"	"GO:0055087"	"Ski complex"	0	"0/139"	""
"GO:0061574"	"GO:0061574"	"ASAP complex"	0	"0/139"	""
"GO:0061696"	"GO:0061696"	"pituitary gonadotropin complex"	0	"0/139"	""
"GO:0061700"	"GO:0061700"	"GATOR2 complex"	0	"0/139"	""
"GO:0061702"	"GO:0061702"	"canonical inflammasome complex"	0	"0/139"	""
"GO:0061703"	"GO:0061703"	"pyroptosome complex"	0	"0/139"	""
"GO:0061927"	"GO:0061927"	"TOC-TIC supercomplex I"	0	"0/139"	""
"GO:0061957"	"GO:0061957"	"NVT complex"	0	"0/139"	""
"GO:0062048"	"GO:0062048"	"lymphotoxin complex"	0	"0/139"	""
"GO:0062049"	"GO:0062049"	"protein phosphatase inhibitor complex"	0	"0/139"	""
"GO:0062073"	"GO:0062073"	"histone mRNA stem-loop binding complex"	0	"0/139"	""
"GO:0062092"	"GO:0062092"	"Yae1-Lto1 complex"	0	"0/139"	""
"GO:0062167"	"GO:0062167"	"complement component C1q complex"	0	"0/139"	""
"GO:0070288"	"GO:0070288"	"ferritin complex"	0	"0/139"	""
"GO:0070422"	"GO:0070422"	"G-protein beta/gamma-Raf-1 complex"	0	"0/139"	""
"GO:0070441"	"GO:0070441"	"G-protein beta/gamma-Btk complex"	0	"0/139"	""
"GO:0070695"	"GO:0070695"	"FHF complex"	0	"0/139"	""
"GO:0070743"	"GO:0070743"	"interleukin-23 complex"	0	"0/139"	""
"GO:0070744"	"GO:0070744"	"interleukin-27 complex"	0	"0/139"	""
"GO:0070745"	"GO:0070745"	"interleukin-35 complex"	0	"0/139"	""
"GO:0070826"	"GO:0070826"	"paraferritin complex"	0	"0/139"	""
"GO:0070864"	"GO:0070864"	"sperm individualization complex"	0	"0/139"	""
"GO:0071075"	"GO:0071075"	"CUGBP1-eIF2 complex"	0	"0/139"	""
"GO:0071141"	"GO:0071141"	"SMAD protein complex"	0	"0/139"	""
"GO:0071203"	"GO:0071203"	"WASH complex"	0	"0/139"	""
"GO:0071563"	"GO:0071563"	"Myo2p-Vac17p-Vac8p transport complex"	0	"0/139"	""
"GO:0071817"	"GO:0071817"	"MMXD complex"	0	"0/139"	""
"GO:0072379"	"GO:0072379"	"ER membrane insertion complex"	0	"0/139"	""
"GO:0090443"	"GO:0090443"	"FAR/SIN/STRIPAK complex"	0	"0/139"	""
"GO:0090665"	"GO:0090665"	"glycoprotein complex"	0	"0/139"	""
"GO:0097057"	"GO:0097057"	"TRAF2-GSTP1 complex"	0	"0/139"	""
"GO:0097058"	"GO:0097058"	"CRLF-CLCF1 complex"	0	"0/139"	""
"GO:0097059"	"GO:0097059"	"CNTFR-CLCF1 complex"	0	"0/139"	""
"GO:0097071"	"GO:0097071"	"interferon regulatory factor complex"	0	"0/139"	""
"GO:0097078"	"GO:0097078"	"FAL1-SGD1 complex"	0	"0/139"	""
"GO:0097136"	"GO:0097136"	"Bcl-2 family protein complex"	0	"0/139"	""
"GO:0097196"	"GO:0097196"	"Shu complex"	0	"0/139"	""
"GO:0097255"	"GO:0097255"	"R2TP complex"	0	"0/139"	""
"GO:0097344"	"GO:0097344"	"Rix1 complex"	0	"0/139"	""
"GO:0097347"	"GO:0097347"	"TAM protein secretion complex"	0	"0/139"	""
"GO:0097373"	"GO:0097373"	"MCM core complex"	0	"0/139"	""
"GO:0097452"	"GO:0097452"	"GAIT complex"	0	"0/139"	""
"GO:0097495"	"GO:0097495"	"H-NS-Hha complex"	0	"0/139"	""
"GO:0097537"	"GO:0097537"	"Y-shaped link"	0	"0/139"	""
"GO:0097619"	"GO:0097619"	"PTEX complex"	0	"0/139"	""
"GO:0097710"	"GO:0097710"	"viral terminase, small subunit"	0	"0/139"	""
"GO:0098046"	"GO:0098046"	"type V protein secretion system complex"	0	"0/139"	""
"GO:0098561"	"GO:0098561"	"methyl accepting chemotaxis protein complex"	0	"0/139"	""
"GO:0098636"	"GO:0098636"	"protein complex involved in cell adhesion"	0	"0/139"	""
"GO:0098733"	"GO:0098733"	"hemidesmosome associated protein complex"	0	"0/139"	""
"GO:0098745"	"GO:0098745"	"RNA decapping complex"	0	"0/139"	""
"GO:0098796"	"GO:0098796"	"membrane protein complex"	81	"81/139"	"100285458/100285458/100285458/100285458/100285458/100285458/100285458/542716/542716/542716/542716/542716/542716/542716/542716/542716/542716/542716/542716/542716/542716/542716/542716/542320/542320/542320/542320/542320/542320/542320/542320/542320/542320/542320/542320/542320/542320/100282512/100282512/100282512/100282512/100282512/100282512/100282512/100282512/100282512/100282512/100282512/100282512/100282512/100282512/100282512/100282512/100282512/100282512/100282512/100282512/100282512/100282512/100282512/100282512/100282512/100282512/100282512/100282512/100274453/100274453/100274453/100274453/100274453/100274453/100274453/100274453/100274453/100274453/100274453/100274453/100274453/100274453/100274453/100274453"
"GO:0098798"	"GO:0098798"	"mitochondrial protein-containing complex"	0	"0/139"	""
"GO:0098820"	"GO:0098820"	"trans-synaptic protein complex"	0	"0/139"	""
"GO:0099023"	"GO:0099023"	"vesicle tethering complex"	0	"0/139"	""
"GO:0099126"	"GO:0099126"	"transforming growth factor beta complex"	0	"0/139"	""
"GO:0106002"	"GO:0106002"	"mCRD-mediated mRNA stability complex"	0	"0/139"	""
"GO:0106003"	"GO:0106003"	"amyloid-beta complex"	0	"0/139"	""
"GO:0106093"	"GO:0106093"	"EDS1 disease-resistance complex"	0	"0/139"	""
"GO:0106249"	"GO:0106249"	"Nicalin-NOMO complex"	0	"0/139"	""
"GO:0106333"	"GO:0106333"	"subcortical maternal complex"	0	"0/139"	""
"GO:0110078"	"GO:0110078"	"TTT complex"	0	"0/139"	""
"GO:0110131"	"GO:0110131"	"Aim21-Tda2 complex"	0	"0/139"	""
"GO:0110142"	"GO:0110142"	"ubiquinone biosynthesis complex"	0	"0/139"	""
"GO:0110157"	"GO:0110157"	"reelin complex"	0	"0/139"	""
"GO:0120099"	"GO:0120099"	"procentriole replication complex"	0	"0/139"	""
"GO:0120114"	"GO:0120114"	"Sm-like protein family complex"	0	"0/139"	""
"GO:0120124"	"GO:0120124"	"membrane fusion priming complex"	0	"0/139"	""
"GO:0120155"	"GO:0120155"	"MIH complex"	0	"0/139"	""
"GO:0120171"	"GO:0120171"	"Cdc24p-Far1p-Gbetagamma complex"	0	"0/139"	""
"GO:0120216"	"GO:0120216"	"matrilin complex"	0	"0/139"	""
"GO:0120228"	"GO:0120228"	"outer dynein arm docking complex"	0	"0/139"	""
"GO:0120339"	"GO:0120339"	"radial spoke base"	0	"0/139"	""
"GO:0120343"	"GO:0120343"	"radial spoke neck"	0	"0/139"	""
"GO:0140007"	"GO:0140007"	"KICSTOR complex"	0	"0/139"	""
"GO:0140224"	"GO:0140224"	"SLAC complex"	0	"0/139"	""
"GO:0140225"	"GO:0140225"	"DNA topoisomerase III-beta-TDRD3 complex"	0	"0/139"	""
"GO:0140451"	"GO:0140451"	"counting factor complex"	0	"0/139"	""
"GO:0140513"	"GO:0140513"	"nuclear protein-containing complex"	196	"196/139"	"100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749"
"GO:0140534"	"GO:0140534"	"endoplasmic reticulum protein-containing complex"	0	"0/139"	""
"GO:0140535"	"GO:0140535"	"intracellular protein-containing complex"	0	"0/139"	""
"GO:0140910"	"GO:0140910"	"iRhom2/ADAM17 sheddase complex"	0	"0/139"	""
"GO:0150005"	"GO:0150005"	"enzyme activator complex"	0	"0/139"	""
"GO:0160055"	"GO:0160055"	"glideosome"	0	"0/139"	""
"GO:0160065"	"GO:0160065"	"SIN/MEN signaling complex"	0	"0/139"	""
"GO:0160074"	"GO:0160074"	"non-canonical inflammasome complex"	0	"0/139"	""
"GO:0180019"	"GO:0180019"	"Knl1/Spc105 complex"	0	"0/139"	""
"GO:1902494"	"GO:1902494"	"catalytic complex"	0	"0/139"	""
"GO:1902695"	"GO:1902695"	"metallochaperone complex"	0	"0/139"	""
"GO:1903502"	"GO:1903502"	"translation repressor complex"	0	"0/139"	""
"GO:1903503"	"GO:1903503"	"ATPase inhibitor complex"	0	"0/139"	""
"GO:1904090"	"GO:1904090"	"peptidase inhibitor complex"	0	"0/139"	""
"GO:1905742"	"GO:1905742"	"Ras guanyl-nucleotide exchange factor complex"	0	"0/139"	""
"GO:1990062"	"GO:1990062"	"RPAP3/R2TP/prefoldin-like complex"	0	"0/139"	""
"GO:1990065"	"GO:1990065"	"Dxr protein complex"	0	"0/139"	""
"GO:1990078"	"GO:1990078"	"replication inhibiting complex"	0	"0/139"	""
"GO:1990100"	"GO:1990100"	"DnaB-DnaC complex"	0	"0/139"	""
"GO:1990104"	"GO:1990104"	"DNA bending complex"	0	"0/139"	""
"GO:1990112"	"GO:1990112"	"RQC complex"	0	"0/139"	""
"GO:1990125"	"GO:1990125"	"DiaA complex"	0	"0/139"	""
"GO:1990130"	"GO:1990130"	"GATOR1 complex"	0	"0/139"	""
"GO:1990200"	"GO:1990200"	"SsuD-SsuE complex"	0	"0/139"	""
"GO:1990229"	"GO:1990229"	"iron-sulfur cluster assembly complex"	0	"0/139"	""
"GO:1990249"	"GO:1990249"	"nucleotide-excision repair, DNA damage recognition complex"	0	"0/139"	""
"GO:1990252"	"GO:1990252"	"Syp1 complex"	0	"0/139"	""
"GO:1990298"	"GO:1990298"	"bub1-bub3 complex"	0	"0/139"	""
"GO:1990315"	"GO:1990315"	"Mcs4 RR-MAPKKK complex"	0	"0/139"	""
"GO:1990341"	"GO:1990341"	"thrombospondin complex"	0	"0/139"	""
"GO:1990346"	"GO:1990346"	"BID-BCL-xl complex"	0	"0/139"	""
"GO:1990351"	"GO:1990351"	"transporter complex"	0	"0/139"	""
"GO:1990393"	"GO:1990393"	"3M complex"	0	"0/139"	""
"GO:1990423"	"GO:1990423"	"RZZ complex"	0	"0/139"	""
"GO:1990463"	"GO:1990463"	"lateral cortical node"	0	"0/139"	""
"GO:1990499"	"GO:1990499"	"raps-insc complex"	0	"0/139"	""
"GO:1990509"	"GO:1990509"	"PYM-mago-Y14 complex"	0	"0/139"	""
"GO:1990526"	"GO:1990526"	"Ste12p-Dig1p-Dig2p complex"	0	"0/139"	""
"GO:1990527"	"GO:1990527"	"Tec1p-Ste12p-Dig1p complex"	0	"0/139"	""
"GO:1990528"	"GO:1990528"	"Rvs161p-Rvs167p complex"	0	"0/139"	""
"GO:1990533"	"GO:1990533"	"Dom34-Hbs1 complex"	0	"0/139"	""
"GO:1990563"	"GO:1990563"	"extracellular exosome complex"	0	"0/139"	""
"GO:1990586"	"GO:1990586"	"divisome complex"	0	"0/139"	""
"GO:1990597"	"GO:1990597"	"AIP1-IRE1 complex"	0	"0/139"	""
"GO:1990615"	"GO:1990615"	"Kelch-containing formin regulatory complex"	0	"0/139"	""
"GO:1990630"	"GO:1990630"	"IRE1-RACK1-PP2A complex"	0	"0/139"	""
"GO:1990660"	"GO:1990660"	"calprotectin complex"	0	"0/139"	""
"GO:1990661"	"GO:1990661"	"S100A8 complex"	0	"0/139"	""
"GO:1990665"	"GO:1990665"	"AnxA2-p11 complex"	0	"0/139"	""
"GO:1990666"	"GO:1990666"	"PCSK9-LDLR complex"	0	"0/139"	""
"GO:1990667"	"GO:1990667"	"PCSK9-AnxA2 complex"	0	"0/139"	""
"GO:1990682"	"GO:1990682"	"CSF1-CSF1R complex"	0	"0/139"	""
"GO:1990684"	"GO:1990684"	"protein-lipid-RNA complex"	0	"0/139"	""
"GO:1990696"	"GO:1990696"	"USH2 complex"	0	"0/139"	""
"GO:1990706"	"GO:1990706"	"MAD1 complex"	0	"0/139"	""
"GO:1990727"	"GO:1990727"	"tubulin folding cofactor complex"	0	"0/139"	""
"GO:1990728"	"GO:1990728"	"mitotic spindle assembly checkpoint MAD1-MAD2 complex"	0	"0/139"	""
"GO:1990730"	"GO:1990730"	"VCP-NSFL1C complex"	0	"0/139"	""
"GO:1990733"	"GO:1990733"	"titin-telethonin complex"	0	"0/139"	""
"GO:1990745"	"GO:1990745"	"EARP complex"	0	"0/139"	""
"GO:1990788"	"GO:1990788"	"GLI-SUFU complex"	0	"0/139"	""
"GO:1990811"	"GO:1990811"	"MWP complex"	0	"0/139"	""
"GO:1990861"	"GO:1990861"	"Ubp3-Bre5 deubiquitination complex"	0	"0/139"	""
"GO:1990871"	"GO:1990871"	"Vma12-Vma22 assembly complex"	0	"0/139"	""
"GO:1990904"	"GO:1990904"	"ribonucleoprotein complex"	196	"196/139"	"100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749"
"GO:1990909"	"GO:1990909"	"Wnt signalosome"	0	"0/139"	""
"GO:1990923"	"GO:1990923"	"PET complex"	0	"0/139"	""
"GO:1990957"	"GO:1990957"	"NPHP complex"	0	"0/139"	""
"GO:1990964"	"GO:1990964"	"actin cytoskeleton-regulatory complex"	0	"0/139"	""
"GO:0019013"	"GO:0019013"	"viral nucleocapsid"	0	"0/139"	""
"GO:0019028"	"GO:0019028"	"viral capsid"	0	"0/139"	""
"GO:0019033"	"GO:0019033"	"viral tegument"	0	"0/139"	""
"GO:0036338"	"GO:0036338"	"viral membrane"	0	"0/139"	""
"GO:0039624"	"GO:0039624"	"viral outer capsid"	0	"0/139"	""
"GO:0039625"	"GO:0039625"	"viral inner capsid"	0	"0/139"	""
"GO:0039626"	"GO:0039626"	"viral intermediate capsid"	0	"0/139"	""
"GO:0039642"	"GO:0039642"	"virion nucleoid"	0	"0/139"	""
"GO:0046727"	"GO:0046727"	"capsomere"	0	"0/139"	""
"GO:0046729"	"GO:0046729"	"viral procapsid"	0	"0/139"	""
"GO:0055036"	"GO:0055036"	"virion membrane"	0	"0/139"	""
"GO:0098015"	"GO:0098015"	"virus tail"	0	"0/139"	""
