""	"bwnet_30$colors"
"Zm00001eb154790"	"green"
"Zm00001eb200810"	"magenta"
"Zm00001eb329270"	"red"
"Zm00001eb012270"	"green"
"Zm00001eb072880"	"darkorange2"
"Zm00001eb015210"	"darkgrey"
"Zm00001eb289210"	"yellow"
"Zm00001eb324510"	"brown"
"Zm00001eb368480"	"blue"
"Zm00001eb058150"	"brown"
"Zm00001eb110650"	"red"
"Zm00001eb431990"	"green"
"Zm00001eb216210"	"red"
"Zm00001eb214650"	"brown"
"Zm00001eb317810"	"turquoise"
"Zm00001eb191930"	"white"
"Zm00001eb269610"	"green"
"Zm00001eb151050"	"brown"
"Zm00001eb005960"	"brown"
"Zm00001eb267140"	"darkgrey"
"Zm00001eb264880"	"red"
"Zm00001eb320510"	"brown"
"Zm00001eb205160"	"magenta"
"Zm00001eb157310"	"floralwhite"
"Zm00001eb321600"	"green"
"Zm00001eb060260"	"darkturquoise"
"Zm00001eb093610"	"brown"
"Zm00001eb332290"	"yellow"
"Zm00001eb026200"	"skyblue3"
"Zm00001eb340720"	"red"
"Zm00001eb013840"	"yellow"
"Zm00001eb425830"	"yellowgreen"
"Zm00001eb009920"	"brown"
"Zm00001eb271550"	"cyan"
"Zm00001eb055880"	"pink"
"Zm00001eb336310"	"green"
"Zm00001eb302140"	"green"
"Zm00001eb132880"	"skyblue3"
"Zm00001eb418160"	"red"
"Zm00001eb202580"	"brown"
"Zm00001eb011050"	"ivory"
"Zm00001eb332520"	"brown"
"Zm00001eb058950"	"turquoise"
"Zm00001eb244120"	"red"
"Zm00001eb168430"	"lightgreen"
"Zm00001eb188040"	"brown"
"Zm00001eb323510"	"red"
"Zm00001eb429480"	"salmon"
"Zm00001eb432500"	"greenyellow"
"Zm00001eb059230"	"pink"
"Zm00001eb346120"	"darkgreen"
"Zm00001eb286210"	"brown"
"Zm00001eb094220"	"yellow"
"Zm00001eb087050"	"yellow"
"Zm00001eb078350"	"brown"
"Zm00001eb362250"	"magenta"
"Zm00001eb283870"	"green"
"Zm00001eb130500"	"blue"
"Zm00001eb150320"	"grey"
"Zm00001eb175100"	"brown"
"Zm00001eb151280"	"darkgreen"
"Zm00001eb057580"	"black"
"Zm00001eb008700"	"yellow"
"Zm00001eb224520"	"brown"
"Zm00001eb082960"	"brown"
"Zm00001eb351270"	"red"
"Zm00001eb425860"	"brown"
"Zm00001eb332160"	"pink"
"Zm00001eb213260"	"green"
"Zm00001eb037570"	"black"
"Zm00001eb281810"	"brown"
"Zm00001eb382240"	"yellow"
"Zm00001eb067710"	"turquoise"
"Zm00001eb218400"	"brown"
"Zm00001eb254080"	"brown"
"Zm00001eb294690"	"yellow"
"Zm00001eb309910"	"violet"
"Zm00001eb288150"	"green"
"Zm00001eb305710"	"blue"
"Zm00001eb398590"	"yellow"
"Zm00001eb239390"	"purple"
"Zm00001eb368940"	"brown"
"Zm00001eb077130"	"green"
"Zm00001eb369660"	"brown"
"Zm00001eb035640"	"brown"
"Zm00001eb378210"	"black"
"Zm00001eb140430"	"yellow"
"Zm00001eb339850"	"pink"
"Zm00001eb146770"	"brown"
"Zm00001eb237390"	"blue"
"Zm00001eb096130"	"brown"
"Zm00001eb281710"	"brown"
"Zm00001eb309260"	"brown"
"Zm00001eb258170"	"brown"
"Zm00001eb369310"	"green"
"Zm00001eb143710"	"pink"
"Zm00001eb123540"	"green"
"Zm00001eb368060"	"green"
"Zm00001eb153170"	"red"
"Zm00001eb415530"	"red"
"Zm00001eb209960"	"brown"
"Zm00001eb402880"	"brown"
"Zm00001eb142730"	"blue"
"Zm00001eb266840"	"lightgreen"
"Zm00001eb271900"	"brown"
"Zm00001eb011020"	"black"
"Zm00001eb307060"	"darkorange"
"Zm00001eb047980"	"purple"
"Zm00001eb172200"	"turquoise"
"Zm00001eb107490"	"brown"
"Zm00001eb011800"	"turquoise"
"Zm00001eb344820"	"turquoise"
"Zm00001eb000480"	"magenta"
"Zm00001eb330180"	"blue"
"Zm00001eb430450"	"turquoise"
"Zm00001eb333190"	"yellow"
"Zm00001eb194410"	"greenyellow"
"Zm00001eb000450"	"black"
"Zm00001eb170610"	"green"
"Zm00001eb067700"	"lightcyan1"
"Zm00001eb406570"	"turquoise"
"Zm00001eb037680"	"brown"
"Zm00001eb208030"	"purple"
"Zm00001eb346040"	"brown"
"Zm00001eb061060"	"darkorange"
"Zm00001eb291850"	"blue"
"Zm00001eb074210"	"turquoise"
"Zm00001eb347380"	"brown"
"Zm00001eb225010"	"brown"
"Zm00001eb011010"	"red"
"Zm00001eb128890"	"brown"
"Zm00001eb237050"	"turquoise"
"Zm00001eb010810"	"skyblue3"
"Zm00001eb216020"	"purple"
"Zm00001eb373960"	"greenyellow"
"Zm00001eb082850"	"brown"
"Zm00001eb292340"	"brown"
"Zm00001eb356140"	"turquoise"
"Zm00001eb374470"	"pink"
"Zm00001eb401990"	"darkturquoise"
"Zm00001eb150560"	"blue"
"Zm00001eb197870"	"magenta"
"Zm00001eb317710"	"blue"
"Zm00001eb131070"	"red"
"Zm00001eb298950"	"brown"
"Zm00001eb014760"	"green"
"Zm00001eb400330"	"grey"
"Zm00001eb180670"	"brown"
"Zm00001eb296550"	"brown"
