Zm00001eb000650	Transducin/WD40 repeat-like superfamily protein/Transducin/WD40 repeat-like superfamily protein/E3 ubiquitin-protein ligase RFWD3/RING-type domain-containing protein/
Zm00001eb001870	Sphingoid long-chain bases kinase 2 mitochondrial/Sphingoid long-chain bases kinase 2 mitochondrial/Uncharacterized protein/Sphingoid long-chain bases kinase 2, mitochondrial/D-erythro-sphingosine kinase/ diacylglycerol kinase/
Zm00001eb001880	Putative serine/threonine-protein kinase/Putative serine/threonine-protein kinase/BRASSINOSTEROID INSENSITIVE 1-associated receptor kinase 1/
Zm00001eb001910	C-terminal binding protein AN/C-terminal binding protein AN/Angustifolia (C-terminal binding protein AN)/
Zm00001eb001940	CBL-interacting serine/threonine-protein kinase 9/CBL-interacting serine/threonine-protein kinase 9/Non-specific serine/threonine protein kinase (EC 2.7.11.1)/
Zm00001eb001980	Cell growth defect factor 2/
Zm00001eb002000	DNA binding protein/DNA binding protein/
Zm00001eb002040	Inner membrane protein ybaL/Inner membrane protein ybaL/K(+) efflux antiporter 4/K(+) efflux antiporter 5/Na_H_Exchanger domain-containing protein/
Zm00001eb002070	Cytochrome c oxidase assembly protein COX19/Cytochrome c oxidase assembly protein COX19/Cytochrome c oxidase 19-2 (Cytochrome c oxidase assembly protein COX19)/
Zm00001eb002100	Callose synthase 3/Callose synthase 3/1,3-beta-glucan synthase (EC 2.4.1.34)/
Zm00001eb002150	DNA-directed DNA polymerases/DNA-directed DNA polymerases/DNA-directed DNA polymerases (Fragment)/
Zm00001eb002220	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1/Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1/Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 67 kDasubunit/
Zm00001eb002240	Phosphatidylinositol-glycan biosynthesis class F protein/Phosphatidylinositol-glycan biosynthesis class F protein/Glycosylphosphatidylinositol anchor biosynthesis protein 11 (Phosphatidylinositol-glycan biosynthesis class F protein)/Glycosylphosphatidylinositol anchor biosynthesis protein 11/
Zm00001eb002260	Exosome complex exonuclease RRP44 homolog A/Exosome complex exonuclease RRP44 homolog A/Exosome complex exonuclease RRP44 A/RNB domain-containing protein/
Zm00001eb002310	Putative Myb family transcription factor/Putative Myb family transcription factor/G2-like transcription factor (Fragment)/
Zm00001eb002330	Sodium/hydrogen exchanger 2 (Fragment)/Sodium/hydrogen exchanger 2 (Fragment)/Sodium/hydrogen exchanger 2/TatD related DNase/Sodium/hydrogen exchanger 3/Sodium/hydrogen exchanger 1/
Zm00001eb002390	Defensin-like protein/Defensin-like protein/Flower-specific gamma-thionin/
Zm00001eb002420	Adenylate kinase (EC 2.7.4.3)/Adenylate kinase (EC 2.7.4.3)/Calcium-binding EF hand family protein/Putative calcium-binding protein C800.10c/
Zm00001eb002480	Putative serine/threonine-protein kinase Cx32 chloroplastic/Putative serine/threonine-protein kinase Cx32 chloroplastic/Uncharacterized protein/
Zm00001eb002490	NIN-like protein 1/NIN-like protein 1/Protein NLP2/Protein NLP1/
Zm00001eb002540	Polynucleotide adenylyltransferase family protein/Polynucleotide adenylyltransferase family protein/Poly(A) polymerase I (Fragment)/PolyA_pol domain-containing protein/
Zm00001eb002550	Peflin/Peflin/Sorcin/
Zm00001eb002610	Putative serine/threonine-protein kinase/Putative serine/threonine-protein kinase/Protein kinase domain-containing protein/
Zm00001eb002640	40S ribosomal protein SA/40S ribosomal protein SA/40S ribosomal protein Sa-1/Acidic ribosomal protein P40/
Zm00001eb002660	NAC-transcription factor 53/NAC-transcription factor 53/NAC domain-containing protein 35/Uncharacterized protein/Putative NAC domain transcription factor superfamily protein/
Zm00001eb002740	Serine O-acetyltransferase (EC 2.3.1.30)/Serine O-acetyltransferase (EC 2.3.1.30)/Serine acetyltransferase 4/
Zm00001eb002760	Cytochrome P450 CYP78A55/Cytochrome P450 CYP78A55/Cytochrome P450 78A6/Uncharacterized protein/
Zm00001eb002830	Transcription factor bHLH93/Transcription factor bHLH93/DNA binding protein/BHLH transcription factor/
Zm00001eb002940	Heat shock protein binding protein/Heat shock protein binding protein/Pre-mRNA-splicing factor cwf23/
Zm00001eb003070	Outer mitochondrial membrane porin1/Outer mitochondrial membrane porin1/Mitochondrial outer membrane protein porin 4/Mitochondrial outer membrane protein porin 6/Outer mitochondrial membrane protein porin/
Zm00001eb003110	Cyclin-dependent kinase inhibitor/Cyclin-dependent kinase inhibitor/
Zm00001eb003130	Uncharacterized protein/Uncharacterized protein/Uncharacterized protein (Fragment)/Vegetative storage protein/Pentatricopeptide repeat-containing protein/
Zm00001eb003350	Glutamyl-tRNA synthetase (EC 6.1.1.17)/Glutamyl-tRNA synthetase (EC 6.1.1.17)/Glutamate--tRNA ligase cytoplasmic/Glutamyl-tRNA synthetase (EC 6.1.1.17) (Fragment)/Uncharacterized protein/
Zm00001eb003460	Zinc finger (C3HC4-type RING finger) family protein/Zinc finger (C3HC4-type RING finger) family protein/Uncharacterized protein sll0103/
Zm00001eb003490	Multidrug resistance-associated protein 4/Multidrug resistance-associated protein 4/ABC transporter C family MRP4/ABC transporter C family MRP4 (EC 7.-.-.-) (Multidrug resistance-associated protein 4) (ZmMRP4) (Protein LOW PHYTIC ACID 1)/
Zm00001eb003510	S-adenosyl-L-methionine-dependent methyltransferase superfamily protein/S-adenosyl-L-methionine-dependent methyltransferase superfamily protein/Methyltransferase-like protein 6/Methyltransf_12 domain-containing protein/
Zm00001eb003550	Protein PIR/Protein PIR/Uncharacterized protein/
Zm00001eb003690	Tankyrase 1/Tankyrase 1/BRCA1-associated RING domain protein 1/Ankyrin_rpt-contain_dom domain-containing protein/
Zm00001eb003700	CHY-type/CTCHY-type/RING-type Zinc finger protein/CHY-type/CTCHY-type/RING-type Zinc finger protein/E3 ubiquitin-protein ligase MIEL1/Uncharacterized protein/
Zm00001eb003860	UPF0496 protein 3/UPF0496 protein 3/UPF0496 protein/
Zm00001eb003900	Metal regulatory transcription factor 1/Metal regulatory transcription factor 1/Lysine-specific demethylase SE14/
Zm00001eb003930	HR-like lesion-inducing protein-related/HR-like lesion-inducing protein-related/Uncharacterized protein/HR-like lesion-inducing protein-related (Nicotiana lesion-inducing like)/
Zm00001eb003970	Protein KINESIN LIGHT CHAIN-RELATED 1/Protein KINESIN LIGHT CHAIN-RELATED 1/Tetratricopeptide repeat (TPR)-like superfamily protein/
Zm00001eb004030	Proteasome subunit alpha type-2-B/Proteasome subunit alpha type-2-B/Proteasome subunit alpha type/
Zm00001eb004050	Solanesyl diphosphate synthase 2 chloroplastic/Solanesyl diphosphate synthase 2 chloroplastic/Putative solanesyl-diphosphate synthase 3, chloroplastic/Mitogen-activated protein kinase (EC 2.7.11.24)/Pentatricopeptide repeat-containing protein/Uncharacterized protein/
Zm00001eb004120	Appr-1-p processing enzyme family protein/Appr-1-p processing enzyme family protein/Protein GDAP2/
Zm00001eb004170	Cell division control protein 48 homolog D/Cell division control protein 48 homolog D/Cell division cycle protein 48/Cell division control protein 48 E/Uncharacterized protein/
Zm00001eb004320	Protein MID1-COMPLEMENTING ACTIVITY 1 (Fragment)/Protein MID1-COMPLEMENTING ACTIVITY 1 (Fragment)/Cell number regulator 13/Uncharacterized protein/Cell number regulator 13 (ZmCNR13)/
Zm00001eb004370	Protein RRP6-like 2/Protein RRP6-like 2/Uncharacterized protein/
Zm00001eb004400	LOS4 (Fragment)/LOS4 (Fragment)/DEAD-box ATP-dependent RNA helicase 38/Uncharacterized protein/ATP-dependent RNA helicase DBP5 (DEAD-box ATP-dependent RNA helicase 38)/ATP-dependent RNA helicase DBP5/
Zm00001eb004410	Photosynthetic NDH subunit of subcomplex B 2, chloroplastic/
Zm00001eb004440	Putative receptor-like protein kinase/Putative receptor-like protein kinase/Putative serine/threonine-protein kinase PBL16/
Zm00001eb004480	Pentatricopeptide repeat-containing protein/Pentatricopeptide repeat-containing protein/Uncharacterized protein/
Zm00001eb004570	tRNA (Guanine-N-7) methyltransferase/tRNA (Guanine-N-7) methyltransferase/SH2 domain protein B/tRNA (Guanine-N(7)-)-methyltransferase/Uncharacterized protein/
Zm00001eb004660	1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase (EC 1.13.11.54) (Acireductone dioxygenase (Fe(2+)-requiring)) (ARD) (Fe-ARD)/
Zm00001eb004750	Plant-specific domain TIGR01615 family protein/Plant-specific domain TIGR01615 family protein/Uncharacterized protein/
Zm00001eb004890	Uncharacterized protein/Uncharacterized protein/Transcription initiation factor TFIID subunit 4b/
Zm00001eb005060	Phosphopantothenoylcysteine decarboxylase/Phosphopantothenoylcysteine decarboxylase/Putative phosphopantothenoylcysteine decarboxylase/Flavoprotein domain-containing protein/
Zm00001eb005100	Pollenless3/Pollenless3/Protein SULFUR DEFICIENCY-INDUCED 1/
Zm00001eb005110	Glycerol-3-phosphate acyltransferase 5/Glycerol-3-phosphate acyltransferase 5/Glycerol-3-phosphate 2-O-acyltransferase 6/
Zm00001eb005210	Uncharacterized protein/Uncharacterized protein/Sigma factor binding protein 1, chloroplastic/VQ motif family protein/VQ domain-containing protein/
Zm00001eb005350	Pentatricopeptide repeat-containing protein chloroplastic/Pentatricopeptide repeat-containing protein chloroplastic/Pentatricopeptide repeat-containing protein/
Zm00001eb005440	Homeobox-leucine zipper protein HOX21/Homeobox-leucine zipper protein HOX21/Homeobox-leucine zipper protein HAT7/HB transcription factor (Homeobox-transcription factor 102) (Fragment)/
Zm00001eb005450	Glutaredoxin domain-containing protein/Glutaredoxin domain-containing protein/Glutaredoxin family protein/
Zm00001eb005460	Sucrose transporter1/Sucrose transporter1/Sucrose transport protein SUC3/Sucrose transport protein SUT1/Uncharacterized protein/Sucrose Transporter/
Zm00001eb005630	Polyadenylate-binding protein RBP47B/Polyadenylate-binding protein RBP47B/RNA-binding post-transcriptional regulator csx1/
Zm00001eb005670	tRNA-5-taurinomethyluridine 2-sulfurtransferase (EC 2.8.1.14)/tRNA-5-taurinomethyluridine 2-sulfurtransferase (EC 2.8.1.14)/Transferase/
Zm00001eb005700	Mitochondrial substrate carrier family protein/Mitochondrial substrate carrier family protein/Solute carrier family 25 member 44/Uncharacterized protein/
Zm00001eb005710	Omega-amidase chloroplastic/Omega-amidase chloroplastic/Omega-amidase, chloroplastic/
Zm00001eb005740	AP2-EREBP-type transcription factor/AP2-EREBP-type transcription factor/AP2-like ethylene-responsive transcription factor AIL1/
Zm00001eb005770	Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger domain/Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger domain/TDBD domain-containing protein/Increased DNA methylation 1/N-acetyltransferase domain-containing protein/
Zm00001eb005810	Putative membrane lipoprotein/Putative membrane lipoprotein/Uncharacterized protein/
Zm00001eb005820	Copper-transporting ATPase PAA2 chloroplastic/Copper-transporting ATPase PAA2 chloroplastic/
Zm00001eb005840	Compact plant2/Compact plant2/Guanine nucleotide-binding protein alpha-1 subunit/Compact plant2 (Guanine nucleotide-binding protein alpha-1 subunit)/Uncharacterized protein/
Zm00001eb005850	Catalytic/ hydrolase/Catalytic/ hydrolase/AB hydrolase-1 domain-containing protein/
Zm00001eb005860	Alpha/beta-Hydrolases superfamily protein/Alpha/beta-Hydrolases superfamily protein/AB hydrolase-1 domain-containing protein/Hydrolase/
Zm00001eb005900	Root-specific kinase 1/Root-specific kinase 1/Serine/threonine-protein kinase RIPK/
Zm00001eb005980	Protein TIFY 11a/Protein TIFY 11a/Protein TIFY 11b/Jasmonate ZIM domain protein/ZIM motif family protein/TIFY1 (ZIM motif family protein) (ZIM transcription factor)/Putative tify domain/CCT motif transcription factor family protein (TIFY29) (ZIM transcription factor)/
Zm00001eb005990	Protein TIFY 11c/Protein TIFY 11c/PnFL-2 (TIFY3)/TIFY2 (ZIM transcription factor)/Protein TIFY 10B/
Zm00001eb006010	Ubiquitin carboxyl-terminal hydrolase family protein/Ubiquitin carboxyl-terminal hydrolase family protein/Protein ROOT PRIMORDIUM DEFECTIVE 1/PORR domain-containing protein/
Zm00001eb006020	3-ketoacyl-CoA synthase (EC 2.3.1.-)/3-ketoacyl-CoA synthase (EC 2.3.1.-)/Fiddlehead-like protein/Very-long-chain 3-oxoacyl-CoA synthase (EC 2.3.1.199)/
Zm00001eb006040	DUF936 family protein/DUF936 family protein/Uncharacterized protein/
Zm00001eb006080	Phosphoinositide phosphatase SAC2/Phosphoinositide phosphatase SAC2/SAC domain-containing protein/
Zm00001eb006150	Eukaryotic translation initiation factor 3 subunit K (eIF3k) (eIF-3 p25)/Eukaryotic translation initiation factor 3 subunit K (eIF3k) (eIF-3 p25)/CSN8_PSD8_EIF3K domain-containing protein/
Zm00001eb006160	Ethylene-responsive transcription factor 1/Ethylene-responsive transcription factor 1/AP2-EREBP transcription factor/Uncharacterized protein/
Zm00001eb006300	Phytoene dehydrogenase (EC 1.3.5.5)/Phytoene dehydrogenase (EC 1.3.5.5)/15-cis-phytoene desaturase chloroplastic/chromoplastic/Phytoene dehydrogenase, chloroplastic/chromoplastic/15-cis-phytoene desaturase, chloroplastic/chromoplastic (EC 1.3.5.5) (Phytoene dehydrogenase) (Phytoene desaturase)/
Zm00001eb006310	Uncharacterized protein/Uncharacterized protein/15-cis-phytoene desaturase chloroplastic/chromoplastic/
Zm00001eb006380	NAD(P)-binding Rossmann-fold superfamily protein/NAD(P)-binding Rossmann-fold superfamily protein/Putative dihydroflavonol 4-reductase/Dihydroflavonol-4-reductase (NAD(P)-binding Rossmann-fold superfamily protein)/Uncharacterized protein/Dihydroflavonol-4-reductase/
Zm00001eb006390	Alpha/beta-Hydrolases superfamily protein/Alpha/beta-Hydrolases superfamily protein/Protein SERAC1/Uncharacterized protein/
Zm00001eb006410	Hydroxycinnamoyltransferase1/Hydroxycinnamoyltransferase1/Tryptamine benzoyltransferase 1/
Zm00001eb006520	Intron maturase type II family protein/Intron maturase type II family protein/Putative mitochondrial protein ymf11/
Zm00001eb006570	Transducin family protein / WD-40 repeat family protein/Transducin family protein / WD-40 repeat family protein/WD and tetratricopeptide repeats protein 1/
Zm00001eb006600	Cullin-associated NEDD8-dissociated protein 1/Cullin-associated NEDD8-dissociated protein 1/Protein kinase APK1B chloroplastic/Zeaxanthin epoxidase, chloroplastic/Luminal-binding protein 3/
Zm00001eb006660	Protein DETOXIFICATION 27/Protein DETOXIFICATION 27/Protein DETOXIFICATION (Multidrug and toxic compound extrusion protein)/Uncharacterized protein/
Zm00001eb006760	Alcohol dehydrogenase-like 2/Alcohol dehydrogenase-like 2/Alcohol dehydrogenase-like 7/Uncharacterized protein/ADH_N domain-containing protein/Alcohol dehydrogenase 1/
Zm00001eb006770	Alcohol dehydrogenase-like 2/Alcohol dehydrogenase-like 2/Alcohol dehydrogenase-like 7/
Zm00001eb006870	Ubiquitin carboxyl-terminal hydrolase (EC 3.4.19.12) (Fragment)/Ubiquitin carboxyl-terminal hydrolase (EC 3.4.19.12) (Fragment)/Ubiquitin carboxyl-terminal hydrolase/
Zm00001eb006880	Uncharacterized protein/Uncharacterized protein/TMEM135_C_rich domain-containing protein/
Zm00001eb006890	Calmodulin-binding transcription activator 2/Calmodulin-binding transcription activator 2/Calmodulin-binding transcription activator 3/IPT/TIG domain-containing protein/
Zm00001eb006910	Putative mitochondrial adenine nucleotide transporter BTL2/Putative mitochondrial adenine nucleotide transporter BTL2/Putative mitochondrial adenine nucleotide transporter BTL3/Uncharacterized protein/Grx_S14-glutaredoxin subgroup II/
Zm00001eb006920	Conserved oligomeric Golgi complex subunit 8 (COG complex subunit 8) (Component of oligomeric Golgi complex 8)/Conserved oligomeric Golgi complex subunit 8 (COG complex subunit 8) (Component of oligomeric Golgi complex 8)/Component of oligomeric Golgi complex 8 (Conserved oligomeric Golgi complex subunit 8)/
Zm00001eb006940	Ras-related protein RABH1b/Ras-related protein RABH1b/Ras-related protein Rab-6A/Ras-related protein RABH1e/
Zm00001eb007010	Polymerase/histidinol phosphatase-like/Polymerase/histidinol phosphatase-like/Protein trpH, mRNA/5'-3' exoribonuclease/Protein trpH/
Zm00001eb007090	Tetratricopeptide repeat (TPR)-like superfamily protein/Tetratricopeptide repeat (TPR)-like superfamily protein/Tetratricopeptide repeat (TPR)-like superfamily protein (Fragment)/Pre-mRNA-processing factor 39/Uncharacterized protein/
Zm00001eb007150	Got1/Sft2-like vescicle transport protein family/Got1/Sft2-like vescicle transport protein family/Uncharacterized protein/Vesicle transport protein GOT1/Golgi transport 1 protein B (Got1/Sft2-like vescicle transport protein family)/
Zm00001eb007190	Putative pentatricopeptide repeat-containing protein/Putative pentatricopeptide repeat-containing protein/Uncharacterized protein/
Zm00001eb007230	ARM-repeat/Tetratricopeptide repeat (TPR)-like protein/ARM-repeat/Tetratricopeptide repeat (TPR)-like protein/Uncharacterized protein/
Zm00001eb007240	Mitochondrial ribosomal protein L43/Mitochondrial ribosomal protein L43/54S ribosomal protein L51, mitochondrial/
Zm00001eb007250	Syntaxin/t-SNARE family protein/Syntaxin/t-SNARE family protein/Syntaxin-6_N domain-containing protein/
Zm00001eb007280	BTB/POZ domain-containing protein/BTB/POZ domain-containing protein/Transposon protein Mutator sub-class/Uncharacterized protein/NPH3 domain-containing protein/
Zm00001eb007310	Uncharacterized protein/Uncharacterized protein/CASP-like protein/CASP-like protein 16/CASP-like protein 5A2 (ZmCASPL5A2)/CASP-like protein 5A1 (ZmCASPL5A1)/
Zm00001eb007510	BTB/POZ domain-containing protein NPY2/BTB/POZ domain-containing protein NPY2/Transposon protein Mutator sub-class/Uncharacterized protein/
Zm00001eb007580	Transcription factor bHLH54/Transcription factor bHLH54/Transcription factor bHLH84/Uncharacterized protein/Urb2 domain-containing protein/
Zm00001eb007690	Cyclin-related/Cyclin-related/Uncharacterized protein/Somatic embryogenesis related protein/
Zm00001eb007730	Outer mitochondrial membrane protein porin/Outer mitochondrial membrane protein porin/Mitochondrial outer membrane protein porin 5/
Zm00001eb007740	Glycosyl hydrolase family 10 protein/Glycosyl hydrolase family 10 protein/Anti-sigma-I factor RsgI6/
Zm00001eb007780	Peptidyl-prolyl cis-trans isomerase CYP65/Peptidyl-prolyl cis-trans isomerase CYP65/RING-type E3 ubiquitin transferase (EC 2.3.2.27)/
Zm00001eb007800	Arabinanase/levansucrase/invertase/Arabinanase/levansucrase/invertase/Uncharacterized protein/Glycosyl hydrolase, family 43 protein/
Zm00001eb007810	ADP-ribosylation factor-like protein 8B/ADP-ribosylation factor-like protein 8B/ADP-ribosylation factor-like protein 8a/
Zm00001eb007830	Protein NPGR1/Protein NPGR1/Uncharacterized protein/No pollen germination related 1/
Zm00001eb007920	UPF0496 protein/UPF0496 protein/UPF0496 protein 1/
Zm00001eb007930	DNA glycosylase superfamily protein/DNA glycosylase superfamily protein/Methyltransferase-like protein 2/Uncharacterized protein/
Zm00001eb007960	DeSI-like protein/DeSI-like protein/DeSI-like protein (Fragment)/PPPDE domain-containing protein/
Zm00001eb008070	Polyol transporter 5/Polyol transporter 5/Putative polyol transporter 1 (Sorbitol transporter)/
Zm00001eb008080	Putative polyol transporter 1/Putative polyol transporter 1/Hexose transporter/Polyol transporter protein 4/Polyol transporter 5/MFS domain-containing protein/
Zm00001eb008170	Sulfate transporter 2.2/Sulfate transporter 2.2/Sulfate transporter 2.1/STAS domain-containing protein/
Zm00001eb008310	FRIGIDA-like protein/FRIGIDA-like protein/Uncharacterized protein/
Zm00001eb008420	Remorin6.3/Remorin6.3/Remorin_C domain-containing protein/Putative nucleolar protein 5-2/
Zm00001eb008440	Heparanase-like protein 1/Heparanase-like protein 1/Heparanase-like protein 1 (Heparanase-like protein 2)/Uncharacterized protein/
Zm00001eb008450	Hexosyltransferase (EC 2.4.1.-)/Hexosyltransferase (EC 2.4.1.-)/Putative galacturonosyltransferase 13/Putative galacturonosyltransferase 14/
Zm00001eb008490	Putative mitochondrial-processing peptidase subunit beta mitochondrial/Putative mitochondrial-processing peptidase subunit beta mitochondrial/Peptidase beta subunit/Putative mitochondrial-processing peptidase subunit beta, mitochondrial/
Zm00001eb008520	SNAP25 ous protein SNAP33/SNAP25 ous protein SNAP33/Uncharacterized protein/SNAP25 homologous protein SNAP29/SNAP25 homologous protein SNAP33/
Zm00001eb008530	Beta-glucosidase 40/Beta-glucosidase 40/Beta-glucosidase 6/Uncharacterized protein/
Zm00001eb008550	SecY protein transport family protein/SecY protein transport family protein/Protein transport protein Sec61 subunit alpha/Plug_translocon domain-containing protein/
Zm00001eb008590	Mitochondrial substrate carrier family protein/Mitochondrial substrate carrier family protein/Mitochondrial carrier YMR166C/
Zm00001eb008620	Protein RIK/Protein RIK/ROUGH SHEATH2-interacting KH-domain protein/Uncharacterized protein/Protein RIK (Rough sheath 2-interacting KH domain protein) (RS2-interacting KH domain protein)/
Zm00001eb008640	Digalactosyldiacylglycerol synthase 2, chloroplastic/
Zm00001eb008680	Protein DROOPING LEAF/Protein DROOPING LEAF/C2C2-YABBY transcription factor (DL related protein) (Drooping leaf ortholog1) (Protein DROOPING LEAF)/
Zm00001eb008730	Pentatricopeptide repeat-containing protein mitochondrial/Pentatricopeptide repeat-containing protein mitochondrial/Pentatricopeptide repeat-containing protein/Pentatricopeptide repeat-containing protein ATP4, chloroplastic (ATP synthase 4)/
Zm00001eb008750	Uncharacterized protein/Uncharacterized protein/Pentatricopeptide repeat-containing protein/
Zm00001eb008790	Protein DETOXIFICATION (Multidrug and toxic compound extrusion protein)/Protein DETOXIFICATION (Multidrug and toxic compound extrusion protein)/Multidrug and toxic compound extrusion3/Protein DETOXIFICATION (Multidrug and toxic compound extrusion protein) (Fragment)/Multidrug and toxic compound extrusion3 (Fragment)/Uncharacterized protein/
Zm00001eb008900	CCAAT-binding factor/CCAAT-binding factor/CCAAT/enhancer-binding protein zeta/
Zm00001eb008960	Proton pump-interactor 1/Proton pump-interactor 1/Acyltransferase (EC 2.3.1.-)/
Zm00001eb008980	Putative peroxygenase 4/Putative peroxygenase 4/Peroxygenase/
Zm00001eb009010	Caleosin/Caleosin/Peroxygenase/Nuclear pore complex protein NUP155/
Zm00001eb009130	UDP-3-O-acyl N-acetylglycosamine deacetylase family protein/UDP-3-O-acyl N-acetylglycosamine deacetylase family protein/UDP-3-O-acyl-N-acetylglucosamine deacetylase (EC 3.5.1.108)/Putative UDP-3-O-acyl-N-acetylglucosamine deacetylase 5/
Zm00001eb009170	HSF_DOMAIN domain-containing protein/HSF_DOMAIN domain-containing protein/Uncharacterized protein/Heat stress transcription factor A-9/Heat shock factor protein HSF8/
Zm00001eb009240	Sec-independent protein translocase protein TATC, chloroplastic/
Zm00001eb009250	Mitogen-activated protein kinase kinase 9/Mitogen-activated protein kinase kinase 9/Mitogen-activated protein kinase kinase 7/Protein kinase domain-containing protein/Putative MAP kinase family protein/
Zm00001eb009490	BHLH transcription factor (Fragment)/BHLH transcription factor (Fragment)/Transcription factor bHLH62/Transcription factor bHLH76/Transcription factor bHLH74/BHLH domain-containing protein/
Zm00001eb009500	Short hypocotyl in white light1/Short hypocotyl in white light1/Protein SHORT HYPOCOTYL IN WHITE LIGHT 1/Uncharacterized protein/
Zm00001eb009540	Branched-chain-amino-acid aminotransferase (EC 2.6.1.42)/Branched-chain-amino-acid aminotransferase (EC 2.6.1.42)/Branched-chain-amino-acid aminotransferase/
