	bwnet_20$colors		ensembl_id	uniprot_function
Zm00001eb000590	blue		Zm00001eb000800	Actin-related protein 4/Actin-related protein 4/Actin-like protein 6A/
Zm00001eb000650	blue		Zm00001eb000840	Remorin family protein/Remorin family protein/Remorin/
Zm00001eb000720	cyan		Zm00001eb000860	AP-2 complex subunit alpha/AP-2 complex subunit alpha/AP-2 complex subunit alpha-2/
Zm00001eb000770	green		Zm00001eb000880	Trihelix transcription factor GT-2/
Zm00001eb000800	green		Zm00001eb000890	Kinesin-like protein/Kinesin-like protein/Di-glucose binding protein with Kinesin motor domain/Kinesin-like protein KIN-14E/
Zm00001eb000840	brown		Zm00001eb000900	Uncharacterized protein/
Zm00001eb000860	salmon		Zm00001eb000910	Putative RNA-binding protein EIF1AD/Putative RNA-binding protein EIF1AD/Nucleic acid-binding OB-fold-like protein (RNA binding protein)/RNA binding protein/
Zm00001eb000880	turquoise		Zm00001eb000980	Mitochondrial import inner membrane translocase subunit TIM23-3/Mitochondrial import inner membrane translocase subunit TIM23-3/Mitochondrial import inner membrane translocase subunit TIM23-2/
Zm00001eb000890	blue		Zm00001eb000990	Early nodulin-like protein 8/Early nodulin-like protein 8/Early nodulin-like protein 1/Phytocyanin domain-containing protein/
Zm00001eb000900	cyan		Zm00001eb001020	Tetratricopeptide repeat (TPR)-like superfamily protein/Tetratricopeptide repeat (TPR)-like superfamily protein/Pentatricopeptide repeat-containing protein/
Zm00001eb000910	turquoise		Zm00001eb001050	Pyridoxal 5'-phosphate synthase (EC 1.4.3.5)/
Zm00001eb000980	brown		Zm00001eb001070	Mitochondrial inner membrane protein OXA1/Mitochondrial inner membrane protein OXA1/Mitochondrial inner membrane protein OXA1-like/
Zm00001eb000990	blue		Zm00001eb001110	Fusca-like protein/Fusca-like protein/COP9 signalosome complex subunit 1/
Zm00001eb001020	turquoise		Zm00001eb001170	Peroxisomal membrane protein 11-1/Peroxisomal membrane protein 11-1/Peroxisomal membrane protein PEX11-1 (Peroxisomal membrane protein homolog1)/
Zm00001eb001030	blue		Zm00001eb001180	"Pyrimidine deaminase1/Pyrimidine deaminase1/Diaminohydroxyphosphoribosylaminopyrimidine deaminase (EC 3.5.4.26) (HTP reductase) (Riboflavin-specific deaminase)/Riboflavin biosynthesis protein PYRD, chloroplastic [Includes: Diaminohydroxyphosphoribosylaminopyrimidine deaminase (DRAP deaminase) (EC 3.5.4.26) (Riboflavin-specific deaminase); Inactive 5-amino-6-(5-phosphoribosylamino)uracil reductase (HTP reductase)]/"
Zm00001eb001050	brown		Zm00001eb001190	Xyloglucan endotransglucosylase/hydrolase protein 4/Xyloglucan endotransglucosylase/hydrolase protein 4/Xyloglucan endotransglucosylase/hydrolase protein 5/GH16 domain-containing protein/
Zm00001eb001070	green		Zm00001eb001270	Post-GPI attachment to proteins factor 3/
Zm00001eb001110	tan		Zm00001eb001290	Cyclin-T1-5/Cyclin-T1-5/
Zm00001eb001170	brown		Zm00001eb001340	3-hydroxy-3-methylglutaryl coenzyme A synthase (HMG-CoA synthase) (EC 2.3.3.10)/
Zm00001eb001180	cyan		Zm00001eb001350	Ataxin-10/Ataxin-10/ARM repeat superfamily protein/
Zm00001eb001190	green		Zm00001eb001360	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein/
Zm00001eb001270	turquoise		Zm00001eb001430	"1,3-beta-glucan synthase (EC 2.4.1.34)/"
Zm00001eb001290	green		Zm00001eb001440	Pentatricopeptide repeat-containing protein mitochondrial/
Zm00001eb001340	turquoise		Zm00001eb001470	Transcription factor TFIIIC tau55-related protein/Transcription factor TFIIIC tau55-related protein/TFIIIC_sub6 domain-containing protein/
Zm00001eb001350	turquoise		Zm00001eb001490	ALA-interacting subunit/
Zm00001eb001360	cyan		Zm00001eb001520	Uncharacterized protein/
Zm00001eb001430	turquoise		Zm00001eb001530	Heavy metal associated1/Heavy metal associated1/Retrovirus-related Pol polyprotein LINE-1/Heavy metal-associated isoprenylated plant protein 30/Metal ion binding protein/
Zm00001eb001440	brown		Zm00001eb001550	ABI3VP1 transcription factor (B3 domain-containing transcription factor NGA2) (Fragment)/ABI3VP1 transcription factor (B3 domain-containing transcription factor NGA2) (Fragment)/B3 domain-containing protein/
Zm00001eb001470	green		Zm00001eb001570	Dicer-like 101 (Dicer-like protein 1)/Dicer-like 101 (Dicer-like protein 1)/Endoribonuclease Dicer 1/
Zm00001eb001490	tan		Zm00001eb001600	"Putative heme chaperone (Radical S-adenosyl methionine domain-containing protein 1, mitochondrial)/"
Zm00001eb001520	blue		Zm00001eb001670	MADS-box transcription factor 50/MADS-box transcription factor 50/Agamous-like6 (MADS-box transcription factor 56)/Uncharacterized protein/Agamous-like6/MADS transcription factor/ZAGL1 (Fragment)/
Zm00001eb001530	lightyellow		Zm00001eb001710	Protein FIZZY-RELATED 1/Protein FIZZY-RELATED 1/Protein FIZZY-RELATED 2/
Zm00001eb001550	brown		Zm00001eb001720	Homeobox protein HD1 (Knotted related homeobox1)/Homeobox protein HD1 (Knotted related homeobox1)/Homeobox protein knotted-1-like 1 (Fragment)/
Zm00001eb001570	cyan		Zm00001eb001770	Homeobox protein BEL1/Homeobox protein BEL1/BEL1-related homeotic protein 14/BEL1-related homeotic protein 14 (Homeobox-transcription factor 30)/
Zm00001eb001600	cyan		Zm00001eb001810	Putative receptor-like protein kinase/Putative receptor-like protein kinase/Malectin_like domain-containing protein/ATP binding protein/
Zm00001eb001670	turquoise		Zm00001eb001840	"50S ribosomal protein L5, chloroplastic/"
Zm00001eb001710	green		Zm00001eb001860	D111/G-patch domain-containing protein/D111/G-patch domain-containing protein/PIN2/TERF1-interacting telomerase inhibitor 1/G-patch domain-containing protein/Nucleic acid binding protein/
Zm00001eb001720	brown		Zm00001eb001870	"Sphingoid long-chain bases kinase 2 mitochondrial/Sphingoid long-chain bases kinase 2 mitochondrial/Uncharacterized protein/Sphingoid long-chain bases kinase 2, mitochondrial/D-erythro-sphingosine kinase/ diacylglycerol kinase/"
Zm00001eb001740	turquoise		Zm00001eb001880	Putative serine/threonine-protein kinase/Putative serine/threonine-protein kinase/BRASSINOSTEROID INSENSITIVE 1-associated receptor kinase 1/
Zm00001eb001770	turquoise		Zm00001eb001910	C-terminal binding protein AN/C-terminal binding protein AN/Angustifolia (C-terminal binding protein AN)/
Zm00001eb001810	blue		Zm00001eb001940	CBL-interacting serine/threonine-protein kinase 9/CBL-interacting serine/threonine-protein kinase 9/Non-specific serine/threonine protein kinase (EC 2.7.11.1)/
Zm00001eb001840	salmon		Zm00001eb001980	Cell growth defect factor 2/
Zm00001eb001860	blue		Zm00001eb002000	DNA binding protein/DNA binding protein/
Zm00001eb001870	turquoise		Zm00001eb002040	Inner membrane protein ybaL/Inner membrane protein ybaL/K(+) efflux antiporter 4/K(+) efflux antiporter 5/Na_H_Exchanger domain-containing protein/
Zm00001eb001880	turquoise		Zm00001eb002070	Cytochrome c oxidase assembly protein COX19/Cytochrome c oxidase assembly protein COX19/Cytochrome c oxidase 19-2 (Cytochrome c oxidase assembly protein COX19)/
Zm00001eb001910	blue		Zm00001eb002080	Uncharacterized protein/
Zm00001eb001940	brown		Zm00001eb002100	"Callose synthase 3/Callose synthase 3/1,3-beta-glucan synthase (EC 2.4.1.34)/"
Zm00001eb001980	green		Zm00001eb002150	DNA-directed DNA polymerases/DNA-directed DNA polymerases/DNA-directed DNA polymerases (Fragment)/
Zm00001eb002000	green		Zm00001eb002220	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1/Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1/Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 67 kDasubunit/
Zm00001eb002040	blue		Zm00001eb002240	Phosphatidylinositol-glycan biosynthesis class F protein/Phosphatidylinositol-glycan biosynthesis class F protein/Glycosylphosphatidylinositol anchor biosynthesis protein 11 (Phosphatidylinositol-glycan biosynthesis class F protein)/Glycosylphosphatidylinositol anchor biosynthesis protein 11/
Zm00001eb002070	blue		Zm00001eb002260	Exosome complex exonuclease RRP44 homolog A/Exosome complex exonuclease RRP44 homolog A/Exosome complex exonuclease RRP44 A/RNB domain-containing protein/
Zm00001eb002080	turquoise		Zm00001eb002310	Putative Myb family transcription factor/Putative Myb family transcription factor/G2-like transcription factor (Fragment)/
Zm00001eb002100	cyan		Zm00001eb002330	Sodium/hydrogen exchanger 2 (Fragment)/Sodium/hydrogen exchanger 2 (Fragment)/Sodium/hydrogen exchanger 2/TatD related DNase/Sodium/hydrogen exchanger 3/Sodium/hydrogen exchanger 1/
Zm00001eb002150	blue		Zm00001eb002390	Defensin-like protein/Defensin-like protein/Flower-specific gamma-thionin/
Zm00001eb002200	pink		Zm00001eb002420	Adenylate kinase (EC 2.7.4.3)/Adenylate kinase (EC 2.7.4.3)/Calcium-binding EF hand family protein/Putative calcium-binding protein C800.10c/
Zm00001eb002220	green		Zm00001eb002480	Putative serine/threonine-protein kinase Cx32 chloroplastic/Putative serine/threonine-protein kinase Cx32 chloroplastic/Uncharacterized protein/
Zm00001eb002240	green		Zm00001eb002490	NIN-like protein 1/NIN-like protein 1/Protein NLP2/Protein NLP1/
Zm00001eb002260	turquoise		Zm00001eb002520	60S ribosomal protein L5-1/
Zm00001eb002310	green		Zm00001eb002540	Polynucleotide adenylyltransferase family protein/Polynucleotide adenylyltransferase family protein/Poly(A) polymerase I (Fragment)/PolyA_pol domain-containing protein/
Zm00001eb002330	blue		Zm00001eb002550	Peflin/Peflin/Sorcin/
Zm00001eb002390	pink		Zm00001eb002560	Thiol-disulfide oxidoreductase LTO1/
Zm00001eb002420	green		Zm00001eb002610	Putative serine/threonine-protein kinase/Putative serine/threonine-protein kinase/Protein kinase domain-containing protein/
Zm00001eb002430	blue		Zm00001eb002640	40S ribosomal protein SA/40S ribosomal protein SA/40S ribosomal protein Sa-1/Acidic ribosomal protein P40/
Zm00001eb002480	brown		Zm00001eb002660	NAC-transcription factor 53/NAC-transcription factor 53/NAC domain-containing protein 35/Uncharacterized protein/Putative NAC domain transcription factor superfamily protein/
Zm00001eb002490	cyan		Zm00001eb002740	Serine O-acetyltransferase (EC 2.3.1.30)/Serine O-acetyltransferase (EC 2.3.1.30)/Serine acetyltransferase 4/
Zm00001eb002520	brown		Zm00001eb002760	Cytochrome P450 CYP78A55/Cytochrome P450 CYP78A55/Cytochrome P450 78A6/Uncharacterized protein/
Zm00001eb002540	blue		Zm00001eb002800	Glutathione transferase (EC 2.5.1.18)/
Zm00001eb002550	turquoise		Zm00001eb002830	Transcription factor bHLH93/Transcription factor bHLH93/DNA binding protein/BHLH transcription factor/
Zm00001eb002560	cyan		Zm00001eb002870	Uncharacterized protein/
Zm00001eb002610	blue		Zm00001eb002910	Uncharacterized protein/
Zm00001eb002640	green		Zm00001eb002940	Heat shock protein binding protein/Heat shock protein binding protein/Pre-mRNA-splicing factor cwf23/
Zm00001eb002660	green		Zm00001eb003020	Protein-serine/threonine phosphatase (EC 3.1.3.16)/
Zm00001eb002740	pink		Zm00001eb003070	Outer mitochondrial membrane porin1/Outer mitochondrial membrane porin1/Mitochondrial outer membrane protein porin 4/Mitochondrial outer membrane protein porin 6/Outer mitochondrial membrane protein porin/
Zm00001eb002760	cyan		Zm00001eb003110	Cyclin-dependent kinase inhibitor/Cyclin-dependent kinase inhibitor/
Zm00001eb002800	blue		Zm00001eb003130	Uncharacterized protein/Uncharacterized protein/Uncharacterized protein (Fragment)/Vegetative storage protein/Pentatricopeptide repeat-containing protein/
Zm00001eb002830	brown		Zm00001eb003350	Glutamyl-tRNA synthetase (EC 6.1.1.17)/Glutamyl-tRNA synthetase (EC 6.1.1.17)/Glutamate--tRNA ligase cytoplasmic/Glutamyl-tRNA synthetase (EC 6.1.1.17) (Fragment)/Uncharacterized protein/
Zm00001eb002870	turquoise		Zm00001eb003440	Beta-amylase (EC 3.2.1.2)/
Zm00001eb002910	blue		Zm00001eb003460	Zinc finger (C3HC4-type RING finger) family protein/Zinc finger (C3HC4-type RING finger) family protein/Uncharacterized protein sll0103/
Zm00001eb002940	green		Zm00001eb003490	Multidrug resistance-associated protein 4/Multidrug resistance-associated protein 4/ABC transporter C family MRP4/ABC transporter C family MRP4 (EC 7.-.-.-) (Multidrug resistance-associated protein 4) (ZmMRP4) (Protein LOW PHYTIC ACID 1)/
Zm00001eb003020	blue		Zm00001eb003510	S-adenosyl-L-methionine-dependent methyltransferase superfamily protein/S-adenosyl-L-methionine-dependent methyltransferase superfamily protein/Methyltransferase-like protein 6/Methyltransf_12 domain-containing protein/
Zm00001eb003040	brown		Zm00001eb003550	Protein PIR/Protein PIR/Uncharacterized protein/
Zm00001eb003070	brown		Zm00001eb003570	"30S ribosomal protein S19, chloroplastic/"
Zm00001eb003110	blue		Zm00001eb003580	Uncharacterized protein/
Zm00001eb003130	pink		Zm00001eb003690	Tankyrase 1/Tankyrase 1/BRCA1-associated RING domain protein 1/Ankyrin_rpt-contain_dom domain-containing protein/
Zm00001eb003330	turquoise		Zm00001eb003700	CHY-type/CTCHY-type/RING-type Zinc finger protein/CHY-type/CTCHY-type/RING-type Zinc finger protein/E3 ubiquitin-protein ligase MIEL1/Uncharacterized protein/
Zm00001eb003350	tan		Zm00001eb003750	Cyclin-dependent kinases regulatory subunit/
Zm00001eb003440	green		Zm00001eb003850	Mitochondrial inner membrane protease subunit 2/
Zm00001eb003460	blue		Zm00001eb003860	UPF0496 protein 3/UPF0496 protein 3/UPF0496 protein/
Zm00001eb003490	turquoise		Zm00001eb003870	Uncharacterized protein/
Zm00001eb003510	green		Zm00001eb003900	Metal regulatory transcription factor 1/Metal regulatory transcription factor 1/Lysine-specific demethylase SE14/
Zm00001eb003550	turquoise		Zm00001eb003930	HR-like lesion-inducing protein-related/HR-like lesion-inducing protein-related/Uncharacterized protein/HR-like lesion-inducing protein-related (Nicotiana lesion-inducing like)/
Zm00001eb003570	turquoise		Zm00001eb003970	Protein KINESIN LIGHT CHAIN-RELATED 1/Protein KINESIN LIGHT CHAIN-RELATED 1/Tetratricopeptide repeat (TPR)-like superfamily protein/
Zm00001eb003580	turquoise		Zm00001eb004030	Proteasome subunit alpha type-2-B/Proteasome subunit alpha type-2-B/Proteasome subunit alpha type/
Zm00001eb003690	blue		Zm00001eb004050	"Solanesyl diphosphate synthase 2 chloroplastic/Solanesyl diphosphate synthase 2 chloroplastic/Putative solanesyl-diphosphate synthase 3, chloroplastic/Mitogen-activated protein kinase (EC 2.7.11.24)/Pentatricopeptide repeat-containing protein/Uncharacterized protein/"
Zm00001eb003700	brown		Zm00001eb004120	Appr-1-p processing enzyme family protein/Appr-1-p processing enzyme family protein/Protein GDAP2/
Zm00001eb003750	pink		Zm00001eb004170	Cell division control protein 48 homolog D/Cell division control protein 48 homolog D/Cell division cycle protein 48/Cell division control protein 48 E/Uncharacterized protein/
Zm00001eb003820	turquoise		Zm00001eb004260	Expansin/
Zm00001eb003850	brown		Zm00001eb004300	Heavy metal-associated isoprenylated plant protein 27/
Zm00001eb003860	brown		Zm00001eb004320	Protein MID1-COMPLEMENTING ACTIVITY 1 (Fragment)/Protein MID1-COMPLEMENTING ACTIVITY 1 (Fragment)/Cell number regulator 13/Uncharacterized protein/Cell number regulator 13 (ZmCNR13)/
Zm00001eb003870	green		Zm00001eb004370	Protein RRP6-like 2/Protein RRP6-like 2/Uncharacterized protein/
Zm00001eb003900	green		Zm00001eb004400	LOS4 (Fragment)/LOS4 (Fragment)/DEAD-box ATP-dependent RNA helicase 38/Uncharacterized protein/ATP-dependent RNA helicase DBP5 (DEAD-box ATP-dependent RNA helicase 38)/ATP-dependent RNA helicase DBP5/
Zm00001eb003930	brown		Zm00001eb004410	"Photosynthetic NDH subunit of subcomplex B 2, chloroplastic/"
Zm00001eb003970	turquoise		Zm00001eb004440	Putative receptor-like protein kinase/Putative receptor-like protein kinase/Putative serine/threonine-protein kinase PBL16/
Zm00001eb004030	turquoise		Zm00001eb004480	Pentatricopeptide repeat-containing protein/Pentatricopeptide repeat-containing protein/Uncharacterized protein/
Zm00001eb004050	blue		Zm00001eb004510	Uncharacterized protein/
Zm00001eb004080	turquoise		Zm00001eb004540	Putative RNA helicase SDE3/
Zm00001eb004120	blue		Zm00001eb004570	tRNA (Guanine-N-7) methyltransferase/tRNA (Guanine-N-7) methyltransferase/SH2 domain protein B/tRNA (Guanine-N(7)-)-methyltransferase/Uncharacterized protein/
Zm00001eb004170	brown		Zm00001eb004650	Epidermal patterning factor-like protein/
Zm00001eb004260	paleturquoise		Zm00001eb004660	"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase (EC 1.13.11.54) (Acireductone dioxygenase (Fe(2+)-requiring)) (ARD) (Fe-ARD)/"
Zm00001eb004300	turquoise		Zm00001eb004750	Plant-specific domain TIGR01615 family protein/Plant-specific domain TIGR01615 family protein/Uncharacterized protein/
Zm00001eb004320	blue		Zm00001eb004780	Putative ion channel POLLUX-like 2/
Zm00001eb004370	tan		Zm00001eb004890	Uncharacterized protein/Uncharacterized protein/Transcription initiation factor TFIID subunit 4b/
Zm00001eb004400	tan		Zm00001eb004900	Uncharacterized protein/
Zm00001eb004410	lightsteelblue1		Zm00001eb005000	Pentatricopeptide repeat-containing protein/
Zm00001eb004440	brown		Zm00001eb005010	DNA topoisomerase (EC 5.6.2.1)/
Zm00001eb004480	tan		Zm00001eb005060	Phosphopantothenoylcysteine decarboxylase/Phosphopantothenoylcysteine decarboxylase/Putative phosphopantothenoylcysteine decarboxylase/Flavoprotein domain-containing protein/
Zm00001eb004510	pink		Zm00001eb005100	Pollenless3/Pollenless3/Protein SULFUR DEFICIENCY-INDUCED 1/
Zm00001eb004540	green		Zm00001eb005110	Glycerol-3-phosphate acyltransferase 5/Glycerol-3-phosphate acyltransferase 5/Glycerol-3-phosphate 2-O-acyltransferase 6/
Zm00001eb004570	brown		Zm00001eb005210	"Uncharacterized protein/Uncharacterized protein/Sigma factor binding protein 1, chloroplastic/VQ motif family protein/VQ domain-containing protein/"
Zm00001eb004650	green		Zm00001eb005280	Pentatricopeptide repeat-containing protein/
Zm00001eb004660	brown		Zm00001eb005320	"50S ribosomal protein L32, chloroplastic/"
Zm00001eb004750	blue		Zm00001eb005350	Pentatricopeptide repeat-containing protein chloroplastic/Pentatricopeptide repeat-containing protein chloroplastic/Pentatricopeptide repeat-containing protein/
Zm00001eb004780	blue		Zm00001eb005440	Homeobox-leucine zipper protein HOX21/Homeobox-leucine zipper protein HOX21/Homeobox-leucine zipper protein HAT7/HB transcription factor (Homeobox-transcription factor 102) (Fragment)/
Zm00001eb004890	turquoise		Zm00001eb005450	Glutaredoxin domain-containing protein/Glutaredoxin domain-containing protein/Glutaredoxin family protein/
Zm00001eb004900	turquoise		Zm00001eb005460	Sucrose transporter1/Sucrose transporter1/Sucrose transport protein SUC3/Sucrose transport protein SUT1/Uncharacterized protein/Sucrose Transporter/
Zm00001eb004920	cyan		Zm00001eb005580	Cystatin domain-containing protein/
Zm00001eb004960	turquoise		Zm00001eb005630	Polyadenylate-binding protein RBP47B/Polyadenylate-binding protein RBP47B/RNA-binding post-transcriptional regulator csx1/
Zm00001eb005000	blue		Zm00001eb005660	"Adenylosuccinate synthetase, chloroplastic (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)/"
Zm00001eb005010	blue		Zm00001eb005670	tRNA-5-taurinomethyluridine 2-sulfurtransferase (EC 2.8.1.14)/tRNA-5-taurinomethyluridine 2-sulfurtransferase (EC 2.8.1.14)/Transferase/
Zm00001eb005060	turquoise		Zm00001eb005680	Uncharacterized protein/
Zm00001eb005100	tan		Zm00001eb005700	Mitochondrial substrate carrier family protein/Mitochondrial substrate carrier family protein/Solute carrier family 25 member 44/Uncharacterized protein/
Zm00001eb005110	brown		Zm00001eb005710	"Omega-amidase chloroplastic/Omega-amidase chloroplastic/Omega-amidase, chloroplastic/"
Zm00001eb005120	green		Zm00001eb005740	AP2-EREBP-type transcription factor/AP2-EREBP-type transcription factor/AP2-like ethylene-responsive transcription factor AIL1/
Zm00001eb005150	brown		Zm00001eb005770	Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger domain/Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger domain/TDBD domain-containing protein/Increased DNA methylation 1/N-acetyltransferase domain-containing protein/
Zm00001eb005210	blue		Zm00001eb005800	Uncharacterized protein/
Zm00001eb005280	green		Zm00001eb005810	Putative membrane lipoprotein/Putative membrane lipoprotein/Uncharacterized protein/
Zm00001eb005320	brown		Zm00001eb005820	Copper-transporting ATPase PAA2 chloroplastic/Copper-transporting ATPase PAA2 chloroplastic/
Zm00001eb005350	green		Zm00001eb005840	Compact plant2/Compact plant2/Guanine nucleotide-binding protein alpha-1 subunit/Compact plant2 (Guanine nucleotide-binding protein alpha-1 subunit)/Uncharacterized protein/
Zm00001eb005440	blue		Zm00001eb005850	Catalytic/ hydrolase/Catalytic/ hydrolase/AB hydrolase-1 domain-containing protein/
Zm00001eb005450	tan		Zm00001eb005860	Alpha/beta-Hydrolases superfamily protein/Alpha/beta-Hydrolases superfamily protein/AB hydrolase-1 domain-containing protein/Hydrolase/
Zm00001eb005460	pink		Zm00001eb005900	Root-specific kinase 1/Root-specific kinase 1/Serine/threonine-protein kinase RIPK/
Zm00001eb005510	turquoise		Zm00001eb005920	Lipoxygenase (EC 1.13.11.-)/
Zm00001eb005580	turquoise		Zm00001eb005980	Protein TIFY 11a/Protein TIFY 11a/Protein TIFY 11b/Jasmonate ZIM domain protein/ZIM motif family protein/TIFY1 (ZIM motif family protein) (ZIM transcription factor)/Putative tify domain/CCT motif transcription factor family protein (TIFY29) (ZIM transcription factor)/
Zm00001eb005630	pink		Zm00001eb005990	Protein TIFY 11c/Protein TIFY 11c/PnFL-2 (TIFY3)/TIFY2 (ZIM transcription factor)/Protein TIFY 10B/
Zm00001eb005660	green		Zm00001eb006010	Ubiquitin carboxyl-terminal hydrolase family protein/Ubiquitin carboxyl-terminal hydrolase family protein/Protein ROOT PRIMORDIUM DEFECTIVE 1/PORR domain-containing protein/
Zm00001eb005670	tan		Zm00001eb006020	3-ketoacyl-CoA synthase (EC 2.3.1.-)/3-ketoacyl-CoA synthase (EC 2.3.1.-)/Fiddlehead-like protein/Very-long-chain 3-oxoacyl-CoA synthase (EC 2.3.1.199)/
Zm00001eb005680	turquoise		Zm00001eb006040	DUF936 family protein/DUF936 family protein/Uncharacterized protein/
Zm00001eb005700	pink		Zm00001eb006080	Phosphoinositide phosphatase SAC2/Phosphoinositide phosphatase SAC2/SAC domain-containing protein/
Zm00001eb005710	turquoise		Zm00001eb006150	Eukaryotic translation initiation factor 3 subunit K (eIF3k) (eIF-3 p25)/Eukaryotic translation initiation factor 3 subunit K (eIF3k) (eIF-3 p25)/CSN8_PSD8_EIF3K domain-containing protein/
Zm00001eb005740	blue		Zm00001eb006160	Ethylene-responsive transcription factor 1/Ethylene-responsive transcription factor 1/AP2-EREBP transcription factor/Uncharacterized protein/
Zm00001eb005770	pink		Zm00001eb006300	"Phytoene dehydrogenase (EC 1.3.5.5)/Phytoene dehydrogenase (EC 1.3.5.5)/15-cis-phytoene desaturase chloroplastic/chromoplastic/Phytoene dehydrogenase, chloroplastic/chromoplastic/15-cis-phytoene desaturase, chloroplastic/chromoplastic (EC 1.3.5.5) (Phytoene dehydrogenase) (Phytoene desaturase)/"
Zm00001eb005800	cyan		Zm00001eb006310	Uncharacterized protein/Uncharacterized protein/15-cis-phytoene desaturase chloroplastic/chromoplastic/
Zm00001eb005810	pink		Zm00001eb006380	NAD(P)-binding Rossmann-fold superfamily protein/NAD(P)-binding Rossmann-fold superfamily protein/Putative dihydroflavonol 4-reductase/Dihydroflavonol-4-reductase (NAD(P)-binding Rossmann-fold superfamily protein)/Uncharacterized protein/Dihydroflavonol-4-reductase/
Zm00001eb005820	pink		Zm00001eb006390	Alpha/beta-Hydrolases superfamily protein/Alpha/beta-Hydrolases superfamily protein/Protein SERAC1/Uncharacterized protein/
Zm00001eb005840	blue		Zm00001eb006410	Hydroxycinnamoyltransferase1/Hydroxycinnamoyltransferase1/Tryptamine benzoyltransferase 1/
Zm00001eb005850	green		Zm00001eb006520	Intron maturase type II family protein/Intron maturase type II family protein/Putative mitochondrial protein ymf11/
Zm00001eb005860	blue		Zm00001eb006570	Transducin family protein / WD-40 repeat family protein/Transducin family protein / WD-40 repeat family protein/WD and tetratricopeptide repeats protein 1/
Zm00001eb005900	pink		Zm00001eb006590	Uncharacterized protein/
Zm00001eb005920	turquoise		Zm00001eb006600	"Cullin-associated NEDD8-dissociated protein 1/Cullin-associated NEDD8-dissociated protein 1/Protein kinase APK1B chloroplastic/Zeaxanthin epoxidase, chloroplastic/Luminal-binding protein 3/"
Zm00001eb005980	brown		Zm00001eb006660	Protein DETOXIFICATION 27/Protein DETOXIFICATION 27/Protein DETOXIFICATION (Multidrug and toxic compound extrusion protein)/Uncharacterized protein/
Zm00001eb005990	lightsteelblue1		Zm00001eb006760	Alcohol dehydrogenase-like 2/Alcohol dehydrogenase-like 2/Alcohol dehydrogenase-like 7/Uncharacterized protein/ADH_N domain-containing protein/Alcohol dehydrogenase 1/
Zm00001eb006010	turquoise		Zm00001eb006770	Alcohol dehydrogenase-like 2/Alcohol dehydrogenase-like 2/Alcohol dehydrogenase-like 7/
