ENSEMBL_GeneID,C_6_Tol_1,C_6_Tol_2,T_6_Tol_1,T_6_Tol_2
Zm00001eb001510,154,122,166,202
Zm00001eb001520,18,14,5,7
Zm00001eb001530,174,183,364,338
Zm00001eb001550,101,113,130,114
Zm00001eb001560,1406,1433,1108,1020
Zm00001eb001570,669,740,478,518
Zm00001eb001580,0,0,0,0
Zm00001eb001590,19,21,30,14
Zm00001eb001600,38,18,9,18
Zm00001eb001610,0,0,0,0
Zm00001eb001620,0,0,0,0
Zm00001eb001630,79,68,81,77
Zm00001eb001640,243,240,179,175
Zm00001eb001650,211,199,293,255
Zm00001eb001660,0,0,0,2
Zm00001eb001670,27,25,25,19
Zm00001eb001680,1003,983,1249,1303
Zm00001eb001690,13,16,12,13
Zm00001eb001700,152,147,306,280
Zm00001eb001710,301,310,669,641
Zm00001eb001720,390,409,329,332
Zm00001eb001740,0,0,0,0
Zm00001eb001760,88,110,79,83
Zm00001eb001770,58,79,84,95
Zm00001eb001780,57,85,36,35
Zm00001eb001790,0,0,0,2
Zm00001eb001800,0,0,0,0
Zm00001eb001810,262,283,248,240
Zm00001eb001820,17,21,15,18
Zm00001eb001830,64,56,70,77
Zm00001eb001840,186,181,105,97
Zm00001eb001860,596,633,1240,1182
Zm00001eb001870,331,330,391,415
Zm00001eb001880,486,488,422,437
Zm00001eb001890,41,42,48,58
Zm00001eb001900,89,102,109,124
Zm00001eb001910,508,566,579,597
Zm00001eb001920,10,22,46,30
Zm00001eb001940,515,544,763,758
Zm00001eb001950,314,376,214,198
Zm00001eb001960,0,0,1,2
Zm00001eb001970,0,0,0,0
Zm00001eb001980,120,139,219,224
Zm00001eb001990,17,24,23,23
Zm00001eb002000,277,251,414,468
Zm00001eb002010,37,43,75,71
Zm00001eb002020,88,99,113,101
Zm00001eb002030,113,107,176,148
Zm00001eb002040,440,478,574,592
Zm00001eb002050,5,7,2,1
Zm00001eb002060,1969,2074,2937,2955
Zm00001eb002070,72,75,90,86
Zm00001eb002080,1,4,2,2
Zm00001eb002090,781,807,589,579
Zm00001eb002100,480,514,770,813
Zm00001eb002140,0,0,0,0
Zm00001eb002150,9,4,3,0
Zm00001eb002170,232,221,330,328
Zm00001eb002180,958,983,911,908
Zm00001eb002190,3,5,6,12
Zm00001eb002200,40,35,59,68
Zm00001eb002210,0,0,2,2
Zm00001eb002220,1344,1317,2053,2128
Zm00001eb002240,38,35,37,44
Zm00001eb002250,6,6,4,6
Zm00001eb002260,1140,1156,1286,1389
Zm00001eb002270,308,289,186,209
Zm00001eb002280,1,0,2,1
Zm00001eb002290,0,1,1,0
Zm00001eb002300,1,2,0,0
Zm00001eb002310,22,27,48,45
Zm00001eb002320,1484,1410,2100,2086
Zm00001eb002330,3,3,14,13
Zm00001eb002340,0,0,0,0
Zm00001eb002350,0,0,0,0
Zm00001eb002360,1,1,0,1
Zm00001eb002370,0,0,0,0
Zm00001eb002380,10,11,6,3
Zm00001eb002390,673,676,1342,1333
Zm00001eb002410,0,0,0,0
Zm00001eb002420,672,698,1472,1391
Zm00001eb002430,604,645,919,937
Zm00001eb002440,175,178,239,232
Zm00001eb002450,142,147,132,120
Zm00001eb002460,131,139,107,132
Zm00001eb002470,81,40,63,41
Zm00001eb002480,6,10,5,4
Zm00001eb002490,568,488,559,610
Zm00001eb002510,132,133,111,113
Zm00001eb002520,411,440,998,1065
Zm00001eb002530,878,871,927,869
Zm00001eb002540,199,195,335,344
Zm00001eb002550,381,398,446,471
Zm00001eb002560,207,167,145,165
Zm00001eb002570,512,458,398,377
Zm00001eb002590,1578,1577,1779,1816
Zm00001eb002600,36,33,29,20
Zm00001eb002610,392,430,371,390
Zm00001eb002620,2449,2485,3001,3196
Zm00001eb002640,1439,1400,2709,2807
Zm00001eb002650,0,0,0,0
Zm00001eb002660,44,74,16,14
Zm00001eb002680,90,70,157,151
Zm00001eb002690,479,475,290,299
Zm00001eb002700,0,0,0,1
Zm00001eb002710,0,0,0,0
Zm00001eb002720,0,0,0,0
Zm00001eb002730,0,0,0,0
Zm00001eb002740,420,428,476,505
Zm00001eb002750,0,0,0,0
Zm00001eb002760,81,90,166,182
Zm00001eb002770,0,0,0,0
Zm00001eb002780,1020,938,675,744
Zm00001eb002790,685,770,966,972
Zm00001eb002800,975,935,1230,1170
Zm00001eb002810,655,655,840,875
Zm00001eb002820,170,174,204,208
Zm00001eb002830,388,406,662,686
Zm00001eb002840,0,0,0,0
Zm00001eb002850,0,0,0,0
Zm00001eb002860,3,4,0,2
Zm00001eb002870,21,20,10,16
Zm00001eb002880,0,0,0,0
Zm00001eb002890,0,0,0,0
Zm00001eb002900,1,0,0,0
Zm00001eb002910,238,247,333,391
Zm00001eb002920,63,91,133,114
Zm00001eb002930,47,46,24,30
Zm00001eb002940,128,177,270,271
Zm00001eb002950,141,136,253,276
Zm00001eb002960,2049,2122,2217,2248
Zm00001eb002970,6,2,1,2
Zm00001eb002980,13,8,28,21
Zm00001eb002990,0,0,0,0
Zm00001eb003000,119,145,150,157
Zm00001eb003010,264,249,267,256
Zm00001eb003020,223,229,162,170
Zm00001eb003030,228,254,274,269
Zm00001eb003040,71,76,124,139
Zm00001eb003050,0,0,0,0
Zm00001eb003060,0,0,0,0
Zm00001eb003070,307,295,514,533
Zm00001eb003080,112,145,111,126
Zm00001eb003090,6,11,7,5
Zm00001eb003100,0,0,0,0
Zm00001eb003110,108,133,67,54
Zm00001eb003120,1,0,0,0
Zm00001eb003130,81,71,116,117
Zm00001eb003140,21,11,36,27
Zm00001eb003150,2,2,3,2
Zm00001eb003160,1,1,1,0
Zm00001eb003170,731,726,595,549
Zm00001eb003180,2953,2852,5100,4996
Zm00001eb003190,89,97,134,164
Zm00001eb003200,46,51,30,44
Zm00001eb003210,7,7,6,4
Zm00001eb003220,0,0,0,0
Zm00001eb003230,0,0,0,0
Zm00001eb003240,598,649,593,660
Zm00001eb003270,0,0,0,0
Zm00001eb003280,0,0,0,0
Zm00001eb003290,0,0,0,0
Zm00001eb003300,0,1,0,0
Zm00001eb003310,4,3,10,1
Zm00001eb003330,9,2,4,2
Zm00001eb003340,15,10,11,15
Zm00001eb003350,1089,1106,2016,2015
Zm00001eb003360,581,559,739,725
Zm00001eb003370,0,0,0,0
Zm00001eb003380,1,0,0,0
Zm00001eb003390,0,0,0,0
Zm00001eb003400,5,1,1,5
Zm00001eb003420,757,789,1536,1533
Zm00001eb003440,1113,1190,2495,2544
Zm00001eb003450,5,6,3,1
Zm00001eb003460,37,39,8,22
Zm00001eb003470,276,251,687,702
Zm00001eb003480,564,581,375,319
Zm00001eb003490,3034,2931,3259,3076
Zm00001eb003510,348,323,514,479
Zm00001eb003520,84,89,73,93
Zm00001eb003530,0,0,0,0
Zm00001eb003540,566,591,693,760
Zm00001eb003550,1651,1561,2099,2043
Zm00001eb003560,14,7,3,1
Zm00001eb003570,3,5,2,1
Zm00001eb003580,188,186,243,225
Zm00001eb003590,0,0,0,0
Zm00001eb003600,3,4,6,11
Zm00001eb003610,8,7,8,10
Zm00001eb003620,10,15,22,17
Zm00001eb003630,16,22,13,19
Zm00001eb003650,448,516,622,584
Zm00001eb003660,455,470,397,383
Zm00001eb003670,192,168,185,182
Zm00001eb003680,2,0,1,4
Zm00001eb003690,652,649,880,950
Zm00001eb003700,366,351,332,298
Zm00001eb003710,0,0,0,0
Zm00001eb003720,0,0,0,0
Zm00001eb003730,33924,33419,29671,29850
Zm00001eb003740,0,0,0,0
Zm00001eb003750,117,138,139,131
Zm00001eb003760,77,80,77,58
Zm00001eb003770,2,2,1,0
Zm00001eb003780,135,117,76,62
Zm00001eb003790,2,1,1,1
Zm00001eb003800,0,0,0,0
Zm00001eb003810,1051,997,1229,1273
Zm00001eb003820,44,60,125,126
Zm00001eb003830,1756,1747,2034,1924
Zm00001eb003840,554,564,759,717
Zm00001eb003850,91,93,151,142
Zm00001eb003860,29,25,21,21
Zm00001eb003870,40,48,17,24
Zm00001eb003880,261,258,322,381
Zm00001eb003890,262,229,288,332
Zm00001eb003900,60,54,73,89
Zm00001eb003910,51,66,104,124
Zm00001eb003920,7,9,20,26
Zm00001eb003930,1842,1844,2660,2658
Zm00001eb003940,0,0,0,0
Zm00001eb003950,0,0,0,0
Zm00001eb003960,8,7,4,8
Zm00001eb003970,185,169,172,194
Zm00001eb004000,59,66,66,94
Zm00001eb004020,0,0,1,0
Zm00001eb004030,1052,1103,1640,1641
Zm00001eb004040,0,0,0,0
Zm00001eb004050,166,181,296,291
Zm00001eb004060,0,0,0,0
Zm00001eb004070,0,0,0,0
Zm00001eb004080,3,1,8,3
Zm00001eb004090,358,383,684,606
Zm00001eb004100,0,0,0,0
Zm00001eb004110,0,0,0,0
Zm00001eb004120,817,770,977,977
Zm00001eb004130,0,0,0,0
Zm00001eb004140,43,47,44,35
Zm00001eb004150,0,0,0,0
Zm00001eb004160,272,289,286,309
Zm00001eb004170,1549,1442,1525,1549
Zm00001eb004180,62,64,62,65
Zm00001eb004190,118,100,159,164
Zm00001eb004200,5,4,0,0
Zm00001eb004210,603,542,389,411
Zm00001eb004220,0,0,0,0
Zm00001eb004230,0,0,0,0
Zm00001eb004240,136,132,87,104
Zm00001eb004250,136,122,139,139
Zm00001eb004260,30,30,15,17
Zm00001eb004280,8,6,5,0
Zm00001eb004290,638,642,557,537
Zm00001eb004300,1,3,0,2
Zm00001eb004310,311,285,170,190
Zm00001eb004320,320,302,559,574
Zm00001eb004330,2,5,1,3
Zm00001eb004340,71,56,49,69
Zm00001eb004350,0,0,0,0
Zm00001eb004360,1,0,0,0
Zm00001eb004370,708,664,689,705
Zm00001eb004380,0,0,0,0
Zm00001eb004390,0,0,0,0
Zm00001eb004400,907,866,1263,1240
Zm00001eb004410,26,18,18,20
Zm00001eb004420,5325,5535,4745,4829
Zm00001eb004430,368,322,403,439
Zm00001eb004440,145,155,267,275
Zm00001eb004450,0,0,0,0
Zm00001eb004460,0,0,0,0
Zm00001eb004470,102,99,222,240
Zm00001eb004480,51,52,26,48
Zm00001eb004490,315,292,215,257
Zm00001eb004500,328,353,229,238
Zm00001eb004510,39,44,39,34
Zm00001eb004530,8,5,18,7
Zm00001eb004540,199,203,135,113
Zm00001eb004550,2362,2259,1740,1725
Zm00001eb004560,63,45,23,33
Zm00001eb004570,136,155,161,157
Zm00001eb004590,106,107,122,118
Zm00001eb004600,0,0,0,0
Zm00001eb004610,0,0,1,0
Zm00001eb004630,109,135,64,42
Zm00001eb004640,0,0,0,0
Zm00001eb004650,34,37,156,161
Zm00001eb004660,2337,2357,2883,2838
Zm00001eb004670,7,4,10,5
Zm00001eb004690,0,0,0,0
Zm00001eb004710,1,1,0,0
Zm00001eb004720,0,0,0,0
Zm00001eb004730,0,0,0,0
Zm00001eb004740,0,0,0,0
Zm00001eb004750,5,17,14,18
Zm00001eb004760,50,61,122,156
Zm00001eb004770,76,72,46,47
Zm00001eb004780,225,215,279,306
Zm00001eb004790,472,489,537,542
Zm00001eb004800,0,0,0,0
Zm00001eb004810,0,0,0,0
Zm00001eb004820,0,0,0,0
Zm00001eb004830,0,0,0,0
Zm00001eb004840,0,0,0,0
Zm00001eb004850,0,0,0,0
Zm00001eb004860,0,0,0,0
Zm00001eb004880,0,1,0,0
Zm00001eb004890,0,0,0,0
Zm00001eb004900,0,0,0,0
Zm00001eb004920,21,27,26,30
Zm00001eb004940,386,359,462,408
Zm00001eb004950,2,1,3,0
Zm00001eb004960,3,12,6,11
Zm00001eb004970,0,0,0,0
Zm00001eb004980,1,0,0,0
Zm00001eb004990,190,179,191,170
Zm00001eb005000,74,71,63,47
Zm00001eb005010,164,174,206,184
Zm00001eb005020,584,581,549,521
Zm00001eb005030,389,394,290,284
Zm00001eb005040,0,0,2,3
Zm00001eb005060,43,46,38,28
Zm00001eb005070,959,1084,687,713
Zm00001eb005080,0,0,0,0
Zm00001eb005100,32,26,23,17
Zm00001eb005110,17,9,13,5
Zm00001eb005120,78,82,125,109
Zm00001eb005130,946,952,1204,1101
Zm00001eb005140,744,779,1111,1174
Zm00001eb005150,4,4,5,7
Zm00001eb005160,0,1,2,1
Zm00001eb005170,4,3,0,1
Zm00001eb005180,0,0,0,0
Zm00001eb005190,382,357,520,556
Zm00001eb005200,0,0,0,0
Zm00001eb005210,5,7,11,10
Zm00001eb005220,696,691,1278,1285
Zm00001eb005230,110,108,149,142
Zm00001eb005240,1,1,0,0
Zm00001eb005250,26,23,44,31
Zm00001eb005260,0,0,0,0
Zm00001eb005270,13,16,12,12
Zm00001eb005280,333,317,222,223
Zm00001eb005290,0,0,1,1
Zm00001eb005300,0,1,8,8
Zm00001eb005310,25,23,25,31
Zm00001eb005320,285,279,503,510
Zm00001eb005330,856,769,1058,1007
Zm00001eb005340,174,188,150,103
Zm00001eb005350,4,6,19,8
Zm00001eb005360,20,29,18,14
Zm00001eb005370,208,210,228,246
Zm00001eb005380,29,29,61,58
Zm00001eb005390,118,113,139,107
Zm00001eb005400,321,373,367,353
Zm00001eb005410,0,0,0,0
Zm00001eb005420,153,191,141,130
Zm00001eb005430,509,513,731,677
Zm00001eb005440,175,117,138,146
Zm00001eb005450,10,16,7,15
Zm00001eb005460,1056,1126,1203,1273
Zm00001eb005470,0,0,0,0
Zm00001eb005480,5,3,1,2
Zm00001eb005490,10,3,1,0
Zm00001eb005500,152,170,187,218
Zm00001eb005510,2,11,8,9
Zm00001eb005530,615,600,570,570
Zm00001eb005540,46,54,65,70
Zm00001eb005550,2633,2575,3554,3561
Zm00001eb005560,0,0,0,0
Zm00001eb005570,24,17,3,3
Zm00001eb005580,3,7,14,12
Zm00001eb005590,0,0,13,4
Zm00001eb005600,174,170,357,355
Zm00001eb005610,0,0,0,0
Zm00001eb005630,437,489,539,534
Zm00001eb005640,20,15,54,28
Zm00001eb005650,6,10,0,0
Zm00001eb005660,1098,1247,2172,2203
Zm00001eb005670,109,124,87,76
Zm00001eb005680,87,128,135,144
Zm00001eb005690,153,134,87,83
Zm00001eb005700,343,313,488,513
Zm00001eb005710,298,338,256,305
Zm00001eb005740,9,6,3,7
Zm00001eb005760,56,43,78,97
Zm00001eb005770,170,166,175,163
Zm00001eb005780,47,30,36,41
Zm00001eb005800,7,5,2,2
Zm00001eb005810,18,13,22,39
Zm00001eb005820,474,518,490,481
Zm00001eb005830,9,5,5,7
Zm00001eb005840,436,527,1084,1054
Zm00001eb005850,206,192,219,215
Zm00001eb005860,208,206,208,293
Zm00001eb005870,0,0,0,0
Zm00001eb005890,22,38,38,27
Zm00001eb005900,113,101,119,131
Zm00001eb005920,400,414,363,315
Zm00001eb005930,1,1,2,2
Zm00001eb005940,0,0,0,0
Zm00001eb005950,606,611,848,802
Zm00001eb005960,2138,2126,3306,3218
Zm00001eb005970,42,36,43,43
Zm00001eb005980,24,29,36,39
Zm00001eb005990,71,67,187,156
Zm00001eb006000,393,432,821,822
Zm00001eb006010,46,63,86,62
Zm00001eb006020,4345,4422,3215,3154
Zm00001eb006030,0,0,0,3
Zm00001eb006040,220,231,229,230
Zm00001eb006050,9,6,9,2
Zm00001eb006060,3,5,10,3
Zm00001eb006070,14,16,6,5
Zm00001eb006080,475,446,464,476
Zm00001eb006090,13,13,7,10
Zm00001eb006100,21,13,34,42
Zm00001eb006110,0,0,0,0
Zm00001eb006120,0,0,0,0
Zm00001eb006130,0,0,0,0
Zm00001eb006140,554,502,608,622
Zm00001eb006150,164,206,398,395
Zm00001eb006160,50,78,28,35
Zm00001eb006170,1,4,6,5
Zm00001eb006180,555,549,747,768
Zm00001eb006190,0,0,0,0
Zm00001eb006200,34,25,81,73
Zm00001eb006210,373,396,1464,1572
Zm00001eb006240,0,0,0,0
Zm00001eb006260,3,5,4,3
Zm00001eb006270,749,723,919,957
Zm00001eb006280,3,3,2,0
Zm00001eb006290,1,1,0,0
Zm00001eb006300,764,734,845,827
Zm00001eb006310,129,129,88,93
Zm00001eb006320,40,52,66,63
Zm00001eb006330,23,27,19,11
Zm00001eb006340,16,12,6,7
Zm00001eb006350,1802,1877,1986,2066
Zm00001eb006360,110,94,136,133
Zm00001eb006370,0,0,0,0
Zm00001eb006380,394,332,304,341
Zm00001eb006390,305,376,301,291
Zm00001eb006400,380,385,458,433
Zm00001eb006410,960,1038,904,885
Zm00001eb006420,191,213,162,159
Zm00001eb006430,3,5,4,0
Zm00001eb006440,451,411,348,322
Zm00001eb006450,191,243,215,206
Zm00001eb006460,0,0,0,0
Zm00001eb006470,569,571,349,314
Zm00001eb006480,17,23,24,13
Zm00001eb006490,0,1,0,0
Zm00001eb006510,436,361,556,579
Zm00001eb006520,55,81,36,26
Zm00001eb006530,836,817,1028,1074
Zm00001eb006540,357,322,415,375
Zm00001eb006550,29,28,37,45
Zm00001eb006560,468,427,609,617
Zm00001eb006570,377,331,373,390
Zm00001eb006590,53,54,66,76
Zm00001eb006600,0,1,1,1
Zm00001eb006610,213,229,118,112
Zm00001eb006620,493,484,453,446
Zm00001eb006630,0,0,1,0
Zm00001eb006640,0,5,0,0
Zm00001eb006650,1,0,2,0
Zm00001eb006660,141,137,186,166
Zm00001eb006670,15,12,10,9
Zm00001eb006680,189,179,247,242
Zm00001eb006690,352,422,467,462
Zm00001eb006700,0,0,0,2
Zm00001eb006710,0,2,0,2
Zm00001eb006720,156,133,181,178
Zm00001eb006730,0,1,1,3
Zm00001eb006740,1,0,0,0
Zm00001eb006760,75,73,141,139
Zm00001eb006770,884,832,1287,1277
Zm00001eb006780,0,2,1,0
Zm00001eb006790,0,0,1,1
Zm00001eb006800,3,3,2,3
Zm00001eb006830,109,108,50,43
Zm00001eb006840,0,0,0,0
Zm00001eb006850,244,241,303,305
Zm00001eb006860,75,101,189,217
Zm00001eb006870,435,472,628,598
Zm00001eb006880,407,363,478,466
Zm00001eb006890,13,28,18,21
Zm00001eb006900,0,0,0,0
Zm00001eb006910,293,283,403,412
Zm00001eb006920,449,480,746,729
Zm00001eb006930,122,148,131,123
Zm00001eb006940,12,23,11,16
Zm00001eb006950,0,0,0,0
Zm00001eb006960,3,1,0,0
Zm00001eb006970,0,0,0,1
Zm00001eb006990,0,0,0,0
Zm00001eb007000,91,136,126,112
Zm00001eb007010,201,217,353,353
Zm00001eb007020,0,0,0,0
Zm00001eb007030,348,330,431,394
Zm00001eb007040,1,0,2,1
Zm00001eb007050,754,796,892,894
Zm00001eb007060,49,48,48,31
Zm00001eb007070,165,156,124,119
Zm00001eb007080,1,3,3,6
Zm00001eb007090,1144,1147,1628,1576
Zm00001eb007100,0,0,0,0
Zm00001eb007110,0,0,0,0
Zm00001eb007120,3,1,0,0
Zm00001eb007130,215,198,264,256
Zm00001eb007140,631,665,799,891
Zm00001eb007150,257,227,355,326
Zm00001eb007160,0,0,0,0
Zm00001eb007170,479,498,565,603
Zm00001eb007180,315,308,419,386
Zm00001eb007190,39,53,38,24
Zm00001eb007200,10,9,12,17
Zm00001eb007220,260,260,278,231
Zm00001eb007230,24,26,28,18
Zm00001eb007240,148,196,294,311
Zm00001eb007250,402,402,932,988
Zm00001eb007270,133,130,279,304
Zm00001eb007280,25,19,37,37
Zm00001eb007290,0,0,0,0
Zm00001eb007300,0,0,0,0
Zm00001eb007310,227,214,167,176
Zm00001eb007320,1446,1417,2064,2102
Zm00001eb007330,0,1,0,0
Zm00001eb007340,0,0,0,0
Zm00001eb007350,0,0,0,0
Zm00001eb007360,0,0,0,0
Zm00001eb007370,0,0,0,0
Zm00001eb007380,0,0,0,0
Zm00001eb007390,0,0,0,0
Zm00001eb007400,0,0,0,0
Zm00001eb007410,0,0,0,0
Zm00001eb007420,0,0,0,0
Zm00001eb007430,0,0,0,0
Zm00001eb007440,124,108,124,134
Zm00001eb007450,0,0,0,0
Zm00001eb007460,0,0,0,0
Zm00001eb007470,184,196,98,129
Zm00001eb007490,0,0,0,0
Zm00001eb007500,1,3,1,1
Zm00001eb007510,558,633,1229,1282
Zm00001eb007540,0,1,0,0
Zm00001eb007550,0,0,0,0
Zm00001eb007560,0,0,0,0
Zm00001eb007570,233,246,190,205
Zm00001eb007580,14,19,12,7
Zm00001eb007590,54,56,146,125
Zm00001eb007600,414,411,550,569
Zm00001eb007610,35,54,19,27
Zm00001eb007630,0,0,1,0
Zm00001eb007640,11,6,14,9
Zm00001eb007650,1029,977,1173,1204
Zm00001eb007670,415,478,900,817
Zm00001eb007680,658,667,1081,1028
Zm00001eb007690,105,101,122,102
Zm00001eb007700,112,127,155,122
Zm00001eb007720,0,1,0,1
Zm00001eb007730,2216,2248,3938,4233
Zm00001eb007740,68,88,43,61
Zm00001eb007750,79,72,74,75
Zm00001eb007760,82,76,76,70
Zm00001eb007770,7,6,11,6
Zm00001eb007780,305,300,487,414
Zm00001eb007790,1,1,0,2
Zm00001eb007800,288,278,296,281
Zm00001eb007810,301,283,430,408
Zm00001eb007820,185,213,229,217
Zm00001eb007830,267,280,359,321
Zm00001eb007840,1,0,2,2
Zm00001eb007850,22,17,27,14
Zm00001eb007860,2414,2338,4224,4172
Zm00001eb007870,120,126,52,58
Zm00001eb007880,0,3,0,2
Zm00001eb007890,0,0,0,0
Zm00001eb007900,55,51,167,176
Zm00001eb007910,1,0,0,2
Zm00001eb007920,117,112,106,93
Zm00001eb007930,153,153,190,178
Zm00001eb007940,8,8,14,6
Zm00001eb007950,5,15,12,21
Zm00001eb007960,179,170,259,248
Zm00001eb007970,1,0,0,1
Zm00001eb007990,2,1,10,8
Zm00001eb008000,0,0,0,0
Zm00001eb008010,127,114,145,128
Zm00001eb008030,93,89,31,23
Zm00001eb008040,283,291,114,124
Zm00001eb008050,0,0,3,1
Zm00001eb008060,946,1028,1393,1393
Zm00001eb008070,177,142,23,38
Zm00001eb008080,372,360,160,148
Zm00001eb008090,193,191,189,163
Zm00001eb008100,224,228,179,176
Zm00001eb008130,83,96,100,70
Zm00001eb008140,434,508,506,467
Zm00001eb008150,92,78,127,160
Zm00001eb008160,125,121,126,149
Zm00001eb008170,420,363,492,497
Zm00001eb008180,0,0,7,4
Zm00001eb008190,0,0,0,0
Zm00001eb008200,567,528,405,412
Zm00001eb008210,0,0,0,0
Zm00001eb008220,0,1,0,1
Zm00001eb008240,31,29,21,26
Zm00001eb008250,4,6,2,3
Zm00001eb008260,0,0,0,0
Zm00001eb008270,22,16,29,29
Zm00001eb008280,0,0,0,0
Zm00001eb008290,27,41,77,62
Zm00001eb008300,0,0,0,0
Zm00001eb008310,392,335,481,455
Zm00001eb008320,0,0,0,0
Zm00001eb008330,2,6,0,5
Zm00001eb008340,1248,1134,1499,1540
Zm00001eb008350,0,0,0,0
Zm00001eb008360,539,578,833,919
Zm00001eb008370,421,398,347,358
Zm00001eb008380,14,12,30,33
Zm00001eb008400,1464,1450,2782,2720
Zm00001eb008410,73,70,103,117
