ENSEMBL_GeneID,C_6_Susc_1,C_6_Susc_2,T_6_Susc_1,T_6_Susc_2
Zm00001eb001900,110,86,153,186
Zm00001eb001910,462,452,634,619
Zm00001eb001920,38,32,18,17
Zm00001eb001940,912,895,1080,1180
Zm00001eb001950,226,239,96,70
Zm00001eb001960,0,0,0,0
Zm00001eb001970,0,0,0,0
Zm00001eb001980,148,155,166,185
Zm00001eb001990,60,45,53,59
Zm00001eb002000,365,371,503,587
Zm00001eb002010,60,63,122,130
Zm00001eb002020,109,111,135,158
Zm00001eb002030,79,97,102,100
Zm00001eb002040,324,292,354,370
Zm00001eb002050,0,1,1,2
Zm00001eb002060,2645,2670,4827,4875
Zm00001eb002070,69,48,50,67
Zm00001eb002080,5,6,4,8
Zm00001eb002090,618,563,502,538
Zm00001eb002100,786,858,1076,1055
Zm00001eb002140,0,0,0,0
Zm00001eb002150,8,9,12,11
Zm00001eb002170,247,235,358,361
Zm00001eb002180,868,935,1115,1077
Zm00001eb002190,5,4,5,12
Zm00001eb002200,50,42,71,68
Zm00001eb002210,1,1,2,1
Zm00001eb002220,1214,1174,2174,2286
Zm00001eb002240,26,28,63,51
Zm00001eb002250,1,0,0,0
Zm00001eb002260,846,850,1094,1063
Zm00001eb002270,352,387,182,175
Zm00001eb002280,1,3,21,17
Zm00001eb002290,0,3,1,1
Zm00001eb002300,0,0,1,0
Zm00001eb002310,27,26,53,32
Zm00001eb002320,1807,1807,2085,2058
Zm00001eb002330,8,4,7,5
Zm00001eb002340,0,0,0,0
Zm00001eb002350,0,1,0,0
Zm00001eb002360,0,0,0,0
Zm00001eb002370,0,0,0,0
Zm00001eb002380,20,14,5,3
Zm00001eb002390,511,534,1080,1023
Zm00001eb002410,1,1,0,0
Zm00001eb002420,552,552,1422,1460
Zm00001eb002430,781,739,963,939
Zm00001eb002440,231,238,252,264
Zm00001eb002450,155,158,133,131
Zm00001eb002460,163,169,131,137
Zm00001eb002470,92,90,65,44
Zm00001eb002480,6,10,2,1
Zm00001eb002490,542,506,524,541
Zm00001eb002510,426,372,96,83
Zm00001eb002520,1096,1040,1900,1885
Zm00001eb002530,977,989,842,846
Zm00001eb002540,222,248,333,310
Zm00001eb002550,293,308,236,304
Zm00001eb002560,158,185,115,128
Zm00001eb002570,456,414,348,298
Zm00001eb002590,2085,1990,1982,1952
Zm00001eb002600,48,35,44,39
Zm00001eb002610,651,650,480,503
Zm00001eb002620,4754,4931,3382,3394
Zm00001eb002640,1212,1248,2492,2622
Zm00001eb002650,0,0,0,0
Zm00001eb002660,118,139,58,62
Zm00001eb002680,68,80,230,178
Zm00001eb002690,375,363,249,288
Zm00001eb002700,0,2,0,0
Zm00001eb002710,0,0,0,0
Zm00001eb002720,0,0,0,0
Zm00001eb002730,0,0,0,0
Zm00001eb002740,473,526,367,375
Zm00001eb002750,0,0,0,0
Zm00001eb002760,137,133,233,246
Zm00001eb002770,0,0,0,0
Zm00001eb002780,957,950,907,896
Zm00001eb002790,1202,1240,903,1057
Zm00001eb002800,1470,1323,1380,1361
Zm00001eb002810,643,676,806,817
Zm00001eb002820,231,210,217,213
Zm00001eb002830,233,214,205,213
Zm00001eb002840,0,0,0,0
Zm00001eb002850,0,0,0,0
Zm00001eb002860,0,0,0,0
Zm00001eb002870,70,73,41,27
Zm00001eb002880,2,0,4,5
Zm00001eb002890,0,0,0,0
Zm00001eb002900,0,1,0,2
Zm00001eb002910,2,1,16,25
Zm00001eb002920,119,117,97,87
Zm00001eb002930,80,85,45,46
Zm00001eb002940,188,182,259,271
Zm00001eb002950,174,184,170,179
Zm00001eb002960,1712,1759,2773,2855
Zm00001eb002970,0,0,0,0
Zm00001eb002980,19,7,9,12
Zm00001eb002990,0,0,0,0
Zm00001eb003000,158,149,203,174
Zm00001eb003010,305,273,293,318
Zm00001eb003020,251,256,261,279
Zm00001eb003030,360,363,265,248
Zm00001eb003040,180,167,159,163
Zm00001eb003050,0,0,0,0
Zm00001eb003060,0,0,0,0
Zm00001eb003070,634,570,940,996
Zm00001eb003080,156,144,146,141
Zm00001eb003090,5,11,11,12
Zm00001eb003100,0,1,2,0
Zm00001eb003110,186,161,123,87
Zm00001eb003120,0,0,0,0
Zm00001eb003130,110,60,165,175
Zm00001eb003140,15,13,35,31
Zm00001eb003150,1,0,0,0
Zm00001eb003160,0,2,0,0
Zm00001eb003170,773,824,461,344
Zm00001eb003180,2403,2568,5873,5716
Zm00001eb003190,198,176,220,201
Zm00001eb003200,25,17,16,22
Zm00001eb003210,4,0,5,3
Zm00001eb003220,0,0,0,0
Zm00001eb003230,0,0,3,0
Zm00001eb003240,965,1031,539,547
Zm00001eb003270,0,0,0,0
Zm00001eb003280,0,0,0,0
Zm00001eb003290,0,0,0,0
Zm00001eb003300,0,0,0,0
Zm00001eb003310,0,0,0,0
Zm00001eb003330,12,15,21,26
Zm00001eb003340,18,21,20,16
Zm00001eb003350,1291,1224,2438,2521
Zm00001eb003360,1046,1081,801,871
Zm00001eb003370,0,0,1,0
Zm00001eb003380,1,1,0,0
Zm00001eb003390,0,0,0,0
Zm00001eb003400,3,0,0,0
Zm00001eb003420,725,746,1764,1725
Zm00001eb003440,1761,1760,2446,2336
Zm00001eb003450,4,1,3,4
Zm00001eb003460,45,58,63,37
Zm00001eb003470,557,569,1070,1088
Zm00001eb003480,775,777,412,368
Zm00001eb003490,2315,2350,2182,2071
Zm00001eb003510,292,296,520,487
Zm00001eb003520,43,32,36,40
Zm00001eb003530,0,0,0,0
Zm00001eb003540,710,661,753,780
Zm00001eb003550,1970,1970,2288,2395
Zm00001eb003560,4,2,4,2
Zm00001eb003570,15,34,38,46
Zm00001eb003580,330,334,287,336
Zm00001eb003590,0,0,0,0
Zm00001eb003600,11,3,5,6
Zm00001eb003610,6,6,7,8
Zm00001eb003620,10,11,21,12
Zm00001eb003630,20,13,25,31
Zm00001eb003650,575,565,525,588
Zm00001eb003660,289,332,237,275
Zm00001eb003670,123,138,187,148
Zm00001eb003680,1,0,13,5
Zm00001eb003690,572,582,773,811
Zm00001eb003700,89,95,87,66
Zm00001eb003710,0,0,0,0
Zm00001eb003720,0,0,0,0
Zm00001eb003730,33559,33729,19386,19398
Zm00001eb003740,0,0,0,0
Zm00001eb003750,109,108,129,106
Zm00001eb003760,155,138,277,219
Zm00001eb003770,0,0,0,0
Zm00001eb003780,100,128,61,66
Zm00001eb003790,0,0,0,0
Zm00001eb003800,7,3,1,1
Zm00001eb003810,925,908,1217,1233
Zm00001eb003820,169,146,348,363
Zm00001eb003830,1872,1840,1730,1734
Zm00001eb003840,394,446,657,700
Zm00001eb003850,33,57,44,38
Zm00001eb003860,11,16,24,21
Zm00001eb003870,58,49,42,38
Zm00001eb003880,403,422,380,415
Zm00001eb003890,372,381,322,347
Zm00001eb003900,63,53,61,92
Zm00001eb003910,58,65,73,83
Zm00001eb003920,15,11,10,9
Zm00001eb003930,2496,2351,3239,3197
Zm00001eb003940,0,0,0,0
Zm00001eb003950,0,0,0,0
Zm00001eb003960,20,19,8,5
Zm00001eb003970,122,134,137,122
Zm00001eb004000,101,84,50,61
Zm00001eb004020,0,0,0,2
Zm00001eb004030,608,657,1080,1069
Zm00001eb004040,0,0,0,0
Zm00001eb004050,166,179,288,269
Zm00001eb004060,2,0,2,0
Zm00001eb004070,0,2,0,0
Zm00001eb004080,42,44,47,52
Zm00001eb004090,642,728,806,859
Zm00001eb004100,0,0,0,0
Zm00001eb004110,0,0,0,0
Zm00001eb004120,899,817,959,871
Zm00001eb004130,0,0,0,0
Zm00001eb004140,31,35,43,55
Zm00001eb004150,0,0,0,0
Zm00001eb004160,289,255,318,330
Zm00001eb004170,2440,2454,2407,2504
Zm00001eb004180,99,92,51,46
Zm00001eb004190,157,142,180,162
Zm00001eb004200,0,0,1,0
Zm00001eb004210,857,829,483,488
Zm00001eb004220,0,0,0,0
Zm00001eb004230,0,0,0,0
Zm00001eb004240,96,95,145,132
Zm00001eb004250,130,125,153,191
Zm00001eb004260,26,31,21,18
Zm00001eb004280,28,32,64,53
Zm00001eb004290,583,508,381,352
Zm00001eb004300,4,6,8,5
Zm00001eb004310,284,316,209,214
Zm00001eb004320,239,254,378,380
Zm00001eb004330,4,8,5,3
Zm00001eb004340,71,70,139,130
Zm00001eb004350,0,0,0,0
Zm00001eb004360,4,5,5,3
Zm00001eb004370,805,892,722,689
Zm00001eb004380,0,0,0,0
Zm00001eb004390,0,0,0,0
Zm00001eb004400,830,862,1181,1172
Zm00001eb004410,1,6,13,7
Zm00001eb004420,4654,4545,5465,5360
Zm00001eb004430,268,300,259,261
Zm00001eb004440,372,307,440,380
Zm00001eb004450,0,0,3,1
Zm00001eb004460,0,0,0,0
Zm00001eb004470,180,238,127,123
Zm00001eb004480,75,63,50,45
Zm00001eb004490,470,488,208,224
Zm00001eb004500,314,334,293,321
Zm00001eb004510,31,48,54,42
Zm00001eb004530,15,22,25,25
Zm00001eb004540,262,252,194,212
Zm00001eb004550,2704,2711,927,970
Zm00001eb004560,34,30,39,28
Zm00001eb004570,75,79,99,109
Zm00001eb004590,119,109,176,170
Zm00001eb004600,1,2,0,3
Zm00001eb004610,2,0,0,0
Zm00001eb004630,104,84,20,28
Zm00001eb004640,0,0,0,0
Zm00001eb004650,23,25,135,126
Zm00001eb004660,3437,3523,3689,3591
Zm00001eb004670,15,6,5,6
Zm00001eb004690,0,0,0,0
Zm00001eb004710,5,9,2,2
Zm00001eb004720,0,0,0,0
Zm00001eb004730,0,0,0,0
Zm00001eb004740,0,1,0,1
Zm00001eb004750,0,2,1,2
Zm00001eb004760,16,11,65,67
Zm00001eb004770,56,48,48,50
Zm00001eb004780,176,175,249,274
Zm00001eb004790,574,587,655,680
Zm00001eb004800,0,0,0,0
Zm00001eb004810,0,0,0,0
Zm00001eb004820,0,0,0,0
Zm00001eb004830,0,0,0,0
Zm00001eb004840,0,0,0,0
Zm00001eb004850,0,0,0,0
Zm00001eb004860,0,0,0,0
Zm00001eb004880,0,0,0,0
Zm00001eb004890,88,87,85,96
Zm00001eb004900,128,117,150,149
Zm00001eb004920,8,8,14,6
Zm00001eb004940,443,452,445,396
Zm00001eb004950,0,1,0,0
Zm00001eb004960,51,59,69,65
Zm00001eb004970,0,0,0,0
Zm00001eb004980,0,0,0,0
Zm00001eb004990,136,136,218,196
Zm00001eb005000,78,81,87,100
Zm00001eb005010,93,90,111,131
Zm00001eb005020,998,1021,670,646
Zm00001eb005030,371,394,520,566
Zm00001eb005040,2,7,2,0
Zm00001eb005060,76,71,78,86
Zm00001eb005070,993,963,816,874
Zm00001eb005080,0,0,0,0
Zm00001eb005100,66,40,36,33
Zm00001eb005110,7,6,3,4
Zm00001eb005120,97,90,103,112
Zm00001eb005130,816,894,1135,1226
Zm00001eb005140,542,546,1050,1052
Zm00001eb005150,0,0,0,0
Zm00001eb005160,0,0,0,0
Zm00001eb005170,1,1,4,6
Zm00001eb005180,0,0,0,0
Zm00001eb005190,542,506,426,442
Zm00001eb005200,0,0,0,0
Zm00001eb005210,0,0,1,3
Zm00001eb005220,965,1003,1445,1454
Zm00001eb005230,156,146,218,191
Zm00001eb005240,0,0,0,0
Zm00001eb005250,16,19,23,27
Zm00001eb005260,0,1,0,0
Zm00001eb005270,2,0,0,0
Zm00001eb005280,471,431,272,309
Zm00001eb005290,0,2,2,3
Zm00001eb005300,6,12,22,30
Zm00001eb005310,24,15,26,40
Zm00001eb005320,544,550,611,633
Zm00001eb005330,932,927,971,912
Zm00001eb005340,295,264,176,170
Zm00001eb005350,3,5,13,6
Zm00001eb005360,27,26,29,23
Zm00001eb005370,178,164,264,291
Zm00001eb005380,57,62,68,80
Zm00001eb005390,148,142,96,113
Zm00001eb005400,321,258,311,377
Zm00001eb005410,0,0,0,0
Zm00001eb005420,162,226,135,175
Zm00001eb005430,752,744,882,870
Zm00001eb005440,329,297,312,301
Zm00001eb005450,21,24,32,20
Zm00001eb005460,1673,1723,945,946
Zm00001eb005470,0,0,0,0
Zm00001eb005480,0,0,0,0
Zm00001eb005490,0,0,0,0
Zm00001eb005500,114,118,268,305
Zm00001eb005510,29,30,32,52
Zm00001eb005530,1025,994,744,777
Zm00001eb005540,65,57,91,81
Zm00001eb005550,1851,1742,2338,2183
Zm00001eb005560,0,0,0,0
Zm00001eb005570,52,57,6,5
Zm00001eb005580,29,14,66,93
Zm00001eb005590,0,0,2,3
Zm00001eb005600,182,200,304,325
Zm00001eb005610,0,1,3,1
Zm00001eb005630,487,518,705,733
Zm00001eb005640,14,23,43,35
Zm00001eb005650,4,0,5,3
Zm00001eb005660,1477,1398,2387,2260
Zm00001eb005670,178,160,158,140
Zm00001eb005680,224,214,190,178
Zm00001eb005690,141,185,81,115
Zm00001eb005700,485,496,487,452
Zm00001eb005710,590,511,510,496
Zm00001eb005740,6,4,6,3
Zm00001eb005760,66,60,48,50
Zm00001eb005770,210,204,159,166
Zm00001eb005780,24,44,38,35
Zm00001eb005800,1,0,1,3
Zm00001eb005810,20,20,36,30
Zm00001eb005820,502,470,548,524
Zm00001eb005830,5,4,7,6
Zm00001eb005840,393,448,683,691
Zm00001eb005850,344,376,143,166
Zm00001eb005860,157,110,183,186
Zm00001eb005870,3,0,0,0
Zm00001eb005890,28,59,44,48
Zm00001eb005900,121,98,118,108
Zm00001eb005920,981,1054,629,649
Zm00001eb005930,0,0,5,3
Zm00001eb005940,0,0,0,0
Zm00001eb005950,771,839,782,764
Zm00001eb005960,2534,2505,3536,3490
Zm00001eb005970,39,53,27,28
Zm00001eb005980,32,18,12,14
Zm00001eb005990,180,174,207,215
Zm00001eb006000,272,284,703,720
Zm00001eb006010,17,26,31,25
Zm00001eb006020,6686,6746,3807,3671
Zm00001eb006030,0,0,0,0
Zm00001eb006040,301,290,171,169
Zm00001eb006050,6,1,0,3
Zm00001eb006060,6,7,16,12
Zm00001eb006070,9,20,6,11
Zm00001eb006080,630,634,568,549
Zm00001eb006090,17,26,9,15
Zm00001eb006100,43,48,65,80
Zm00001eb006110,0,0,1,0
Zm00001eb006120,0,0,0,0
Zm00001eb006130,0,0,0,0
Zm00001eb006140,637,656,580,619
Zm00001eb006150,134,140,274,248
Zm00001eb006160,30,25,29,39
Zm00001eb006170,5,5,4,1
Zm00001eb006180,930,928,679,704
Zm00001eb006190,1,2,0,1
Zm00001eb006200,78,81,216,180
Zm00001eb006210,1340,1424,2090,2093
Zm00001eb006240,0,0,0,0
Zm00001eb006260,10,7,0,2
Zm00001eb006270,884,866,963,989
Zm00001eb006280,0,0,0,0
Zm00001eb006290,1,2,1,4
Zm00001eb006300,754,776,733,724
Zm00001eb006310,262,247,109,138
Zm00001eb006320,56,74,98,81
Zm00001eb006330,26,27,31,24
Zm00001eb006340,8,16,1,5
Zm00001eb006350,1968,1975,1411,1497
Zm00001eb006360,106,86,170,186
Zm00001eb006370,0,0,0,0
Zm00001eb006380,396,471,367,313
Zm00001eb006390,382,384,290,292
Zm00001eb006400,406,438,428,389
Zm00001eb006410,1903,1875,1063,1068
Zm00001eb006420,527,503,317,359
Zm00001eb006430,6,4,2,1
Zm00001eb006440,313,314,209,189
Zm00001eb006450,240,213,166,174
Zm00001eb006460,0,0,0,0
Zm00001eb006470,574,546,398,381
Zm00001eb006480,151,131,115,108
Zm00001eb006490,130,115,363,339
Zm00001eb006510,486,458,664,687
Zm00001eb006520,96,69,54,48
Zm00001eb006530,1632,1585,1715,1643
Zm00001eb006540,398,369,548,494
Zm00001eb006550,24,33,51,50
Zm00001eb006560,507,445,696,663
Zm00001eb006570,394,424,413,423
Zm00001eb006590,114,97,70,65
Zm00001eb006600,162,160,151,192
Zm00001eb006610,300,303,157,162
Zm00001eb006620,368,400,385,349
Zm00001eb006630,0,1,0,0
Zm00001eb006640,0,0,0,2
Zm00001eb006650,0,0,0,0
Zm00001eb006660,403,400,202,265
Zm00001eb006670,21,34,21,10
Zm00001eb006680,208,216,157,170
Zm00001eb006690,269,236,393,434
Zm00001eb006700,0,1,1,2
Zm00001eb006710,0,0,0,0
Zm00001eb006720,178,208,169,202
Zm00001eb006730,4,10,2,5
Zm00001eb006740,0,0,0,0
Zm00001eb006760,39,38,34,51
Zm00001eb006770,1428,1521,1446,1461
Zm00001eb006780,0,0,2,2
Zm00001eb006790,0,0,0,0
Zm00001eb006800,0,0,0,0
Zm00001eb006830,51,52,54,51
Zm00001eb006840,49,50,17,17
Zm00001eb006850,219,209,275,270
Zm00001eb006860,177,168,279,273
Zm00001eb006870,761,735,897,859
Zm00001eb006880,690,703,893,861
Zm00001eb006890,208,213,152,180
Zm00001eb006900,32,25,42,40
Zm00001eb006910,251,281,226,289
Zm00001eb006920,549,513,854,817
Zm00001eb006930,124,124,87,82
Zm00001eb006940,114,97,74,65
Zm00001eb006950,0,0,0,1
Zm00001eb006960,0,0,0,0
Zm00001eb006970,0,0,1,1
Zm00001eb006990,0,0,0,0
Zm00001eb007000,106,138,120,133
Zm00001eb007010,222,260,326,348
Zm00001eb007020,0,0,0,0
Zm00001eb007030,346,360,508,502
Zm00001eb007040,0,0,0,0
Zm00001eb007050,808,900,1031,974
Zm00001eb007060,47,69,38,72
Zm00001eb007070,102,133,116,114
Zm00001eb007080,4,2,6,3
Zm00001eb007090,1436,1416,1849,1938
Zm00001eb007100,41,32,17,24
Zm00001eb007110,7,5,1,0
Zm00001eb007120,0,0,1,2
Zm00001eb007130,303,312,446,448
Zm00001eb007140,637,647,1009,1020
Zm00001eb007150,166,184,156,179
Zm00001eb007160,0,0,0,0
Zm00001eb007170,470,451,561,590
Zm00001eb007180,318,341,629,596
Zm00001eb007190,65,45,35,39
Zm00001eb007200,21,21,35,30
Zm00001eb007220,247,282,271,270
Zm00001eb007230,9,14,9,8
Zm00001eb007240,196,222,287,334
Zm00001eb007250,746,726,1255,1187
Zm00001eb007270,208,206,105,125
Zm00001eb007280,67,89,107,102
Zm00001eb007290,0,0,0,0
Zm00001eb007300,0,0,0,0
Zm00001eb007310,171,183,154,156
Zm00001eb007320,1440,1566,1100,1187
Zm00001eb007330,0,0,0,0
Zm00001eb007340,0,0,0,0
Zm00001eb007350,0,0,0,0
Zm00001eb007360,0,0,0,0
Zm00001eb007370,0,0,0,0
Zm00001eb007380,0,0,0,0
Zm00001eb007390,0,0,0,0
Zm00001eb007400,0,0,0,0
Zm00001eb007410,0,0,0,0
Zm00001eb007420,0,0,0,0
Zm00001eb007430,0,0,0,0
Zm00001eb007440,135,176,137,158
Zm00001eb007450,0,0,0,0
Zm00001eb007460,4,5,4,13
Zm00001eb007470,300,268,207,162
Zm00001eb007490,0,0,0,0
Zm00001eb007500,1,0,4,0
Zm00001eb007510,762,751,1340,1351
Zm00001eb007540,50,48,52,56
Zm00001eb007550,180,197,151,147
Zm00001eb007560,0,0,0,0
Zm00001eb007570,252,250,161,140
Zm00001eb007580,35,56,9,24
Zm00001eb007590,243,236,323,316
Zm00001eb007600,442,442,468,505
Zm00001eb007610,48,45,31,26
Zm00001eb007630,2,5,1,0
Zm00001eb007640,38,38,20,17
Zm00001eb007650,1621,1644,2465,2390
Zm00001eb007670,689,761,803,829
Zm00001eb007680,605,634,1085,964
Zm00001eb007690,147,114,157,164
Zm00001eb007700,107,81,176,136
Zm00001eb007720,0,0,1,0
Zm00001eb007730,2266,2132,3875,4059
Zm00001eb007740,31,34,3,1
Zm00001eb007750,88,60,115,121
Zm00001eb007760,112,122,100,101
Zm00001eb007770,7,5,10,10
Zm00001eb007780,399,388,560,517
Zm00001eb007790,0,0,1,3
Zm00001eb007800,243,254,221,200
Zm00001eb007810,296,302,423,403
Zm00001eb007820,168,174,211,200
Zm00001eb007830,160,181,273,308
Zm00001eb007840,1,0,0,1
Zm00001eb007850,0,0,0,0
Zm00001eb007860,2387,2447,4025,4249
Zm00001eb007870,87,71,52,42
Zm00001eb007880,4,9,7,5
Zm00001eb007890,0,0,0,0
Zm00001eb007900,37,36,128,107
Zm00001eb007910,0,0,0,0
Zm00001eb007920,126,125,140,140
Zm00001eb007930,72,73,95,85
Zm00001eb007940,0,0,1,4
Zm00001eb007950,23,21,55,47
Zm00001eb007960,168,160,255,225
Zm00001eb007970,0,0,0,0
Zm00001eb007990,7,7,13,9
Zm00001eb008000,0,2,1,0
Zm00001eb008010,380,328,237,216
Zm00001eb008030,0,0,0,0
Zm00001eb008040,0,0,4,2
Zm00001eb008050,0,0,0,0
Zm00001eb008060,1192,1148,1527,1550
Zm00001eb008070,118,150,50,36
Zm00001eb008080,1919,1930,1562,1531
Zm00001eb008090,319,303,224,216
Zm00001eb008100,153,137,183,130
Zm00001eb008130,85,69,136,98
Zm00001eb008140,529,579,518,521
Zm00001eb008150,122,101,190,191
Zm00001eb008160,234,232,235,246
Zm00001eb008170,1102,1073,945,960
Zm00001eb008180,60,65,83,61
Zm00001eb008190,0,0,0,0
Zm00001eb008200,639,608,391,399
Zm00001eb008210,1,0,5,5
Zm00001eb008220,3,8,3,9
Zm00001eb008240,31,31,32,30
Zm00001eb008250,7,9,1,2
Zm00001eb008260,0,0,0,0
Zm00001eb008270,68,81,102,127
Zm00001eb008280,0,1,0,0
Zm00001eb008290,114,93,178,159
Zm00001eb008300,1,0,0,0
Zm00001eb008310,358,402,479,524
Zm00001eb008320,0,0,0,0
Zm00001eb008330,1,2,2,5
Zm00001eb008340,1715,1769,2133,2087
