ENSEMBL_GeneID,C_24_Tol_1,C_24_Tol_2,T_24_Tol_1,T_24_Tol_2
Zm00001eb003070,440,460,502,492
Zm00001eb003080,179,229,140,154
Zm00001eb003090,5,11,3,4
Zm00001eb003100,0,0,0,0
Zm00001eb003110,96,103,109,107
Zm00001eb003120,0,0,0,0
Zm00001eb003130,94,110,162,157
Zm00001eb003140,51,62,20,28
Zm00001eb003150,1,0,1,0
Zm00001eb003160,2,0,1,1
Zm00001eb003170,801,841,594,616
Zm00001eb003180,5820,5811,4934,5112
Zm00001eb003190,248,232,81,95
Zm00001eb003200,24,23,20,18
Zm00001eb003210,8,9,3,8
Zm00001eb003220,0,0,0,0
Zm00001eb003230,0,0,0,0
Zm00001eb003240,1002,1002,930,900
Zm00001eb003270,0,0,0,0
Zm00001eb003280,0,0,0,0
Zm00001eb003290,0,0,0,0
Zm00001eb003300,0,1,0,0
Zm00001eb003310,1,1,1,0
Zm00001eb003330,12,5,1,3
Zm00001eb003340,23,28,11,13
Zm00001eb003350,2247,2213,2238,2171
Zm00001eb003360,907,882,761,738
Zm00001eb003370,0,0,0,0
Zm00001eb003380,1,0,0,0
Zm00001eb003390,0,0,0,0
Zm00001eb003400,1,1,3,3
Zm00001eb003420,1556,1511,1344,1391
Zm00001eb003440,1997,2247,3295,3467
Zm00001eb003450,8,1,0,1
Zm00001eb003460,25,33,9,3
Zm00001eb003470,338,280,304,297
Zm00001eb003480,556,570,252,245
Zm00001eb003490,3128,3225,3029,2884
Zm00001eb003510,559,538,471,461
Zm00001eb003520,209,204,129,111
Zm00001eb003530,0,0,0,0
Zm00001eb003540,617,638,596,614
Zm00001eb003550,2269,2338,1358,1291
Zm00001eb003560,2,1,1,6
Zm00001eb003570,2,1,1,0
Zm00001eb003580,270,318,177,224
Zm00001eb003590,0,0,0,0
Zm00001eb003600,7,8,1,3
Zm00001eb003610,8,9,1,0
Zm00001eb003620,37,23,16,16
Zm00001eb003630,21,44,4,4
Zm00001eb003650,606,595,379,321
Zm00001eb003660,397,422,230,206
Zm00001eb003670,136,152,148,143
Zm00001eb003680,1,1,3,2
Zm00001eb003690,939,909,869,812
Zm00001eb003700,653,671,121,132
Zm00001eb003710,0,0,0,0
Zm00001eb003720,0,0,0,0
Zm00001eb003730,35379,34828,25748,25676
Zm00001eb003740,0,0,0,0
Zm00001eb003750,219,211,93,90
Zm00001eb003760,101,118,53,57
Zm00001eb003770,2,0,0,0
Zm00001eb003780,105,117,76,59
Zm00001eb003790,0,0,0,0
Zm00001eb003800,0,0,0,0
Zm00001eb003810,1295,1238,842,853
Zm00001eb003820,148,152,60,57
Zm00001eb003830,2513,2455,1572,1579
Zm00001eb003840,897,964,786,782
Zm00001eb003850,157,192,138,138
Zm00001eb003860,48,40,16,21
Zm00001eb003870,47,68,25,24
Zm00001eb003880,418,378,349,339
Zm00001eb003890,300,328,265,259
Zm00001eb003900,74,89,82,74
Zm00001eb003910,30,54,31,16
Zm00001eb003920,13,19,6,6
Zm00001eb003930,2542,2562,2279,2311
Zm00001eb003940,1,0,0,0
Zm00001eb003950,0,0,0,0
Zm00001eb003960,8,10,0,2
Zm00001eb003970,228,215,179,187
Zm00001eb004000,61,72,46,42
Zm00001eb004020,0,0,0,2
Zm00001eb004030,1469,1562,1464,1452
Zm00001eb004040,2,1,0,0
Zm00001eb004050,379,363,333,330
Zm00001eb004060,0,0,0,0
Zm00001eb004070,3,0,0,0
Zm00001eb004080,8,2,2,2
Zm00001eb004090,572,557,647,612
Zm00001eb004100,0,0,0,0
Zm00001eb004110,0,0,0,0
Zm00001eb004120,926,914,956,1039
Zm00001eb004130,0,0,0,0
Zm00001eb004140,41,46,16,13
Zm00001eb004150,0,0,0,0
Zm00001eb004160,355,313,186,193
Zm00001eb004170,1480,1506,1548,1537
Zm00001eb004180,90,103,75,77
Zm00001eb004190,165,160,119,143
Zm00001eb004200,5,2,0,4
Zm00001eb004210,527,480,384,418
Zm00001eb004220,0,0,0,0
Zm00001eb004230,0,0,0,0
Zm00001eb004240,155,126,110,94
Zm00001eb004250,201,194,79,104
Zm00001eb004260,44,46,8,4
Zm00001eb004280,9,5,0,2
Zm00001eb004290,674,677,418,437
Zm00001eb004300,5,11,0,2
Zm00001eb004310,252,234,171,141
Zm00001eb004320,624,634,581,618
Zm00001eb004330,7,10,8,2
Zm00001eb004340,129,132,81,113
Zm00001eb004350,0,0,0,0
Zm00001eb004360,0,0,0,0
Zm00001eb004370,891,1004,534,487
Zm00001eb004380,0,0,0,0
Zm00001eb004390,0,0,0,0
Zm00001eb004400,1298,1299,1138,1100
Zm00001eb004410,26,31,26,21
Zm00001eb004420,4903,4912,4689,4590
Zm00001eb004430,307,343,292,288
Zm00001eb004440,326,302,195,173
Zm00001eb004450,3,2,1,3
Zm00001eb004460,0,0,0,0
Zm00001eb004470,221,204,328,325
Zm00001eb004480,73,77,33,28
Zm00001eb004490,393,473,229,257
Zm00001eb004500,301,314,215,207
Zm00001eb004510,54,52,29,28
Zm00001eb004530,16,24,17,20
Zm00001eb004540,167,216,70,77
Zm00001eb004550,2491,2522,976,1019
Zm00001eb004560,30,16,14,20
Zm00001eb004570,232,243,134,158
Zm00001eb004590,119,114,108,98
Zm00001eb004600,0,0,0,0
Zm00001eb004610,2,3,0,0
Zm00001eb004630,94,104,36,32
Zm00001eb004640,0,0,0,0
Zm00001eb004650,94,105,107,103
Zm00001eb004660,2849,2884,2452,2505
Zm00001eb004670,31,29,0,0
Zm00001eb004690,0,0,0,0
Zm00001eb004710,2,3,4,3
Zm00001eb004720,0,0,0,0
Zm00001eb004730,0,0,0,0
Zm00001eb004740,2,1,0,2
Zm00001eb004750,12,14,12,21
Zm00001eb004760,244,309,56,62
Zm00001eb004770,59,39,53,33
Zm00001eb004780,393,372,325,247
Zm00001eb004790,865,871,530,548
Zm00001eb004800,0,0,0,0
Zm00001eb004810,0,0,0,0
Zm00001eb004820,0,0,0,0
Zm00001eb004830,0,0,0,0
Zm00001eb004840,0,0,0,0
Zm00001eb004850,0,0,0,0
Zm00001eb004860,0,0,0,0
Zm00001eb004880,0,0,0,0
Zm00001eb004890,0,0,0,0
Zm00001eb004900,0,0,0,0
Zm00001eb004920,34,35,46,36
Zm00001eb004940,516,519,447,406
Zm00001eb004950,1,0,2,0
Zm00001eb004960,12,7,12,8
Zm00001eb004970,0,0,0,0
Zm00001eb004980,0,0,0,0
Zm00001eb004990,185,206,203,193
Zm00001eb005000,81,101,58,68
Zm00001eb005010,298,372,171,157
Zm00001eb005020,503,514,352,376
Zm00001eb005030,593,604,384,326
Zm00001eb005040,2,3,2,3
Zm00001eb005060,55,39,37,31
Zm00001eb005070,948,960,513,527
Zm00001eb005080,0,0,0,1
Zm00001eb005100,32,27,8,17
Zm00001eb005110,10,11,0,4
Zm00001eb005120,100,106,92,111
Zm00001eb005130,1098,1146,1745,1700
Zm00001eb005140,1345,1266,805,758
Zm00001eb005150,19,10,0,4
Zm00001eb005160,1,0,0,0
Zm00001eb005170,6,3,5,3
Zm00001eb005180,0,0,0,0
Zm00001eb005190,537,578,508,549
Zm00001eb005200,0,0,0,0
Zm00001eb005210,5,9,9,9
Zm00001eb005220,1053,1151,1085,1087
Zm00001eb005230,204,147,137,131
Zm00001eb005240,0,0,1,2
Zm00001eb005250,49,43,87,94
Zm00001eb005260,0,0,0,4
Zm00001eb005270,1,1,3,3
Zm00001eb005280,337,355,192,192
Zm00001eb005290,1,0,0,0
Zm00001eb005300,4,0,6,7
Zm00001eb005310,66,86,32,34
Zm00001eb005320,561,590,404,423
Zm00001eb005330,1471,1378,1107,1106
Zm00001eb005340,288,325,130,149
Zm00001eb005350,7,13,8,5
Zm00001eb005360,52,52,17,13
Zm00001eb005370,203,187,163,187
Zm00001eb005380,50,47,9,35
Zm00001eb005390,161,152,141,140
Zm00001eb005400,377,383,324,338
Zm00001eb005410,0,0,0,0
Zm00001eb005420,325,352,177,156
Zm00001eb005430,809,796,614,588
Zm00001eb005440,290,242,101,120
Zm00001eb005450,24,14,2,3
Zm00001eb005460,1058,1095,1467,1537
Zm00001eb005470,0,0,0,2
Zm00001eb005480,1,2,1,3
Zm00001eb005490,0,4,2,2
Zm00001eb005500,307,274,102,88
Zm00001eb005510,9,5,2,3
Zm00001eb005530,420,447,214,215
Zm00001eb005540,126,113,49,50
Zm00001eb005550,2892,2765,1715,1863
Zm00001eb005560,0,0,2,1
Zm00001eb005570,14,21,1,2
Zm00001eb005580,9,12,1,1
Zm00001eb005590,4,3,5,3
Zm00001eb005600,536,471,338,332
Zm00001eb005610,0,0,0,0
Zm00001eb005630,646,597,592,626
Zm00001eb005640,67,58,60,56
Zm00001eb005650,1,8,2,5
Zm00001eb005660,2088,2182,2107,2070
Zm00001eb005670,122,151,92,80
Zm00001eb005680,133,142,80,92
Zm00001eb005690,259,236,128,140
Zm00001eb005700,436,472,765,834
Zm00001eb005710,409,402,308,336
Zm00001eb005740,19,16,14,18
Zm00001eb005760,73,82,43,38
Zm00001eb005770,246,246,102,99
Zm00001eb005780,34,43,23,25
Zm00001eb005800,1,0,7,15
Zm00001eb005810,39,45,23,15
Zm00001eb005820,622,621,349,317
Zm00001eb005830,40,28,16,13
Zm00001eb005840,886,859,908,937
Zm00001eb005850,306,306,56,46
Zm00001eb005860,257,259,322,286
Zm00001eb005870,0,0,0,0
Zm00001eb005890,50,60,29,16
Zm00001eb005900,148,161,53,66
Zm00001eb005920,489,468,227,230
Zm00001eb005930,2,2,8,1
Zm00001eb005940,0,0,0,0
Zm00001eb005950,1032,1085,616,637
Zm00001eb005960,2922,2876,2731,2806
Zm00001eb005970,80,71,31,21
Zm00001eb005980,18,20,19,18
Zm00001eb005990,86,56,41,58
Zm00001eb006000,400,412,170,160
Zm00001eb006010,96,78,68,57
Zm00001eb006020,7165,7289,3817,3838
Zm00001eb006030,2,0,0,2
Zm00001eb006040,272,254,119,117
Zm00001eb006050,24,16,7,8
Zm00001eb006060,5,4,4,2
Zm00001eb006070,9,8,8,6
Zm00001eb006080,563,616,272,259
Zm00001eb006090,15,15,2,3
Zm00001eb006100,44,31,33,26
Zm00001eb006110,0,0,0,0
Zm00001eb006120,0,0,0,0
Zm00001eb006130,0,0,0,0
Zm00001eb006140,565,556,449,444
Zm00001eb006150,365,368,374,341
Zm00001eb006160,76,84,11,11
Zm00001eb006170,7,6,9,3
Zm00001eb006180,749,855,249,253
Zm00001eb006190,0,0,0,0
Zm00001eb006200,38,38,79,100
Zm00001eb006210,688,692,1183,1183
Zm00001eb006240,0,0,0,0
Zm00001eb006260,1,0,0,0
Zm00001eb006270,896,933,772,816
Zm00001eb006280,9,3,2,2
Zm00001eb006290,3,2,0,1
Zm00001eb006300,845,779,996,1054
Zm00001eb006310,11,20,630,653
Zm00001eb006320,76,92,48,54
Zm00001eb006330,35,29,21,13
Zm00001eb006340,10,12,16,2
Zm00001eb006350,2398,2401,1244,1190
Zm00001eb006360,187,197,121,121
Zm00001eb006370,0,0,0,0
Zm00001eb006380,404,395,227,217
Zm00001eb006390,289,273,173,156
Zm00001eb006400,472,451,446,418
Zm00001eb006410,1350,1367,268,293
Zm00001eb006420,95,93,96,89
Zm00001eb006430,1,1,5,1
Zm00001eb006440,243,212,188,197
Zm00001eb006450,387,394,238,216
Zm00001eb006460,0,0,0,0
Zm00001eb006470,508,478,306,286
Zm00001eb006480,65,79,39,25
Zm00001eb006490,0,0,0,0
Zm00001eb006510,538,520,466,503
Zm00001eb006520,42,42,29,15
Zm00001eb006530,2104,2178,763,733
Zm00001eb006540,474,457,387,361
Zm00001eb006550,46,49,26,34
Zm00001eb006560,568,614,481,512
Zm00001eb006570,505,558,267,266
Zm00001eb006590,74,96,39,41
Zm00001eb006600,0,0,2,2
Zm00001eb006610,120,172,75,92
Zm00001eb006620,354,384,364,374
Zm00001eb006630,0,1,0,3
Zm00001eb006640,4,0,0,0
Zm00001eb006650,1,2,1,0
Zm00001eb006660,223,196,196,192
Zm00001eb006670,12,14,4,9
Zm00001eb006680,381,386,77,68
Zm00001eb006690,432,375,262,261
Zm00001eb006700,0,0,0,0
Zm00001eb006710,0,2,0,0
Zm00001eb006720,96,123,126,125
Zm00001eb006730,0,1,2,2
Zm00001eb006740,0,0,0,0
Zm00001eb006760,88,123,91,74
Zm00001eb006770,1682,1596,694,819
Zm00001eb006780,0,0,0,0
Zm00001eb006790,0,0,0,0
Zm00001eb006800,1,6,0,2
Zm00001eb006830,169,188,107,104
Zm00001eb006840,0,0,0,0
Zm00001eb006850,372,302,175,182
Zm00001eb006860,234,236,184,176
Zm00001eb006870,527,531,495,458
Zm00001eb006880,572,547,377,420
Zm00001eb006890,33,29,11,7
Zm00001eb006900,0,0,2,0
Zm00001eb006910,485,507,354,365
Zm00001eb006920,747,796,655,668
Zm00001eb006930,123,138,172,160
Zm00001eb006940,14,21,6,7
Zm00001eb006950,2,1,0,1
Zm00001eb006960,1,1,0,0
Zm00001eb006970,0,0,0,0
Zm00001eb006990,0,0,0,0
Zm00001eb007000,123,125,59,57
Zm00001eb007010,293,282,364,366
Zm00001eb007020,0,0,0,2
Zm00001eb007030,348,363,402,445
Zm00001eb007040,0,1,0,0
Zm00001eb007050,966,973,738,729
Zm00001eb007060,35,42,48,66
Zm00001eb007070,344,369,79,74
Zm00001eb007080,9,6,2,1
Zm00001eb007090,2101,2080,1774,1773
Zm00001eb007100,0,2,0,0
Zm00001eb007110,0,0,0,0
Zm00001eb007120,1,1,2,0
Zm00001eb007130,370,402,319,324
Zm00001eb007140,1571,1613,571,620
Zm00001eb007150,401,415,329,366
Zm00001eb007160,0,0,0,0
Zm00001eb007170,608,648,577,581
Zm00001eb007180,339,360,256,267
Zm00001eb007190,61,70,21,27
Zm00001eb007200,21,15,12,6
Zm00001eb007220,269,246,255,233
Zm00001eb007230,20,24,9,5
Zm00001eb007240,342,339,244,231
Zm00001eb007250,567,556,417,424
Zm00001eb007270,181,183,153,144
Zm00001eb007280,78,62,20,32
Zm00001eb007290,0,0,0,0
Zm00001eb007300,0,0,0,0
Zm00001eb007310,185,180,151,164
Zm00001eb007320,1691,1757,1638,1600
Zm00001eb007330,0,0,0,0
Zm00001eb007340,0,0,0,0
Zm00001eb007350,0,0,0,0
Zm00001eb007360,0,0,0,0
Zm00001eb007370,0,0,0,0
Zm00001eb007380,0,0,0,0
Zm00001eb007390,0,0,0,0
Zm00001eb007400,0,0,0,0
Zm00001eb007410,0,0,0,0
Zm00001eb007420,0,0,0,0
Zm00001eb007430,0,0,0,0
Zm00001eb007440,153,155,114,116
Zm00001eb007450,0,0,0,0
Zm00001eb007460,0,0,0,0
Zm00001eb007470,117,121,124,142
Zm00001eb007490,0,0,0,0
Zm00001eb007500,3,2,0,0
Zm00001eb007510,788,829,787,696
Zm00001eb007540,0,0,0,0
Zm00001eb007550,0,0,3,0
Zm00001eb007560,0,0,0,0
Zm00001eb007570,264,236,158,116
Zm00001eb007580,13,9,6,11
Zm00001eb007590,158,145,138,154
Zm00001eb007600,527,513,586,539
Zm00001eb007610,20,24,13,17
Zm00001eb007630,2,1,0,1
Zm00001eb007640,14,7,3,1
Zm00001eb007650,661,703,571,566
Zm00001eb007670,351,391,457,413
Zm00001eb007680,1022,1136,885,977
Zm00001eb007690,151,160,109,93
Zm00001eb007700,155,182,85,116
Zm00001eb007720,0,0,0,0
Zm00001eb007730,3338,3240,2776,2846
Zm00001eb007740,71,69,7,9
Zm00001eb007750,135,109,89,80
Zm00001eb007760,73,92,57,85
Zm00001eb007770,6,7,5,5
Zm00001eb007780,406,344,528,449
Zm00001eb007790,4,3,2,2
Zm00001eb007800,392,378,257,254
Zm00001eb007810,348,331,352,317
Zm00001eb007820,293,300,196,185
Zm00001eb007830,588,636,173,176
Zm00001eb007840,1,1,0,0
Zm00001eb007850,17,28,17,14
Zm00001eb007860,4580,4633,4151,4192
Zm00001eb007870,86,70,52,42
Zm00001eb007880,0,0,4,8
Zm00001eb007890,0,0,0,0
Zm00001eb007900,92,86,99,114
Zm00001eb007910,0,0,0,2
Zm00001eb007920,130,129,55,56
Zm00001eb007930,216,252,182,191
Zm00001eb007940,8,7,4,5
Zm00001eb007950,7,11,9,9
Zm00001eb007960,256,241,212,238
Zm00001eb007970,4,1,1,0
Zm00001eb007990,13,15,7,9
Zm00001eb008000,0,0,0,0
Zm00001eb008010,159,153,157,170
Zm00001eb008030,79,78,21,23
Zm00001eb008040,283,245,100,87
Zm00001eb008050,0,0,0,0
Zm00001eb008060,1684,1731,1388,1332
Zm00001eb008070,105,120,11,5
Zm00001eb008080,264,239,110,108
Zm00001eb008090,171,178,125,128
Zm00001eb008100,377,386,271,296
Zm00001eb008130,137,154,82,94
Zm00001eb008140,664,666,571,554
Zm00001eb008150,124,126,98,95
Zm00001eb008160,217,249,186,194
Zm00001eb008170,563,563,426,442
Zm00001eb008180,1,4,0,0
Zm00001eb008190,0,0,0,0
Zm00001eb008200,400,383,243,264
Zm00001eb008210,0,0,0,0
Zm00001eb008220,2,0,0,1
Zm00001eb008240,39,37,32,23
Zm00001eb008250,4,16,2,1
Zm00001eb008260,0,0,0,0
Zm00001eb008270,35,36,13,17
Zm00001eb008280,3,0,0,0
Zm00001eb008290,64,98,41,49
Zm00001eb008300,0,0,1,0
Zm00001eb008310,551,551,481,439
Zm00001eb008320,0,0,0,0
Zm00001eb008330,10,4,4,2
Zm00001eb008340,1707,1664,1362,1398
Zm00001eb008350,0,0,0,0
Zm00001eb008360,1439,1416,1905,1868
Zm00001eb008370,535,456,319,278
Zm00001eb008380,58,35,63,65
