ENSEMBL_GeneID	cut_c_6_iii	cut_t_6_iii
Zm00001eb003750	2	0
Zm00001eb003760	3	2
Zm00001eb003770	0	0
Zm00001eb003780	3	2
Zm00001eb003790	0	0
Zm00001eb003800	0	0
Zm00001eb003810	16	35
Zm00001eb003820	3	13
Zm00001eb003830	31	40
Zm00001eb003840	10	18
Zm00001eb003850	0	0
Zm00001eb003860	0	1
Zm00001eb003870	0	2
Zm00001eb003880	10	10
Zm00001eb003890	8	5
Zm00001eb003900	0	3
Zm00001eb003910	4	4
Zm00001eb003920	1	1
Zm00001eb003930	45	61
Zm00001eb003940	0	0
Zm00001eb003950	0	0
Zm00001eb003960	0	0
Zm00001eb003970	2	3
Zm00001eb004000	2	2
Zm00001eb004020	0	0
Zm00001eb004030	9	24
Zm00001eb004040	0	0
Zm00001eb004050	4	9
Zm00001eb004060	0	0
Zm00001eb004070	0	0
Zm00001eb004080	2	1
Zm00001eb004090	15	11
Zm00001eb004100	0	0
Zm00001eb004110	0	0
Zm00001eb004120	19	25
Zm00001eb004130	0	0
Zm00001eb004140	2	1
Zm00001eb004150	0	0
Zm00001eb004160	8	4
Zm00001eb004170	45	45
Zm00001eb004180	3	1
Zm00001eb004190	2	5
Zm00001eb004200	0	0
Zm00001eb004210	12	10
Zm00001eb004220	0	0
Zm00001eb004230	0	0
Zm00001eb004240	1	3
Zm00001eb004250	4	3
Zm00001eb004260	0	1
Zm00001eb004280	1	2
Zm00001eb004290	6	5
Zm00001eb004300	0	1
Zm00001eb004310	4	2
Zm00001eb004320	5	9
Zm00001eb004330	0	0
Zm00001eb004340	2	1
Zm00001eb004350	0	0
Zm00001eb004360	0	0
Zm00001eb004370	20	21
Zm00001eb004380	0	0
Zm00001eb004390	0	0
Zm00001eb004400	14	21
Zm00001eb004410	0	0
Zm00001eb004420	92	99
Zm00001eb004430	5	9
Zm00001eb004440	3	4
Zm00001eb004450	0	1
Zm00001eb004460	0	0
Zm00001eb004470	3	1
Zm00001eb004480	1	2
Zm00001eb004490	6	3
Zm00001eb004500	2	5
Zm00001eb004510	0	1
Zm00001eb004530	0	0
Zm00001eb004540	4	3
Zm00001eb004550	68	17
Zm00001eb004560	0	2
Zm00001eb004570	2	1
Zm00001eb004590	2	3
Zm00001eb004600	0	0
Zm00001eb004610	0	0
Zm00001eb004630	2	0
Zm00001eb004640	0	0
Zm00001eb004650	0	0
Zm00001eb004660	79	96
Zm00001eb004670	0	0
Zm00001eb004690	0	0
Zm00001eb004710	0	0
Zm00001eb004720	0	0
Zm00001eb004730	0	0
Zm00001eb004740	0	0
Zm00001eb004750	0	0
Zm00001eb004760	2	1
Zm00001eb004770	1	0
Zm00001eb004780	2	2
Zm00001eb004790	10	6
Zm00001eb004800	0	0
Zm00001eb004810	0	0
Zm00001eb004820	0	0
Zm00001eb004830	0	0
Zm00001eb004840	0	0
Zm00001eb004850	0	0
Zm00001eb004860	0	0
Zm00001eb004880	0	0
Zm00001eb004890	0	1
Zm00001eb004900	1	0
Zm00001eb004920	0	1
Zm00001eb004940	5	8
Zm00001eb004950	0	0
Zm00001eb004960	0	1
Zm00001eb004970	0	0
Zm00001eb004980	0	0
Zm00001eb004990	1	1
Zm00001eb005000	1	0
Zm00001eb005010	1	6
Zm00001eb005020	18	14
Zm00001eb005030	4	10
Zm00001eb005040	0	0
Zm00001eb005060	1	1
Zm00001eb005070	14	18
Zm00001eb005080	0	0
Zm00001eb005100	0	0
Zm00001eb005110	0	0
Zm00001eb005120	2	7
Zm00001eb005130	10	22
Zm00001eb005140	17	16
Zm00001eb005150	0	0
Zm00001eb005160	0	0
Zm00001eb005170	0	0
Zm00001eb005180	0	0
Zm00001eb005190	13	2
Zm00001eb005200	0	0
Zm00001eb005210	0	0
Zm00001eb005220	17	33
Zm00001eb005230	2	3
Zm00001eb005240	0	0
Zm00001eb005250	0	0
Zm00001eb005260	0	0
Zm00001eb005270	0	0
Zm00001eb005280	11	4
Zm00001eb005290	0	0
Zm00001eb005300	0	1
Zm00001eb005310	0	2
Zm00001eb005320	10	12
Zm00001eb005330	20	13
Zm00001eb005340	8	5
Zm00001eb005350	0	0
Zm00001eb005360	1	0
Zm00001eb005370	5	5
Zm00001eb005380	1	1
Zm00001eb005390	2	4
Zm00001eb005400	4	9
Zm00001eb005410	0	0
Zm00001eb005420	2	3
Zm00001eb005430	6	15
Zm00001eb005440	5	6
Zm00001eb005450	0	1
Zm00001eb005460	32	18
Zm00001eb005470	0	0
Zm00001eb005480	0	0
Zm00001eb005490	0	0
Zm00001eb005500	2	3
Zm00001eb005510	1	2
Zm00001eb005530	28	13
Zm00001eb005540	3	2
Zm00001eb005550	22	43
Zm00001eb005560	0	0
Zm00001eb005570	0	0
Zm00001eb005580	2	0
Zm00001eb005590	0	0
Zm00001eb005600	4	7
Zm00001eb005610	0	0
Zm00001eb005630	16	16
Zm00001eb005640	1	0
Zm00001eb005650	0	0
Zm00001eb005660	26	44
Zm00001eb005670	4	0
Zm00001eb005680	10	6
Zm00001eb005690	2	4
Zm00001eb005700	7	9
Zm00001eb005710	13	4
Zm00001eb005740	1	0
Zm00001eb005760	1	0
Zm00001eb005770	7	2
Zm00001eb005780	0	0
Zm00001eb005800	0	0
Zm00001eb005810	0	0
Zm00001eb005820	9	15
Zm00001eb005830	0	0
Zm00001eb005840	5	12
Zm00001eb005850	7	0
Zm00001eb005860	2	2
Zm00001eb005870	0	0
Zm00001eb005890	0	0
Zm00001eb005900	4	1
Zm00001eb005920	29	21
Zm00001eb005930	0	0
Zm00001eb005940	0	0
Zm00001eb005950	19	11
Zm00001eb005960	58	75
Zm00001eb005970	2	0
Zm00001eb005980	0	1
Zm00001eb005990	0	2
Zm00001eb006000	7	8
Zm00001eb006010	0	0
Zm00001eb006020	147	70
Zm00001eb006030	0	0
Zm00001eb006040	8	5
Zm00001eb006050	0	0
Zm00001eb006060	0	0
Zm00001eb006070	0	2
Zm00001eb006080	11	21
Zm00001eb006090	0	0
Zm00001eb006100	1	0
Zm00001eb006110	0	0
Zm00001eb006120	0	0
Zm00001eb006130	0	0
Zm00001eb006140	18	10
Zm00001eb006150	1	3
Zm00001eb006160	2	2
Zm00001eb006170	0	0
Zm00001eb006180	16	6
Zm00001eb006190	0	0
Zm00001eb006200	2	4
Zm00001eb006210	24	36
Zm00001eb006240	0	0
Zm00001eb006260	0	0
Zm00001eb006270	14	14
Zm00001eb006280	0	0
Zm00001eb006290	0	0
Zm00001eb006300	11	17
Zm00001eb006310	3	1
Zm00001eb006320	1	0
Zm00001eb006330	0	0
Zm00001eb006340	0	0
Zm00001eb006350	25	28
Zm00001eb006360	4	0
Zm00001eb006370	0	0
Zm00001eb006380	17	13
Zm00001eb006390	5	2
Zm00001eb006400	5	6
Zm00001eb006410	27	21
Zm00001eb006420	16	12
Zm00001eb006430	0	0
Zm00001eb006440	5	3
Zm00001eb006450	11	2
Zm00001eb006460	0	0
Zm00001eb006470	15	7
Zm00001eb006480	8	0
Zm00001eb006490	1	3
Zm00001eb006510	7	22
Zm00001eb006520	0	1
Zm00001eb006530	34	32
Zm00001eb006540	2	7
Zm00001eb006550	0	0
Zm00001eb006560	5	10
Zm00001eb006570	8	11
Zm00001eb006590	1	1
Zm00001eb006600	1	5
Zm00001eb006610	2	2
Zm00001eb006620	9	3
Zm00001eb006630	0	0
Zm00001eb006640	0	0
Zm00001eb006650	0	0
Zm00001eb006660	11	9
Zm00001eb006670	1	1
Zm00001eb006680	1	4
Zm00001eb006690	7	7
Zm00001eb006700	0	0
Zm00001eb006710	0	0
Zm00001eb006720	5	1
Zm00001eb006730	0	0
Zm00001eb006740	0	0
Zm00001eb006760	4	0
Zm00001eb006770	29	31
Zm00001eb006780	0	0
Zm00001eb006790	0	0
Zm00001eb006800	0	0
Zm00001eb006830	0	1
Zm00001eb006840	0	1
Zm00001eb006850	4	7
Zm00001eb006860	3	5
Zm00001eb006870	18	14
Zm00001eb006880	10	17
Zm00001eb006890	7	3
Zm00001eb006900	0	0
Zm00001eb006910	4	5
Zm00001eb006920	15	23
Zm00001eb006930	2	3
Zm00001eb006940	8	1
Zm00001eb006950	0	0
Zm00001eb006960	0	0
Zm00001eb006970	0	1
Zm00001eb006990	0	0
Zm00001eb007000	1	2
Zm00001eb007010	7	7
Zm00001eb007020	0	0
Zm00001eb007030	5	10
Zm00001eb007040	0	0
Zm00001eb007050	18	20
Zm00001eb007060	2	3
Zm00001eb007070	2	0
Zm00001eb007080	0	0
Zm00001eb007090	38	38
Zm00001eb007100	0	0
Zm00001eb007110	0	0
Zm00001eb007120	0	0
Zm00001eb007130	3	11
Zm00001eb007140	13	23
Zm00001eb007150	4	5
Zm00001eb007160	0	0
Zm00001eb007170	7	16
Zm00001eb007180	11	20
Zm00001eb007190	1	0
Zm00001eb007200	0	0
Zm00001eb007220	7	5
Zm00001eb007230	0	0
Zm00001eb007240	2	2
Zm00001eb007250	11	30
Zm00001eb007270	3	1
Zm00001eb007280	2	1
Zm00001eb007290	0	0
Zm00001eb007300	0	0
Zm00001eb007310	6	4
Zm00001eb007320	33	16
Zm00001eb007330	0	0
Zm00001eb007340	0	0
Zm00001eb007350	0	0
Zm00001eb007360	0	0
Zm00001eb007370	0	0
Zm00001eb007380	0	0
Zm00001eb007390	0	0
Zm00001eb007400	0	0
Zm00001eb007410	0	0
Zm00001eb007420	0	0
Zm00001eb007430	0	0
Zm00001eb007440	2	1
Zm00001eb007450	0	0
Zm00001eb007460	0	0
Zm00001eb007470	7	7
Zm00001eb007490	0	0
Zm00001eb007500	0	0
Zm00001eb007510	16	31
Zm00001eb007540	0	3
Zm00001eb007550	2	4
Zm00001eb007560	0	0
Zm00001eb007570	3	6
Zm00001eb007580	3	0
Zm00001eb007590	6	1
Zm00001eb007600	6	12
Zm00001eb007610	2	2
Zm00001eb007630	0	0
Zm00001eb007640	0	0
Zm00001eb007650	29	48
Zm00001eb007670	12	14
Zm00001eb007680	17	22
Zm00001eb007690	4	2
Zm00001eb007700	1	0
Zm00001eb007720	0	0
Zm00001eb007730	34	68
Zm00001eb007740	2	0
Zm00001eb007750	3	2
Zm00001eb007760	0	4
Zm00001eb007770	0	0
Zm00001eb007780	10	12
Zm00001eb007790	0	0
Zm00001eb007800	2	1
Zm00001eb007810	11	4
Zm00001eb007820	4	3
Zm00001eb007830	3	6
Zm00001eb007840	0	0
Zm00001eb007850	0	0
Zm00001eb007860	54	79
Zm00001eb007870	1	1
Zm00001eb007880	0	0
Zm00001eb007890	0	0
Zm00001eb007900	0	1
Zm00001eb007910	0	0
Zm00001eb007920	2	3
Zm00001eb007930	1	5
Zm00001eb007940	0	0
Zm00001eb007950	1	1
Zm00001eb007960	5	11
Zm00001eb007970	0	0
Zm00001eb007990	0	0
Zm00001eb008000	0	0
Zm00001eb008010	9	5
Zm00001eb008030	0	0
Zm00001eb008040	0	0
Zm00001eb008050	0	0
Zm00001eb008060	24	27
Zm00001eb008070	1	2
Zm00001eb008080	33	18
Zm00001eb008090	9	2
Zm00001eb008100	2	3
Zm00001eb008130	2	2
Zm00001eb008140	5	11
Zm00001eb008150	0	2
Zm00001eb008160	5	6
Zm00001eb008170	27	20
Zm00001eb008180	3	1
Zm00001eb008190	0	0
Zm00001eb008200	6	6
Zm00001eb008210	0	0
Zm00001eb008220	0	0
Zm00001eb008240	0	0
Zm00001eb008250	0	0
Zm00001eb008260	0	0
Zm00001eb008270	1	1
Zm00001eb008280	0	0
Zm00001eb008290	3	3
Zm00001eb008300	0	0
Zm00001eb008310	11	9
Zm00001eb008320	0	0
Zm00001eb008330	0	0
Zm00001eb008340	39	44
Zm00001eb008350	0	0
Zm00001eb008360	3	16
Zm00001eb008370	12	12
Zm00001eb008380	0	0
Zm00001eb008400	32	38
Zm00001eb008410	0	0
Zm00001eb008420	0	0
Zm00001eb008430	0	1
Zm00001eb008440	57	53
Zm00001eb008450	5	14
Zm00001eb008460	22	37
Zm00001eb008470	6	3
Zm00001eb008480	14	17
Zm00001eb008490	13	18
Zm00001eb008500	0	2
Zm00001eb008510	0	0
Zm00001eb008520	2	7
Zm00001eb008530	11	3
Zm00001eb008540	0	0
Zm00001eb008550	86	106
Zm00001eb008560	1	0
Zm00001eb008570	17	22
Zm00001eb008580	2	4
Zm00001eb008590	1	2
Zm00001eb008600	0	0
Zm00001eb008610	60	78
Zm00001eb008620	8	8
Zm00001eb008630	7	6
Zm00001eb008640	10	6
Zm00001eb008650	15	12
Zm00001eb008660	14	19
Zm00001eb008670	0	0
Zm00001eb008680	0	0
Zm00001eb008690	0	0
Zm00001eb008700	50	78
Zm00001eb008710	0	3
Zm00001eb008720	0	6
Zm00001eb008730	0	0
Zm00001eb008740	0	0
Zm00001eb008750	1	0
Zm00001eb008770	1	4
Zm00001eb008780	15	9
Zm00001eb008790	2	0
Zm00001eb008800	0	0
Zm00001eb008810	19	9
Zm00001eb008820	0	0
Zm00001eb008830	10	2
Zm00001eb008850	2	2
Zm00001eb008860	0	0
Zm00001eb008870	0	1
Zm00001eb008880	3	2
Zm00001eb008890	5	4
Zm00001eb008900	2	9
Zm00001eb008910	11	7
Zm00001eb008920	21	8
Zm00001eb008930	9	1
Zm00001eb008940	0	0
Zm00001eb008950	4	9
Zm00001eb008960	0	0
Zm00001eb008970	0	0
Zm00001eb008980	1	2
Zm00001eb008990	0	0
Zm00001eb009000	0	0
Zm00001eb009010	0	0
Zm00001eb009020	0	0
Zm00001eb009030	0	0
Zm00001eb009040	1	0
Zm00001eb009050	2	2
Zm00001eb009060	1	1
Zm00001eb009070	6	16
Zm00001eb009080	0	0
Zm00001eb009090	2	6
Zm00001eb009100	9	16
Zm00001eb009110	17	25
Zm00001eb009120	1	2
Zm00001eb009130	0	1
Zm00001eb009140	7	11
Zm00001eb009150	3	2
Zm00001eb009160	50	21
Zm00001eb009170	6	3
Zm00001eb009210	0	0
Zm00001eb009230	0	0
Zm00001eb009240	2	5
Zm00001eb009250	3	3
Zm00001eb009260	0	0
Zm00001eb009270	0	0
Zm00001eb009280	0	0
Zm00001eb009290	2	1
Zm00001eb009300	0	0
Zm00001eb009310	20	11
Zm00001eb009320	1	1
Zm00001eb009340	11	0
Zm00001eb009360	8	8
Zm00001eb009370	8	2
Zm00001eb009380	0	1
Zm00001eb009390	0	0
Zm00001eb009400	0	1
Zm00001eb009410	0	0
Zm00001eb009420	0	0
Zm00001eb009430	2	12
Zm00001eb009460	0	0
Zm00001eb009470	0	0
Zm00001eb009480	12	10
Zm00001eb009490	0	0
Zm00001eb009500	2	0
Zm00001eb009510	13	13
Zm00001eb009520	0	0
Zm00001eb009530	0	0
Zm00001eb009540	3	2
Zm00001eb009550	3	12
Zm00001eb009560	0	0
Zm00001eb009570	1	0
Zm00001eb009580	3	3
Zm00001eb009590	0	0
Zm00001eb009600	3	1
Zm00001eb009610	0	0
Zm00001eb009620	0	0
Zm00001eb009630	0	0
Zm00001eb009640	10	2
Zm00001eb009650	0	0
Zm00001eb009660	5	0
Zm00001eb009670	0	0
Zm00001eb009690	0	0
Zm00001eb009700	0	1
Zm00001eb009710	0	1
Zm00001eb009730	2	13
Zm00001eb009750	0	0
Zm00001eb009760	0	0
Zm00001eb009770	2	1
Zm00001eb009780	2	1
Zm00001eb009800	0	0
Zm00001eb009810	35	45
Zm00001eb009820	0	0
Zm00001eb009830	0	0
Zm00001eb009840	0	0
Zm00001eb009850	1	0
Zm00001eb009860	0	0
Zm00001eb009870	0	3
Zm00001eb009880	25	12
Zm00001eb009890	6	13
Zm00001eb009900	17	60
Zm00001eb009910	91	81
Zm00001eb009920	34	57
Zm00001eb009930	0	0
Zm00001eb009940	6	0
Zm00001eb009950	0	0
Zm00001eb009960	3	11
Zm00001eb009970	0	0
Zm00001eb009980	14	12
Zm00001eb009990	2	2
Zm00001eb010000	0	0
Zm00001eb010010	0	0
Zm00001eb010020	2	4
Zm00001eb010030	61	82
Zm00001eb010040	10	8
Zm00001eb010050	1	0
Zm00001eb010060	0	0
Zm00001eb010070	16	8
Zm00001eb010080	0	0
Zm00001eb010090	0	0
Zm00001eb010100	1	3
Zm00001eb010110	4	6
Zm00001eb010130	1	5
Zm00001eb010140	12	12
Zm00001eb010150	23	17
Zm00001eb010160	10	14
Zm00001eb010170	0	0
Zm00001eb010180	0	0
Zm00001eb010190	8	7
Zm00001eb010200	2	5
Zm00001eb010210	0	0
Zm00001eb010220	0	0
Zm00001eb010230	28	36
Zm00001eb010240	1	8
Zm00001eb010250	0	0
Zm00001eb010260	0	0
Zm00001eb010270	0	0
Zm00001eb010280	11	15
Zm00001eb010290	0	0
Zm00001eb010300	35	38
Zm00001eb010310	6	5
Zm00001eb010320	37	11
Zm00001eb010330	3	4
Zm00001eb010340	2	4
Zm00001eb010350	0	0
Zm00001eb010360	4	15
Zm00001eb010370	20	20
Zm00001eb010380	0	0
Zm00001eb010390	0	0
Zm00001eb010400	53	69
Zm00001eb010410	0	3
Zm00001eb010420	3	2
Zm00001eb010440	11	9
Zm00001eb010450	6	2
Zm00001eb010460	3	2
Zm00001eb010470	0	0
Zm00001eb010480	1	2
Zm00001eb010490	0	1
Zm00001eb010500	24	18
Zm00001eb010530	0	0
Zm00001eb010540	1	0
Zm00001eb010550	3	2
Zm00001eb010560	53	46
Zm00001eb010570	2	0
Zm00001eb010590	2	4
Zm00001eb010600	1	3
Zm00001eb010610	4	3
Zm00001eb010620	11	11
Zm00001eb010630	0	0
Zm00001eb010640	3	1
Zm00001eb010650	1	0
Zm00001eb010660	1	1
Zm00001eb010680	2	2
Zm00001eb010690	5	13
Zm00001eb010700	23	23
Zm00001eb010710	3	8
Zm00001eb010720	0	2
Zm00001eb010730	17	29
Zm00001eb010740	14	11
Zm00001eb010750	0	0
Zm00001eb010760	0	0
Zm00001eb010770	0	0
Zm00001eb010780	0	0
Zm00001eb010790	107	137
Zm00001eb010800	1	0
Zm00001eb010810	44	83
Zm00001eb010820	1	2
Zm00001eb010830	2	0
Zm00001eb010840	0	0
Zm00001eb010850	0	0
Zm00001eb010860	3	5
Zm00001eb010870	0	0
Zm00001eb010890	0	0
Zm00001eb010900	6	10
Zm00001eb010910	1	1
Zm00001eb010940	0	0
Zm00001eb010950	8	10
Zm00001eb010960	7	6
Zm00001eb010980	0	11
Zm00001eb010990	5	13
Zm00001eb011000	21	18
Zm00001eb011010	40	74
