ENSEMBL_GeneID	name_C_24_III	name_C_6_II	name_C_6_III	name_T_24_II	name_T_24_III	name_T_6_II	name_T_6_III
Zm00001eb001790	0	0	0	0	0	2	2
Zm00001eb001800	1	0	0	0	0	0	0
Zm00001eb001810	581	545	545	294	467	488	488
Zm00001eb001820	107	38	38	9	18	33	33
Zm00001eb001830	280	120	120	137	64	147	147
Zm00001eb001840	503	367	367	271	184	202	202
Zm00001eb001860	1404	1229	1229	2502	1352	2422	2422
Zm00001eb001870	2398	661	661	793	1574	806	806
Zm00001eb001880	1641	974	974	1025	1311	859	859
Zm00001eb001890	113	83	83	112	94	106	106
Zm00001eb001900	281	191	191	143	305	233	233
Zm00001eb001910	1033	1074	1074	986	788	1176	1176
Zm00001eb001920	54	32	32	36	52	76	76
Zm00001eb001940	1952	1059	1059	1255	1337	1521	1521
Zm00001eb001950	1003	690	690	1022	252	412	412
Zm00001eb001960	0	0	0	0	0	3	3
Zm00001eb001970	0	0	0	0	0	0	0
Zm00001eb001980	328	259	259	388	334	443	443
Zm00001eb001990	70	41	41	68	38	46	46
Zm00001eb002000	683	528	528	1117	926	882	882
Zm00001eb002010	123	80	80	73	256	146	146
Zm00001eb002020	237	187	187	272	211	214	214
Zm00001eb002030	193	220	220	141	156	324	324
Zm00001eb002040	480	918	918	1006	642	1166	1166
Zm00001eb002050	0	12	12	3	1	3	3
Zm00001eb002060	7409	4043	4043	5757	7422	5892	5892
Zm00001eb002070	117	147	147	155	88	176	176
Zm00001eb002080	20	5	5	7	12	4	4
Zm00001eb002090	886	1588	1588	635	1089	1168	1168
Zm00001eb002100	2335	994	994	1117	1567	1583	1583
Zm00001eb002140	0	0	0	0	0	0	0
Zm00001eb002150	14	13	13	11	10	3	3
Zm00001eb002170	618	453	453	680	442	658	658
Zm00001eb002180	1518	1941	1941	1324	1899	1819	1819
Zm00001eb002190	14	8	8	18	11	18	18
Zm00001eb002200	170	75	75	104	70	127	127
Zm00001eb002210	6	0	0	2	0	4	4
Zm00001eb002220	3143	2661	2661	3309	3159	4181	4181
Zm00001eb002240	73	73	73	96	64	81	81
Zm00001eb002250	6	12	12	2	3	10	10
Zm00001eb002260	1765	2296	2296	2219	1552	2675	2675
Zm00001eb002270	1253	597	597	586	582	395	395
Zm00001eb002280	6	1	1	2	14	3	3
Zm00001eb002290	0	1	1	0	0	1	1
Zm00001eb002300	3	3	3	0	0	0	0
Zm00001eb002310	70	49	49	79	48	93	93
Zm00001eb002320	3442	2894	2894	3594	3930	4186	4186
Zm00001eb002330	4	6	6	27	8	27	27
Zm00001eb002340	0	0	0	0	0	0	0
Zm00001eb002350	1	0	0	0	0	0	0
Zm00001eb002360	0	2	2	0	0	1	1
Zm00001eb002370	0	0	0	0	0	0	0
Zm00001eb002380	7	21	21	2	4	9	9
Zm00001eb002390	1423	1349	1349	1598	3021	2675	2675
Zm00001eb002410	0	0	0	0	0	0	0
Zm00001eb002420	1784	1370	1370	2306	1845	2863	2863
Zm00001eb002430	1431	1249	1249	1442	1243	1856	1856
Zm00001eb002440	433	353	353	361	605	471	471
Zm00001eb002450	300	289	289	212	105	252	252
Zm00001eb002460	267	270	270	217	160	239	239
Zm00001eb002470	105	121	121	91	101	104	104
Zm00001eb002480	5	16	16	3	4	9	9
Zm00001eb002490	883	1056	1056	957	783	1169	1169
Zm00001eb002510	157	265	265	193	160	224	224
Zm00001eb002520	2962	851	851	2159	3033	2063	2063
Zm00001eb002530	1705	1749	1749	1320	1111	1796	1796
Zm00001eb002540	508	394	394	638	382	679	679
Zm00001eb002550	578	779	779	673	297	917	917
Zm00001eb002560	290	374	374	329	234	310	310
Zm00001eb002570	471	970	970	628	497	775	775
Zm00001eb002590	2273	3155	3155	2104	3087	3595	3595
Zm00001eb002600	39	69	69	93	255	49	49
Zm00001eb002610	969	822	822	668	1074	761	761
Zm00001eb002620	5678	4934	4934	5688	5224	6197	6197
Zm00001eb002640	3890	2839	2839	5059	3584	5516	5516
Zm00001eb002650	0	0	0	1	0	0	0
Zm00001eb002660	105	118	118	12	69	30	30
Zm00001eb002680	346	160	160	173	159	308	308
Zm00001eb002690	423	954	954	477	249	589	589
Zm00001eb002700	1	0	0	3	2	1	1
Zm00001eb002710	0	0	0	0	0	0	0
Zm00001eb002720	0	0	0	0	0	0	0
Zm00001eb002730	0	0	0	0	0	0	0
Zm00001eb002740	1014	848	848	629	390	981	981
Zm00001eb002750	0	0	0	0	0	0	0
Zm00001eb002760	274	171	171	107	304	348	348
Zm00001eb002770	0	0	0	0	0	0	0
Zm00001eb002780	1715	1958	1958	1027	1940	1419	1419
Zm00001eb002790	1536	1455	1455	1346	1613	1938	1938
Zm00001eb002800	2315	1910	1910	1513	2522	2400	2400
Zm00001eb002810	2044	1310	1310	1652	970	1715	1715
Zm00001eb002820	567	344	344	468	360	412	412
Zm00001eb002830	487	794	794	395	252	1348	1348
Zm00001eb002840	0	0	0	1	0	0	0
Zm00001eb002850	0	0	0	0	0	0	0
Zm00001eb002860	0	7	7	3	0	2	2
Zm00001eb002870	121	41	41	17	62	26	26
Zm00001eb002880	2	0	0	1	0	0	0
Zm00001eb002890	1	0	0	0	2	0	0
Zm00001eb002900	0	1	1	0	0	0	0
Zm00001eb002910	1	485	485	637	8	724	724
Zm00001eb002920	206	154	154	171	103	247	247
Zm00001eb002930	57	93	93	167	116	54	54
Zm00001eb002940	338	305	305	559	460	541	541
Zm00001eb002950	492	277	277	357	188	529	529
Zm00001eb002960	3462	4171	4171	3945	4938	4465	4465
Zm00001eb002970	0	8	8	0	0	3	3
Zm00001eb002980	43	21	21	11	16	49	49
Zm00001eb002990	0	0	0	0	0	0	0
Zm00001eb003000	277	264	264	249	258	307	307
Zm00001eb003010	592	513	513	543	510	523	523
Zm00001eb003020	474	452	452	264	388	332	332
Zm00001eb003030	572	482	482	460	424	543	543
Zm00001eb003040	371	147	147	217	200	263	263
Zm00001eb003050	0	0	0	0	0	0	0
Zm00001eb003060	0	0	0	0	0	0	0
Zm00001eb003070	1411	602	602	994	1477	1047	1047
Zm00001eb003080	433	257	257	294	239	237	237
Zm00001eb003090	12	17	17	7	9	12	12
Zm00001eb003100	4	0	0	0	1	0	0
Zm00001eb003110	239	241	241	216	206	121	121
Zm00001eb003120	0	1	1	0	0	0	0
Zm00001eb003130	168	152	152	319	351	233	233
Zm00001eb003140	106	32	32	48	41	63	63
Zm00001eb003150	1	4	4	1	0	5	5
Zm00001eb003160	0	2	2	2	2	1	1
Zm00001eb003170	839	1457	1457	1210	790	1144	1144
Zm00001eb003180	8805	5805	5805	10046	9401	10096	10096
Zm00001eb003190	451	186	186	176	442	298	298
Zm00001eb003200	66	97	97	38	46	74	74
Zm00001eb003210	16	14	14	11	4	10	10
Zm00001eb003220	0	0	0	0	0	0	0
Zm00001eb003230	0	0	0	0	1	0	0
Zm00001eb003240	1951	1247	1247	1830	1892	1253	1253
Zm00001eb003270	0	0	0	0	1	0	0
Zm00001eb003280	0	0	0	0	0	0	0
Zm00001eb003290	0	0	0	0	0	0	0
Zm00001eb003300	0	1	1	0	0	0	0
Zm00001eb003310	0	7	7	1	0	11	11
Zm00001eb003330	21	11	11	4	19	6	6
Zm00001eb003340	35	25	25	24	11	26	26
Zm00001eb003350	4032	2195	2195	4409	4565	4031	4031
Zm00001eb003360	1632	1140	1140	1499	1050	1464	1464
Zm00001eb003370	1	0	0	0	0	0	0
Zm00001eb003380	2	1	1	0	0	0	0
Zm00001eb003390	0	0	0	0	0	0	0
Zm00001eb003400	1	6	6	6	0	6	6
Zm00001eb003420	3149	1546	1546	2735	2989	3069	3069
Zm00001eb003440	5369	2303	2303	6762	4781	5039	5039
Zm00001eb003450	4	11	11	1	5	4	4
Zm00001eb003460	46	76	76	12	64	30	30
Zm00001eb003470	1425	527	527	601	1872	1389	1389
Zm00001eb003480	874	1145	1145	497	692	694	694
Zm00001eb003490	3526	5965	5965	5913	3946	6335	6335
Zm00001eb003510	856	671	671	932	753	993	993
Zm00001eb003520	156	173	173	240	45	166	166
Zm00001eb003530	0	0	0	0	0	0	0
Zm00001eb003540	1049	1157	1157	1210	1334	1453	1453
Zm00001eb003550	4175	3212	3212	2649	2965	4142	4142
Zm00001eb003560	3	21	21	7	1	4	4
Zm00001eb003570	75	8	8	1	58	3	3
Zm00001eb003580	539	374	374	401	337	468	468
Zm00001eb003590	0	0	0	0	0	0	0
Zm00001eb003600	17	7	7	4	11	17	17
Zm00001eb003610	13	15	15	1	12	18	18
Zm00001eb003620	77	25	25	32	54	39	39
Zm00001eb003630	95	38	38	8	42	32	32
Zm00001eb003650	1317	964	964	700	741	1206	1206
Zm00001eb003660	757	925	925	436	519	780	780
Zm00001eb003670	201	360	360	291	321	367	367
Zm00001eb003680	4	2	2	5	14	5	5
Zm00001eb003690	1282	1301	1301	1681	1100	1830	1830
Zm00001eb003700	263	717	717	253	66	630	630
Zm00001eb003710	0	0	0	0	0	0	0
Zm00001eb003720	0	0	0	0	0	0	0
Zm00001eb003730	49483	67343	67343	51424	45728	59521	59521
Zm00001eb003740	0	0	0	0	0	0	0
Zm00001eb003750	296	255	255	183	139	270	270
Zm00001eb003760	690	157	157	110	294	135	135
Zm00001eb003770	0	4	4	0	0	1	1
Zm00001eb003780	146	252	252	135	106	138	138
Zm00001eb003790	0	3	3	0	1	2	2
Zm00001eb003800	3	0	0	0	0	0	0
Zm00001eb003810	1956	2048	2048	1695	1518	2502	2502
Zm00001eb003820	650	104	104	117	518	251	251
Zm00001eb003830	3598	3503	3503	3151	5295	3958	3958
Zm00001eb003840	1149	1118	1118	1568	1029	1476	1476
Zm00001eb003850	101	184	184	276	93	293	293
Zm00001eb003860	28	54	54	37	16	42	42
Zm00001eb003870	124	88	88	49	82	41	41
Zm00001eb003880	828	519	519	688	723	703	703
Zm00001eb003890	602	491	491	524	411	620	620
Zm00001eb003900	169	114	114	156	132	162	162
Zm00001eb003910	129	117	117	47	68	228	228
Zm00001eb003920	27	16	16	12	22	46	46
Zm00001eb003930	5811	3686	3686	4590	4641	5318	5318
Zm00001eb003940	2	0	0	0	0	0	0
Zm00001eb003950	0	0	0	0	0	0	0
Zm00001eb003960	25	15	15	2	13	12	12
Zm00001eb003970	309	354	354	366	185	366	366
Zm00001eb004000	149	125	125	88	159	160	160
Zm00001eb004020	0	0	0	2	0	1	1
Zm00001eb004030	1497	2155	2155	2916	1775	3281	3281
Zm00001eb004040	0	0	0	0	0	0	0
Zm00001eb004050	425	347	347	663	350	587	587
Zm00001eb004060	3	0	0	0	1	0	0
Zm00001eb004070	1	0	0	0	0	0	0
Zm00001eb004080	88	4	4	4	67	11	11
Zm00001eb004090	1492	741	741	1259	1536	1290	1290
Zm00001eb004100	0	0	0	0	0	0	0
Zm00001eb004110	0	0	0	0	0	0	0
Zm00001eb004120	1320	1587	1587	1995	1437	1954	1954
Zm00001eb004130	3	0	0	0	0	0	0
Zm00001eb004140	70	90	90	29	42	79	79
Zm00001eb004150	0	0	0	0	0	0	0
Zm00001eb004160	689	561	561	379	351	595	595
Zm00001eb004170	4307	2991	2991	3085	4074	3074	3074
Zm00001eb004180	131	126	126	152	286	127	127
Zm00001eb004190	305	218	218	262	320	323	323
Zm00001eb004200	0	9	9	4	1	0	0
Zm00001eb004210	587	1145	1145	802	1103	800	800
Zm00001eb004220	0	0	0	0	0	0	0
Zm00001eb004230	0	0	0	0	0	0	0
Zm00001eb004240	221	268	268	204	168	191	191
Zm00001eb004250	228	258	258	183	174	278	278
Zm00001eb004260	116	60	60	12	16	32	32
Zm00001eb004280	193	14	14	2	29	5	5
Zm00001eb004290	742	1280	1280	855	798	1094	1094
Zm00001eb004300	39	4	4	2	30	2	2
Zm00001eb004310	522	596	596	312	408	360	360
Zm00001eb004320	680	622	622	1199	591	1133	1133
Zm00001eb004330	8	7	7	10	7	4	4
Zm00001eb004340	295	127	127	194	184	118	118
Zm00001eb004350	0	0	0	0	0	0	0
Zm00001eb004360	3	1	1	0	2	0	0
Zm00001eb004370	1586	1372	1372	1021	1088	1394	1394
Zm00001eb004380	0	0	0	0	0	0	0
Zm00001eb004390	0	0	0	0	0	0	0
Zm00001eb004400	1821	1773	1773	2238	2177	2503	2503
Zm00001eb004410	42	44	44	47	9	38	38
Zm00001eb004420	8469	10860	10860	9279	7817	9574	9574
Zm00001eb004430	384	690	690	580	497	842	842
Zm00001eb004440	736	300	300	368	602	542	542
Zm00001eb004450	5	0	0	4	5	0	0
Zm00001eb004460	0	0	0	0	0	0	0
Zm00001eb004470	790	201	201	653	281	462	462
Zm00001eb004480	153	103	103	61	48	74	74
Zm00001eb004490	893	607	607	486	400	472	472
Zm00001eb004500	513	681	681	422	459	467	467
Zm00001eb004510	74	83	83	57	36	73	73
Zm00001eb004530	72	13	13	37	28	25	25
Zm00001eb004540	412	402	402	147	186	248	248
Zm00001eb004550	2870	4621	4621	1995	2436	3465	3465
Zm00001eb004560	46	108	108	34	25	56	56
Zm00001eb004570	129	291	291	292	83	318	318
Zm00001eb004590	270	213	213	206	173	240	240
Zm00001eb004600	29	0	0	0	2	0	0
Zm00001eb004610	0	0	0	0	1	1	1
Zm00001eb004630	88	244	244	68	32	106	106
Zm00001eb004640	0	0	0	0	0	0	0
Zm00001eb004650	108	71	71	210	74	317	317
Zm00001eb004660	6475	4694	4694	4957	5732	5721	5721
Zm00001eb004670	47	11	11	0	24	15	15
Zm00001eb004690	0	0	0	0	0	0	0
Zm00001eb004710	2	2	2	7	7	0	0
Zm00001eb004720	3	0	0	0	0	0	0
Zm00001eb004730	0	0	0	0	0	0	0
Zm00001eb004740	0	0	0	2	4	0	0
Zm00001eb004750	0	22	22	33	1	32	32
Zm00001eb004760	93	111	111	118	14	278	278
Zm00001eb004770	79	148	148	86	61	93	93
Zm00001eb004780	436	440	440	572	313	585	585
Zm00001eb004790	1229	961	961	1078	999	1079	1079
Zm00001eb004800	0	0	0	0	0	0	0
Zm00001eb004810	0	0	0	0	0	0	0
Zm00001eb004820	0	0	0	0	0	0	0
Zm00001eb004830	0	0	0	0	0	0	0
Zm00001eb004840	0	0	0	0	0	0	0
Zm00001eb004850	0	0	0	0	0	0	0
Zm00001eb004860	0	0	0	0	0	0	0
Zm00001eb004880	4	1	1	0	0	0	0
Zm00001eb004890	156	0	0	0	152	0	0
Zm00001eb004900	190	0	0	0	154	0	0
Zm00001eb004920	17	48	48	82	16	56	56
Zm00001eb004940	957	745	745	853	622	870	870
Zm00001eb004950	0	3	3	2	0	3	3
Zm00001eb004960	158	15	15	20	90	17	17
Zm00001eb004970	0	0	0	0	0	0	0
Zm00001eb004980	0	1	1	0	0	0	0
Zm00001eb004990	420	369	369	396	366	361	361
Zm00001eb005000	176	145	145	126	121	110	110
Zm00001eb005010	255	338	338	328	100	390	390
Zm00001eb005020	1437	1165	1165	728	1907	1070	1070
Zm00001eb005030	930	783	783	710	593	574	574
Zm00001eb005040	5	0	0	5	3	5	5
Zm00001eb005060	170	89	89	68	76	66	66
Zm00001eb005070	1335	2043	2043	1040	862	1400	1400
Zm00001eb005080	0	0	0	1	1	0	0
Zm00001eb005100	78	58	58	25	15	40	40
Zm00001eb005110	7	26	26	4	4	18	18
Zm00001eb005120	197	160	160	203	166	234	234
Zm00001eb005130	3062	1898	1898	3445	1828	2305	2305
Zm00001eb005140	2115	1523	1523	1563	1339	2285	2285
Zm00001eb005150	0	8	8	4	0	12	12
Zm00001eb005160	0	1	1	0	0	3	3
Zm00001eb005170	6	7	7	8	1	1	1
Zm00001eb005180	0	0	0	0	0	0	0
Zm00001eb005190	857	739	739	1057	1057	1076	1076
Zm00001eb005200	0	0	0	0	0	0	0
Zm00001eb005210	1	12	12	18	0	21	21
Zm00001eb005220	2210	1387	1387	2172	2091	2563	2563
Zm00001eb005230	282	218	218	268	330	291	291
Zm00001eb005240	2	2	2	3	0	0	0
Zm00001eb005250	55	49	49	181	85	75	75
Zm00001eb005260	0	0	0	4	0	0	0
Zm00001eb005270	0	29	29	6	1	24	24
Zm00001eb005280	660	650	650	384	222	445	445
Zm00001eb005290	2	0	0	0	7	2	2
Zm00001eb005300	24	1	1	13	123	16	16
Zm00001eb005310	78	48	48	66	54	56	56
Zm00001eb005320	1303	564	564	827	1155	1013	1013
Zm00001eb005330	2292	1625	1625	2213	1793	2065	2065
Zm00001eb005340	686	362	362	279	289	253	253
Zm00001eb005350	5	10	10	13	8	27	27
Zm00001eb005360	68	49	49	30	17	32	32
Zm00001eb005370	366	418	418	350	376	474	474
Zm00001eb005380	134	58	58	44	154	119	119
Zm00001eb005390	293	231	231	281	225	246	246
Zm00001eb005400	554	694	694	662	575	720	720
Zm00001eb005410	0	0	0	0	0	0	0
Zm00001eb005420	482	344	344	333	267	271	271
Zm00001eb005430	1373	1022	1022	1202	1815	1408	1408
Zm00001eb005440	519	292	292	221	320	284	284
Zm00001eb005450	42	26	26	5	17	22	22
Zm00001eb005460	1376	2182	2182	3004	3717	2476	2476
Zm00001eb005470	0	0	0	2	2	0	0
Zm00001eb005480	0	8	8	4	0	3	3
Zm00001eb005490	0	13	13	4	0	1	1
Zm00001eb005500	560	322	322	190	744	405	405
Zm00001eb005510	57	13	13	5	75	17	17
Zm00001eb005530	1487	1215	1215	429	868	1140	1140
Zm00001eb005540	182	100	100	99	81	135	135
Zm00001eb005550	3658	5208	5208	3578	3908	7115	7115
Zm00001eb005560	3	0	0	3	0	0	0
Zm00001eb005570	20	41	41	3	12	6	6
Zm00001eb005580	151	10	10	2	133	26	26
Zm00001eb005590	7	0	0	8	2	17	17
Zm00001eb005600	567	344	344	670	366	712	712
Zm00001eb005610	0	0	0	0	1	0	0
Zm00001eb005630	1242	926	926	1218	1133	1073	1073
Zm00001eb005640	88	35	35	116	69	82	82
Zm00001eb005650	1	16	16	7	2	0	0
Zm00001eb005660	4122	2345	2345	4177	3414	4375	4375
Zm00001eb005670	400	233	233	172	147	163	163
Zm00001eb005680	427	215	215	172	277	279	279
Zm00001eb005690	595	287	287	268	265	170	170
Zm00001eb005700	968	656	656	1599	1653	1001	1001
Zm00001eb005710	971	636	636	644	779	561	561
Zm00001eb005740	4	15	15	32	1	10	10
Zm00001eb005760	136	99	99	81	39	175	175
Zm00001eb005770	373	336	336	201	112	338	338
Zm00001eb005780	92	77	77	48	96	77	77
Zm00001eb005800	1	12	12	22	1	4	4
Zm00001eb005810	61	31	31	38	17	61	61
Zm00001eb005820	899	992	992	666	634	971	971
Zm00001eb005830	21	14	14	29	15	12	12
Zm00001eb005840	1184	963	963	1845	1028	2138	2138
Zm00001eb005850	508	398	398	102	372	434	434
Zm00001eb005860	338	414	414	608	308	501	501
Zm00001eb005870	4	0	0	0	1	0	0
Zm00001eb005890	113	60	60	45	68	65	65
Zm00001eb005900	247	214	214	119	184	250	250
Zm00001eb005920	1294	814	814	457	1282	678	678
Zm00001eb005930	0	2	2	9	4	4	4
Zm00001eb005940	0	0	0	0	0	0	0
Zm00001eb005950	1668	1217	1217	1253	904	1650	1650
Zm00001eb005960	5816	4264	4264	5537	5909	6524	6524
Zm00001eb005970	77	78	78	52	26	86	86
Zm00001eb005980	16	53	53	37	22	75	75
