Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
MSTRG.22	-	chr1	+	3115493	3126872	0.977665	11.182618	12.693213
Zm00001eb000880	-	chr1	-	3163359	3167829	0.410937	3.990710	4.529792
MSTRG.60	-	chr1	+	3215293	3221599	0.216705	2.043800	2.319885
MSTRG.73	-	chr1	-	3223370	3224844	1.785317	16.807301	19.077702
MSTRG.88	-	chr1	+	3263012	3279756	1.929843	19.064718	21.640060
Zm00001eb000930	-	chr1	-	3280308	3282259	0.117828	1.109254	1.259097
Zm00001eb000940	-	chr1	+	3280357	3281253	0.000000	0.000000	0.000000
MSTRG.42	-	chr1	.	3283947	3284335	23.010283	216.623016	245.885361
MSTRG.31	-	chr1	+	3362236	3365818	2.257011	24.048088	27.296604
MSTRG.41	-	chr1	-	3368388	3369418	2.093113	19.704948	22.366776
MSTRG.32	-	chr1	+	3370081	3371465	0.939090	8.840765	10.035013
MSTRG.33	-	chr1	-	3371279	3376586	0.049900	0.475341	0.539552
MSTRG.54	-	chr1	+	3432419	3436408	0.481008	4.528297	5.139999
MSTRG.55	-	chr1	-	3434663	3437323	0.375293	3.533077	4.010340
MSTRG.35	-	chr1	+	3473728	3478290	0.731743	6.888762	7.819325
MSTRG.38	-	chr1	+	3480374	3483331	1.526169	24.087524	27.341368
Zm00001eb001060	-	chr1	-	3486091	3488116	0.514175	4.840538	5.494418
MSTRG.39	-	chr1	+	3535438	3540435	0.954568	8.986478	10.200409
MSTRG.34	-	chr1	.	3564479	3564845	6.168937	58.075500	65.920586
MSTRG.40	-	chr1	.	3565884	3566112	5.021834	47.276463	53.662769
MSTRG.37	-	chr1	-	3642003	3652191	2.075197	19.536283	22.175327
MSTRG.51	-	chr1	+	3762739	3766217	0.238240	2.305816	2.617295
MSTRG.52	-	chr1	-	3766150	3769278	0.000000	0.000000	0.000000
Zm00001eb001150	-	chr1	+	3787682	3792482	0.000000	0.000000	0.000000
Zm00001eb001160	-	chr1	-	3789833	3792468	0.288316	2.714260	3.080913
Zm00001eb001190	-	chr1	+	3802584	3803735	0.653646	6.153543	6.984789
MSTRG.47	-	chr1	+	3833378	3837494	0.487432	6.065558	6.884919
Zm00001eb001220	-	chr1	+	3840616	3845721	0.563738	5.307133	6.024043
Zm00001eb001240	-	chr1	+	3903971	3908178	0.659725	6.210772	7.049749
MSTRG.44	-	chr1	+	3951421	3956063	4.047288	38.101910	43.248875
MSTRG.45	-	chr1	-	3956047	3959705	0.489282	4.750067	5.391726
MSTRG.82	-	chr1	-	3965228	3975390	0.239812	6.304510	7.156148
MSTRG.68	-	chr1	+	4078810	4083607	0.892857	9.330068	10.590412
MSTRG.46	-	chr1	+	4083900	4086535	0.245460	2.310805	2.622959
MSTRG.49	-	chr1	-	4087436	4089632	1.669218	16.663698	18.914700
Zm00001eb001370	-	chr1	-	4090633	4095211	0.069086	0.650388	0.738245
MSTRG.48	-	chr1	.	4101950	4104548	11.583109	109.045509	123.775833
MSTRG.50	-	chr1	-	4111310	4118908	15.080146	141.967255	161.144791
MSTRG.56	-	chr1	+	4173806	4249156	3.463402	40.570572	46.051018
Zm00001eb001440	-	chr1	+	4270812	4273294	0.111559	1.050237	1.192107
MSTRG.53	-	chr1	+	4293004	4304802	1.578413	15.404747	17.485685
MSTRG.90	-	chr1	+	4355214	4357396	0.000000	0.000000	0.000000
MSTRG.107	-	chr1	-	4370484	4378831	0.099482	2.080864	2.361956
MSTRG.108	-	chr1	+	4370689	4373976	0.000000	0.000000	0.000000
MSTRG.69	-	chr1	-	4447853	4452527	0.382517	4.722691	5.360652
Zm00001eb001520	-	chr1	-	4480634	4487953	0.277496	2.612398	2.965292
MSTRG.61	-	chr1	-	4489656	4491331	1.851233	17.427847	19.782074
MSTRG.59	-	chr1	-	4672210	4675614	4.133412	43.863373	49.788620
MSTRG.62	-	chr1	-	4678241	4689963	0.336807	6.858703	7.785205
Zm00001eb001630	-	chr1	+	4844238	4848250	0.101559	1.109264	1.259108
MSTRG.74	-	chr1	-	4854128	4856665	0.257485	2.424011	2.751456
MSTRG.64	-	chr1	-	4860147	4868040	0.433333	4.204045	4.771945
Zm00001eb001670	-	chr1	-	4932248	4948340	0.118629	1.227346	1.393141
MSTRG.72	-	chr1	+	5048745	5051733	4.691447	47.392250	53.794193
Zm00001eb001700	-	chr1	+	5060152	5061950	1.419569	13.364082	15.169359
MSTRG.77	-	chr1	+	5064533	5070054	1.546044	14.554742	16.520857
MSTRG.67	-	chr1	+	5076499	5081101	0.576000	5.900132	6.697147
MSTRG.63	-	chr1	+	5156079	5161908	0.494749	5.620559	6.379808
Zm00001eb001780	-	chr1	+	5281432	5285006	0.000000	0.000000	0.000000
Zm00001eb001790	-	chr1	-	5285349	5285654	0.000000	0.000000	0.000000
Zm00001eb001800	-	chr1	-	5285662	5286601	0.000000	0.000000	0.000000
Zm00001eb001810	-	chr1	+	5365242	5367385	0.610075	5.743358	6.519195
Zm00001eb001820	-	chr1	+	5376196	5377536	0.000000	0.000000	0.000000
MSTRG.65	-	chr1	+	5384580	5388305	0.270666	2.636084	2.992177
MSTRG.66	-	chr1	-	5386927	5389230	1.759452	16.563803	18.801311
MSTRG.83	-	chr1	+	5423774	5431320	2.085970	19.645584	22.299391
MSTRG.101	-	chr1	+	5434423	5440930	2.411202	22.699497	25.765841
MSTRG.80	-	chr1	+	5444640	5448668	1.676166	16.721718	18.980556
Zm00001eb001890	-	chr1	-	5449946	5454011	0.000000	0.000000	0.000000
MSTRG.78	-	chr1	+	5471781	5480336	0.000000	0.000000	0.000000
MSTRG.79	-	chr1	-	5479359	5493877	0.563248	5.302520	6.018806
Zm00001eb001920	-	chr1	-	5542959	5544109	0.000000	0.000000	0.000000
MSTRG.76	-	chr1	-	5563658	5568308	2.128411	20.037251	22.743967
MSTRG.81	-	chr1	-	5615012	5616453	1.926195	18.757505	21.291348
Zm00001eb001960	-	chr1	+	5651777	5652845	0.143592	1.351801	1.534408
Zm00001eb001970	-	chr1	-	5651845	5652735	0.172278	1.621857	1.840944
MSTRG.75	-	chr1	-	5655021	5657414	1.099061	13.923097	15.803887
Zm00001eb001990	-	chr1	-	5659149	5666171	0.323418	3.193282	3.624643
MSTRG.89	-	chr1	+	5743584	5766324	1.426583	13.430114	15.244309
MSTRG.84	-	chr1	+	5769996	5774406	0.308558	2.904821	3.297217
MSTRG.85	-	chr1	-	5772493	5778595	0.346304	3.260169	3.700567
Zm00001eb002030	-	chr1	+	5836552	5841719	0.222103	2.090918	2.373368
MSTRG.104	-	chr1	-	5847054	5859789	0.388448	3.998015	4.538084
MSTRG.95	-	chr1	+	5897030	5900917	12.218390	121.702644	138.142761
Zm00001eb002070	-	chr1	+	5974073	5976558	0.369792	3.481290	3.951557
Zm00001eb002080	-	chr1	-	5975458	5976368	0.000000	0.000000	0.000000
Zm00001eb002090	-	chr1	+	5987621	5991591	0.698762	7.273370	8.255887
MSTRG.159	-	chr1	-	6021571	6114922	0.678454	6.387090	7.249885
MSTRG.100	-	chr1	-	6200061	6204667	0.627043	14.310547	16.243675
MSTRG.91	-	chr1	+	6223600	6228409	2.944525	27.720299	31.464872
MSTRG.92	-	chr1	-	6227615	6230600	0.132803	1.305201	1.481513
Zm00001eb002200	-	chr1	-	6243871	6247902	0.376255	3.542134	4.020620
Zm00001eb002210	-	chr1	+	6245655	6246568	0.000000	0.000000	0.000000
MSTRG.93	-	chr1	-	6249500	6254299	3.251186	31.089897	35.289650
Zm00001eb002240	-	chr1	+	6260934	6263719	0.000000	0.000000	0.000000
Zm00001eb002250	-	chr1	-	6263313	6267523	0.000000	0.000000	0.000000
MSTRG.97	-	chr1	-	6272463	6282114	1.502356	15.255947	17.316784
MSTRG.139	-	chr1	+	6360197	6362989	0.627353	6.946029	7.884328
Zm00001eb002280	-	chr1	+	6365240	6365762	0.000000	0.000000	0.000000
Zm00001eb002290	-	chr1	-	6372483	6375552	0.000000	0.000000	0.000000
Zm00001eb002300	-	chr1	-	6380105	6384420	0.000000	0.000000	0.000000
MSTRG.96	-	chr1	-	6477433	6482618	0.104892	0.987472	1.120864
MSTRG.118	-	chr1	-	6492735	6496230	19.034483	179.194107	203.400391
MSTRG.94	-	chr1	+	6750999	6751362	12.841666	120.893799	137.224640
MSTRG.102	-	chr1	+	6778851	6782130	4.994713	47.021137	53.372955
MSTRG.105	-	chr1	-	6782672	6793725	1.174353	12.075176	13.706343
MSTRG.110	-	chr1	-	6860587	6865501	0.189141	2.339782	2.655850
MSTRG.130	-	chr1	-	6868157	6871764	0.387471	4.094191	4.647251
MSTRG.114	-	chr1	+	6981387	6987213	0.164348	1.653743	1.877137
MSTRG.103	-	chr1	+	7017011	7021170	0.231486	2.179252	2.473634
MSTRG.98	-	chr1	+	7025419	7027826	0.000000	0.000000	0.000000
MSTRG.99	-	chr1	-	7027155	7033202	0.630060	10.129416	11.497741
Zm00001eb002510	-	chr1	-	7097393	7099916	0.344459	3.828278	4.345417
MSTRG.125	-	chr1	-	7101389	7105705	7.089706	66.743790	75.759819
MSTRG.111	-	chr1	-	7130513	7136524	1.420701	14.776173	16.772200
MSTRG.109	-	chr1	+	7181045	7201561	0.926490	8.804304	9.993627
MSTRG.132	-	chr1	+	7235106	7239558	0.689627	6.492275	7.369278
MSTRG.128	-	chr1	+	7240404	7243288	0.133933	1.368060	1.552863
MSTRG.160	-	chr1	+	7282397	7288752	1.128513	14.202171	16.120659
MSTRG.106	-	chr1	-	7298899	7300989	4.434960	46.744961	53.059464
MSTRG.115	-	chr1	+	7337514	7342201	0.859252	8.089155	9.181872
MSTRG.119	-	chr1	+	7344153	7348877	7.104176	146.230316	165.983719
MSTRG.113	-	chr1	-	7399951	7402416	7.415385	69.809792	79.239990
MSTRG.112	-	chr1	-	7432853	7434882	0.170584	1.605909	1.822842
Zm00001eb002680	-	chr1	+	7501227	7506747	0.151905	1.433752	1.627429
MSTRG.120	-	chr1	+	7506984	7509465	0.660055	6.213879	7.053276
MSTRG.121	-	chr1	-	7509171	7511704	0.000000	0.000000	0.000000
MSTRG.122	-	chr1	+	7509603	7511333	0.000000	0.000000	0.000000
Zm00001eb002730	-	chr1	+	7540589	7542312	0.140285	1.320669	1.499070
Zm00001eb002720	-	chr1	-	7540589	7545110	0.185270	1.744166	1.979775
MSTRG.116	-	chr1	-	7638621	7653175	0.507322	4.776022	5.421187
Zm00001eb002760	-	chr1	-	7666035	7668601	0.616901	5.807619	6.592136
MSTRG.117	-	chr1	-	7779715	7781456	3.163004	29.777098	33.799515
MSTRG.135	-	chr1	-	7813648	7815428	1.999324	22.558897	25.606247
MSTRG.138	-	chr1	-	7817539	7818734	6.734390	63.398777	71.962952
MSTRG.134	-	chr1	-	7820676	7822238	2.915547	34.855015	39.563377
MSTRG.126	-	chr1	-	7915951	7926608	0.486880	5.640790	6.402772
Zm00001eb002830	-	chr1	-	7953030	7955203	0.281598	2.676725	3.038309
MSTRG.123	-	chr1	-	7980547	7983309	0.000000	0.000000	0.000000
MSTRG.124	-	chr1	+	7981349	7983158	2.639779	24.851364	28.208389
Zm00001eb002870	-	chr1	+	7990945	7991778	0.486811	4.582928	5.202009
Zm00001eb002900	-	chr1	+	8031915	8033230	0.127856	1.203660	1.366255
Zm00001eb002910	-	chr1	-	8044269	8046992	0.210850	1.984980	2.253120
Zm00001eb002920	-	chr1	+	8050050	8050956	0.589857	5.553021	6.303147
Zm00001eb002930	-	chr1	-	8050717	8053834	0.000000	0.000000	0.000000
MSTRG.143	-	chr1	-	8055025	8058183	0.568901	5.527641	6.274338
Zm00001eb002950	-	chr1	-	8064330	8065482	0.677871	6.381601	7.243655
MSTRG.131	-	chr1	-	8087643	8099716	4.156336	40.634769	46.123882
MSTRG.145	-	chr1	+	8216041	8220640	0.492672	4.972468	5.644170
MSTRG.167	-	chr1	-	8222270	8226801	0.750868	7.148754	8.114438
MSTRG.127	-	chr1	+	8237799	8243846	0.550384	5.181416	5.881343
MSTRG.153	-	chr1	-	8244440	8248023	0.741405	6.979722	7.922573
MSTRG.147	-	chr1	+	8268532	8271928	0.871563	8.483817	9.629847
MSTRG.148	-	chr1	-	8271065	8271757	1.154408	10.867807	12.335877
MSTRG.187	-	chr1	+	8298052	8307439	1.474747	32.935123	37.384140
MSTRG.136	-	chr1	+	8307488	8310461	0.292498	2.753630	3.125602
MSTRG.137	-	chr1	-	8308330	8311889	0.000000	0.000000	0.000000
MSTRG.133	-	chr1	+	8421233	8424781	0.159059	1.497411	1.699687
Zm00001eb003130	-	chr1	+	8488013	8492319	0.000000	0.000000	0.000000
Zm00001eb003140	-	chr1	+	8507769	8509626	0.455643	4.289507	4.868951
Zm00001eb003150	-	chr1	-	8508665	8513447	0.000000	0.000000	0.000000
MSTRG.142	-	chr1	-	8532021	8535132	0.781430	7.356525	8.350275
MSTRG.150	-	chr1	+	8597480	8600656	31.226585	341.965363	388.159454
MSTRG.151	-	chr1	.	8598590	8598860	59.367157	558.893311	634.390930
MSTRG.158	-	chr1	-	8602409	8607605	0.183390	1.827566	2.074441
MSTRG.140	-	chr1	-	8636709	8638722	3.355511	31.589396	35.856625
MSTRG.141	-	chr1	+	8636709	8642534	0.000000	0.000000	0.000000
MSTRG.144	-	chr1	-	8709369	8711596	0.875224	8.239519	9.352548
Zm00001eb003330	-	chr1	-	8914927	8917458	0.000000	0.000000	0.000000
Zm00001eb003340	-	chr1	+	8917369	8919509	0.132648	1.248773	1.417462
MSTRG.155	-	chr1	-	8944150	8949254	3.709590	40.891201	46.414955
MSTRG.146	-	chr1	-	8950876	8952733	2.120560	21.332680	24.214388
MSTRG.152	-	chr1	+	9048595	9051295	9.816347	92.412888	104.896408
MSTRG.161	-	chr1	+	9055141	9058547	3.747429	45.659306	51.827156
Zm00001eb003460	-	chr1	+	9164434	9168992	0.080167	0.754707	0.856656
MSTRG.178	-	chr1	-	9192133	9193586	4.327519	40.740055	46.243393
MSTRG.154	-	chr1	+	9277279	9280548	1.058950	9.969149	11.315824
MSTRG.149	-	chr1	-	9282197	9289488	2.012449	18.945564	21.504810
MSTRG.196	-	chr1	-	9340660	9347192	1.281086	12.377588	14.049605
Zm00001eb003520	-	chr1	+	9386888	9389574	0.199479	1.877932	2.131611
MSTRG.164	-	chr1	+	9423681	9428283	1.224215	11.915691	13.525313
MSTRG.204	-	chr1	+	9483547	9565925	2.094912	19.721886	22.386000
MSTRG.205	-	chr1	-	9530493	9531449	0.000000	0.000000	0.000000
MSTRG.206	-	chr1	-	9556542	9557259	0.395543	3.723714	4.226729
MSTRG.156	-	chr1	-	9572976	9579961	0.964634	9.108910	10.339379
MSTRG.157	-	chr1	+	9573057	9573905	0.000000	0.000000	0.000000
MSTRG.166	-	chr1	-	9681997	9684249	0.135922	8.085804	9.178068
Zm00001eb003620	-	chr1	+	9711153	9713316	0.095656	0.932409	1.058363
MSTRG.162	-	chr1	+	9770696	9773193	2.194556	20.659950	23.450785
Zm00001eb003660	-	chr1	-	9816090	9819649	0.360334	3.392250	3.850490
MSTRG.163	-	chr1	+	9922122	9932704	0.247312	2.538581	2.881504
Zm00001eb003680	-	chr1	-	9963642	9966321	0.080863	0.808584	0.917811
MSTRG.176	-	chr1	-	9997481	10000557	3.451369	32.491821	36.880951
MSTRG.169	-	chr1	+	10041312	10045344	0.000000	0.000000	0.000000
Zm00001eb003720	-	chr1	-	10053505	10054331	0.241497	2.273497	2.580611
MSTRG.168	-	chr1	-	10086538	10088673	89.756119	844.980530	959.124084
MSTRG.172	-	chr1	+	10197232	10201491	0.220966	2.615307	2.968594
MSTRG.170	-	chr1	+	10284767	10294120	0.328676	3.105635	3.525158
MSTRG.171	-	chr1	+	10427630	10507897	1.457032	13.716765	15.569684
MSTRG.185	-	chr1	+	10511453	10512069	5.239871	49.329105	55.992687
MSTRG.174	-	chr1	-	10549979	10558095	2.972744	34.607552	39.282486
MSTRG.165	-	chr1	-	10616565	10622381	1.266970	12.173509	13.817957
Zm00001eb003860	-	chr1	-	10672311	10674525	0.113936	1.248349	1.416981
MSTRG.194	-	chr1	-	10675981	10677669	0.705803	6.644559	7.542134
MSTRG.175	-	chr1	-	10679227	10681893	2.407295	24.169682	27.434624
MSTRG.177	-	chr1	+	10774523	10779546	0.537620	5.957794	6.762598
MSTRG.173	-	chr1	-	10795528	10798665	0.348393	3.279835	3.722889
MSTRG.181	-	chr1	+	10907217	10908561	1.245831	11.728481	13.312814
Zm00001eb003920	-	chr1	-	10913208	10914536	0.257096	2.420349	2.747300
MSTRG.182	-	chr1	-	10931611	10936195	19.823402	186.621140	211.830704
Zm00001eb003970	-	chr1	+	11046929	11051293	0.290279	2.732740	3.101890
Zm00001eb004000	-	chr1	-	11064107	11065807	0.253380	2.385366	2.707591
MSTRG.200	-	chr1	-	11078505	11085350	5.488626	51.670933	58.650856
MSTRG.179	-	chr1	+	11194545	11198830	0.784107	11.523590	13.080246
MSTRG.183	-	chr1	-	11247923	11253035	0.103599	4.968599	5.639778
MSTRG.201	-	chr1	+	11254074	11260817	2.726504	25.667810	29.135122
Zm00001eb004100	-	chr1	-	11304260	11306250	0.704671	6.633902	7.530037
Zm00001eb004110	-	chr1	+	11304278	11306258	0.708228	6.667388	7.568047
MSTRG.180	-	chr1	-	11327287	11334068	2.152713	26.027910	29.543869
Zm00001eb004140	-	chr1	-	11388592	11390370	0.359411	4.821389	5.472682
Zm00001eb004150	-	chr1	-	11388644	11389116	0.000000	0.000000	0.000000
MSTRG.209	-	chr1	+	11479203	11485535	0.294052	2.839628	3.223217
MSTRG.199	-	chr1	-	11486189	11491069	3.519070	36.304810	41.209015
Zm00001eb004180	-	chr1	-	11559724	11562557	0.000000	0.000000	0.000000
MSTRG.198	-	chr1	+	11566533	11573834	0.518960	12.128876	13.767295
MSTRG.184	-	chr1	-	11615310	11620571	0.975023	9.179045	10.418989
Zm00001eb004240	-	chr1	+	11776626	11783053	0.342459	3.223972	3.659479
MSTRG.186	-	chr1	+	11847885	11880702	0.108381	1.067107	1.211256
Zm00001eb004260	-	chr1	+	11938116	11939457	0.216238	2.035704	2.310696
Zm00001eb004280	-	chr1	-	11969617	11970074	0.812227	7.646454	8.679369
MSTRG.214	-	chr1	+	11999339	12034402	0.491235	4.630375	5.255866
Zm00001eb004300	-	chr1	-	12034631	12035191	0.000000	0.000000	0.000000
Zm00001eb004310	-	chr1	-	12036472	12042381	0.290057	2.730650	3.099517
MSTRG.188	-	chr1	+	12066478	12071483	1.181818	11.125851	12.628778
MSTRG.189	-	chr1	-	12068592	12069495	0.000000	0.000000	0.000000
MSTRG.190	-	chr1	-	12071464	12078408	0.053273	0.666910	0.756999
MSTRG.191	-	chr1	+	12077020	12077608	0.000000	0.000000	0.000000
MSTRG.192	-	chr1	+	12184201	12192434	1.091545	13.266947	15.059102
MSTRG.247	-	chr1	-	12225833	12228039	1.910059	17.981646	20.410681
MSTRG.248	-	chr1	+	12225905	12227916	2.095179	19.724400	22.388855
MSTRG.240	-	chr1	+	12231188	12236708	2.697906	26.451944	30.025183
MSTRG.241	-	chr1	-	12235692	12237894	0.000000	0.000000	0.000000
MSTRG.195	-	chr1	-	12250196	12255463	7.061022	68.623299	77.893227
MSTRG.217	-	chr1	-	12259826	12270517	0.288700	10.326756	11.721738
MSTRG.218	-	chr1	+	12269760	12274137	0.267036	7.550513	8.570469
Zm00001eb004450	-	chr1	+	12295517	12296916	0.042857	0.403464	0.457965
Zm00001eb004460	-	chr1	-	12295693	12296799	0.000000	0.000000	0.000000
Zm00001eb004470	-	chr1	-	12338113	12339599	0.209131	1.968798	2.234751
Zm00001eb004480	-	chr1	+	12339919	12341874	0.244944	2.305948	2.617445
Zm00001eb004490	-	chr1	-	12343656	12345162	0.250829	2.361350	2.680331
MSTRG.235	-	chr1	+	12398256	12406197	0.318133	2.994962	3.399534
MSTRG.193	-	chr1	+	12406625	12427547	0.206019	1.939501	2.201496
MSTRG.219	-	chr1	-	12434130	12438763	0.158472	1.491884	1.693414
MSTRG.197	-	chr1	-	12441876	12448043	1.404694	13.224047	15.010406
Zm00001eb004560	-	chr1	-	12516663	12520623	0.131280	1.235894	1.402844
MSTRG.202	-	chr1	-	12524456	12527892	0.116592	1.097618	1.245889
MSTRG.203	-	chr1	-	12528020	12535668	0.286517	2.697323	3.061689
MSTRG.232	-	chr1	+	12616876	12620960	14.100699	181.866669	206.433990
MSTRG.211	-	chr1	-	12918149	12919161	6.454097	60.760052	68.967773
MSTRG.212	-	chr1	+	12918242	12919138	0.000000	0.000000	0.000000
MSTRG.207	-	chr1	-	12946795	12948737	3.100360	29.187357	33.130108
MSTRG.208	-	chr1	+	12947027	12948959	0.000000	0.000000	0.000000
Zm00001eb004760	-	chr1	+	13031568	13034810	0.000000	0.000000	0.000000
Zm00001eb004770	-	chr1	+	13037019	13041323	0.000000	0.000000	0.000000
MSTRG.210	-	chr1	+	13056661	13070870	0.100200	1.812588	2.057440
MSTRG.215	-	chr1	+	13071925	13078304	0.502793	5.413673	6.144975
MSTRG.221	-	chr1	+	13373447	13374709	0.400908	3.774221	4.284059
Zm00001eb004920	-	chr1	+	13426038	13427959	0.000000	0.000000	0.000000
MSTRG.222	-	chr1	+	13470997	13486090	0.759874	7.153593	8.119930
MSTRG.216	-	chr1	-	13561560	13567782	0.761364	13.331575	15.132461
Zm00001eb004990	-	chr1	+	13653568	13657347	0.109705	1.067587	1.211801
MSTRG.234	-	chr1	+	13710040	13722219	0.247327	3.204315	3.637167
MSTRG.228	-	chr1	-	13757941	13762067	0.937281	9.303426	10.560171
MSTRG.223	-	chr1	-	13799902	13806468	0.651728	6.344453	7.201489
MSTRG.224	-	chr1	+	13805363	13806156	0.081864	0.770683	0.874790
Zm00001eb005060	-	chr1	+	13860927	13863417	0.215315	2.027015	2.300833
MSTRG.256	-	chr1	-	13907417	13925487	0.753249	7.506493	8.520502
MSTRG.246	-	chr1	+	14202708	14207003	3.085329	29.045853	32.969486
MSTRG.229	-	chr1	+	14214354	14215690	3.921466	44.140221	50.102871
MSTRG.283	-	chr1	+	14216431	14217782	7.322344	68.933884	78.245766
Zm00001eb005170	-	chr1	-	14224678	14228697	0.000000	0.000000	0.000000
Zm00001eb005180	-	chr1	+	14225095	14226349	0.200000	1.882837	2.137178
MSTRG.220	-	chr1	+	14256183	14260010	0.482090	4.942757	5.610445
MSTRG.226	-	chr1	-	14501292	14506675	5.242033	49.349461	56.015789
Zm00001eb005230	-	chr1	+	14506989	14511079	0.261704	2.463729	2.796540
Zm00001eb005280	-	chr1	+	14582664	14590878	0.137108	1.369274	1.554241
MSTRG.231	-	chr1	-	14597068	14599588	0.115656	1.088807	1.235887
Zm00001eb005310	-	chr1	-	14599846	14601982	0.235845	2.220288	2.520214
MSTRG.239	-	chr1	+	14649028	14651956	3.694896	35.866238	40.711201
MSTRG.225	-	chr1	+	14726437	14741570	1.533811	18.333885	20.810505
MSTRG.236	-	chr1	-	14776735	14786219	0.147364	6.553561	7.438844
Zm00001eb005360	-	chr1	-	14907361	14909218	0.133029	2.392709	2.715926
Zm00001eb005370	-	chr1	+	14908325	14914051	0.326118	3.150701	3.576311
Zm00001eb005380	-	chr1	+	14955076	14957921	0.121429	1.143155	1.297577
MSTRG.227	-	chr1	-	14962698	14967358	1.227506	11.555966	13.116995
MSTRG.230	-	chr1	-	15015527	15020786	1.234383	11.620708	13.190481
Zm00001eb005420	-	chr1	-	15051704	15057169	0.372318	3.523973	4.000007
MSTRG.261	-	chr1	-	15070098	15073238	2.164883	22.115273	25.102695
MSTRG.245	-	chr1	-	15088250	15091064	0.927928	8.940047	10.147706
Zm00001eb005450	-	chr1	+	15194903	15196258	0.185841	1.749541	1.985877
MSTRG.237	-	chr1	-	15196463	15201827	1.986244	19.178526	21.769243
MSTRG.244	-	chr1	-	15260865	15261631	1.234807	11.624700	13.195012
