GeneID	C_6_Susc	T_6_Susc	C_24_Susc	T_24_Susc	C_6_Tol	T_6_Tol	C_24_Tol	T_24_Tol
Zm00001eb379570	127	24	626	76	212	42	861	124
Zm00001eb313510	498	75	150	63	694	200	286	115
Zm00001eb214780	70	59	142	4	433	612	649	111
Zm00001eb155660	81	591	383	321	47	345	177	93
Zm00001eb359320	31	315	67	201	88	508	222	600
Zm00001eb070270	249	16	38	29	404	373	303	573
Zm00001eb185100	115	52	795	71	113	46	660	116
Zm00001eb254440	341	228	176	144	319	358	362	40
Zm00001eb418610	121	26	1270	50	85	21	343	45
Zm00001eb138510	562	45	58	68	791	284	70	77
Zm00001eb344730	7	261	475	204	15	404	452	135
Zm00001eb428800	12	4	1331	78	22	1	430	44
Zm00001eb058070	457	199	978	97	24	65	68	29
Zm00001eb170590	232	147	654	68	32	124	579	61
Zm00001eb250940	15	382	303	138	7	597	344	109
Zm00001eb275420	65	495	249	92	67	388	288	229
Zm00001eb356600	123	6	141	55	371	192	610	356
Zm00001eb342740	41	264	50	384	64	357	91	506
Zm00001eb159220	145	130	895	108	24	153	73	223
Zm00001eb056010	30	10	588	19	79	74	657	274
Zm00001eb275400	76	148	69	666	43	123	67	536
Zm00001eb019930	413	53	320	41	419	78	349	44
Zm00001eb101660	178	24	612	61	226	17	530	53
Zm00001eb281850	45	388	104	146	103	509	221	182
Zm00001eb361170	636	200	338	197	208	22	46	49
Zm00001eb381280	937	38	120	4	223	68	283	7
Zm00001eb374190	111	198	92	791	38	70	75	290
Zm00001eb323090	151	57	128	96	34	823	277	71
Zm00001eb433640	193	48	9	187	241	140	51	763
Zm00001eb394930	170	94	265	26	212	235	430	178
Zm00001eb165470	59	164	363	287	24	242	104	356
Zm00001eb413120	776	79	370	104	75	6	133	46
Zm00001eb121900	120	28	552	23	404	74	271	101
Zm00001eb366200	169	84	234	21	450	149	424	41
Zm00001eb260010	372	186	407	27	65	261	174	45
Zm00001eb274690	18	607	200	78	20	431	119	50
Zm00001eb251520	105	21	403	29	120	51	705	86
Zm00001eb255510	97	79	855	51	57	25	314	21
Zm00001eb037600	31	11	1023	67	17	12	292	28
Zm00001eb406490	25	13	1007	67	27	19	189	133
Zm00001eb048560	779	33	64	292	155	27	57	67
Zm00001eb371530	32	5	384	5	62	42	827	102
Zm00001eb164960	346	19	45	4	236	187	590	26
Zm00001eb400020	99	37	454	49	189	49	296	260
Zm00001eb227720	132	373	76	477	68	191	39	65
Zm00001eb170770	756	62	106	449	18	4	13	9
Zm00001eb171840	19	426	162	166	33	354	169	86
Zm00001eb165030	45	588	152	174	18	219	95	123
Zm00001eb340550	222	14	312	2	229	40	574	20
Zm00001eb377410	23	44	67	41	398	164	603	60
Zm00001eb170080	13	23	937	81	10	6	304	18
Zm00001eb068650	170	41	455	62	132	47	437	43
Zm00001eb155120	147	49	93	28	383	146	477	55
Zm00001eb023220	80	521	136	85	43	385	109	9
Zm00001eb068470	100	230	62	501	29	108	20	292
Zm00001eb414810	43	206	162	223	15	216	160	312
Zm00001eb415520	99	198	79	30	53	760	105	11
Zm00001eb410710	208	89	211	43	183	92	458	32
Zm00001eb346800	120	29	355	22	192	38	481	67
Zm00001eb018040	352	52	485	55	93	6	213	29
Zm00001eb039750	125	17	154	15	84	56	585	249
Zm00001eb212520	132	17	131	63	240	22	566	81
Zm00001eb008070	268	86	194	58	319	61	225	16
Zm00001eb317110	23	14	767	42	35	20	288	38
Zm00001eb104190	321	49	353	85	203	54	59	101
Zm00001eb121700	355	87	468	55	79	44	83	34
Zm00001eb159390	199	169	24	170	223	149	57	194
Zm00001eb201580	276	30	6	208	291	66	9	295
Zm00001eb428290	341	49	208	41	181	94	204	58
Zm00001eb196870	351	43	139	83	199	117	163	67
Zm00001eb362750	755	70	196	132	1	0	1	5
Zm00001eb277660	193	113	379	33	153	42	233	11
Zm00001eb127310	109	86	353	37	139	105	237	82
Zm00001eb009940	441	97	233	101	40	34	168	2
Zm00001eb166200	243	320	389	110	3	5	37	0
Zm00001eb032580	317	126	395	31	30	36	154	17
Zm00001eb027960	56	278	7	210	23	127	12	387
Zm00001eb169020	158	96	121	24	257	165	255	22
Zm00001eb055380	399	39	67	28	280	97	101	79
Zm00001eb078740	399	57	174	35	183	54	136	51
Zm00001eb123400	287	24	127	38	304	23	84	199
Zm00001eb054710	337	41	139	35	100	98	290	44
Zm00001eb126130	24	287	127	49	117	299	142	27
Zm00001eb175950	209	130	314	61	89	78	169	14
Zm00001eb402150	144	53	209	18	167	74	369	22
Zm00001eb164390	28	8	210	12	109	20	604	45
Zm00001eb154000	12	52	20	140	148	208	203	249
Zm00001eb084980	61	100	30	342	116	158	118	105
Zm00001eb169870	15	4	349	25	90	12	426	92
Zm00001eb100220	140	46	36	16	250	222	294	8
Zm00001eb285960	208	64	47	281	124	47	83	156
Zm00001eb408520	47	142	13	108	102	179	135	279
Zm00001eb111710	147	147	38	372	61	87	43	107
Zm00001eb256520	283	69	23	200	116	75	26	204
Zm00001eb325680	229	85	149	78	139	128	167	11
Zm00001eb423100	281	31	82	132	147	77	92	129
Zm00001eb405160	342	167	211	195	47	1	2	4
Zm00001eb167700	99	29	124	7	257	143	181	111
Zm00001eb180830	66	112	230	7	67	131	296	18
Zm00001eb221490	199	27	43	68	212	132	56	186
Zm00001eb338750	70	144	307	39	96	81	168	15
Zm00001eb332100	158	30	172	12	174	94	266	10
Zm00001eb260800	232	209	102	25	114	99	106	8
Zm00001eb139830	170	29	5	145	115	86	16	297
Zm00001eb103310	27	248	74	34	52	207	86	105
Zm00001eb182560	179	63	165	16	79	96	161	36
Zm00001eb271090	39	176	93	41	28	252	78	88
Zm00001eb230580	42	120	184	16	62	99	233	36
Zm00001eb377390	132	158	188	155	75	14	65	2
Zm00001eb139500	555	35	170	9	4	0	10	2
Zm00001eb301270	19	193	11	26	26	414	32	56
Zm00001eb128310	6	148	219	46	10	127	178	26
Zm00001eb002600	83	83	39	255	69	49	87	93
Zm00001eb404170	373	23	242	94	10	4	11	0
Zm00001eb346880	292	34	124	146	66	27	39	23
Zm00001eb344160	317	47	107	28	104	21	95	29
Zm00001eb279680	126	58	189	19	91	99	142	14
Zm00001eb384900	101	31	260	30	60	16	204	29
Zm00001eb073310	182	22	85	58	175	54	84	62
Zm00001eb146840	16	60	20	98	19	213	44	248
Zm00001eb223620	77	334	59	38	7	167	19	9
Zm00001eb087980	96	3	105	137	114	11	123	111
Zm00001eb056970	2	0	559	7	0	1	126	0
Zm00001eb268600	2	0	1	0	126	181	355	25
Zm00001eb141540	19	12	116	4	5	44	474	10
Zm00001eb415720	10	144	32	60	31	172	96	130
Zm00001eb087350	72	62	493	38	0	0	0	0
Zm00001eb019280	15	118	91	84	8	114	116	118
Zm00001eb118450	112	32	229	25	62	18	166	13
Zm00001eb098620	66	49	29	198	77	89	85	62
Zm00001eb081770	136	12	218	23	153	14	69	29
Zm00001eb197310	42	33	23	11	133	221	160	15
Zm00001eb106380	243	42	64	34	104	35	110	5
Zm00001eb353600	7	88	33	44	25	137	102	187
Zm00001eb400190	75	53	419	23	16	3	5	6
Zm00001eb187130	146	15	0	93	117	22	0	205
Zm00001eb350770	33	419	50	68	5	10	5	7
Zm00001eb242480	164	30	3	106	143	31	16	103
Zm00001eb381920	155	13	321	99	6	2	0	0
Zm00001eb283460	302	9	172	12	83	7	6	3
Zm00001eb161610	117	7	4	119	160	7	10	168
Zm00001eb007740	65	4	99	7	156	104	140	16
Zm00001eb120430	28	37	12	102	119	112	79	100
Zm00001eb010530	88	22	244	27	41	10	113	37
Zm00001eb103680	103	97	152	37	43	60	82	5
Zm00001eb309340	197	41	92	21	106	18	89	5
Zm00001eb065620	97	84	24	153	68	38	34	67
Zm00001eb250730	131	16	65	118	93	9	57	68
Zm00001eb272230	119	63	0	129	113	48	28	50
Zm00001eb214550	3	36	18	212	4	46	25	193
Zm00001eb344420	21	126	28	26	16	167	16	137
Zm00001eb270580	77	45	219	16	36	69	22	45
Zm00001eb027780	0	53	122	12	10	72	251	5
Zm00001eb314330	102	42	156	74	36	35	75	2
Zm00001eb149500	166	10	6	69	127	26	21	84
Zm00001eb352370	86	28	38	21	95	46	21	162
Zm00001eb238270	54	95	99	32	49	49	110	5
Zm00001eb245430	0	2	281	12	24	44	68	59
Zm00001eb401330	146	34	46	56	146	5	32	23
Zm00001eb042070	103	7	74	11	90	19	167	13
Zm00001eb150500	86	4	13	33	142	44	66	93
Zm00001eb161390	99	30	185	20	12	6	124	3
Zm00001eb320970	13	13	5	43	50	37	20	296
Zm00001eb011940	30	24	116	33	36	9	210	17
Zm00001eb186620	27	99	257	16	7	21	44	0
Zm00001eb418230	146	88	181	11	16	12	15	2
Zm00001eb060840	49	31	25	66	17	190	46	36
Zm00001eb034240	50	120	66	145	11	17	48	1
Zm00001eb365220	96	5	91	9	77	24	145	6
Zm00001eb429420	80	45	82	5	43	69	107	22
Zm00001eb409710	80	58	147	11	33	51	42	28
Zm00001eb225090	52	63	93	7	71	64	84	14
Zm00001eb013070	45	74	26	208	13	18	34	25
Zm00001eb317020	36	75	24	191	16	24	13	60
Zm00001eb313920	47	22	114	6	37	31	170	5
Zm00001eb409750	57	44	0	213	23	16	16	63
Zm00001eb415440	146	80	122	9	14	14	23	3
Zm00001eb040580	72	53	7	178	14	33	10	43
Zm00001eb041030	87	40	82	5	86	41	62	6
Zm00001eb278150	117	22	6	130	46	14	24	49
Zm00001eb168980	214	16	115	17	14	11	14	0
Zm00001eb382310	14	1	39	0	133	60	153	1
Zm00001eb019880	84	3	1	2	183	23	81	17
Zm00001eb043810	32	78	13	130	34	45	25	31
Zm00001eb409030	122	38	25	17	105	2	71	8
Zm00001eb293270	56	40	68	31	43	58	87	1
Zm00001eb295720	25	126	13	122	6	53	5	21
Zm00001eb153570	178	6	19	96	34	4	8	24
Zm00001eb283480	9	13	18	13	10	97	25	182
Zm00001eb057010	24	9	202	16	17	0	86	8
Zm00001eb395360	17	4	96	6	28	85	60	65
Zm00001eb163440	127	7	16	15	96	29	30	37
Zm00001eb162570	168	19	53	23	67	4	15	5
Zm00001eb240340	17	3	12	0	90	57	156	11
Zm00001eb207670	42	9	9	176	35	12	11	50
Zm00001eb106410	165	15	22	1	47	30	53	5
Zm00001eb241760	30	47	18	124	12	13	38	53
Zm00001eb218350	40	35	22	150	19	28	20	19
Zm00001eb220760	31	6	34	14	107	23	105	8
Zm00001eb088000	43	1	20	37	32	8	108	77
Zm00001eb420380	56	47	125	8	18	13	43	14
Zm00001eb121050	42	52	99	8	18	25	59	20
Zm00001eb130790	6	30	4	31	5	127	38	79
Zm00001eb200120	114	38	77	3	34	10	41	1
Zm00001eb334540	185	15	40	2	33	21	19	1
Zm00001eb304180	6	1	0	0	30	133	14	126
Zm00001eb223210	87	9	89	5	58	30	28	3
Zm00001eb215270	23	20	13	151	12	12	14	61
Zm00001eb188750	0	0	0	70	70	8	105	46
Zm00001eb386040	11	4	203	7	10	0	60	3
Zm00001eb124930	54	34	44	1	28	32	75	29
Zm00001eb242240	15	41	105	4	22	23	74	9
Zm00001eb267480	133	16	21	17	77	7	12	9
Zm00001eb055260	8	40	142	12	11	14	47	16
Zm00001eb158260	13	12	87	4	28	32	103	5
Zm00001eb423940	7	37	17	138	7	22	5	51
Zm00001eb032560	22	37	95	7	2	9	107	4
Zm00001eb204960	228	14	14	4	12	1	4	4
Zm00001eb284770	0	7	0	9	3	160	39	57
Zm00001eb167980	36	54	68	11	24	30	46	1
Zm00001eb220710	13	13	16	32	23	57	10	106
Zm00001eb408540	51	3	28	19	56	42	35	31
Zm00001eb247830	29	42	100	4	9	59	11	4
Zm00001eb015630	3	19	14	7	10	118	53	28
Zm00001eb128120	28	68	9	98	4	19	10	14
Zm00001eb016090	3	29	11	21	5	47	16	117
Zm00001eb253650	42	4	33	19	56	3	52	39
Zm00001eb251990	33	0	12	10	83	26	70	13
Zm00001eb401100	103	6	23	10	26	21	31	27
Zm00001eb068480	9	17	1	25	5	55	8	125
Zm00001eb053150	7	19	39	0	13	91	56	19
Zm00001eb005570	109	11	20	12	41	6	35	3
Zm00001eb397940	10	7	161	9	13	4	16	17
Zm00001eb012680	25	13	91	7	23	22	43	7
Zm00001eb148040	37	15	143	7	0	4	21	0
Zm00001eb262550	74	8	47	9	33	10	43	1
Zm00001eb106390	128	15	39	2	18	0	15	1
Zm00001eb399150	62	14	123	7	4	0	8	0
Zm00001eb291720	22	41	31	19	19	20	64	0
Zm00001eb394330	24	11	176	2	2	0	1	0
Zm00001eb056110	39	44	49	0	28	15	23	11
Zm00001eb188120	10	1	63	5	10	1	112	4
Zm00001eb011930	15	9	132	11	8	9	19	1
Zm00001eb035600	3	0	132	5	2	0	60	2
Zm00001eb393490	31	26	10	99	14	6	5	12
Zm00001eb369550	13	65	7	19	2	65	21	8
Zm00001eb185110	11	5	32	4	30	39	74	3
Zm00001eb219530	51	11	6	60	14	11	7	34
Zm00001eb235950	37	6	33	2	55	3	55	3
Zm00001eb339420	21	13	126	2	15	3	14	0
Zm00001eb004670	21	11	47	24	11	15	60	0
Zm00001eb248470	39	8	46	3	23	5	58	2
Zm00001eb412390	22	24	17	27	5	2	4	81
Zm00001eb068310	117	10	9	0	23	2	15	5
Zm00001eb021500	7	22	3	85	5	14	26	14
Zm00001eb022810	81	4	13	0	30	3	27	2
Zm00001eb054810	8	4	63	0	8	8	61	7
Zm00001eb135430	100	4	4	16	19	3	3	3
Zm00001eb325290	85	5	24	3	21	2	7	3
Zm00001eb081100	3	51	5	52	1	16	0	20
Zm00001eb145860	14	12	68	3	9	6	30	6
Zm00001eb020450	6	88	35	6	0	9	3	0
Zm00001eb128610	9	10	5	4	4	87	7	20
Zm00001eb331530	61	4	5	34	8	19	9	4
Zm00001eb344810	7	11	7	26	6	29	4	54
Zm00001eb395330	13	0	79	3	10	10	19	5
Zm00001eb208380	42	0	3	6	20	47	18	1
Zm00001eb102370	38	11	70	2	5	2	7	1
Zm00001eb125290	27	12	64	3	2	4	17	7
Zm00001eb120540	2	9	0	0	5	81	17	21
Zm00001eb012570	81	2	18	4	3	19	6	1
Zm00001eb145080	110	3	16	3	0	0	0	0
Zm00001eb322810	81	3	0	12	23	0	6	4
Zm00001eb272110	40	1	7	31	17	10	4	18
Zm00001eb397030	0	40	9	14	0	50	6	8
Zm00001eb283930	58	17	33	0	2	2	4	8
Zm00001eb360460	81	5	14	0	18	0	6	0
Zm00001eb272040	78	0	13	1	14	4	13	0
Zm00001eb202270	13	2	10	4	31	16	45	1
Zm00001eb196990	4	14	5	75	4	0	6	13
Zm00001eb200910	3	3	18	1	2	13	73	1
Zm00001eb414900	62	9	33	0	4	0	3	0
Zm00001eb238440	15	0	32	0	13	2	44	0
Zm00001eb013880	16	30	2	40	1	3	3	4
Zm00001eb275270	32	0	11	2	12	5	29	4
Zm00001eb158480	9	2	22	1	7	3	45	1
Zm00001eb188080	28	0	14	5	14	2	15	9
Zm00001eb099460	8	4	8	5	0	47	4	8
Zm00001eb323370	0	1	3	0	5	29	41	0
Zm00001eb307600	44	2	2	21	3	1	0	2
Zm00001eb383440	39	0	6	0	16	2	12	0
Zm00001eb087860	3	2	0	0	1	66	0	0
Zm00001eb187190	7	6	7	0	4	8	35	0
Zm00001eb274870	4	2	0	36	6	6	10	0
Zm00001eb207990	8	6	0	28	2	2	1	0
Zm00001eb105530	0	0	2	0	0	35	0	0
Zm00001eb290560	1	4	0	30	0	1	0	0
