ENSEMBL_GeneID	T_6_Susc	T_6_Tol
Zm00001eb342400	14187	14522
Zm00001eb214560	11677	15825
Zm00001eb294160	14607	14081
Zm00001eb043450	9948	13905
Zm00001eb185240	10968	11074
Zm00001eb308350	13766	11293
Zm00001eb282710	13614	13554
Zm00001eb417450	13982	10829
Zm00001eb130220	13412	14763
Zm00001eb108120	12792	15455
Zm00001eb400820	11224	15294
Zm00001eb213080	12899	15221
Zm00001eb397180	15628	5965
Zm00001eb226920	12629	11797
Zm00001eb242260	13838	14191
Zm00001eb417370	12510	9669
Zm00001eb310700	12661	14594
Zm00001eb267260	12747	13817
Zm00001eb116010	3953	10277
Zm00001eb090730	12174	12819
Zm00001eb282790	12372	13942
Zm00001eb129440	12401	12510
Zm00001eb340580	13872	14759
Zm00001eb329250	12340	11202
Zm00001eb010790	11679	12337
Zm00001eb365200	13262	14680
Zm00001eb340370	12601	12268
Zm00001eb246370	13539	12482
Zm00001eb378000	13560	13101
Zm00001eb228370	7007	6626
Zm00001eb247760	7055	9946
Zm00001eb215120	16044	13797
Zm00001eb376570	8686	12923
Zm00001eb219490	11794	13419
Zm00001eb396730	12946	14480
Zm00001eb087960	450	1973
Zm00001eb313850	2247	19063
Zm00001eb320980	12199	13954
Zm00001eb344440	12289	14493
Zm00001eb335620	11673	13330
Zm00001eb206090	10113	13116
Zm00001eb412370	12287	13637
Zm00001eb172130	12080	12726
Zm00001eb020200	12142	12336
Zm00001eb028980	12280	13082
Zm00001eb164780	11266	10959
Zm00001eb301010	10178	14136
Zm00001eb156610	11155	13393
Zm00001eb404830	12913	14285
Zm00001eb402570	10034	14300
Zm00001eb049570	10714	14360
Zm00001eb038870	10112	12251
Zm00001eb133420	11223	11128
Zm00001eb283450	8652	9193
Zm00001eb066940	10944	11476
Zm00001eb223980	9285	9776
Zm00001eb016940	9033	9604
Zm00001eb150420	15136	10822
Zm00001eb168910	12527	11228
Zm00001eb066370	13203	9379
Zm00001eb350390	12587	12752
Zm00001eb429750	16709	2104
Zm00001eb361700	11712	13328
Zm00001eb346230	11369	12471
Zm00001eb109620	10147	8916
Zm00001eb295050	12328	11920
Zm00001eb306380	8063	10006
Zm00001eb154510	12606	10870
Zm00001eb226990	11520	13670
Zm00001eb211740	11410	10098
Zm00001eb015200	12207	13920
Zm00001eb120200	5554	11046
Zm00001eb094610	13766	8709
Zm00001eb333970	10570	10579
Zm00001eb201570	11090	10914
Zm00001eb280740	11541	9168
Zm00001eb063720	12247	13977
Zm00001eb330380	10315	9466
Zm00001eb137380	7755	11808
Zm00001eb417480	7231	7854
Zm00001eb289680	13274	11731
Zm00001eb128730	15376	10048
Zm00001eb418060	10820	9556
Zm00001eb281840	13570	10781
Zm00001eb429540	5251	23900
Zm00001eb265900	9637	6444
Zm00001eb330880	12468	9416
Zm00001eb232520	9212	12258
Zm00001eb054980	10328	11694
Zm00001eb070840	12212	10923
Zm00001eb398530	11811	11722
Zm00001eb255600	11717	10554
Zm00001eb106150	11971	11721
Zm00001eb134090	11840	9310
Zm00001eb330470	10884	11795
Zm00001eb162620	5724	10063
Zm00001eb095960	11811	10286
Zm00001eb060550	10255	12501
Zm00001eb290370	16341	10023
Zm00001eb385410	8723	9088
Zm00001eb184470	13141	11103
Zm00001eb004420	10825	9574
Zm00001eb173790	10810	11981
Zm00001eb199470	8909	12680
Zm00001eb352180	10645	10636
Zm00001eb208540	11120	5990
Zm00001eb419110	9779	11590
Zm00001eb006020	7478	6369
Zm00001eb375530	12077	8521
Zm00001eb303110	8455	9551
Zm00001eb260710	12670	7559
Zm00001eb199800	10186	11384
Zm00001eb354140	9999	9791
Zm00001eb048710	7224	7393
Zm00001eb407710	8979	7009
Zm00001eb349240	10046	10749
Zm00001eb296090	3172	4453
Zm00001eb148830	10471	11994
Zm00001eb312560	10368	12420
Zm00001eb109330	11978	10135
Zm00001eb023460	7156	11397
Zm00001eb229690	11297	11053
Zm00001eb036930	6129	5784
Zm00001eb134340	9727	8210
Zm00001eb233720	7529	9966
Zm00001eb403860	9847	9472
Zm00001eb302810	10797	12135
Zm00001eb009910	9522	10087
Zm00001eb111910	10263	9669
Zm00001eb179490	11245	10062
Zm00001eb368990	11861	11719
Zm00001eb102590	9955	11384
Zm00001eb426070	8482	10694
Zm00001eb003180	11589	10096
Zm00001eb067750	8873	8999
Zm00001eb062510	11254	7228
Zm00001eb015010	11156	8742
Zm00001eb094250	11099	10121
Zm00001eb400310	12108	10186
Zm00001eb008550	10831	10593
Zm00001eb267280	11107	11135
Zm00001eb194950	11438	10393
Zm00001eb001430	10062	9965
Zm00001eb142220	8031	8509
Zm00001eb360190	9737	8455
Zm00001eb327790	9753	10866
Zm00001eb125560	13061	12496
Zm00001eb346100	10741	10538
Zm00001eb422490	11338	11215
Zm00001eb359420	9557	9773
Zm00001eb378030	7810	9435
Zm00001eb343030	11931	8764
Zm00001eb188600	10217	9538
Zm00001eb099980	5861	17260
Zm00001eb356000	9321	9628
Zm00001eb104220	9067	12060
Zm00001eb041780	11365	9430
Zm00001eb403640	6438	9432
Zm00001eb116850	11830	9613
Zm00001eb280790	7801	10392
Zm00001eb127770	8701	10390
Zm00001eb415460	11706	10069
Zm00001eb056870	14364	11468
Zm00001eb260880	9858	10700
Zm00001eb122860	11906	7571
Zm00001eb054040	4791	5686
Zm00001eb325640	12598	7807
Zm00001eb287610	7933	10422
Zm00001eb402790	8669	12645
Zm00001eb189920	6078	6587
Zm00001eb131360	9323	11305
Zm00001eb303010	9080	10510
Zm00001eb345740	9074	7609
Zm00001eb116280	10710	10428
Zm00001eb239380	19034	13504
Zm00001eb403260	7893	6878
Zm00001eb309660	10002	8646
Zm00001eb258770	9922	9599
Zm00001eb152450	8974	10231
Zm00001eb227470	9568	7450
Zm00001eb289460	9809	9808
Zm00001eb205270	7870	10356
Zm00001eb246860	5819	10053
Zm00001eb387570	9570	7308
Zm00001eb363880	10894	7604
Zm00001eb252720	7169	5116
Zm00001eb303030	10108	8115
Zm00001eb369150	8992	10163
Zm00001eb113240	7388	10408
Zm00001eb325230	9166	9594
Zm00001eb282450	9658	10246
Zm00001eb268050	8554	8575
Zm00001eb136880	8009	8659
Zm00001eb208050	9527	8931
Zm00001eb212170	9443	9101
Zm00001eb034990	7974	7338
Zm00001eb174930	9702	8673
Zm00001eb249900	8188	8875
Zm00001eb284310	9360	9697
Zm00001eb143330	7703	8958
Zm00001eb063710	7026	7040
Zm00001eb192630	9654	9521
Zm00001eb117140	6983	8729
Zm00001eb076190	9185	12843
Zm00001eb222320	8810	9635
Zm00001eb283440	10126	7316
Zm00001eb304540	1330	15022
Zm00001eb200430	9729	9187
Zm00001eb049720	7756	11590
Zm00001eb314490	8676	7641
Zm00001eb036530	7328	10889
Zm00001eb012580	9281	8410
Zm00001eb291810	8384	8279
Zm00001eb327330	9214	9659
Zm00001eb389540	11955	9043
Zm00001eb389420	8958	8552
Zm00001eb138410	9189	9431
Zm00001eb141930	8874	7568
Zm00001eb137240	8665	9598
Zm00001eb219570	8897	9636
Zm00001eb163250	8779	8577
Zm00001eb157400	7793	10525
Zm00001eb143460	8882	7518
Zm00001eb149730	9397	8875
Zm00001eb399010	9098	9645
Zm00001eb149860	9729	8262
Zm00001eb038370	8349	8612
Zm00001eb086560	9474	7748
Zm00001eb105120	9301	9825
Zm00001eb064120	10799	6204
Zm00001eb340350	9662	9009
Zm00001eb124390	8635	8445
Zm00001eb222880	8546	7701
Zm00001eb062420	8530	7702
Zm00001eb023070	8896	13629
Zm00001eb127430	8370	9809
Zm00001eb224900	8211	8733
Zm00001eb253820	9553	5516
Zm00001eb409500	9142	8474
Zm00001eb385150	8194	9559
Zm00001eb121880	8420	8909
Zm00001eb312080	10981	787
Zm00001eb172230	5075	6980
Zm00001eb241550	6430	11258
Zm00001eb099930	6883	8001
Zm00001eb160010	797	13394
Zm00001eb116930	8986	8392
Zm00001eb202400	12410	6232
Zm00001eb421170	9324	6254
Zm00001eb077840	7916	8640
Zm00001eb351330	7917	9472
Zm00001eb104400	9088	9350
Zm00001eb231220	8198	9461
Zm00001eb243040	6796	5150
Zm00001eb373990	7500	9762
Zm00001eb121480	8862	8227
Zm00001eb091900	8864	8887
Zm00001eb292930	7435	8880
Zm00001eb253470	6875	6234
Zm00001eb376740	7943	7962
Zm00001eb245950	8443	6945
Zm00001eb085030	7986	6366
Zm00001eb373790	7978	9917
Zm00001eb107040	9147	8202
Zm00001eb086050	7990	8940
Zm00001eb137840	8595	7312
Zm00001eb219770	7424	5302
Zm00001eb380260	6051	8481
Zm00001eb177450	10179	4170
Zm00001eb007860	8274	8396
Zm00001eb056390	6080	7387
Zm00001eb203470	10286	6764
Zm00001eb430770	7495	11203
Zm00001eb231250	8309	8845
Zm00001eb187010	9051	3404
Zm00001eb191550	8988	9207
Zm00001eb047170	7717	7229
Zm00001eb118030	8900	8058
Zm00001eb157850	8172	8038
Zm00001eb328760	7260	9343
Zm00001eb343830	8268	9148
Zm00001eb224430	3385	3493
Zm00001eb143000	7788	8349
Zm00001eb352080	8076	7143
Zm00001eb028030	6766	3813
Zm00001eb192570	7863	7805
Zm00001eb061820	6298	6423
Zm00001eb139130	6220	8233
Zm00001eb160620	8815	7968
Zm00001eb352350	11238	6403
Zm00001eb210720	8302	8188
Zm00001eb203340	7538	8420
Zm00001eb209000	8104	8752
Zm00001eb336090	5786	8244
Zm00001eb025690	6937	5561
Zm00001eb394540	8182	8438
Zm00001eb204910	8247	8358
Zm00001eb376020	6746	7112
Zm00001eb094520	8701	6890
Zm00001eb153940	6743	8476
Zm00001eb418910	8001	7513
Zm00001eb397580	4659	10931
Zm00001eb314220	3811	10473
Zm00001eb322940	8506	8514
Zm00001eb020110	8232	8303
Zm00001eb222240	8322	8738
Zm00001eb409450	6688	7813
Zm00001eb148000	4942	9190
Zm00001eb178320	14607	8961
Zm00001eb238930	7712	8510
Zm00001eb204260	7045	7294
Zm00001eb163530	5704	6876
Zm00001eb212030	8024	8548
Zm00001eb176000	7925	9539
Zm00001eb368000	2929	3576
Zm00001eb013900	8036	9059
Zm00001eb296580	8301	8269
Zm00001eb095230	7760	8017
Zm00001eb038510	6438	8854
Zm00001eb008610	8004	7780
Zm00001eb288340	8204	6943
Zm00001eb421600	8296	6820
Zm00001eb183420	8119	8966
Zm00001eb236450	7529	7609
Zm00001eb343680	6761	7348
Zm00001eb040890	7504	5536
Zm00001eb265890	7143	5141
Zm00001eb070130	7669	7464
Zm00001eb359540	7287	8236
Zm00001eb369750	7140	7701
Zm00001eb294030	6332	8345
Zm00001eb101990	6592	7020
Zm00001eb032340	5110	8296
Zm00001eb121370	7790	8079
Zm00001eb413370	7741	5387
Zm00001eb127460	10714	3574
Zm00001eb175220	8072	8925
Zm00001eb295490	7626	6619
Zm00001eb301680	7674	5206
Zm00001eb375180	7927	6726
Zm00001eb079220	7003	8051
Zm00001eb252830	7654	7793
Zm00001eb067960	6833	6588
Zm00001eb313690	6980	7083
Zm00001eb046340	7681	7957
Zm00001eb285090	7926	7172
Zm00001eb330550	7041	5124
Zm00001eb246330	7207	7751
Zm00001eb060250	6048	4980
Zm00001eb394700	5780	6872
Zm00001eb252630	8981	7212
Zm00001eb063800	5625	6384
Zm00001eb373120	7354	6328
Zm00001eb056930	8033	7286
Zm00001eb034130	4303	5299
Zm00001eb392290	7932	7885
Zm00001eb400220	7180	8711
Zm00001eb331200	7225	8748
Zm00001eb269650	5464	5939
Zm00001eb106680	7868	6761
Zm00001eb294990	7625	7529
Zm00001eb390190	6920	6542
Zm00001eb202910	7186	8724
Zm00001eb349010	5629	6511
Zm00001eb133140	8172	7617
Zm00001eb240870	4656	6839
Zm00001eb211090	7889	8156
Zm00001eb258730	7160	8019
Zm00001eb078040	7158	7112
Zm00001eb299550	7226	6402
Zm00001eb055550	7591	7375
Zm00001eb013990	6470	7503
Zm00001eb246350	7907	7503
Zm00001eb396650	7195	8617
Zm00001eb364190	9084	6587
Zm00001eb374670	7811	5696
Zm00001eb076120	7714	7055
Zm00001eb002060	9702	5892
Zm00001eb042750	8088	5129
Zm00001eb055330	8673	8213
Zm00001eb274110	8185	6255
Zm00001eb417240	6585	4534
Zm00001eb015330	7403	7188
Zm00001eb167340	6836	6953
Zm00001eb323620	7382	7216
Zm00001eb433350	9102	6909
Zm00001eb038410	6962	5733
Zm00001eb125460	7944	6408
Zm00001eb002620	6776	6197
Zm00001eb324390	7133	6742
Zm00001eb393130	8676	6104
Zm00001eb332210	4714	5670
Zm00001eb007730	7934	8171
Zm00001eb296060	9431	8490
Zm00001eb195000	6431	6162
Zm00001eb362020	6414	7446
Zm00001eb041140	5933	4498
Zm00001eb279480	6493	6814
Zm00001eb323810	7263	6351
Zm00001eb339270	6675	8831
Zm00001eb239300	5910	7020
Zm00001eb218000	6054	5700
Zm00001eb401700	7169	7260
Zm00001eb079170	7212	6768
Zm00001eb041200	8458	6453
Zm00001eb235880	7304	7148
Zm00001eb330530	6018	8470
Zm00001eb323490	5916	6216
Zm00001eb139860	6092	7440
Zm00001eb355240	11068	10258
Zm00001eb234390	6705	6574
Zm00001eb293540	6734	7397
Zm00001eb116230	1729	3118
Zm00001eb082670	7225	6762
Zm00001eb254200	6040	6809
Zm00001eb147170	7029	8718
Zm00001eb328850	7739	5740
Zm00001eb324850	5095	7010
Zm00001eb024280	6922	7435
Zm00001eb280120	7800	6946
Zm00001eb000340	7774	6664
Zm00001eb288200	7361	7249
Zm00001eb185220	5793	10631
Zm00001eb178190	5703	10735
Zm00001eb258320	7104	7077
Zm00001eb010030	6977	6536
Zm00001eb176160	7084	5447
Zm00001eb230780	6814	6931
Zm00001eb294870	11930	2065
Zm00001eb272290	8710	4676
Zm00001eb219320	4808	9598
Zm00001eb233530	8976	12677
Zm00001eb004660	7280	5721
Zm00001eb159790	7163	7141
Zm00001eb013490	6525	7587
Zm00001eb018990	6574	6900
Zm00001eb207390	6237	7112
Zm00001eb260960	6747	7468
Zm00001eb124750	12353	2321
Zm00001eb398860	6725	6777
Zm00001eb296120	6611	5394
Zm00001eb302330	5949	7028
Zm00001eb265610	7419	9962
Zm00001eb137280	7602	249
Zm00001eb154790	6717	5260
Zm00001eb200810	6382	6627
Zm00001eb329270	7486	6142
Zm00001eb012270	5266	6102
Zm00001eb072880	5890	7224
Zm00001eb015210	7378	8199
Zm00001eb289210	5771	6168
Zm00001eb324510	6905	7016
Zm00001eb368480	8425	4941
Zm00001eb058150	7333	7170
Zm00001eb110650	7710	6398
Zm00001eb431990	8034	8421
Zm00001eb216210	6934	6210
Zm00001eb214650	6954	6714
Zm00001eb317810	6973	5378
Zm00001eb191930	6378	6026
Zm00001eb269610	6499	7189
Zm00001eb151050	6676	7564
Zm00001eb005960	7026	6524
Zm00001eb267140	6275	6883
Zm00001eb264880	8492	7249
Zm00001eb320510	6108	7051
Zm00001eb205160	6241	8089
Zm00001eb157310	5779	6927
Zm00001eb321600	6935	7383
Zm00001eb060260	5726	6597
Zm00001eb093610	6324	6702
Zm00001eb332290	4660	5988
Zm00001eb026200	6949	6096
Zm00001eb340720	5385	5358
Zm00001eb013840	6773	5818
Zm00001eb425830	5661	4405
Zm00001eb009920	6772	7564
Zm00001eb271550	7399	5487
Zm00001eb055880	5331	6351
Zm00001eb336310	5936	5460
Zm00001eb302140	6162	5595
Zm00001eb132880	6603	6410
Zm00001eb418160	7184	5822
Zm00001eb202580	7187	6730
Zm00001eb011050	4830	8092
Zm00001eb332520	6674	7462
Zm00001eb058950	5781	7074
Zm00001eb244120	4845	5610
Zm00001eb168430	5151	7381
Zm00001eb188040	6285	7033
Zm00001eb323510	6076	6964
Zm00001eb429480	13350	6698
Zm00001eb432500	6861	5034
Zm00001eb059230	5805	6567
Zm00001eb346120	6747	6361
Zm00001eb286210	6531	7117
Zm00001eb094220	6771	5844
Zm00001eb087050	5964	6065
Zm00001eb078350	5888	7462
Zm00001eb362250	5755	7155
Zm00001eb283870	7087	7383
Zm00001eb130500	4166	5472
Zm00001eb150320	5448	6671
Zm00001eb175100	6701	6545
Zm00001eb151280	7176	6452
Zm00001eb057580	6201	5158
Zm00001eb008700	6537	5892
Zm00001eb224520	6403	7363
Zm00001eb082960	6315	6814
Zm00001eb351270	5872	6310
Zm00001eb425860	6920	6514
Zm00001eb332160	4695	6789
Zm00001eb213260	5304	4694
Zm00001eb037570	5640	4235
Zm00001eb281810	6474	6310
Zm00001eb382240	6449	5986
Zm00001eb067710	4563	3112
Zm00001eb218400	4108	4173
Zm00001eb254080	5489	6017
Zm00001eb294690	5807	3557
Zm00001eb309910	6247	7608
Zm00001eb288150	5695	4877
Zm00001eb305710	6881	5012
Zm00001eb398590	7119	5526
Zm00001eb239390	4202	4372
Zm00001eb368940	6536	6270
Zm00001eb077130	7306	3087
Zm00001eb369660	5396	7236
Zm00001eb035640	5583	5390
Zm00001eb378210	6356	4811
Zm00001eb140430	6439	4709
Zm00001eb339850	4390	6526
Zm00001eb146770	5696	6031
Zm00001eb237390	6741	5490
Zm00001eb096130	6955	6211
Zm00001eb281710	5926	7313
Zm00001eb309260	5448	5783
Zm00001eb258170	5915	6106
Zm00001eb369310	5881	7026
Zm00001eb143710	6479	6075
Zm00001eb123540	6291	6482
Zm00001eb368060	5785	5050
Zm00001eb153170	3836	4483
Zm00001eb415530	7340	5618
Zm00001eb209960	5645	6361
Zm00001eb402880	6214	5739
Zm00001eb142730	7114	4333
Zm00001eb266840	5407	5579
Zm00001eb271900	7375	5661
Zm00001eb011020	6917	4703
Zm00001eb307060	4932	7622
Zm00001eb047980	6192	6462
Zm00001eb172200	4518	7310
Zm00001eb107490	6252	7119
Zm00001eb011800	6284	6207
Zm00001eb344820	4894	8860
Zm00001eb000480	5573	5983
Zm00001eb330180	4992	6274
Zm00001eb430450	4084	8971
Zm00001eb333190	7444	5341
Zm00001eb194410	3790	5418
Zm00001eb000450	4926	5128
Zm00001eb170610	4568	7586
Zm00001eb067700	6066	5296
Zm00001eb406570	7570	2940
Zm00001eb037680	5933	6045
Zm00001eb208030	3500	4018
Zm00001eb346040	6031	6589
Zm00001eb061060	6430	3984
Zm00001eb291850	3875	10738
Zm00001eb074210	6557	4828
Zm00001eb347380	6210	7124
Zm00001eb225010	5873	6548
Zm00001eb011010	6567	5429
Zm00001eb128890	5151	7124
Zm00001eb237050	5503	5959
Zm00001eb010810	6935	5704
Zm00001eb216020	10652	8745
Zm00001eb373960	4321	4813
Zm00001eb082850	6015	6877
Zm00001eb292340	6175	6118
Zm00001eb356140	4973	6361
Zm00001eb374470	5324	5167
Zm00001eb401990	5259	5213
Zm00001eb150560	6116	4961
Zm00001eb197870	8572	5064
Zm00001eb317710	5015	6601
Zm00001eb131070	6230	6198
Zm00001eb298950	6722	6564
Zm00001eb014760	5996	5621
Zm00001eb400330	6450	6078
Zm00001eb180670	7189	5775
Zm00001eb296550	6722	5628
Zm00001eb111420	1482	11598
Zm00001eb411320	4614	5227
Zm00001eb321790	5253	5313
Zm00001eb279430	6320	5984
Zm00001eb177270	4862	4986
Zm00001eb292100	5292	6187
Zm00001eb076600	4877	4784
Zm00001eb111720	6085	6381
Zm00001eb003490	4253	6335
Zm00001eb061190	5995	6582
Zm00001eb356490	5394	6843
Zm00001eb154530	5722	6326
Zm00001eb243180	4491	3225
Zm00001eb036750	4537	4870
Zm00001eb161770	6457	4845
Zm00001eb302400	4779	5152
Zm00001eb421460	5963	6215
Zm00001eb425920	6231	6371
Zm00001eb051800	6046	5080
Zm00001eb343900	455	1350
Zm00001eb160020	7683	4302
Zm00001eb188910	7594	5752
Zm00001eb003930	6436	5318
Zm00001eb091870	6010	6303
Zm00001eb289740	5671	4940
Zm00001eb124340	5244	6152
Zm00001eb257760	4999	6451
Zm00001eb373290	7450	4454
Zm00001eb306260	4754	5057
Zm00001eb071540	5990	6276
Zm00001eb307070	5311	3742
Zm00001eb258880	5859	5139
Zm00001eb099910	7052	6060
Zm00001eb361610	5701	4886
Zm00001eb369050	5811	5208
Zm00001eb209760	4864	4535
Zm00001eb201330	4309	5020
Zm00001eb243130	5236	4196
Zm00001eb329150	5840	5888
Zm00001eb290920	5863	5484
Zm00001eb083140	4561	6814
Zm00001eb133450	5253	6667
Zm00001eb129320	5730	5983
Zm00001eb241190	5888	4036
Zm00001eb062250	6837	4987
Zm00001eb389590	5918	6438
Zm00001eb342960	5074	5203
Zm00001eb188030	6335	5049
Zm00001eb140720	5918	4608
Zm00001eb043480	6163	3500
Zm00001eb205820	6386	5226
Zm00001eb010400	5688	5320
Zm00001eb149640	5497	5216
Zm00001eb117430	4833	5258
Zm00001eb422440	5202	4569
Zm00001eb324440	5908	5206
Zm00001eb270240	5329	5974
Zm00001eb293760	5721	6423
Zm00001eb133900	5425	5040
Zm00001eb202790	4702	5205
Zm00001eb308000	5231	5681
Zm00001eb322580	3182	5661
Zm00001eb281780	4726	5912
Zm00001eb345260	5735	5781
Zm00001eb292370	5239	5867
Zm00001eb251410	5728	4754
Zm00001eb249220	5876	5903
Zm00001eb032230	3842	4143
Zm00001eb336760	3401	5697
