GeneID	C_6_Susc	T_6_Susc	C_24_Susc	T_24_Susc	C_6_Tol	T_6_Tol	C_24_Tol	T_24_Tol
Zm00001eb029400	8	10	1	14	0	0	0	0
Zm00001eb029410	118	99	101	57	199	102	234	52
Zm00001eb029450	77	176	38	69	62	258	105	92
Zm00001eb029460	75	54	49	63	18	16	35	21
Zm00001eb029470	34	57	12	24	55	51	30	43
Zm00001eb029490	833	999	829	1073	601	727	836	761
Zm00001eb029510	434	513	395	315	452	606	731	574
Zm00001eb029520	179	59	346	77	205	107	597	201
Zm00001eb029530	522	703	570	217	19	170	124	38
Zm00001eb029540	149	217	177	175	181	186	291	190
Zm00001eb029550	516	631	370	583	450	526	472	442
Zm00001eb029560	0	1	0	0	18	7	28	4
Zm00001eb029580	2439	2253	2600	1482	2204	1691	2760	1519
Zm00001eb029590	744	224	441	436	943	288	645	503
Zm00001eb029610	65	168	116	68	157	138	234	145
Zm00001eb029640	635	570	619	439	783	816	951	701
Zm00001eb029660	90	80	101	61	66	99	98	51
Zm00001eb029680	321	334	235	239	211	170	203	188
Zm00001eb029690	320	456	645	402	162	178	369	248
Zm00001eb029710	1125	1527	1152	1364	1075	1591	1171	1058
Zm00001eb029720	319	181	190	119	120	103	101	22
Zm00001eb029730	221	237	111	242	215	320	221	192
Zm00001eb029740	488	360	324	166	418	337	610	269
Zm00001eb029780	18	10	18	0	82	46	102	41
Zm00001eb029790	61	57	48	23	45	48	76	77
Zm00001eb029830	0	0	0	0	10	13	8	14
Zm00001eb029850	0	0	0	0	11	13	19	16
Zm00001eb029860	7	4	15	1	3	1	1	2
Zm00001eb029880	2	1	3	1	1	0	10	0
Zm00001eb029900	39	30	20	18	0	0	0	0
Zm00001eb029940	948	710	625	1061	0	3	1	0
Zm00001eb029960	538	126	106	162	304	127	150	81
Zm00001eb029970	59	72	45	38	44	61	62	43
Zm00001eb029980	183	283	227	72	106	179	187	94
Zm00001eb029990	463	624	829	358	471	390	717	335
Zm00001eb030010	309	149	186	210	166	121	100	158
Zm00001eb030030	86	66	63	71	63	115	136	71
Zm00001eb030050	545	675	519	425	445	633	627	561
Zm00001eb030090	487	809	521	592	507	643	650	513
Zm00001eb030110	903	614	678	403	333	338	406	288
Zm00001eb030170	338	201	144	280	437	416	138	375
Zm00001eb030190	153	436	228	449	201	616	262	442
Zm00001eb030210	1008	993	1111	893	1590	1648	1745	1955
Zm00001eb030220	644	667	789	449	510	552	641	365
Zm00001eb030240	32	33	11	30	24	40	23	19
Zm00001eb030250	498	595	583	439	423	502	343	416
Zm00001eb030260	463	436	1073	262	493	471	1455	257
Zm00001eb030300	1341	1513	1611	1288	1201	1392	2149	1279
Zm00001eb030310	29	31	26	20	32	24	35	22
Zm00001eb030340	41	83	71	89	40	68	47	28
Zm00001eb030360	53	48	25	27	0	0	0	0
Zm00001eb030390	4896	1622	2124	1991	3425	2483	3022	1845
Zm00001eb030400	2004	2298	1793	2032	1128	1613	1717	943
Zm00001eb030410	335	216	159	102	295	162	230	175
Zm00001eb030420	2538	3290	1913	2478	3624	2795	2557	2543
Zm00001eb030430	396	332	422	134	199	135	364	149
Zm00001eb030440	2765	3351	3102	2611	2347	3568	3687	3011
Zm00001eb030450	12	17	27	4	44	27	96	74
Zm00001eb030470	520	417	371	401	478	419	841	442
Zm00001eb030480	39	32	27	42	36	68	78	94
Zm00001eb030510	94	124	168	67	55	47	77	40
Zm00001eb030530	263	350	362	289	393	345	407	224
Zm00001eb030550	201	358	559	242	697	238	601	270
Zm00001eb030570	1038	769	777	703	1066	980	742	791
Zm00001eb030590	0	0	0	0	26	4	1	4
Zm00001eb030600	65	96	51	77	225	291	268	265
Zm00001eb030630	68	81	75	60	101	119	140	92
Zm00001eb030640	1345	1503	1241	1301	1309	1251	1045	1196
Zm00001eb030650	193	317	555	86	141	264	329	104
Zm00001eb030660	3047	3048	2802	1653	3427	2361	3004	2181
Zm00001eb030670	79	92	83	125	0	0	0	1
Zm00001eb030680	1640	2053	1502	1640	1341	1461	1482	982
Zm00001eb030690	13	21	15	11	5	24	17	11
Zm00001eb030710	990	1345	1112	1057	889	1377	1390	967
Zm00001eb030720	65	68	53	24	92	60	100	37
Zm00001eb030730	1005	1065	684	606	562	1009	1004	314
Zm00001eb030740	216	110	100	61	197	164	290	62
Zm00001eb030760	266	324	311	301	220	283	361	367
Zm00001eb030780	4	28	6	11	4	30	2	3
Zm00001eb030810	0	5	1	0	0	3	10	0
Zm00001eb030840	36	29	20	35	16	42	42	22
Zm00001eb030850	53	22	52	13	51	39	64	20
Zm00001eb030860	5	13	7	1	0	0	0	0
Zm00001eb030870	956	1203	756	1152	779	1217	956	759
Zm00001eb030880	266	526	365	433	325	660	576	546
Zm00001eb030890	1587	1710	1575	1163	1304	1527	1778	1493
Zm00001eb030900	16	25	14	16	27	30	31	19
Zm00001eb030930	91	57	43	66	16	24	26	16
Zm00001eb030950	1555	1585	1373	1214	1321	1425	1854	1257
Zm00001eb030960	170	111	186	52	245	145	353	117
Zm00001eb030970	401	393	553	284	503	479	675	411
Zm00001eb030980	2482	3181	3060	2311	2517	2801	3350	2925
Zm00001eb030990	185	101	136	98	94	98	113	82
Zm00001eb031020	2	2	2	8	5	20	8	1
Zm00001eb031040	17	15	1	5	0	10	10	2
Zm00001eb031100	193	29	34	10	23	2	10	0
Zm00001eb031110	84	127	110	58	62	57	125	73
Zm00001eb031130	222	162	121	63	154	138	178	129
Zm00001eb031150	1901	2740	1389	1963	1134	2769	1606	1161
Zm00001eb031170	510	605	453	276	393	546	685	318
Zm00001eb031190	131	135	109	108	236	820	407	282
Zm00001eb031200	41	37	34	17	0	0	0	0
Zm00001eb031210	601	213	24	1049	1378	566	103	1924
Zm00001eb031220	2204	3259	2487	2561	2735	3270	3418	3122
Zm00001eb031240	142	215	163	20	153	298	43	16
Zm00001eb031250	68	74	86	81	257	224	325	170
Zm00001eb031270	2089	2490	2202	2306	1224	1047	1891	1064
Zm00001eb031280	1397	2441	1903	2083	1310	2331	1993	2413
Zm00001eb031290	1922	1919	1848	1877	1842	1981	2314	1522
Zm00001eb031300	983	708	845	706	655	700	532	660
Zm00001eb031310	1183	2138	1367	1500	1244	1648	1881	1721
Zm00001eb031330	2425	2187	1777	1776	2357	2145	2140	2060
Zm00001eb031340	1657	1189	1356	1210	1247	1078	1274	909
Zm00001eb031360	447	816	662	576	438	811	758	861
Zm00001eb031390	47	78	54	76	67	82	57	61
Zm00001eb031400	1211	1069	1371	1033	1721	1507	1521	1152
Zm00001eb031410	842	493	664	497	779	536	961	754
Zm00001eb031420	2	0	1	0	30	38	52	10
Zm00001eb031430	829	806	800	448	734	858	980	514
Zm00001eb031500	1	1	1	1	128	117	248	129
Zm00001eb031510	624	965	725	754	584	829	1008	859
Zm00001eb031520	1141	2207	1343	1294	1113	2017	2156	1894
Zm00001eb031560	31	8	25	10	14	12	8	4
Zm00001eb031580	99	91	88	39	123	102	271	51
Zm00001eb031590	224	140	173	119	297	217	270	163
Zm00001eb031600	862	983	608	699	922	536	610	813
Zm00001eb031610	497	246	331	296	1144	538	1034	295
Zm00001eb031640	998	795	814	683	1013	638	1096	772
Zm00001eb031650	1359	1335	1479	1827	1858	1761	2271	1834
Zm00001eb031660	148	124	108	97	150	151	112	136
Zm00001eb031670	648	868	660	602	530	531	607	482
Zm00001eb031680	506	340	479	320	395	370	345	294
Zm00001eb031690	258	459	374	202	226	462	336	286
Zm00001eb031700	1627	1847	1441	1441	1494	1419	2250	1863
Zm00001eb031730	297	323	430	248	301	273	428	274
Zm00001eb031760	37	52	56	33	23	22	24	8
Zm00001eb031790	2304	2131	2820	2081	2289	2018	2550	2569
Zm00001eb031800	518	593	552	470	486	517	532	461
Zm00001eb031810	651	808	634	390	499	653	644	491
Zm00001eb031820	116	330	281	136	248	371	549	364
Zm00001eb031840	6	6	1	13	16	28	14	13
Zm00001eb031850	314	285	198	308	403	355	658	375
Zm00001eb031870	312	275	341	171	190	204	389	192
Zm00001eb031880	69	32	162	17	102	86	236	29
Zm00001eb031890	127	84	102	50	1910	1411	3161	1211
Zm00001eb031900	3436	4868	3978	3980	3571	4810	6102	4252
Zm00001eb031930	391	495	409	267	343	248	293	153
Zm00001eb031940	2	23	3	22	5	3	0	6
Zm00001eb031970	1723	1691	1563	1251	1535	1604	2025	1476
Zm00001eb031980	1329	2144	1622	1677	1787	2190	1381	1880
Zm00001eb031990	55	37	46	22	66	34	59	46
Zm00001eb032000	221	181	163	186	178	174	205	103
Zm00001eb032010	134	87	113	98	92	74	123	74
Zm00001eb032030	280	158	146	199	309	151	227	227
Zm00001eb032040	105	98	154	108	10	14	9	10
Zm00001eb032060	2601	2035	2558	2032	1977	1760	2490	1671
Zm00001eb032070	0	0	0	0	28	23	75	21
Zm00001eb032110	284	132	299	178	648	355	799	793
Zm00001eb032160	174	129	125	120	138	144	182	142
Zm00001eb032200	719	1306	1061	814	980	1023	1352	1128
Zm00001eb032220	15	25	14	15	22	12	24	21
Zm00001eb032230	7815	3842	3794	4038	6068	4143	5383	3857
Zm00001eb032240	6	14	2	9	0	4	0	0
Zm00001eb032280	334	42	336	30	584	146	776	24
Zm00001eb032290	45307	60208	37357	44114	79266	83307	83313	70982
Zm00001eb032310	61	47	46	9	105	55	49	36
Zm00001eb032320	40	71	50	34	76	66	97	68
Zm00001eb032330	68	108	64	254	88	128	66	171
Zm00001eb032340	6607	5110	6143	5020	7049	8296	7763	7358
Zm00001eb032360	21	56	42	41	30	35	36	28
Zm00001eb032370	213	66	70	125	146	101	101	114
Zm00001eb032380	20283	19565	15622	16386	28625	31034	21433	23006
Zm00001eb032420	0	0	0	0	3	17	1	13
Zm00001eb032430	5	4	6	0	92	106	177	146
Zm00001eb032460	53	26	36	12	22	11	12	9
Zm00001eb032470	27	9	11	12	35	6	14	8
Zm00001eb032480	2	2	0	5	76	41	36	48
Zm00001eb032500	1091	1339	668	882	1369	2089	1450	1834
Zm00001eb032520	39	35	54	30	143	182	438	72
Zm00001eb032550	203	195	211	120	94	79	109	48
Zm00001eb032560	22	37	95	7	2	9	107	4
Zm00001eb032580	317	126	395	31	30	36	154	17
Zm00001eb032600	6536	2266	6095	972	631	401	934	274
Zm00001eb032630	2664	2581	1885	3847	2889	3962	3628	2671
Zm00001eb032640	421	370	342	260	524	431	530	389
Zm00001eb032650	3	0	11	2	1	0	0	0
Zm00001eb032670	329	415	292	490	186	578	301	288
Zm00001eb032690	25369	31107	24463	27173	16417	19227	24661	18288
Zm00001eb032720	74	43	75	55	14	9	16	5
Zm00001eb032750	1313	666	922	727	968	723	1386	520
Zm00001eb032760	512	541	520	640	283	341	268	354
Zm00001eb032780	1604	1473	1286	1200	1295	1800	2010	999
Zm00001eb032790	25	26	18	21	14	19	20	23
Zm00001eb032800	1845	1083	1488	1242	1470	956	1384	992
Zm00001eb032820	199	155	244	116	158	168	251	224
Zm00001eb032850	63	6	48	14	17	5	15	8
Zm00001eb032860	288	146	122	177	87	83	92	69
Zm00001eb032870	18	33	7	33	9	32	16	13
Zm00001eb032890	45	21	46	25	71	35	65	19
Zm00001eb032920	1	13	13	5	2	10	6	12
Zm00001eb032930	204	503	385	449	220	455	487	454
Zm00001eb032940	86	69	40	83	81	85	95	52
Zm00001eb032970	3375	962	2790	1819	3660	1676	4859	2043
Zm00001eb032990	177	96	105	68	150	120	125	77
Zm00001eb033000	1314	1077	1290	896	1084	1155	1264	902
Zm00001eb033030	27473	18721	18464	21537	19652	15607	19391	13864
Zm00001eb033040	1190	1269	1149	798	762	895	1107	680
Zm00001eb033060	2660	4039	3426	2568	3513	6142	5178	5260
Zm00001eb033080	510	140	188	72	748	190	271	209
Zm00001eb033100	191	244	280	223	266	618	567	385
Zm00001eb033110	563	895	542	1068	595	782	704	980
Zm00001eb033120	178	110	94	124	80	56	82	52
Zm00001eb033130	15	40	24	68	16	56	16	54
Zm00001eb033140	364	430	197	745	291	425	340	478
Zm00001eb033150	323	327	309	214	460	300	280	231
Zm00001eb033160	1426	2942	958	1871	2101	3669	1827	3836
Zm00001eb033180	7	5	21	3	6	11	9	18
Zm00001eb033190	462	228	345	251	569	400	524	364
Zm00001eb033200	61	22	489	100	24	33	130	189
Zm00001eb033220	190	90	91	134	88	85	73	43
Zm00001eb033230	986	867	897	604	996	866	1414	695
Zm00001eb033240	1324	1155	944	766	1058	825	1055	612
Zm00001eb033290	321	122	216	92	231	189	281	165
Zm00001eb033310	268	149	152	111	167	126	202	99
Zm00001eb033320	36	27	12	7	10	7	8	8
Zm00001eb033330	315	148	179	135	352	215	446	171
Zm00001eb033340	0	0	0	0	13	12	11	8
Zm00001eb033360	2	1	4	0	35	18	46	26
Zm00001eb033370	6	0	0	0	29	13	8	16
Zm00001eb033390	314	421	362	338	407	443	401	294
Zm00001eb033400	52	26	13	6	0	3	1	0
Zm00001eb033410	1641	1882	1627	1321	1538	1956	2110	1643
Zm00001eb033440	1381	1314	1147	1523	1036	1758	679	798
Zm00001eb033460	23	26	7	30	0	5	7	4
Zm00001eb033470	668	310	539	282	484	291	638	463
Zm00001eb033480	1954	1330	1649	1181	1206	1409	1939	1337
Zm00001eb033510	4	5	11	7	4	0	0	0
Zm00001eb033550	357	247	306	119	213	237	283	204
Zm00001eb033570	325	231	201	260	276	222	274	171
Zm00001eb033580	1189	1596	1166	1661	535	613	540	349
Zm00001eb033590	644	605	498	329	667	538	556	375
Zm00001eb033600	918	1192	1182	941	1016	1444	1741	1190
Zm00001eb033610	72	40	39	48	351	174	171	109
Zm00001eb033620	388	411	394	318	450	856	967	942
Zm00001eb033630	23	15	8	6	9	7	11	12
Zm00001eb033640	345	285	228	361	410	416	259	399
Zm00001eb033650	5211	5056	6217	4321	2859	4221	6039	3133
Zm00001eb033670	2580	2951	1976	1812	1466	2144	2032	870
Zm00001eb033680	140	206	222	199	85	103	103	96
Zm00001eb033690	122	114	102	118	139	169	182	160
Zm00001eb033700	264	499	335	645	229	323	360	546
Zm00001eb033740	85	178	248	136	55	97	163	75
Zm00001eb033760	250	196	184	220	218	110	340	130
Zm00001eb033780	1097	876	809	575	930	849	1076	719
Zm00001eb033790	953	272	447	385	642	271	510	702
Zm00001eb033800	49	17	44	14	27	16	15	17
Zm00001eb033820	597	946	757	728	629	974	1125	1070
Zm00001eb033870	58	77	63	21	184	175	280	89
Zm00001eb033900	1501	1374	1481	1157	820	838	902	652
Zm00001eb033910	125	136	120	82	142	129	159	119
Zm00001eb033920	71	135	144	70	56	119	172	121
Zm00001eb033930	15	14	0	16	22	54	54	25
Zm00001eb033950	1006	725	961	869	548	822	576	1001
Zm00001eb033960	560	1050	519	1017	788	1298	1284	1242
Zm00001eb034000	1214	1801	1433	1513	1355	1986	1789	1716
Zm00001eb034010	1167	1972	1339	1622	957	1885	1755	2232
Zm00001eb034020	17	16	7	15	10	34	23	13
Zm00001eb034030	104	177	89	125	83	158	167	164
Zm00001eb034040	638	1109	788	1012	709	1264	986	1144
Zm00001eb034050	45	24	1372	91	77	37	1113	393
Zm00001eb034060	698	1262	1149	981	812	1108	1333	1130
Zm00001eb034080	957	804	746	566	883	755	964	669
Zm00001eb034090	165	208	145	157	155	186	175	189
Zm00001eb034100	690	442	676	528	552	332	844	480
Zm00001eb034120	33	65	60	60	40	120	113	108
Zm00001eb034130	3306	4303	13993	4202	5008	5299	11911	3827
Zm00001eb034180	1344	1028	2952	1830	1762	2067	3455	2278
Zm00001eb034190	0	2	10	0	1	0	0	0
Zm00001eb034200	3	23	6	12	11	26	39	21
Zm00001eb034220	4515	18761	9126	17481	9940	22242	14935	8447
Zm00001eb034240	50	120	66	145	11	17	48	1
Zm00001eb034250	1	11	2	11	4	2	7	4
Zm00001eb034260	33	26	32	81	68	111	65	149
Zm00001eb034290	110	31	35	19	45	38	41	37
Zm00001eb034320	14	16	17	29	0	0	0	0
Zm00001eb034350	44	34	43	44	2	0	0	0
Zm00001eb034370	45	19	36	8	2	3	12	13
Zm00001eb034400	0	2	0	0	10	33	44	27
Zm00001eb034410	27	9	25	1	133	84	155	76
Zm00001eb034440	0	0	0	0	12	5	14	6
Zm00001eb034460	7	3	2	0	4	3	20	1
Zm00001eb034480	63	14	23	14	6	14	13	10
Zm00001eb034520	54	24	20	16	40	26	113	22
Zm00001eb034540	9	7	22	8	38	47	91	43
Zm00001eb034570	13	24	49	61	1	20	6	7
Zm00001eb034600	19	19	13	5	14	12	6	20
Zm00001eb034610	113	47	55	22	79	20	21	15
Zm00001eb034650	441	147	242	66	355	224	483	73
Zm00001eb034690	636	1187	687	428	506	1097	799	501
Zm00001eb034700	96	199	76	119	51	177	77	138
Zm00001eb034710	346	446	397	349	330	271	278	269
Zm00001eb034720	3	1	8	3	3	3	10	4
Zm00001eb034730	242	290	240	305	143	233	177	298
Zm00001eb034750	563	509	339	432	519	314	436	372
Zm00001eb034760	1144	764	1086	685	553	654	690	396
Zm00001eb034780	34	34	16	26	16	30	20	23
Zm00001eb034800	412	130	177	131	155	47	106	23
Zm00001eb034810	45	135	72	16	22	7	13	5
Zm00001eb034820	307	286	246	197	174	229	254	187
Zm00001eb034830	6611	7366	9454	6504	732	1091	1778	1246
Zm00001eb034840	3580	2569	2532	2766	2897	2126	2710	2215
Zm00001eb034850	1838	1586	1969	1156	899	951	951	733
Zm00001eb034890	417	315	590	247	247	329	562	303
Zm00001eb034900	652	627	614	312	582	664	919	569
Zm00001eb034920	335	544	517	400	338	364	661	536
Zm00001eb034940	474	822	493	409	522	996	882	350
Zm00001eb034960	59	115	111	98	0	2	1	1
Zm00001eb034970	191	316	209	184	232	187	235	141
Zm00001eb034980	404	284	390	254	252	156	244	107
Zm00001eb034990	10406	7974	6323	7679	8500	7338	8193	7769
Zm00001eb035010	11	5	18	9	26	30	22	40
Zm00001eb035020	48	43	80	40	67	60	77	50
Zm00001eb035030	102	182	125	72	90	185	202	102
Zm00001eb035040	578	435	462	402	438	453	588	398
Zm00001eb035050	397	353	228	349	234	284	239	405
Zm00001eb035070	3	3	13	0	3	2	18	2
Zm00001eb035080	387	452	412	225	475	402	503	348
Zm00001eb035130	43	66	30	35	1	8	5	4
Zm00001eb035180	2	1	8	5	4	13	8	12
Zm00001eb035190	105	100	119	79	133	118	137	115
Zm00001eb035200	21	56	16	19	100	217	236	93
Zm00001eb035230	1519	1332	1098	1065	879	874	1175	733
Zm00001eb035240	19	51	21	33	27	34	38	18
Zm00001eb035260	2739	2630	2578	2081	2416	2474	2155	1957
Zm00001eb035270	8	5	5	3	18	20	5	10
Zm00001eb035290	118	76	122	66	68	95	107	57
Zm00001eb035300	8	17	11	12	0	0	0	0
Zm00001eb035310	704	951	815	787	594	808	857	866
Zm00001eb035320	580	623	620	480	402	553	758	499
Zm00001eb035340	599	530	584	453	118	131	127	50
Zm00001eb035350	864	2065	1702	1072	955	1744	2081	1333
Zm00001eb035360	574	967	675	990	676	992	963	950
Zm00001eb035370	2556	3038	2001	2525	3094	2910	3191	2595
Zm00001eb035390	364	519	375	332	368	390	480	362
Zm00001eb035420	1837	2170	1964	1488	1592	2163	1772	1525
Zm00001eb035440	144	99	119	84	185	119	229	175
Zm00001eb035450	167	119	288	115	175	122	321	166
Zm00001eb035500	718	798	746	441	602	731	968	796
Zm00001eb035510	53	56	91	66	41	44	146	104
Zm00001eb035520	1312	1716	1486	1148	10	18	45	21
Zm00001eb035550	106	106	120	65	111	217	188	105
Zm00001eb035600	3	0	132	5	2	0	60	2
Zm00001eb035610	8	6	10	4	11	10	10	9
Zm00001eb035630	401	414	520	360	392	526	554	375
Zm00001eb035640	6654	5583	5255	4320	5425	5390	6645	3771
Zm00001eb035650	72	36	30	23	86	66	39	58
Zm00001eb035660	1983	1917	1812	1624	1786	1830	1916	1590
Zm00001eb035670	188	116	128	122	180	143	302	227
Zm00001eb035680	608	646	544	487	575	671	730	704
Zm00001eb035690	23	13	9	14	5	4	2	15
Zm00001eb035700	355	364	317	186	761	732	960	501
Zm00001eb035710	349	201	209	223	541	223	507	624
Zm00001eb035720	259	471	260	344	267	412	485	481
Zm00001eb035730	3819	3511	3208	3115	2963	3129	2863	3823
Zm00001eb035740	77	94	142	52	89	92	201	90
Zm00001eb035750	2630	3324	2758	3863	2550	3270	3978	2838
Zm00001eb035760	215	220	291	162	312	266	473	299
Zm00001eb035770	2774	3077	2787	2448	2493	3406	3034	3156
Zm00001eb035780	62	74	59	70	48	76	76	31
Zm00001eb035790	1913	1504	1994	1048	1241	1355	1922	1411
Zm00001eb035800	564	697	620	604	749	779	885	818
Zm00001eb035820	626	743	677	583	571	768	990	673
Zm00001eb035830	0	8	2	6	3	6	14	7
Zm00001eb035840	1158	1909	1417	1904	1453	1482	1465	1662
Zm00001eb035860	471	392	449	489	329	452	565	545
Zm00001eb035870	199	177	352	232	66	94	126	119
Zm00001eb035960	728	772	993	791	518	651	1359	502
Zm00001eb035970	943	769	899	902	1247	1263	1499	816
Zm00001eb035990	194	222	200	127	215	401	428	180
Zm00001eb036010	31	19	22	17	17	18	28	14
Zm00001eb036020	691	1187	964	895	853	1617	1544	1391
Zm00001eb036040	556	278	388	429	475	396	630	436
Zm00001eb036050	735	835	895	667	485	717	686	552
Zm00001eb036100	4	6	3	0	11	0	3	2
Zm00001eb036110	56	41	49	25	65	37	56	37
Zm00001eb036130	3906	4292	6662	3195	5454	4145	6939	3542
Zm00001eb036140	1082	1483	1399	1299	1256	1775	2456	2112
Zm00001eb036150	8	8	6	7	10	7	12	4
Zm00001eb036170	556	760	644	582	469	592	786	738
Zm00001eb036180	0	0	0	0	15	13	28	5
Zm00001eb036210	5	6	18	9	6	5	13	4
Zm00001eb036250	144	267	186	159	203	285	313	275
Zm00001eb036270	847	810	635	881	716	746	573	798
Zm00001eb036300	289	225	228	186	223	274	217	198
Zm00001eb036310	12	15	0	5	22	12	14	19
Zm00001eb036320	452	612	486	684	257	436	424	295
Zm00001eb036330	541	338	429	237	273	272	364	245
Zm00001eb036350	1681	1453	1621	1141	1103	1409	1548	1227
Zm00001eb036360	17	15	11	11	16	9	26	10
Zm00001eb036370	1500	1414	2135	1312	311	298	623	383
Zm00001eb036390	19	13	16	4	0	0	0	0
Zm00001eb036440	439	741	488	632	192	290	216	277
Zm00001eb036450	21	16	7	4	6	3	2	1
Zm00001eb036470	84	370	82	227	127	585	47	234
Zm00001eb036480	422	974	623	523	491	1313	878	810
Zm00001eb036510	89	89	71	95	100	169	162	116
Zm00001eb036530	4380	7328	6516	5825	5701	10889	11082	10711
Zm00001eb036550	59	94	66	105	103	86	128	57
Zm00001eb036560	829	884	976	780	818	896	1054	727
Zm00001eb036570	304	221	325	165	277	307	384	188
Zm00001eb036580	289	340	345	250	242	349	492	228
Zm00001eb036600	56	36	19	21	34	37	42	36
Zm00001eb036610	1930	2463	2552	2010	1757	2218	2215	1730
Zm00001eb036630	0	4	6	5	2	1	10	7
Zm00001eb036640	3498	3417	3251	3071	3267	3976	3388	2686
Zm00001eb036700	41	37	25	40	72	53	74	51
Zm00001eb036710	512	555	611	817	452	691	697	833
Zm00001eb036720	1480	1665	1295	1408	1096	1733	1858	998
Zm00001eb036750	7566	4537	5029	3842	4664	4870	5351	4903
Zm00001eb036760	711	911	687	742	920	906	1111	718
Zm00001eb036770	631	1810	746	881	1021	1519	1003	1055
Zm00001eb036780	883	1040	618	367	108	59	91	47
Zm00001eb036790	1973	4654	3845	3699	3019	6554	4455	5894
Zm00001eb036800	220	277	167	232	190	154	145	176
Zm00001eb036840	75	105	104	83	201	284	254	242
Zm00001eb036850	7	14	16	12	0	0	0	2
Zm00001eb036880	43	87	36	34	84	98	234	125
Zm00001eb036890	1673	1600	1321	1620	1811	2093	2338	1586
Zm00001eb036900	634	1421	958	1014	572	1276	974	1111
Zm00001eb036910	303	403	329	202	177	173	302	88
Zm00001eb036920	1658	1325	1623	1854	1309	1594	1967	1531
Zm00001eb036930	17691	6129	6661	7034	12638	5784	11690	5703
Zm00001eb036940	3518	4583	3391	3410	3379	4122	3270	3346
Zm00001eb036950	1046	1079	1513	821	945	682	1476	755
Zm00001eb036970	4938	3925	1508	6286	2541	2288	1198	4466
Zm00001eb036990	114	236	126	117	202	386	514	320
Zm00001eb037000	187	293	287	240	105	237	248	128
Zm00001eb037010	3057	2857	2004	1411	992	834	1234	724
Zm00001eb037020	188	133	136	60	44	61	103	39
Zm00001eb037030	772	730	665	470	400	507	604	408
Zm00001eb037040	148	119	119	57	23	24	20	30
Zm00001eb037050	458	929	869	572	499	851	912	766
Zm00001eb037080	1478	1334	1178	1003	646	595	721	405
Zm00001eb037120	1144	2247	1558	1063	1161	1692	2177	1388
Zm00001eb037150	16	22	30	22	3	2	2	0
Zm00001eb037170	901	971	871	1326	684	1004	776	1081
Zm00001eb037180	10	17	5	1	0	1	1	0
Zm00001eb037190	212	259	222	117	0	0	4	6
Zm00001eb037200	1014	2204	1606	2251	1067	1975	1968	1858
Zm00001eb037210	1610	1538	1275	1862	1445	1811	1612	800
Zm00001eb037220	12	6	9	25	7	9	10	7
Zm00001eb037230	930	1187	1104	875	739	1039	1152	773
Zm00001eb037260	1604	1498	1232	1278	1429	1420	1811	1266
Zm00001eb037280	393	288	479	310	206	290	521	341
Zm00001eb037290	54	78	59	71	1	1	10	2
Zm00001eb037300	1356	984	892	1591	891	826	948	646
Zm00001eb037310	1917	3190	3171	2033	1080	1755	2222	1357
Zm00001eb037330	1901	2444	2022	2002	1555	2802	3082	3177
Zm00001eb037340	3	3	0	19	5	1	3	0
Zm00001eb037350	5579	5158	5329	3616	1789	2290	2452	1670
Zm00001eb037360	787	632	703	468	267	388	458	326
Zm00001eb037380	388	373	302	250	320	260	228	202
Zm00001eb037420	2088	2756	2074	2213	1876	2392	2936	2319
Zm00001eb037440	177	64	88	29	144	95	108	56
Zm00001eb037450	131	98	76	66	94	84	144	92
Zm00001eb037460	413	348	261	305	346	254	228	219
Zm00001eb037470	637	420	452	242	624	475	802	339
Zm00001eb037480	416	751	693	651	388	447	553	558
Zm00001eb037500	653	496	240	687	300	436	326	400
Zm00001eb037520	1311	1150	969	943	962	1560	994	1338
Zm00001eb037530	10	7	6	2	6	40	4	6
Zm00001eb037540	128	191	131	117	156	207	270	167
Zm00001eb037550	45	32	19	20	68	61	40	55
Zm00001eb037570	9462	5640	4574	6087	7241	4235	3941	2478
Zm00001eb037580	0	0	0	0	56	90	43	55
Zm00001eb037590	13	4	2	8	0	0	0	0
Zm00001eb037600	31	11	1023	67	17	12	292	28
Zm00001eb037640	1495	1661	4431	1327	1927	2412	4003	1647
Zm00001eb037660	0	0	0	2	94	98	160	155
Zm00001eb037670	138	417	127	173	179	583	306	297
Zm00001eb037680	4681	5933	5580	4945	3624	6045	5973	5387
Zm00001eb037690	3090	2265	2159	1526	3932	3613	4036	2638
Zm00001eb037700	299	731	500	416	353	582	787	584
Zm00001eb037710	16	18	17	14	44	49	109	78
Zm00001eb037730	237	317	244	223	234	254	347	165
Zm00001eb037740	377	275	236	210	432	404	777	235
Zm00001eb037820	1378	1230	1083	727	1133	871	820	720
Zm00001eb037840	94	199	159	98	87	154	188	92
Zm00001eb037860	227	398	296	143	22	140	62	27
Zm00001eb037890	216	289	337	197	83	92	81	80
Zm00001eb037940	7	41	18	55	5	7	2	4
Zm00001eb037950	10	9	13	9	9	25	6	2
Zm00001eb037970	128	159	140	96	147	154	114	148
Zm00001eb037980	215	214	271	152	251	235	507	386
Zm00001eb037990	22	16	30	3	10	20	11	4
Zm00001eb038010	765	812	915	692	570	796	1091	643
Zm00001eb038030	95	119	83	89	71	101	161	93
Zm00001eb038040	322	535	412	367	205	236	299	181
Zm00001eb038070	0	4	0	2	1	13	1	0
Zm00001eb038090	25	58	37	10	58	177	116	79
Zm00001eb038100	32	31	11	15	2	5	2	0
