GeneID	C_6_Susc	T_6_Susc	C_24_Susc	T_24_Susc	C_6_Tol	T_6_Tol	C_24_Tol	T_24_Tol
Zm00001eb307870	374	298	517	196	1	0	0	0
Zm00001eb238130	373	215	207	252	0	0	0	0
Zm00001eb404170	373	23	242	94	10	4	11	0
Zm00001eb260010	372	186	407	27	65	261	174	45
Zm00001eb412650	372	164	286	126	15	6	6	2
Zm00001eb225440	366	194	561	90	599	290	834	52
Zm00001eb090060	363	203	321	247	0	0	0	0
Zm00001eb322330	362	410	315	195	2	14	0	0
Zm00001eb358190	359	220	342	142	0	8	1	2
Zm00001eb371040	356	515	414	379	1	4	2	4
Zm00001eb116670	356	352	233	271	14	12	7	1
Zm00001eb051100	356	252	422	135	0	0	0	0
Zm00001eb018040	352	52	485	55	93	6	213	29
Zm00001eb333720	351	366	366	180	0	0	1	0
Zm00001eb393510	349	236	275	305	0	1	5	0
Zm00001eb164960	346	19	45	4	236	187	590	26
Zm00001eb405160	342	167	211	195	47	1	2	4
Zm00001eb065210	341	1	16	24	811	33	731	610
Zm00001eb382720	337	311	483	236	4	5	27	2
Zm00001eb032280	334	42	336	30	584	146	776	24
Zm00001eb251130	328	174	463	26	457	425	523	183
Zm00001eb083940	328	461	334	298	13	6	7	7
Zm00001eb354700	327	148	144	230	59	19	52	11
Zm00001eb210290	325	471	254	423	0	0	0	0
Zm00001eb006600	322	343	278	198	1	2	0	4
Zm00001eb000060	318	221	300	131	0	0	0	0
Zm00001eb112110	318	167	257	94	1	0	0	0
Zm00001eb032580	317	126	395	31	30	36	154	17
Zm00001eb117200	314	263	360	188	0	0	0	6
Zm00001eb318600	314	88	116	291	2	0	3	3
Zm00001eb325410	303	47	918	82	636	60	1532	142
Zm00001eb312750	302	275	340	167	3	1	4	4
Zm00001eb326260	302	188	163	115	8	6	23	13
Zm00001eb283460	302	9	172	12	83	7	6	3
Zm00001eb089370	299	272	272	222	13	9	21	17
Zm00001eb323420	298	604	282	300	76	116	46	11
Zm00001eb202810	298	216	300	176	0	0	0	0
Zm00001eb386080	295	114	68	21	861	2617	3115	1372
Zm00001eb112120	292	152	280	78	0	0	0	0
Zm00001eb373820	291	237	146	165	6	12	6	1
Zm00001eb099780	290	204	153	173	7	0	7	0
Zm00001eb102510	289	883	636	38	44	239	80	25
Zm00001eb123400	287	24	127	38	304	23	84	199
Zm00001eb171250	286	207	209	236	9	21	0	0
Zm00001eb256520	283	69	23	200	116	75	26	204
Zm00001eb253580	281	260	1836	193	170	163	1731	114
Zm00001eb124620	281	877	656	219	12	64	16	69
Zm00001eb334350	277	200	252	117	0	0	0	0
Zm00001eb266210	277	163	285	78	0	0	0	0
Zm00001eb201580	276	30	6	208	291	66	9	295
Zm00001eb408170	275	142	272	189	3	1	0	0
Zm00001eb297470	272	242	274	190	14	21	18	20
Zm00001eb368850	269	229	391	102	24	10	21	18
Zm00001eb284350	268	82	33	1214	155	247	166	811
Zm00001eb194880	267	616	491	450	7	9	9	11
Zm00001eb404890	264	140	165	297	7	5	16	13
Zm00001eb372580	263	500	210	205	1	3	1	12
Zm00001eb127540	260	152	229	69	4	3	4	0
Zm00001eb334340	259	170	271	109	0	0	0	0
Zm00001eb132400	258	162	106	153	6	1	0	1
Zm00001eb063260	258	131	135	143	1	4	0	1
Zm00001eb177760	257	196	227	139	7	14	16	9
Zm00001eb326840	257	59	65	124	15	24	20	12
Zm00001eb146150	256	198	338	159	0	0	0	0
Zm00001eb137300	255	283	256	258	0	0	2	0
Zm00001eb256120	254	455	777	52	429	1100	1144	175
Zm00001eb120230	254	313	298	240	17	18	28	13
Zm00001eb207300	254	248	208	186	0	1	6	8
Zm00001eb349890	253	266	284	329	1	2	3	2
Zm00001eb228500	253	43	195	202	1	6	19	9
Zm00001eb287790	252	35	2813	74	130	22	907	39
Zm00001eb070270	249	16	38	29	404	373	303	573
Zm00001eb072110	249	189	261	132	4	0	0	0
Zm00001eb344610	247	295	279	170	2	0	0	0
Zm00001eb051930	247	189	281	183	0	0	4	3
Zm00001eb392430	247	160	150	167	43	16	67	6
Zm00001eb271830	246	241	225	177	6	5	14	12
Zm00001eb006490	245	702	508	282	1	0	0	0
Zm00001eb004900	245	299	190	154	0	0	0	0
Zm00001eb343560	244	165	247	80	0	0	1	0
Zm00001eb166200	243	320	389	110	3	5	37	0
Zm00001eb380870	243	202	180	90	0	0	0	0
Zm00001eb106380	243	42	64	34	104	35	110	5
Zm00001eb063350	241	306	366	266	7	12	9	19
Zm00001eb421000	240	190	239	113	2	5	3	6
Zm00001eb237530	239	594	431	532	7	6	15	19
Zm00001eb063830	239	162	173	73	0	0	0	0
Zm00001eb269380	238	190	251	135	0	0	0	0
Zm00001eb321950	237	167	158	76	0	0	0	0
Zm00001eb051940	236	284	220	148	0	0	3	1
Zm00001eb189350	236	129	325	42	8	2	6	6
Zm00001eb094640	232	179	204	194	0	0	0	2
Zm00001eb210240	231	201	266	130	0	0	0	0
Zm00001eb107960	231	193	239	87	1	0	0	1
Zm00001eb189910	230	226	272	145	17	7	3	4
Zm00001eb078450	230	79	323	54	0	1	1	0
Zm00001eb339560	230	115	213	48	9	1	5	10
Zm00001eb329050	229	67	203	95	1478	982	922	781
Zm00001eb380440	229	287	362	243	11	8	21	5
Zm00001eb044280	229	257	227	173	0	0	4	1
Zm00001eb204960	228	14	14	4	12	1	4	4
Zm00001eb370870	226	349	94	799	190	1188	40	367
Zm00001eb394690	224	211	383	352	36	54	71	22
Zm00001eb318460	224	189	211	108	1	1	0	0
Zm00001eb419170	224	135	121	84	0	0	1	0
Zm00001eb340550	222	14	312	2	229	40	574	20
Zm00001eb162710	220	1170	398	108	82	69	71	5
Zm00001eb000270	219	247	166	115	0	0	0	4
Zm00001eb308510	217	270	271	204	26	21	23	23
Zm00001eb261620	217	65	227	28	5	11	30	1
Zm00001eb166920	216	89	298	96	10	7	41	16
Zm00001eb348380	215	322	274	344	5	1	0	0
Zm00001eb116790	215	253	165	168	0	0	0	0
Zm00001eb129500	215	213	222	139	6	0	0	0
Zm00001eb047350	215	99	59	86	0	0	0	0
Zm00001eb119280	214	161	125	253	2401	1363	3048	1045
Zm00001eb164570	214	194	174	103	0	0	0	0
Zm00001eb168980	214	16	115	17	14	11	14	0
Zm00001eb037190	212	259	222	117	0	0	4	6
Zm00001eb409130	211	150	249	101	0	0	0	0
Zm00001eb234840	210	188	283	175	0	1	2	0
Zm00001eb046720	209	96	94	201	0	0	0	0
Zm00001eb410710	208	89	211	43	183	92	458	32
Zm00001eb272210	207	151	168	140	0	0	0	0
Zm00001eb213310	205	311	1266	468	2	6	2	3
Zm00001eb301390	205	208	202	138	0	0	0	0
Zm00001eb026240	203	155	205	108	5	1	0	0
Zm00001eb197000	202	137	108	63	1	0	1	2
Zm00001eb069550	200	202	179	101	2	0	0	0
Zm00001eb416960	198	253	297	140	14	28	24	34
Zm00001eb273400	198	220	186	173	2	0	0	0
Zm00001eb015410	197	262	196	163	2	2	0	3
Zm00001eb341700	197	206	193	114	0	0	3	3
Zm00001eb283920	196	120	193	44	1	0	0	0
Zm00001eb266220	196	124	162	67	0	1	0	0
Zm00001eb306340	196	57	130	103	1	0	0	0
Zm00001eb266820	194	67	127	38	2534	3950	7096	8813
Zm00001eb227270	194	168	222	108	0	0	5	0
Zm00001eb433640	193	48	9	187	241	140	51	763
Zm00001eb277660	193	113	379	33	153	42	233	11
Zm00001eb107950	193	150	149	98	0	0	0	0
Zm00001eb411500	192	117	146	58	0	4	5	1
Zm00001eb090120	191	84	104	156	2	3	0	0
Zm00001eb309690	191	76	104	58	1	2	0	1
Zm00001eb285480	190	143	199	302	4	31	31	29
Zm00001eb270960	190	217	153	104	34	10	26	4
Zm00001eb113150	189	280	187	226	5	1	10	3
Zm00001eb209630	189	104	163	102	0	0	0	0
Zm00001eb336510	189	93	197	60	4	0	0	0
Zm00001eb148090	188	224	209	210	4	1	0	4
Zm00001eb305770	188	105	218	92	2	0	0	0
Zm00001eb118990	187	336	397	238	13	12	41	20
Zm00001eb072170	186	130	113	122	5	0	1	0
Zm00001eb411280	185	84	56	65	1	0	0	0
Zm00001eb334540	185	15	40	2	33	21	19	1
Zm00001eb055950	184	238	168	331	52	81	38	18
Zm00001eb107240	184	90	124	209	7	23	3	22
Zm00001eb076020	184	147	128	112	7	12	16	12
Zm00001eb263070	183	54	92	43	9	4	13	2
Zm00001eb058890	182	264	185	173	0	1	2	0
Zm00001eb259720	182	116	169	119	0	0	0	0
Zm00001eb302380	181	177	270	108	0	0	0	0
Zm00001eb169170	180	186	159	102	6	0	1	6
Zm00001eb101660	178	24	612	61	226	17	530	53
Zm00001eb153570	178	6	19	96	34	4	8	24
Zm00001eb112080	177	233	70	158	15	9	5	1
Zm00001eb064170	177	164	145	110	6	9	19	6
Zm00001eb145040	177	144	154	110	2	1	0	0
Zm00001eb004890	175	181	156	152	0	0	0	0
Zm00001eb294750	175	120	141	75	2	0	0	1
Zm00001eb018270	174	164	71	186	68	81	38	2
Zm00001eb114340	174	90	115	82	4	14	5	6
Zm00001eb339570	172	94	154	74	0	0	0	0
Zm00001eb228670	171	3040	6414	1769	151	2624	5715	1793
Zm00001eb139830	170	29	5	145	115	86	16	297
Zm00001eb084880	169	90	151	58	2	1	1	1
Zm00001eb098760	168	211	187	123	14	14	7	7
Zm00001eb185380	168	91	103	56	2	3	0	0
Zm00001eb359020	166	163	112	100	0	0	1	0
Zm00001eb149500	166	10	6	69	127	26	21	84
Zm00001eb009050	165	139	227	88	2	6	8	2
Zm00001eb106410	165	15	22	1	47	30	53	5
Zm00001eb154410	164	155	228	162	30	28	52	6
Zm00001eb096620	164	263	123	161	4	14	7	0
Zm00001eb242480	164	30	3	106	143	31	16	103
Zm00001eb258790	163	1687	1071	430	147	2116	1645	683
Zm00001eb306620	163	217	174	179	0	2	1	1
Zm00001eb204530	160	184	127	212	44	45	46	12
Zm00001eb096760	159	224	154	152	9	8	18	10
Zm00001eb415240	159	151	78	62	0	0	0	0
Zm00001eb332100	158	30	172	12	174	94	266	10
Zm00001eb175180	158	203	154	167	4	10	8	7
Zm00001eb370600	158	76	197	106	0	0	0	0
Zm00001eb089540	158	95	202	22	0	0	0	0
Zm00001eb423310	157	87	82	60	1015	1728	1836	1703
Zm00001eb368650	157	104	132	65	8	0	3	7
Zm00001eb069310	156	42	272	31	750	79	1387	45
Zm00001eb381920	155	13	321	99	6	2	0	0
Zm00001eb405940	155	124	148	128	8	6	5	7
Zm00001eb333710	153	182	196	77	1	0	0	0
Zm00001eb111480	153	118	134	72	1	0	0	2
Zm00001eb368890	152	336	222	199	12	21	19	22
Zm00001eb027900	152	90	91	108	1	5	10	5
Zm00001eb019980	152	88	116	79	0	0	1	4
Zm00001eb323090	151	57	128	96	34	823	277	71
Zm00001eb217210	151	218	149	155	0	0	0	13
Zm00001eb328700	150	160	412	137	5	3	8	4
Zm00001eb271720	149	163	169	139	3	14	12	5
Zm00001eb198140	148	124	250	116	5	5	41	12
Zm00001eb111710	147	147	38	372	61	87	43	107
Zm00001eb187130	146	15	0	93	117	22	0	205
Zm00001eb401330	146	34	46	56	146	5	32	23
Zm00001eb418230	146	88	181	11	16	12	15	2
Zm00001eb159220	145	130	895	108	24	153	73	223
Zm00001eb402150	144	53	209	18	167	74	369	22
Zm00001eb172250	144	211	112	152	13	1	11	6
Zm00001eb088450	144	169	116	129	1	0	0	2
Zm00001eb178310	144	173	99	137	0	0	0	0
Zm00001eb051760	144	102	150	110	5	5	7	5
Zm00001eb089160	144	96	131	45	3	8	6	10
Zm00001eb272220	143	128	125	111	0	0	0	0
Zm00001eb254610	142	102	110	35	0	0	0	0
Zm00001eb273350	141	142	100	70	0	0	0	0
Zm00001eb100220	140	46	36	16	250	222	294	8
Zm00001eb415030	140	197	224	126	13	54	17	10
Zm00001eb266640	140	117	141	54	0	1	2	1
Zm00001eb096640	140	82	72	45	1	0	0	3
Zm00001eb083480	139	119	126	103	1	0	0	2
Zm00001eb412250	139	98	139	69	0	0	0	0
Zm00001eb232350	139	77	52	63	0	0	0	0
Zm00001eb019760	138	151	138	54	2	5	4	2
Zm00001eb248660	137	148	144	103	0	0	0	2
Zm00001eb105150	137	88	97	51	0	0	0	0
Zm00001eb226480	136	181	99	131	0	0	0	2
Zm00001eb391900	136	84	132	67	11	16	26	0
Zm00001eb238720	135	119	261	82	10	5	0	0
Zm00001eb268320	132	120	82	99	683	1815	1463	959
Zm00001eb212520	132	17	131	63	240	22	566	81
Zm00001eb377390	132	158	188	155	75	14	65	2
Zm00001eb286130	131	108	102	61	1	0	1	7
Zm00001eb089610	130	71	112	42	0	0	0	1
Zm00001eb219180	129	183	160	103	0	0	0	1
Zm00001eb386620	128	164	149	149	2	0	0	0
Zm00001eb031890	127	84	102	50	1910	1411	3161	1211
Zm00001eb388670	127	96	91	82	11	28	4	4
Zm00001eb141200	127	95	115	49	0	0	0	0
Zm00001eb163440	127	7	16	15	96	29	30	37
Zm00001eb046570	126	183	89	339	0	2	0	4
Zm00001eb342140	126	208	198	127	0	0	0	1
Zm00001eb272340	126	139	123	111	4	1	0	1
Zm00001eb039750	125	17	154	15	84	56	585	249
Zm00001eb008180	125	144	118	33	0	11	5	0
Zm00001eb068900	125	67	137	66	12	3	2	4
Zm00001eb273170	124	105	264	107	0	0	0	0
Zm00001eb138300	123	278	198	158	1353	1951	2000	1360
Zm00001eb356600	123	6	141	55	371	192	610	356
Zm00001eb406920	123	140	305	112	9	5	19	17
Zm00001eb068360	122	174	128	134	5	2	1	1
Zm00001eb018820	122	163	123	107	0	1	0	0
Zm00001eb046070	122	136	108	91	5	7	18	7
Zm00001eb409030	122	38	25	17	105	2	71	8
Zm00001eb148070	121	1128	1880	514	25	842	1051	215
Zm00001eb418610	121	26	1270	50	85	21	343	45
Zm00001eb244460	121	86	77	108	0	0	0	0
Zm00001eb121900	120	28	552	23	404	74	271	101
Zm00001eb346800	120	29	355	22	192	38	481	67
Zm00001eb272230	119	63	0	129	113	48	28	50
Zm00001eb357950	118	188	289	177	34	32	24	73
Zm00001eb211210	118	183	129	112	0	4	3	2
Zm00001eb161610	117	7	4	119	160	7	10	168
Zm00001eb278150	117	22	6	130	46	14	24	49
Zm00001eb204330	117	68	87	29	3	5	2	4
Zm00001eb386610	116	192	134	207	0	0	0	0
Zm00001eb186140	116	196	152	167	1	0	2	0
Zm00001eb185100	115	52	795	71	113	46	660	116
Zm00001eb264810	115	187	136	185	1	0	0	0
Zm00001eb050580	115	170	148	47	1	0	0	1
Zm00001eb069060	115	98	111	113	0	3	0	0
Zm00001eb093580	114	137	114	132	1587	1328	2480	1646
Zm00001eb204830	114	143	180	122	0	3	0	1
Zm00001eb200160	114	110	106	94	6	6	3	2
Zm00001eb070640	114	49	69	26	0	1	0	0
Zm00001eb207730	113	157	104	100	0	0	0	4
Zm00001eb000310	113	103	105	84	2	8	3	7
Zm00001eb269580	113	92	140	39	0	0	0	3
Zm00001eb015360	113	102	108	50	0	0	0	0
Zm00001eb198080	112	154	24	33	625	1194	935	917
Zm00001eb374190	111	198	92	791	38	70	75	290
Zm00001eb417710	110	58	82	67	2	3	4	7
Zm00001eb413460	110	70	97	25	0	0	1	1
Zm00001eb312960	110	33	90	50	0	0	1	0
Zm00001eb145080	110	3	16	3	0	0	0	0
Zm00001eb218160	109	29	5	8	550	1292	1092	492
Zm00001eb266670	109	90	134	73	4	3	2	0
Zm00001eb111670	108	71	163	65	875	1031	1643	479
Zm00001eb040630	108	122	143	58	0	0	0	0
Zm00001eb411270	108	136	105	74	0	0	0	0
Zm00001eb411480	108	32	72	56	0	0	0	0
Zm00001eb000300	107	102	99	78	2	3	3	1
Zm00001eb201400	107	87	83	43	0	0	0	0
Zm00001eb058380	107	77	61	64	0	0	0	0
Zm00001eb319160	106	95	124	55	0	0	0	0
Zm00001eb298890	106	82	100	58	17	3	4	8
Zm00001eb099220	106	62	91	31	1	0	0	0
Zm00001eb251520	105	21	403	29	120	51	705	86
Zm00001eb390600	105	230	145	176	6	8	3	9
Zm00001eb032040	105	98	154	108	10	14	9	10
Zm00001eb217260	105	98	101	67	0	3	1	3
Zm00001eb015370	105	98	82	35	0	0	0	0
Zm00001eb319670	104	208	229	119	9167	7822	14474	6024
Zm00001eb141080	104	132	165	156	774	2611	1203	2617
Zm00001eb421670	104	81	98	70	2	1	0	0
