ENSEMBL_GeneID	C_24_Susc_counts	C_24_Tol_counts	C_6_Susc_counts	C_6_Tol_counts	T_24_Susc_counts	T_24_Tol_counts	T_6_Susc_counts	T_6_Tol_counts
Zm00001eb002220	3106.85	2923.25	2339.78	2481.16	3123.85	3089.6	4335.93	3884.72
Zm00001eb002240	75	76	46	68	69	96	103	93
Zm00001eb002250	5	9	1	6	2	0	4	2
Zm00001eb002260	1480	2253	1457	1878	1280	1757	1813	2097
Zm00001eb002270	1183	1076	703	384	531	362	325	237
Zm00001eb002280	1	0	1	0	0	0	4	0
Zm00001eb002290	0	4	3	0	0	0	0	0
Zm00001eb002300	3	1	0	2	0	0	1	0
Zm00001eb002310	38	17	46	13	18	25	43	27
Zm00001eb002320	2645	3029	2704	2162	2972	2866	3118	3036
Zm00001eb002330	3	33	7	13	1	24	7	38
Zm00001eb002340	0	0	0	0	0	0	0	0
Zm00001eb002350	0	0	1	0	0	0	0	0
Zm00001eb002360	0	0	0	0	0	0	0	0
Zm00001eb002370	0	0	0	0	0	0	0	0
Zm00001eb002380	5	4	14	18	4	2	5	5
Zm00001eb002390	55	36	37	50	140	41	77	90
Zm00001eb002410	0	0	0	0	0	0	0	0
Zm00001eb002420	1472.44	1822.83	932.91	1172.74	1542.76	1749.92	2383.99	2335.06
Zm00001eb002430	1120	1719	1154	981	960	1138	1484	1454
Zm00001eb002440	275	331	293	256	403	263	332	347
Zm00001eb002450	253	283	264	217	79	125	213	163
Zm00001eb002460	202	186	275	167	124	128	196	136
Zm00001eb002470	39	48	82	50	41	51	47	53
Zm00001eb002480	6.29	14.56	10.69	10.17	2.34	2.23	1.16	2.08
Zm00001eb002490	801.71	1137.44	940.31	1004.83	745.66	943.77	1028.84	1141.92
Zm00001eb002510	107	121	669	256	126	183	144	216
Zm00001eb002520	2662	1492	1885	737	2710	1871	3350	1762
Zm00001eb002530	1565.24	2028	1867.25	1648	1031.21	1207	1589.06	1683
Zm00001eb002540	342	630	319	334	264	568	439	596
Zm00001eb002550	274	575	275	503	123	377	247	524
Zm00001eb002560	171	333	223	261	125	203	135	164
Zm00001eb002570	408	330	742	703	425	425	556	516
Zm00001eb002590	914	563	1388	724	1187	456	1498	850
Zm00001eb002600	6	44	30	36	96	52	22	28
Zm00001eb002610	629	529	843	571	791	420	692	500
Zm00001eb002620	4419	5551	7459	4653	3988	5329	5240	5700
Zm00001eb002640	2666	3783	1743	2120	2459	3871	3566	4079
Zm00001eb002650	0	0	0	0	0	0	0	0
Zm00001eb002660	35	48	145	70	20	8	50	22
Zm00001eb002680	270	146	113	115	126	126	318	224
Zm00001eb002690	459.53	1142.77	839.46	1099.24	274.45	564.36	622.81	748.62
Zm00001eb002700	94.46	103.23	96.9	46.98	41.21	62.64	82.19	68.55
Zm00001eb002710	0.01	0	4.64	31.78	10.34	0	0	15.83
Zm00001eb002720	364	418.32	457.67	237.01	352.01	328.67	323.72	346.64
Zm00001eb002730	0	30.68	13.33	28.99	27.99	30.33	57.28	36.36
Zm00001eb002740	817	817	817	610	305	446	533	627
Zm00001eb002750	0	0	0	0	0	0	0	0
Zm00001eb002760	257	207	262	159	282	94	450	315
Zm00001eb002770	0	6.9	0	7.06	0	0	0	5
Zm00001eb002780	1541	1027	1708	1919	1770	999	1608	1386
Zm00001eb002790	1005.14	1119.23	1579.27	957.69	1046.64	885.45	1308.12	1296.93
Zm00001eb002800	1611	2169	2000	1849	1773	1466	1995	2331
Zm00001eb002810	1806	2053	1134	1058	851	1338	1417	1350
Zm00001eb002820	512	533	388	260	308	394	382	325
Zm00001eb002830	242	954	252	434	150	225	245	755
Zm00001eb002840	0	2.18	0	0	0	0	0	0
Zm00001eb002850	947	1723.82	1205	1305	732	1538	1183	1856
Zm00001eb002860	0	2	0	7	0	2	0	2
Zm00001eb002870	52	43	27	31	23	13	33	19
Zm00001eb002880	0	3	2	0	0	0	2	0
Zm00001eb002890	0	0	0	0	0	0	0	0
Zm00001eb002900	0	0	0	0	0	0	2.18	0
Zm00001eb002910	0	625.12	0	451.93	10.02	646.44	42.21	730.07
Zm00001eb002920	231.51	395.57	267.18	246.63	109.77	227.87	213.58	335.76
Zm00001eb002930	62.49	93.43	173.82	98.37	128.23	146.13	103.42	56.24
Zm00001eb002940	255	402	279	210	351	414	381	386
Zm00001eb002950	289	336	190	231	107	287	190	434
Zm00001eb002960	3173.44	2593.29	3208.51	3398.69	4489.68	3109.24	5076.8	3574.55
Zm00001eb002970	0	0	0	0	0	0	0	0
Zm00001eb002980	7	6.92	2	2	2	1	1	14.95
Zm00001eb002990	0	0	0	0	0	0	0	0
Zm00001eb003000	201.79	229.32	214.12	212.8	196.81	195.53	275.02	244.59
Zm00001eb003010	454.16	409.46	427.67	335.4	396.26	363.66	455.69	345.23
Zm00001eb003020	333.05	338.22	319.21	416.8	274.92	231.81	370.29	291.18
Zm00001eb003030	527	571	681	436	386	417	470	488
Zm00001eb003040	886.63	94.62	861.88	86.07	567.98	111.56	868.71	133.69
Zm00001eb003050	3.44	1.26	11.17	0	0	0	19.08	1.25
Zm00001eb003060	0	0	0	0	0	0	0	0
Zm00001eb003070	1830.94	989	1613.95	702	2004	1090	2556	1182
Zm00001eb003080	789.77	798.84	545.66	507.93	506.87	563.63	520.27	415.43
Zm00001eb003090	17.23	22.16	12.34	12.07	6.13	14.37	19.73	15.57
Zm00001eb003100	0	0	0	0	0	0	0	0
Zm00001eb003110	73	99	104	147	61	132	75	67
Zm00001eb003120	0	0	0	0	0	0	0	0
Zm00001eb003130	87	125	86	77	206	211	215	135
Zm00001eb003140	221	191.82	76	42.53	135	104	144	101.94
Zm00001eb003150	1	1.18	0	2.47	0	1	0	6.06
Zm00001eb003160	0	0	0	0	0	0	0	0
Zm00001eb003170	678	1238	1310	1126	627	905	636	851
Zm00001eb003180	8529	9142	4763	4635	9076	7965	11067	7956
Zm00001eb003190	313	358	267	126	315	117	284	238
Zm00001eb003200	53	30	34	68	32	30	21	62
Zm00001eb003210	2	0	0	0	0	3	0	1
Zm00001eb003220	918.4	1990.95	2726.62	1395.68	1201	896	1505.18	1170.15
Zm00001eb003230	628.6	167.05	601.38	64.32	0	0	26.82	69.85
Zm00001eb003240	1389	1563	1478	1022	1343	1365	773	929
Zm00001eb003270	0	0	0	0	0	0	0	0
Zm00001eb003280	0	0	0	0	0	0	0	0
Zm00001eb003290	0	0	0	0	0	0	0	0
Zm00001eb003300	0	0	0	0	0	0	0	0
Zm00001eb003310	0	1.1	1	4.94	0	0	0	0
Zm00001eb003330	13	17	19	7	11	3	17	6
Zm00001eb003340	27	43	36	19	11	16	35	18
Zm00001eb003350	3561	3840.97	2160	1888	3999	3770	4366	3415
Zm00001eb003360	1329	1725	1688	1082	858	1435	1318	1383
Zm00001eb003370	0	0	0	0	0	0	0	0
Zm00001eb003380	0	0	0	0	0	0	0	0
Zm00001eb003390	0	0	0	0	0	0	0	0
Zm00001eb003400	1	0	3	1	0	3	0	2
Zm00001eb003420	3057	2873	1394	1429	2897	2561	3359	2857
Zm00001eb003440	5176	3840	3423	2183	4599	6299	4572	4561
Zm00001eb003450	2	6	5	7	2	0	7	4
Zm00001eb003460	42	40	102	54	59	6	95	25
Zm00001eb003470	885	189	763	215	1148	289	1339	511
Zm00001eb003480	854	1089	1518	1116	664	480	750	670
Zm00001eb003490	3296	5752	4382	5642	3670	5498	3866	5788
Zm00001eb003510	694	817	490	516	616	745	828	821
Zm00001eb003520	96	320	52	145	27	193	46	137
Zm00001eb003530	0	0	0	0	0	0	0	0
Zm00001eb003540	784	1014	1119.9	974	1009	999	1148	1191
Zm00001eb003550	3466	4075	3297	2871	2463	2344	3819	3725
Zm00001eb003560	0	1	1	9	0	2	0	1
Zm00001eb003570	204.24	34.09	150.48	13.42	155.34	8.07	212.98	23.2
Zm00001eb003580	657.05	808.03	913.87	550.87	523.29	457	756.77	828.48
Zm00001eb003590	79.95	79.97	149.13	87.13	134.71	0	122.23	123.52
Zm00001eb003600	17	9	12	7	11	4	9	15
Zm00001eb003610	11	10	11	8	10	1	7	14
Zm00001eb003620	68	47	18	20	35	30	28	31
Zm00001eb003630	89	80	31	52	52	20	73	61
Zm00001eb003650	905	974	768	777	485	566	720	999
Zm00001eb003660	710	796	584	914	482	413	481	757
Zm00001eb003670	187	254	249	311	279	257	277	330
Zm00001eb003680	3	2	1	2	14	4	18	5
Zm00001eb003690	1200	1298	1106	913	1052	1207	1485	1304
Zm00001eb003700	191	630	135	345	48	113	116	316
Zm00001eb003710	0	0	0	0	0	0	0	0
Zm00001eb003720	0	0	0	0	0	0	0	0
Zm00001eb003730	37678	51917	51497	51613	34429	38540	29413	45138
Zm00001eb003740	0	0	0	0	0	0	0	0
Zm00001eb003750	255	358	180	214	121	153	194	225
Zm00001eb003760	577	174	249	136	243	93	424	113
Zm00001eb003770	0	1	0	2	0	0	0	1
Zm00001eb003780	59	78	102	101	39	63	51	71
Zm00001eb003790	0	0	0	0	0	0	0	0
Zm00001eb003800	0	0	2	0	0	0	1	0
Zm00001eb003810	1528	1917	1470.66	1560.56	1137	1307.43	1913	1993.41
Zm00001eb003820	630	12	301	2	481	6	666	18
Zm00001eb003830	2950	4691	3011	3355	4312	3063	2866	3823
Zm00001eb003840	986	1570	679	929	867	1329	1074	1245
Zm00001eb003850	16	124	15	66	17	129	16	139
Zm00001eb003860	17	43	20	26	12	22	18	27
Zm00001eb003870	101	83	82	79	58	37	63	35
Zm00001eb003880	679	708	664	460	600	611	664	605
Zm00001eb003890	540	565	667	452	367	457	592	569
Zm00001eb003900	127	119	88	84	99	109	130	110
Zm00001eb003910	220	402	264	567	124	215	291	1137
Zm00001eb003920	31	113	55	147	32	89	63	225
Zm00001eb003930	7356	4555.4	6000	3273.16	5851	3984.74	8098	4815.05
Zm00001eb003940	0	0	0	0	0	0	0	0
Zm00001eb003950	7	3	1	0	0	3.05	0	3
Zm00001eb003960	25	15	39	12	11	2	8	11
Zm00001eb003970	300	386	246	319	180	335	253	320
Zm00001eb004000	138	122	157	115	138	82	89	151
Zm00001eb004020	0	0	0	0	0	0	2	0
Zm00001eb004030	1236	1717	1038	1321	1446	1849	1798	2029
Zm00001eb004040	0	0	0	0	0	0	0	0
Zm00001eb004050	389	592	312	298	336	576	481	490
Zm00001eb004060	0	0	0	0	0	0	0	0
Zm00001eb004070	0	8	0	3	0	1	0	0
Zm00001eb004080	3	0	0	0	0	0	0	0
Zm00001eb004090	1460	527	1333	417	1475	648	1606	654
Zm00001eb004100	0	0	0	0	0	0	0	0
Zm00001eb004110	234	0	259	2	346	2	680	8
Zm00001eb004120	1138	1362	1508	1194	1248	1524	1625	1481
Zm00001eb004130	0	0	0	0	0	0	0	0
Zm00001eb004140	54.25	57.32	48	65.22	38.82	23	77	60.27
Zm00001eb004150	14.75	11.68	1	2.78	23.18	12	8	8.73
Zm00001eb004160	529	573	412	465	264	327	467	519
Zm00001eb004170	3438	2482.36	3871	2548.84	3188	2589.39	3923.69	2684.4
Zm00001eb004180	40	57	99	42	167	52	59	37
Zm00001eb004190	182	177	178	131	175	166	192	199
Zm00001eb004200	0	7	0	4	1	3	1	0
Zm00001eb004210	517	896	1555	1057	1006	741	775	664
Zm00001eb004220	0	0	0	0	0	0	0	0
Zm00001eb004230	0	0	0	0	0	0	0	0
Zm00001eb004240	143	235	128	241	115	188	179	171
Zm00001eb004250	166	290.68	195	211.71	127.87	124.96	250	210.8
Zm00001eb004260	74	74	48	53	11	12	32	26
Zm00001eb004280	111	9	33	9	16	2	49	3
Zm00001eb004290	524	968	774	965	536	622	509	775
Zm00001eb004300	4	1	5	1	10	2	9	0
Zm00001eb004310	356	353	362	430	270	253	264	270
Zm00001eb004320	662.88	984.28	489.49	529.57	561.73	896.91	775.53	908.38
Zm00001eb004330	0	0	0	0	0	0	0	0
Zm00001eb004340	264.87	221.64	93	105	147	165	196	96
Zm00001eb004350	2.13	2.36	0	0	0	3	0	0
Zm00001eb004360	0	0	0	0	0	0	0	0
Zm00001eb004370	1404	1571	1463	1186	917	890	1200	1210
Zm00001eb004380	0	0	0	0	0	0	0	0
Zm00001eb004390	2241	3403	3124	3361	1872	2185	2605	2385
Zm00001eb004400	1943.87	2199.88	1839	1503.95	2384.98	1783.84	2474.99	2148.86
Zm00001eb004410	38.13	53.12	15	44.05	15.02	58.16	11.01	37.14
Zm00001eb004420	5870	6291	6475	7336	5403	6037	7703	6300
Zm00001eb004430	283.24	473.77	397	495	331.15	428.39	373.34	613.04
Zm00001eb004440	336.76	314.23	373	175	281.85	190.61	425.66	273.96
Zm00001eb004450	3.92	7.96	7.82	7.91	43.29	11.52	23.49	3.91
Zm00001eb004460	64.08	48.04	70.18	26.09	14.71	40.48	35.51	52.09
Zm00001eb004470	637	314	322	154	209	517	178	345
Zm00001eb004480	130	126	120	88	40	47	72	64
Zm00001eb004490	765	778	849	526	311	398	358	399
Zm00001eb004500	439	495	538.23	580.57	382.21	371.23	529.12	410.21
Zm00001eb004510	49	64	60	56	32	37	62	47
Zm00001eb004530	5	3	0	6	0	4	8	0
Zm00001eb004540	370	342	455	356	152	132	364	223
Zm00001eb004550	2646	3739	5011	3524	2243	1496	1737	2657
Zm00001eb004560	35.82	42.24	65.91	89.43	22.06	35.44	68.27	53.86
Zm00001eb004570	103.99	325.96	118	203.84	53	204.25	135	229
Zm00001eb004590	222	194.19	201	188	146	172	287	219
Zm00001eb004600	0	0	0	0	0	0	0	0
Zm00001eb004610	0	0	0	0	0	0	0	0
Zm00001eb004630	41	179	99	201	16	52	24	83
Zm00001eb004640	0	5	0	0.5	0	1	0	0
Zm00001eb004650	19	24	3	14	14	26	40	50
Zm00001eb004660	5417	4345	5942	3653	4830	3840	6153	4398
Zm00001eb004670	28	43	14	8	19	0	3	12
Zm00001eb004690	0	0	0	0	0	0	0	0
Zm00001eb004710	0	0	6	1	5	5	3	0
Zm00001eb004720	37.58	92.88	15.79	44.36	15.23	8.97	29.33	32.6
Zm00001eb004730	2410.42	3655.12	1151.21	2063.64	1793.77	2863.03	2807.67	3218.4
Zm00001eb004740	49.31	40.06	57.37	36.64	248.21	116.76	135.16	68.28
Zm00001eb004750	276.69	260.94	556.63	291.36	1335.79	701.24	730.84	525.72
Zm00001eb004760	32	226	15	60	5	49	48	132
Zm00001eb004770	77	90	98	136	60	76	96	85
Zm00001eb004780	187	439	162	250	118	297	221	297
Zm00001eb004790	1079	1499	1000	828	851	955	1118	913
Zm00001eb004800	0	0	0	0	0	0	0	0
Zm00001eb004810	0	0	0	0	0	0	0	0
Zm00001eb004820	0	0	0	0	0	0	0	0
Zm00001eb004830	0	0	0	0	0	0	0	0
Zm00001eb004840	0	0	0	0	0	0	0	0
Zm00001eb004850	0	0	0	0	0	0	0	0
Zm00001eb004860	0	0	0	0	0	0	0	0
Zm00001eb004880	0	0	0	0	0	0	0	0
Zm00001eb004890	11	1	19	0	14	3	16	0
Zm00001eb004900	0	0	0	0	0	0	0	0
Zm00001eb004920	0	0	0	0	0	0	0	0
Zm00001eb004940	885	891	829	663	560	753	717	777
Zm00001eb004950	0	0	0	0	0	0	0	0
Zm00001eb004960	501.95	12	368.09	0	302.81	15.24	406.12	21
Zm00001eb004970	0	0	0	0	0	0	0	0
Zm00001eb004980	0	0	0	0	0	0	0	0
Zm00001eb004990	340	346	219	328	319	375	345	317
Zm00001eb005000	147	154	130	133	111	112	163	100
Zm00001eb005010	172	389	112	211	76	222	149	246
