gene_id	C_24_Susc
Zm00001eb005560	3
Zm00001eb005570	19
Zm00001eb005580	126
Zm00001eb005590	4
Zm00001eb005600	400
Zm00001eb005610	0
Zm00001eb005630	1151
Zm00001eb005640	47
Zm00001eb005650	1
Zm00001eb005660	3989
Zm00001eb005670	271
Zm00001eb005680	21
Zm00001eb005690	282
Zm00001eb005700	943
Zm00001eb005710	740
Zm00001eb005740	4
Zm00001eb005760	55
Zm00001eb005770	270
Zm00001eb005780	58
Zm00001eb005800	0
Zm00001eb005810	84.33
Zm00001eb005820	744.67
Zm00001eb005830	16
Zm00001eb005840	855
Zm00001eb005850	383
Zm00001eb005860	132
Zm00001eb005870	0
Zm00001eb005890	36
Zm00001eb005900	173
Zm00001eb005920	1130
Zm00001eb005930	699.85
Zm00001eb005940	22.15
Zm00001eb005950	1478
Zm00001eb005960	5398
Zm00001eb005970	15
Zm00001eb005980	7
Zm00001eb005990	7
Zm00001eb006000	549
Zm00001eb006010	23
Zm00001eb006020	8686
Zm00001eb006030	0
Zm00001eb006040	249
Zm00001eb006050	0
Zm00001eb006060	2
Zm00001eb006070	3
Zm00001eb006080	925.97
Zm00001eb006090	31
Zm00001eb006100	24
Zm00001eb006110	1
Zm00001eb006120	0
Zm00001eb006130	0
Zm00001eb006140	664
Zm00001eb006150	264
Zm00001eb006160	91
Zm00001eb006170	0
Zm00001eb006180	165
Zm00001eb006190	0
Zm00001eb006200	1
Zm00001eb006210	776
Zm00001eb006240	0
Zm00001eb006260	0
Zm00001eb006270	1471
Zm00001eb006280	0
Zm00001eb006290	3
Zm00001eb006300	1179.67
Zm00001eb006310	11
Zm00001eb006320	110
Zm00001eb006330	46
Zm00001eb006340	7
Zm00001eb006350	2361
Zm00001eb006360	260
Zm00001eb006370	0
Zm00001eb006380	634
Zm00001eb006390	488
Zm00001eb006400	520
Zm00001eb006410	1807
Zm00001eb006420	636.84
Zm00001eb006430	3
Zm00001eb006440	223.16
Zm00001eb006450	400
Zm00001eb006460	0
Zm00001eb006470	717
Zm00001eb006480	171
Zm00001eb006490	0
Zm00001eb006510	757
Zm00001eb006520	58
Zm00001eb006530	2998
Zm00001eb006540	868.75
Zm00001eb006550	39.25
Zm00001eb006560	801
Zm00001eb006570	634
Zm00001eb006590	100
Zm00001eb006600	61.87
Zm00001eb006610	179
Zm00001eb006620	630
Zm00001eb006630	1
Zm00001eb006640	3
Zm00001eb006650	0
Zm00001eb006660	442
Zm00001eb006670	15
Zm00001eb006680	629
Zm00001eb006690	1121
Zm00001eb006700	910.1
Zm00001eb006710	91.9
Zm00001eb006720	311
Zm00001eb006730	3.07
Zm00001eb006740	0
Zm00001eb006760	36
Zm00001eb006770	2424
Zm00001eb006780	0
Zm00001eb006790	0
Zm00001eb006800	0
Zm00001eb006830	64
Zm00001eb006840	18
Zm00001eb006850	224.03
Zm00001eb006860	289
Zm00001eb006870	1326
Zm00001eb006880	1451
Zm00001eb006890	253
Zm00001eb006900	89.86
Zm00001eb006910	429.79
Zm00001eb006920	1091
Zm00001eb006930	90
Zm00001eb006940	173
Zm00001eb006950	0
Zm00001eb006960	0
Zm00001eb006970	0
Zm00001eb006990	0
Zm00001eb007000	237
Zm00001eb007010	483
Zm00001eb007020	3
Zm00001eb007030	531
Zm00001eb007040	0
Zm00001eb007050	1260
Zm00001eb007060	50
Zm00001eb007070	303
Zm00001eb007080	1
Zm00001eb007090	2757
Zm00001eb007100	14
Zm00001eb007110	2
Zm00001eb007120	0
Zm00001eb007130	822
Zm00001eb007140	1778.27
Zm00001eb007150	175
Zm00001eb007160	0
Zm00001eb007170	1115
Zm00001eb007180	599
Zm00001eb007190	138.73
Zm00001eb007200	8.27
Zm00001eb007220	426
Zm00001eb007230	16
Zm00001eb007240	341
Zm00001eb007250	879
Zm00001eb007270	163
Zm00001eb007280	196
Zm00001eb007290	0
Zm00001eb007300	1
Zm00001eb007310	163
Zm00001eb007320	295
Zm00001eb007330	0
Zm00001eb007340	0
Zm00001eb007350	0
Zm00001eb007360	0
Zm00001eb007370	0
Zm00001eb007380	0
Zm00001eb007390	0
Zm00001eb007400	0
Zm00001eb007410	0
Zm00001eb007420	0
Zm00001eb007430	0
Zm00001eb007440	244
Zm00001eb007450	0
Zm00001eb007460	1
Zm00001eb007470	261
Zm00001eb007490	32.83
Zm00001eb007500	27.17
Zm00001eb007510	1100
Zm00001eb007540	0
Zm00001eb007550	34
Zm00001eb007560	0
Zm00001eb007570	241
Zm00001eb007580	21
Zm00001eb007590	329
Zm00001eb007600	438
Zm00001eb007610	24
Zm00001eb007630	0
Zm00001eb007640	77
Zm00001eb007650	2339
Zm00001eb007670	632
Zm00001eb007680	1321
Zm00001eb007690	296
Zm00001eb007700	157
Zm00001eb007720	0
Zm00001eb007730	5470.59
Zm00001eb007740	101
Zm00001eb007750	227.23
Zm00001eb007760	222.77
Zm00001eb007770	8
Zm00001eb007780	409
Zm00001eb007790	7
Zm00001eb007800	364
Zm00001eb007810	457
Zm00001eb007820	292
Zm00001eb007830	601
Zm00001eb007840	0
Zm00001eb007850	0
Zm00001eb007860	6037
Zm00001eb007870	70
Zm00001eb007880	15
Zm00001eb007890	0
Zm00001eb007900	48
Zm00001eb007910	0
Zm00001eb007920	206.94
Zm00001eb007930	114
Zm00001eb007940	0
Zm00001eb007950	11
Zm00001eb007960	202
Zm00001eb007970	0
Zm00001eb007990	23
Zm00001eb008000	0
Zm00001eb008010	266
Zm00001eb008030	0
Zm00001eb008040	0
Zm00001eb008050	0
Zm00001eb008060	2310
Zm00001eb008070	188
Zm00001eb008080	1899
Zm00001eb008090	335
Zm00001eb008100	453
Zm00001eb008130	65
Zm00001eb008140	498
Zm00001eb008150	140
Zm00001eb008160	435
Zm00001eb008170	1575
Zm00001eb008180	115
Zm00001eb008190	0
Zm00001eb008200	773
Zm00001eb008210	0
Zm00001eb008220	1
Zm00001eb008240	41
Zm00001eb008250	1191.6
Zm00001eb008260	54.4
Zm00001eb008270	166.69
Zm00001eb008280	0
Zm00001eb008290	258.31
Zm00001eb008300	223
Zm00001eb008310	810
Zm00001eb008320	0
Zm00001eb008330	0
Zm00001eb008340	3281
Zm00001eb008350	3.44
Zm00001eb008360	3262
Zm00001eb008370	1573
Zm00001eb008380	54
Zm00001eb008400	3287.67
Zm00001eb008410	0
Zm00001eb008420	3
Zm00001eb008430	35
Zm00001eb008440	2771
Zm00001eb008450	562
Zm00001eb008460	1410
Zm00001eb008470	229
Zm00001eb008480	1235
Zm00001eb008490	920.55
Zm00001eb008500	104
Zm00001eb008510	0
Zm00001eb008520	464
Zm00001eb008530	282
Zm00001eb008540	0
Zm00001eb008550	6659.3
Zm00001eb008560	0
Zm00001eb008570	1034
Zm00001eb008580	65
Zm00001eb008590	90
Zm00001eb008600	0
Zm00001eb008610	3724
Zm00001eb008620	444
Zm00001eb008630	535
Zm00001eb008640	398
Zm00001eb008650	887
Zm00001eb008660	1263
Zm00001eb008670	0
Zm00001eb008680	0
Zm00001eb008690	8
Zm00001eb008700	5753
Zm00001eb008710	248
Zm00001eb008720	295
Zm00001eb008730	85
Zm00001eb008740	31
Zm00001eb008750	16
Zm00001eb008770	150
Zm00001eb008780	892
Zm00001eb008790	208
Zm00001eb008800	219.77
Zm00001eb008810	1076.75
Zm00001eb008820	9.25
Zm00001eb008830	325
Zm00001eb008850	41
Zm00001eb008860	0
Zm00001eb008870	1
Zm00001eb008880	80
Zm00001eb008890	342
Zm00001eb008900	504
Zm00001eb008910	1070
Zm00001eb008920	513
Zm00001eb008930	378
Zm00001eb008940	0
Zm00001eb008950	315
Zm00001eb008960	0
Zm00001eb008970	0
Zm00001eb008980	193
Zm00001eb008990	0
Zm00001eb009000	0
Zm00001eb009010	41
Zm00001eb009020	0
Zm00001eb009030	0
Zm00001eb009040	4
Zm00001eb009050	0
Zm00001eb009060	124
Zm00001eb009070	543
Zm00001eb009080	14
Zm00001eb009090	931
Zm00001eb009100	1140
Zm00001eb009110	2578.96
Zm00001eb009120	23
Zm00001eb009130	134
Zm00001eb009140	875
Zm00001eb009150	335
Zm00001eb009160	1535
Zm00001eb009170	172
Zm00001eb009210	0
Zm00001eb009230	5
Zm00001eb009240	323
Zm00001eb009250	324
Zm00001eb009260	0
Zm00001eb009270	0
Zm00001eb009280	0
Zm00001eb009290	28
Zm00001eb009300	0
Zm00001eb009310	1646
Zm00001eb009320	215
Zm00001eb009340	180
Zm00001eb009360	722
Zm00001eb009370	303
Zm00001eb009380	68
Zm00001eb009390	0
Zm00001eb009400	9
Zm00001eb009410	0
Zm00001eb009420	0
Zm00001eb009430	581
Zm00001eb009460	36.84
Zm00001eb009470	68.16
Zm00001eb009480	896
Zm00001eb009490	82
Zm00001eb009500	187
Zm00001eb009510	1558
Zm00001eb009520	2067.29
Zm00001eb009530	0
Zm00001eb009540	177
Zm00001eb009550	225
Zm00001eb009560	0
Zm00001eb009570	51
Zm00001eb009580	225
Zm00001eb009590	3
Zm00001eb009600	144
Zm00001eb009610	10
Zm00001eb009620	9
Zm00001eb009630	9
Zm00001eb009640	293
Zm00001eb009650	0
Zm00001eb009660	240
Zm00001eb009670	33
Zm00001eb009690	7
Zm00001eb009700	4
Zm00001eb009710	4
Zm00001eb009730	303
Zm00001eb009750	0
Zm00001eb009760	0
Zm00001eb009770	204
Zm00001eb009780	149
Zm00001eb009800	14.03
Zm00001eb009810	3380
Zm00001eb009820	0
Zm00001eb009830	0
Zm00001eb009840	0
Zm00001eb009850	12
Zm00001eb009860	0
Zm00001eb009870	192
Zm00001eb009880	1781
Zm00001eb009890	866
Zm00001eb009900	4011.56
Zm00001eb009910	10527
Zm00001eb009920	5231.44
Zm00001eb009930	2
Zm00001eb009940	224
Zm00001eb009950	13
Zm00001eb009960	406
Zm00001eb009970	0
Zm00001eb009980	722
Zm00001eb009990	82
Zm00001eb010000	0
Zm00001eb010010	2
Zm00001eb010020	539
Zm00001eb010030	5467
Zm00001eb010040	1365
Zm00001eb010050	175
Zm00001eb010060	54
Zm00001eb010070	912
Zm00001eb010080	16
Zm00001eb010090	0
Zm00001eb010100	22
Zm00001eb010110	309
Zm00001eb010130	243.61
Zm00001eb010140	360
Zm00001eb010150	1556
Zm00001eb010160	618
Zm00001eb010170	275.72
Zm00001eb010180	80.28
Zm00001eb010190	374
Zm00001eb010200	1000
Zm00001eb010210	65
Zm00001eb010220	0
Zm00001eb010230	2708
Zm00001eb010240	283
Zm00001eb010250	0
Zm00001eb010260	0
Zm00001eb010270	2
Zm00001eb010280	977
Zm00001eb010290	0
Zm00001eb010300	3629
Zm00001eb010310	439
Zm00001eb010320	1294
Zm00001eb010330	122
Zm00001eb010340	163
Zm00001eb010350	0
Zm00001eb010360	1133
Zm00001eb010370	1266
Zm00001eb010380	0
Zm00001eb010390	2.01
Zm00001eb010400	4316
Zm00001eb010410	198
Zm00001eb010420	544
Zm00001eb010440	459
Zm00001eb010450	357
Zm00001eb010460	191.06
Zm00001eb010470	13.94
Zm00001eb010480	80
Zm00001eb010490	84
Zm00001eb010500	1082.97
Zm00001eb010530	169
Zm00001eb010540	90
Zm00001eb010550	271
Zm00001eb010560	5113
Zm00001eb010570	26
Zm00001eb010590	333
Zm00001eb010600	59
Zm00001eb010610	225
Zm00001eb010620	820
Zm00001eb010630	0
Zm00001eb010640	156
Zm00001eb010650	41
Zm00001eb010660	195
Zm00001eb010680	185
Zm00001eb010690	917
Zm00001eb010700	2373
Zm00001eb010710	342
Zm00001eb010720	100.52
Zm00001eb010730	2791
Zm00001eb010740	1700
Zm00001eb010750	0
Zm00001eb010760	0
Zm00001eb010770	2
Zm00001eb010780	0
Zm00001eb010790	11858.52
Zm00001eb010800	15.48
Zm00001eb010810	4215
Zm00001eb010820	160
Zm00001eb010830	879.99
Zm00001eb010840	152.01
Zm00001eb010850	0
Zm00001eb010860	303
Zm00001eb010870	4.52
Zm00001eb010890	5
Zm00001eb010900	481
Zm00001eb010910	56
Zm00001eb010940	0
Zm00001eb010950	935
Zm00001eb010960	383
Zm00001eb010980	626
Zm00001eb010990	597
Zm00001eb011000	1463
Zm00001eb011010	4915
Zm00001eb011020	4428
Zm00001eb011030	0
Zm00001eb011040	234.11
Zm00001eb011050	3747
Zm00001eb011060	67
Zm00001eb011070	127
Zm00001eb011080	97.11
Zm00001eb011090	0
Zm00001eb011100	0
Zm00001eb011110	1
Zm00001eb011120	4
Zm00001eb011140	26
Zm00001eb011150	1533
Zm00001eb011160	240
Zm00001eb011170	274
Zm00001eb011180	0
Zm00001eb011190	62.63
Zm00001eb011200	54
Zm00001eb011210	18
Zm00001eb011220	100
Zm00001eb011230	91.92
Zm00001eb011240	20.08
Zm00001eb011250	1
Zm00001eb011270	45
Zm00001eb011280	305
Zm00001eb011290	1
Zm00001eb011300	765
Zm00001eb011310	108
Zm00001eb011320	1
Zm00001eb011330	0
Zm00001eb011340	1.04
Zm00001eb011350	0
Zm00001eb011360	0
Zm00001eb011370	33
Zm00001eb011380	112
Zm00001eb011410	11
Zm00001eb011420	687
Zm00001eb011430	394
Zm00001eb011440	0
Zm00001eb011450	1987
Zm00001eb011460	377
Zm00001eb011470	448
Zm00001eb011480	95
Zm00001eb011490	2608
Zm00001eb011500	0
Zm00001eb011510	0
Zm00001eb011520	23.27
Zm00001eb011530	221
Zm00001eb011550	76
Zm00001eb011560	80
Zm00001eb011570	0
Zm00001eb011580	268
Zm00001eb011590	899
Zm00001eb011600	15
Zm00001eb011610	83
Zm00001eb011620	909
Zm00001eb011630	475
Zm00001eb011640	186
Zm00001eb011650	411
Zm00001eb011670	2122
Zm00001eb011680	96
Zm00001eb011700	355
Zm00001eb011720	355
Zm00001eb011730	119
Zm00001eb011750	1217
Zm00001eb011760	1730
Zm00001eb011770	0
Zm00001eb011780	636
Zm00001eb011800	3744
Zm00001eb011810	629
Zm00001eb011820	106
Zm00001eb011830	134
Zm00001eb011840	786
Zm00001eb011850	0
Zm00001eb011860	32.81
Zm00001eb011870	0
Zm00001eb011880	7782.97
Zm00001eb011890	25.13
Zm00001eb011900	1.09
Zm00001eb011910	681
Zm00001eb011920	1611
Zm00001eb011930	126
Zm00001eb011940	69
Zm00001eb011950	315
Zm00001eb011960	2086
Zm00001eb011970	358
Zm00001eb011980	3548
Zm00001eb011990	1127
Zm00001eb012000	680.41
Zm00001eb012010	797
Zm00001eb012020	1731
Zm00001eb012030	0
Zm00001eb012040	701
Zm00001eb012060	572
Zm00001eb012070	1112
Zm00001eb012080	471
Zm00001eb012090	0
Zm00001eb012100	1089
Zm00001eb012120	0
Zm00001eb012130	62
Zm00001eb012140	1215
Zm00001eb012150	37.27
Zm00001eb012160	49.73
Zm00001eb012180	173
Zm00001eb012190	48
Zm00001eb012200	551
Zm00001eb012210	682
Zm00001eb012220	2712
Zm00001eb012240	31
Zm00001eb012250	136
Zm00001eb012260	3
Zm00001eb012270	3474
Zm00001eb012280	1792
Zm00001eb012290	0
Zm00001eb012300	2547.17
Zm00001eb012310	1140
Zm00001eb012320	10.65
Zm00001eb012330	308
Zm00001eb012340	806.86
Zm00001eb012350	7
Zm00001eb012360	316
Zm00001eb012370	0
Zm00001eb012380	379
Zm00001eb012390	1058
Zm00001eb012400	0
Zm00001eb012410	5869.45
Zm00001eb012420	99.63
Zm00001eb012430	2048
Zm00001eb012440	83
