gene_id	T_6_Susc
Zm00001eb006340	3
Zm00001eb006350	2344
Zm00001eb006360	263
Zm00001eb006370	0
Zm00001eb006380	624
Zm00001eb006390	508
Zm00001eb006400	536
Zm00001eb006410	1645
Zm00001eb006420	944.65
Zm00001eb006430	3
Zm00001eb006440	348.35
Zm00001eb006450	259
Zm00001eb006460	0
Zm00001eb006470	709
Zm00001eb006480	76
Zm00001eb006490	0
Zm00001eb006510	1051.96
Zm00001eb006520	72
Zm00001eb006530	2805
Zm00001eb006540	866.66
Zm00001eb006550	95.34
Zm00001eb006560	1221
Zm00001eb006570	489
Zm00001eb006590	81
Zm00001eb006600	75.57
Zm00001eb006610	276
Zm00001eb006620	568
Zm00001eb006630	0
Zm00001eb006640	1
Zm00001eb006650	0
Zm00001eb006660	438
Zm00001eb006670	29
Zm00001eb006680	301
Zm00001eb006690	761
Zm00001eb006700	1001
Zm00001eb006710	93
Zm00001eb006720	354
Zm00001eb006730	3.03
Zm00001eb006740	0
Zm00001eb006760	73
Zm00001eb006770	2447
Zm00001eb006780	0
Zm00001eb006790	0
Zm00001eb006800	0
Zm00001eb006830	45
Zm00001eb006840	8.19
Zm00001eb006850	286.3
Zm00001eb006860	349
Zm00001eb006870	1642
Zm00001eb006880	1463
Zm00001eb006890	265
Zm00001eb006900	105.65
Zm00001eb006910	517.22
Zm00001eb006920	1406
Zm00001eb006930	79
Zm00001eb006940	100
Zm00001eb006950	0
Zm00001eb006960	0
Zm00001eb006970	2
Zm00001eb006990	0
Zm00001eb007000	174
Zm00001eb007010	642
Zm00001eb007020	0
Zm00001eb007030	915
Zm00001eb007040	0
Zm00001eb007050	1718
Zm00001eb007060	106
Zm00001eb007070	154
Zm00001eb007080	2.01
Zm00001eb007090	3197
Zm00001eb007100	0
Zm00001eb007110	1
Zm00001eb007120	0
Zm00001eb007130	733
Zm00001eb007140	1675.19
Zm00001eb007150	140
Zm00001eb007160	0
Zm00001eb007170	899
Zm00001eb007180	950
Zm00001eb007190	124.61
Zm00001eb007200	9.39
Zm00001eb007220	468
Zm00001eb007230	13
Zm00001eb007240	416
Zm00001eb007250	1652
Zm00001eb007270	105
Zm00001eb007280	206
Zm00001eb007290	0
Zm00001eb007300	1
Zm00001eb007310	162
Zm00001eb007320	229
Zm00001eb007330	0
Zm00001eb007340	0
Zm00001eb007350	0
Zm00001eb007360	0
Zm00001eb007370	0
Zm00001eb007380	0
Zm00001eb007390	0
Zm00001eb007400	0
Zm00001eb007410	0
Zm00001eb007420	0
Zm00001eb007430	0
Zm00001eb007440	167
Zm00001eb007450	0
Zm00001eb007460	31
Zm00001eb007470	302
Zm00001eb007490	77.35
Zm00001eb007500	26.65
Zm00001eb007510	1962
Zm00001eb007540	3
Zm00001eb007550	42
Zm00001eb007560	0
Zm00001eb007570	223
Zm00001eb007580	10
Zm00001eb007590	312
Zm00001eb007600	676
Zm00001eb007610	54
Zm00001eb007630	0
Zm00001eb007640	33
Zm00001eb007650	4629
Zm00001eb007670	1111.97
Zm00001eb007680	1846
Zm00001eb007690	265
Zm00001eb007700	236
Zm00001eb007720	0
Zm00001eb007730	6942.68
Zm00001eb007740	1
Zm00001eb007750	251.09
Zm00001eb007760	259.91
Zm00001eb007770	11
Zm00001eb007780	771
Zm00001eb007790	1
Zm00001eb007800	393
Zm00001eb007810	506
Zm00001eb007820	250
Zm00001eb007830	466
Zm00001eb007840	0
Zm00001eb007850	0
Zm00001eb007860	6892
Zm00001eb007870	74
Zm00001eb007880	12
Zm00001eb007890	0
Zm00001eb007900	119
Zm00001eb007910	0
Zm00001eb007920	215.87
Zm00001eb007930	112
Zm00001eb007940	0
Zm00001eb007950	51
Zm00001eb007960	279
Zm00001eb007970	0
Zm00001eb007990	21
Zm00001eb008000	0
Zm00001eb008010	335
Zm00001eb008030	0
Zm00001eb008040	0
Zm00001eb008050	0
Zm00001eb008060	2693
Zm00001eb008070	81
Zm00001eb008080	2991
Zm00001eb008090	374
Zm00001eb008100	281
Zm00001eb008130	60
Zm00001eb008140	466
Zm00001eb008150	252
Zm00001eb008160	330
Zm00001eb008170	1647
Zm00001eb008180	140
Zm00001eb008190	0
Zm00001eb008200	746
Zm00001eb008210	0
Zm00001eb008220	0
Zm00001eb008240	54
Zm00001eb008250	796.59
Zm00001eb008260	13.41
Zm00001eb008270	242.14
Zm00001eb008280	0
Zm00001eb008290	368.86
Zm00001eb008300	72
Zm00001eb008310	934
Zm00001eb008320	0
Zm00001eb008330	1
Zm00001eb008340	3783
Zm00001eb008350	7.16
Zm00001eb008360	1033.45
Zm00001eb008370	1316
Zm00001eb008380	37
Zm00001eb008400	3903.45
Zm00001eb008410	0
Zm00001eb008420	1
Zm00001eb008430	27
Zm00001eb008440	2610
Zm00001eb008450	881
Zm00001eb008460	1688
Zm00001eb008470	222
Zm00001eb008480	1348
Zm00001eb008490	1150.39
Zm00001eb008500	88
Zm00001eb008510	0
Zm00001eb008520	600
Zm00001eb008530	291
Zm00001eb008540	0
Zm00001eb008550	8408
Zm00001eb008560	0
Zm00001eb008570	1667
Zm00001eb008580	97
Zm00001eb008590	196
Zm00001eb008600	0
Zm00001eb008610	4566
Zm00001eb008620	394
Zm00001eb008630	637
Zm00001eb008640	378
Zm00001eb008650	1383
Zm00001eb008660	1966
Zm00001eb008670	0
Zm00001eb008680	1
Zm00001eb008690	2
Zm00001eb008700	5962
Zm00001eb008710	284
Zm00001eb008720	300
Zm00001eb008730	61
Zm00001eb008740	13
Zm00001eb008750	33
Zm00001eb008770	124
Zm00001eb008780	1443
Zm00001eb008790	150
Zm00001eb008800	240.45
Zm00001eb008810	1489.51
Zm00001eb008820	16.49
Zm00001eb008830	241
Zm00001eb008850	38
Zm00001eb008860	0
Zm00001eb008870	2
Zm00001eb008880	106
Zm00001eb008890	409
Zm00001eb008900	627
Zm00001eb008910	545
Zm00001eb008920	273
Zm00001eb008930	292
Zm00001eb008940	0
Zm00001eb008950	481
Zm00001eb008960	0
Zm00001eb008970	0
Zm00001eb008980	310
Zm00001eb008990	0
Zm00001eb009000	0
Zm00001eb009010	22
Zm00001eb009020	0
Zm00001eb009030	0
Zm00001eb009040	5
Zm00001eb009050	0
Zm00001eb009060	91
Zm00001eb009070	475
Zm00001eb009080	22
Zm00001eb009090	907
Zm00001eb009100	1272
Zm00001eb009110	3065.48
Zm00001eb009120	75
Zm00001eb009130	116
Zm00001eb009140	1027
Zm00001eb009150	355
Zm00001eb009160	1517
Zm00001eb009170	162
Zm00001eb009210	0
Zm00001eb009230	5
Zm00001eb009240	208
Zm00001eb009250	275
Zm00001eb009260	0
Zm00001eb009270	11
Zm00001eb009280	0
Zm00001eb009290	32
Zm00001eb009300	0
Zm00001eb009310	2051
Zm00001eb009320	175
Zm00001eb009340	93
Zm00001eb009360	806
Zm00001eb009370	292
Zm00001eb009380	140.2
Zm00001eb009390	0
Zm00001eb009400	22
Zm00001eb009410	0
Zm00001eb009420	0
Zm00001eb009430	627
Zm00001eb009460	33.5
Zm00001eb009470	70.5
Zm00001eb009480	680
Zm00001eb009490	103
Zm00001eb009500	103
Zm00001eb009510	981
Zm00001eb009520	1462.35
Zm00001eb009530	0
Zm00001eb009540	172
Zm00001eb009550	488
Zm00001eb009560	0
Zm00001eb009570	41
Zm00001eb009580	164
Zm00001eb009590	1
Zm00001eb009600	113
Zm00001eb009610	5.43
Zm00001eb009620	5.52
Zm00001eb009630	8.57
Zm00001eb009640	373
Zm00001eb009650	0
Zm00001eb009660	196
Zm00001eb009670	32
Zm00001eb009690	11
Zm00001eb009700	9
Zm00001eb009710	3
Zm00001eb009730	657
Zm00001eb009750	0
Zm00001eb009760	3
Zm00001eb009770	215
Zm00001eb009780	156
Zm00001eb009800	7.01
Zm00001eb009810	3885
Zm00001eb009820	0
Zm00001eb009830	0
Zm00001eb009840	0
Zm00001eb009850	10.2
Zm00001eb009860	0.8
Zm00001eb009870	117
Zm00001eb009880	1899
Zm00001eb009890	1051
Zm00001eb009900	4615.73
Zm00001eb009910	9418
Zm00001eb009920	6228.27
Zm00001eb009930	2
Zm00001eb009940	94
Zm00001eb009950	23
Zm00001eb009960	441
Zm00001eb009970	0
Zm00001eb009980	825
Zm00001eb009990	40
Zm00001eb010000	0
Zm00001eb010010	4
Zm00001eb010020	579
Zm00001eb010030	6515
Zm00001eb010040	1362
Zm00001eb010050	129
Zm00001eb010060	8
Zm00001eb010070	670
Zm00001eb010080	13
Zm00001eb010090	0
Zm00001eb010100	30
Zm00001eb010110	222
Zm00001eb010130	431.58
Zm00001eb010140	380
Zm00001eb010150	1755
Zm00001eb010160	712
Zm00001eb010170	620.8
Zm00001eb010180	57.2
Zm00001eb010190	581
Zm00001eb010200	765
Zm00001eb010210	43
Zm00001eb010220	0
Zm00001eb010230	2285
Zm00001eb010240	360
Zm00001eb010250	0
Zm00001eb010260	0
Zm00001eb010270	0
Zm00001eb010280	1103
Zm00001eb010290	2
Zm00001eb010300	4301
Zm00001eb010310	455
Zm00001eb010320	1169
Zm00001eb010330	187
Zm00001eb010340	258
Zm00001eb010350	0
Zm00001eb010360	1214
Zm00001eb010370	1159
Zm00001eb010380	0
Zm00001eb010390	0
Zm00001eb010400	5164.46
Zm00001eb010410	179
Zm00001eb010420	214
Zm00001eb010440	458
Zm00001eb010450	249
Zm00001eb010460	161.82
Zm00001eb010470	31.18
Zm00001eb010480	187
Zm00001eb010490	32
Zm00001eb010500	1446.55
Zm00001eb010530	17
Zm00001eb010540	72
Zm00001eb010550	380
Zm00001eb010560	5175
Zm00001eb010570	34
Zm00001eb010590	234
Zm00001eb010600	27
Zm00001eb010610	372
Zm00001eb010620	1168
Zm00001eb010630	0
Zm00001eb010640	242
Zm00001eb010650	45
Zm00001eb010660	215
Zm00001eb010680	212
Zm00001eb010690	1007
Zm00001eb010700	2652
Zm00001eb010710	458
Zm00001eb010720	66.45
Zm00001eb010730	1724
Zm00001eb010740	1504
Zm00001eb010750	0
Zm00001eb010760	0
Zm00001eb010770	0
Zm00001eb010780	0
Zm00001eb010790	13449.1
Zm00001eb010800	23.9
Zm00001eb010810	6514
Zm00001eb010820	162
Zm00001eb010830	2118.4
Zm00001eb010840	30.6
Zm00001eb010850	0
Zm00001eb010860	387
Zm00001eb010870	6.28
Zm00001eb010890	0
Zm00001eb010900	496
Zm00001eb010910	112
Zm00001eb010940	0
Zm00001eb010950	863
Zm00001eb010960	363
Zm00001eb010980	712
Zm00001eb010990	745
Zm00001eb011000	2051
Zm00001eb011010	5965
Zm00001eb011020	5272
Zm00001eb011030	0
Zm00001eb011040	226.37
Zm00001eb011050	3626
Zm00001eb011060	56
Zm00001eb011070	140
Zm00001eb011080	78
Zm00001eb011090	0
Zm00001eb011100	2
Zm00001eb011110	0
Zm00001eb011120	5
Zm00001eb011140	43
Zm00001eb011150	1541
Zm00001eb011160	248
Zm00001eb011170	273
Zm00001eb011180	0
Zm00001eb011190	58.54
Zm00001eb011200	86
Zm00001eb011210	26
Zm00001eb011220	82
Zm00001eb011230	118
Zm00001eb011240	31
Zm00001eb011250	2
Zm00001eb011270	46
Zm00001eb011280	107
Zm00001eb011290	0
Zm00001eb011300	873
Zm00001eb011310	186
Zm00001eb011320	3
Zm00001eb011330	0
Zm00001eb011340	0
Zm00001eb011350	0
Zm00001eb011360	2
Zm00001eb011370	35
Zm00001eb011380	68
Zm00001eb011410	1
Zm00001eb011420	711
Zm00001eb011430	497
Zm00001eb011440	0
Zm00001eb011450	2528
Zm00001eb011460	359
Zm00001eb011470	573
Zm00001eb011480	123.25
Zm00001eb011490	2477
Zm00001eb011500	0
Zm00001eb011510	0
Zm00001eb011520	53.38
Zm00001eb011530	185
Zm00001eb011550	168
Zm00001eb011560	87
Zm00001eb011570	0
Zm00001eb011580	378
Zm00001eb011590	897
Zm00001eb011600	30
Zm00001eb011610	90
Zm00001eb011620	1094
Zm00001eb011630	435.28
Zm00001eb011640	330
Zm00001eb011650	613
Zm00001eb011670	2891
Zm00001eb011680	112
Zm00001eb011700	424
Zm00001eb011720	427
Zm00001eb011730	141
Zm00001eb011750	1242
Zm00001eb011760	1082
Zm00001eb011770	0
Zm00001eb011780	912
Zm00001eb011800	5129.87
Zm00001eb011810	544
Zm00001eb011820	74
Zm00001eb011830	83
Zm00001eb011840	858
Zm00001eb011850	2
Zm00001eb011860	26.82
Zm00001eb011870	0
Zm00001eb011880	1461.55
Zm00001eb011890	1.48
Zm00001eb011900	13.15
Zm00001eb011910	398
Zm00001eb011920	1623
Zm00001eb011930	8
Zm00001eb011940	9
Zm00001eb011950	652
Zm00001eb011960	2893
Zm00001eb011970	431
Zm00001eb011980	3265
Zm00001eb011990	845
Zm00001eb012000	796.84
Zm00001eb012010	692
Zm00001eb012020	1632
Zm00001eb012030	0
Zm00001eb012040	1525
Zm00001eb012060	595
Zm00001eb012070	652
Zm00001eb012080	391
Zm00001eb012090	0
Zm00001eb012100	1527
Zm00001eb012120	0
Zm00001eb012130	23
Zm00001eb012140	1776
Zm00001eb012150	37
Zm00001eb012160	0
Zm00001eb012180	163
Zm00001eb012190	10
Zm00001eb012200	550
Zm00001eb012210	707
Zm00001eb012220	3351
Zm00001eb012240	28
Zm00001eb012250	91
Zm00001eb012260	0
Zm00001eb012270	3931
Zm00001eb012280	1498.94
Zm00001eb012290	0
Zm00001eb012300	3388.49
Zm00001eb012310	1645
Zm00001eb012320	20.42
Zm00001eb012330	318
Zm00001eb012340	727.56
Zm00001eb012350	15
Zm00001eb012360	298
Zm00001eb012370	0
Zm00001eb012380	346
Zm00001eb012390	1188
Zm00001eb012400	0
