ENSEMBL_GeneID	name_C_24_II	name_C_24_III	name_C_6_II	name_C_6_III	name_T_24_II	name_T_24_III	name_T_6_II	name_T_6_III
Zm00001eb001740	0	72	0	44	0	42	0	52
Zm00001eb001760	236	236	198	205	142	219	162	155
Zm00001eb001770	255	407	137	356	42	372	179	341
Zm00001eb001780	201	193	142	193	76	84	71	68
Zm00001eb001790	0	0	0	0	0	0	2	0
Zm00001eb001800	0	1	0	0	0	0	0	0
Zm00001eb001810	347	581	545	583	294	467	488	764
Zm00001eb001820	51	107	38	53	9	18	33	48
Zm00001eb001830	370	280	120	131	137	64	147	161
Zm00001eb001840	547	503	367	361	271	184	202	223
Zm00001eb001860	2560	1404	1229	1188	2502	1352	2422	1698
Zm00001eb001870	1178	2398	661	2239	793	1574	806	2185
Zm00001eb001880	1583	1641	974	1452	1025	1311	859	1301
Zm00001eb001890	117	113	83	103	112	94	106	93
Zm00001eb001900	283	281	191	196	143	305	233	339
Zm00001eb001910	1691	1033	1074	914	986	788	1176	1253
Zm00001eb001920	80	54	32	70	36	52	76	35
Zm00001eb001940	1099	1952	1059	1807	1255	1337	1521	2260
Zm00001eb001950	2283	1003	690	465	1022	252	412	166
Zm00001eb001960	0	0	0	0	0	0	3	0
Zm00001eb001970	0	0	0	0	0	0	0	0
Zm00001eb001980	444	328	259	303	388	334	443	351
Zm00001eb001990	40	70	41	105	68	38	46	112
Zm00001eb002000	790	683	528	736	1117	926	882	1090
Zm00001eb002010	130	123	80	123	73	256	146	252
Zm00001eb002020	312	237	187	220	272	211	214	293
Zm00001eb002030	238	193	220	176	141	156	324	202
Zm00001eb002040	1090	480	918	616	1006	642	1166	724
Zm00001eb002050	5	0	12	1	3	1	3	3
Zm00001eb002060	5174	7409	4043	5315	5757	7422	5892	9702
Zm00001eb002070	152	117	147	117	155	88	176	117
Zm00001eb002080	4	20	5	11	7	12	4	12
Zm00001eb002090	1130	886	1588	1181	635	1089	1168	1040
Zm00001eb002100	1886	2335	994	1644	1117	1567	1583	2131
Zm00001eb002140	0	0	0	0	0	0	0	0
Zm00001eb002150	10	14	13	17	11	10	3	23
Zm00001eb002170	856	618	453	482	680	442	658	719
Zm00001eb002180	2240	1518	1941	1803	1324	1899	1819	2192
Zm00001eb002190	29	14	8	9	18	11	18	17
Zm00001eb002200	194	170	75	92	104	70	127	139
Zm00001eb002210	2	6	0	2	2	0	4	3
Zm00001eb002220	3131	3143	2661	2388	3309	3159	4181	4460
Zm00001eb002240	79	73	73	54	96	64	81	114
Zm00001eb002250	16	6	12	1	2	3	10	0
Zm00001eb002260	2864	1765	2296	1696	2219	1552	2675	2157
Zm00001eb002270	1875	1253	597	739	586	582	395	357
Zm00001eb002280	1	6	1	4	2	14	3	38
Zm00001eb002290	5	0	1	3	0	0	1	2
Zm00001eb002300	1	3	3	0	0	0	0	1
Zm00001eb002310	70	70	49	53	79	48	93	85
Zm00001eb002320	4159	3442	2894	3614	3594	3930	4186	4143
Zm00001eb002330	25	4	6	12	27	8	27	12
Zm00001eb002340	4	0	0	0	0	0	0	0
Zm00001eb002350	0	1	0	1	0	0	0	0
Zm00001eb002360	0	0	2	0	0	0	1	0
Zm00001eb002370	0	0	0	0	0	0	0	0
Zm00001eb002380	4	7	21	34	2	4	9	8
Zm00001eb002390	1706	1423	1349	1045	1598	3021	2675	2103
Zm00001eb002410	0	0	0	2	0	0	0	0
Zm00001eb002420	2324	1784	1370	1104	2306	1845	2863	2882
Zm00001eb002430	2270	1431	1249	1520	1442	1243	1856	1902
Zm00001eb002440	461	433	353	469	361	605	471	516
Zm00001eb002450	422	300	289	313	212	105	252	264
Zm00001eb002460	338	267	270	332	217	160	239	268
Zm00001eb002470	95	105	121	182	91	101	104	109
Zm00001eb002480	28	5	16	16	3	4	9	3
Zm00001eb002490	1171	883	1056	1048	957	783	1169	1065
Zm00001eb002510	135	157	265	798	193	160	224	179
Zm00001eb002520	1757	2962	851	2136	2159	3033	2063	3785
Zm00001eb002530	2210	1705	1749	1966	1320	1111	1796	1688
Zm00001eb002540	729	508	394	470	638	382	679	643
Zm00001eb002550	1040	578	779	601	673	297	917	540
Zm00001eb002560	497	290	374	343	329	234	310	243
Zm00001eb002570	548	471	970	870	628	497	775	646
Zm00001eb002590	2703	2273	3155	4075	2104	3087	3595	3934
Zm00001eb002600	87	39	69	83	93	255	49	83
Zm00001eb002610	848	969	822	1301	668	1074	761	983
Zm00001eb002620	6070	5678	4934	9685	5688	5224	6197	6776
Zm00001eb002640	5042	3890	2839	2460	5059	3584	5516	5114
Zm00001eb002650	0	0	0	0	1	0	0	0
Zm00001eb002660	71	105	118	257	12	69	30	120
Zm00001eb002680	234	346	160	148	173	159	308	408
Zm00001eb002690	945	423	954	738	477	249	589	537
Zm00001eb002700	4	1	0	2	3	2	1	0
Zm00001eb002710	0	0	0	0	0	0	0	0
Zm00001eb002720	0	0	0	0	0	0	0	0
Zm00001eb002730	0	0	0	0	0	0	0	0
Zm00001eb002740	1183	1014	848	999	629	390	981	742
Zm00001eb002750	0	0	0	0	0	0	0	0
Zm00001eb002760	239	274	171	270	107	304	348	479
Zm00001eb002770	0	0	0	0	0	0	0	0
Zm00001eb002780	1046	1715	1958	1907	1027	1940	1419	1803
Zm00001eb002790	1699	1536	1455	2442	1346	1613	1938	1960
Zm00001eb002800	2233	2315	1910	2793	1513	2522	2400	2741
Zm00001eb002810	2622	2044	1310	1319	1652	970	1715	1623
Zm00001eb002820	704	567	344	441	468	360	412	430
Zm00001eb002830	1706	487	794	447	395	252	1348	418
Zm00001eb002840	2	0	0	0	1	0	0	0
Zm00001eb002850	0	0	0	0	0	0	0	0
Zm00001eb002860	2	0	7	0	3	0	2	0
Zm00001eb002870	61	121	41	143	17	62	26	68
Zm00001eb002880	1	2	0	2	1	0	0	9
Zm00001eb002890	0	1	0	0	0	2	0	0
Zm00001eb002900	0	0	1	1	0	0	0	2
Zm00001eb002910	679	1	485	3	637	8	724	41
Zm00001eb002920	271	206	154	236	171	103	247	184
Zm00001eb002930	90	57	93	165	167	116	54	91
Zm00001eb002940	564	338	305	370	559	460	541	530
Zm00001eb002950	428	492	277	358	357	188	529	349
Zm00001eb002960	3318	3462	4171	3471	3945	4938	4465	5628
Zm00001eb002970	0	0	8	0	0	0	3	0
Zm00001eb002980	31	43	21	26	11	16	49	21
Zm00001eb002990	0	0	0	0	0	0	0	0
Zm00001eb003000	345	277	264	307	249	258	307	377
Zm00001eb003010	668	592	513	578	543	510	523	611
Zm00001eb003020	399	474	452	507	264	388	332	540
Zm00001eb003030	635	572	482	723	460	424	543	513
Zm00001eb003040	187	371	147	347	217	200	263	322
Zm00001eb003050	0	0	0	0	0	0	0	0
Zm00001eb003060	0	0	0	0	0	0	0	0
Zm00001eb003070	900	1411	602	1204	994	1477	1047	1936
Zm00001eb003080	408	433	257	300	294	239	237	287
Zm00001eb003090	16	12	17	16	7	9	12	23
Zm00001eb003100	0	4	0	1	0	1	0	2
Zm00001eb003110	199	239	241	347	216	206	121	210
Zm00001eb003120	0	0	1	0	0	0	0	0
Zm00001eb003130	204	168	152	170	319	351	233	340
Zm00001eb003140	113	106	32	28	48	41	63	66
Zm00001eb003150	1	1	4	1	1	0	5	0
Zm00001eb003160	2	0	2	2	2	2	1	0
Zm00001eb003170	1642	839	1457	1597	1210	790	1144	805
Zm00001eb003180	11631	8805	5805	4971	10046	9401	10096	11589
Zm00001eb003190	480	451	186	374	176	442	298	421
Zm00001eb003200	47	66	97	42	38	46	74	38
Zm00001eb003210	17	16	14	4	11	4	10	8
Zm00001eb003220	0	0	0	0	0	0	0	0
Zm00001eb003230	0	0	0	0	0	1	0	3
Zm00001eb003240	2004	1951	1247	1996	1830	1892	1253	1086
Zm00001eb003270	0	0	0	0	0	1	0	0
Zm00001eb003280	0	0	0	0	0	0	0	0
Zm00001eb003290	0	0	0	0	0	0	0	0
Zm00001eb003300	1	0	1	0	0	0	0	0
Zm00001eb003310	2	0	7	0	1	0	11	0
Zm00001eb003330	17	21	11	27	4	19	6	47
Zm00001eb003340	51	35	25	39	24	11	26	36
Zm00001eb003350	4460	4032	2195	2515	4409	4565	4031	4959
Zm00001eb003360	1789	1632	1140	2127	1499	1050	1464	1672
Zm00001eb003370	0	1	0	0	0	0	0	1
Zm00001eb003380	1	2	1	2	0	0	0	0
Zm00001eb003390	0	0	0	0	0	0	0	0
Zm00001eb003400	2	1	6	3	6	0	6	0
Zm00001eb003420	3067	3149	1546	1471	2735	2989	3069	3489
Zm00001eb003440	4244	5369	2303	3521	6762	4781	5039	4782
Zm00001eb003450	9	4	11	5	1	5	4	7
Zm00001eb003460	58	46	76	103	12	64	30	100
Zm00001eb003470	618	1425	527	1126	601	1872	1389	2158
Zm00001eb003480	1126	874	1145	1552	497	692	694	780
Zm00001eb003490	6353	3526	5965	4665	5913	3946	6335	4253
Zm00001eb003510	1097	856	671	588	932	753	993	1007
Zm00001eb003520	413	156	173	75	240	45	166	76
Zm00001eb003530	0	0	0	0	0	0	0	0
Zm00001eb003540	1255	1049	1157	1371	1210	1334	1453	1533
Zm00001eb003550	4607	4175	3212	3940	2649	2965	4142	4683
Zm00001eb003560	3	3	21	6	7	1	4	6
Zm00001eb003570	3	75	8	49	1	58	3	84
Zm00001eb003580	588	539	374	664	401	337	468	623
Zm00001eb003590	0	0	0	0	0	0	0	0
Zm00001eb003600	15	17	7	14	4	11	17	11
Zm00001eb003610	17	13	15	12	1	12	18	15
Zm00001eb003620	60	77	25	21	32	54	39	33
Zm00001eb003630	65	95	38	33	8	42	32	56
Zm00001eb003650	1201	1317	964	1140	700	741	1206	1113
Zm00001eb003660	819	757	925	621	436	519	780	512
Zm00001eb003670	288	201	360	261	291	321	367	335
Zm00001eb003680	2	4	2	1	5	14	5	18
Zm00001eb003690	1848	1282	1301	1154	1681	1100	1830	1584
Zm00001eb003700	1324	263	717	184	253	66	630	153
Zm00001eb003710	0	0	0	0	0	0	0	0
Zm00001eb003720	0	0	0	0	0	0	0	0
Zm00001eb003730	70207	49483	67343	67288	51424	45728	59521	38784
Zm00001eb003740	0	0	0	0	0	0	0	0
Zm00001eb003750	430	296	255	217	183	139	270	235
Zm00001eb003760	219	690	157	293	110	294	135	496
Zm00001eb003770	2	0	4	0	0	0	1	0
Zm00001eb003780	222	146	252	228	135	106	138	127
Zm00001eb003790	0	0	3	0	0	1	2	0
Zm00001eb003800	0	3	0	10	0	0	0	2
Zm00001eb003810	2533	1956	2048	1833	1695	1518	2502	2450
Zm00001eb003820	300	650	104	315	117	518	251	711
Zm00001eb003830	4968	3598	3503	3712	3151	5295	3958	3464
Zm00001eb003840	1861	1149	1118	840	1568	1029	1476	1357
Zm00001eb003850	349	101	184	90	276	93	293	82
Zm00001eb003860	88	28	54	27	37	16	42	45
Zm00001eb003870	115	124	88	107	49	82	41	80
Zm00001eb003880	796	828	519	825	688	723	703	795
Zm00001eb003890	628	602	491	753	524	411	620	669
Zm00001eb003900	163	169	114	116	156	132	162	153
Zm00001eb003910	84	129	117	123	47	68	228	156
Zm00001eb003920	32	27	16	26	12	22	46	19
Zm00001eb003930	5104	5811	3686	4847	4590	4641	5318	6436
Zm00001eb003940	1	2	0	0	0	0	0	0
Zm00001eb003950	0	0	0	0	0	0	0	0
Zm00001eb003960	18	25	15	39	2	13	12	13
Zm00001eb003970	443	309	354	256	366	185	366	259
Zm00001eb004000	133	149	125	185	88	159	160	111
Zm00001eb004020	0	0	0	0	2	0	1	2
Zm00001eb004030	3031	1497	2155	1265	2916	1775	3281	2149
Zm00001eb004040	3	0	0	0	0	0	0	0
Zm00001eb004050	742	425	347	345	663	350	587	557
Zm00001eb004060	0	3	0	2	0	1	0	2
Zm00001eb004070	3	1	0	2	0	0	0	0
Zm00001eb004080	10	88	4	86	4	67	11	99
Zm00001eb004090	1129	1492	741	1370	1259	1536	1290	1665
Zm00001eb004100	0	0	0	0	0	0	0	0
Zm00001eb004110	0	0	0	0	0	0	0	0
Zm00001eb004120	1840	1320	1587	1716	1995	1437	1954	1830
Zm00001eb004130	0	3	0	0	0	0	0	0
Zm00001eb004140	87	70	90	66	29	42	79	98
Zm00001eb004150	0	0	0	0	0	0	0	0
Zm00001eb004160	668	689	561	544	379	351	595	648
Zm00001eb004170	2986	4307	2991	4894	3085	4074	3074	4911
Zm00001eb004180	193	131	126	191	152	286	127	97
Zm00001eb004190	325	305	218	299	262	320	323	342
Zm00001eb004200	7	0	9	0	4	1	0	1
Zm00001eb004210	1007	587	1145	1686	802	1103	800	971
Zm00001eb004220	0	0	0	0	0	0	0	0
Zm00001eb004230	0	0	0	0	0	0	0	0
Zm00001eb004240	281	221	268	191	204	168	191	277
Zm00001eb004250	395	228	258	255	183	174	278	344
Zm00001eb004260	90	116	60	57	12	16	32	39
Zm00001eb004280	14	193	14	60	2	29	5	117
Zm00001eb004290	1351	742	1280	1091	855	798	1094	733
Zm00001eb004300	16	39	4	10	2	30	2	13
Zm00001eb004310	486	522	596	600	312	408	360	423
Zm00001eb004320	1258	680	622	493	1199	591	1133	758
Zm00001eb004330	17	8	7	12	10	7	4	8
Zm00001eb004340	261	295	127	141	194	184	118	269
Zm00001eb004350	0	0	0	0	0	0	0	0
Zm00001eb004360	0	3	1	9	0	2	0	8
Zm00001eb004370	1895	1586	1372	1697	1021	1088	1394	1411
Zm00001eb004380	0	0	0	0	0	0	0	0
Zm00001eb004390	0	0	0	0	0	0	0	0
Zm00001eb004400	2597	1821	1773	1692	2238	2177	2503	2353
Zm00001eb004410	57	42	44	7	47	9	38	20
Zm00001eb004420	9815	8469	10860	9199	9279	7817	9574	10825
Zm00001eb004430	650	384	690	568	580	497	842	520
Zm00001eb004440	628	736	300	679	368	602	542	820
Zm00001eb004450	5	5	0	0	4	5	0	4
Zm00001eb004460	0	0	0	0	0	0	0	0
Zm00001eb004470	425	790	201	418	653	281	462	250
Zm00001eb004480	150	153	103	138	61	48	74	95
Zm00001eb004490	866	893	607	958	486	400	472	432
Zm00001eb004500	615	513	681	648	422	459	467	614
Zm00001eb004510	106	74	83	79	57	36	73	96
Zm00001eb004530	40	72	13	37	37	28	25	50
Zm00001eb004540	383	412	402	514	147	186	248	406
Zm00001eb004550	5013	2870	4621	5415	1995	2436	3465	1897
Zm00001eb004560	46	46	108	64	34	25	56	67
Zm00001eb004570	475	129	291	154	292	83	318	208
Zm00001eb004590	233	270	213	228	206	173	240	346
Zm00001eb004600	0	29	0	3	0	2	0	3
Zm00001eb004610	5	0	0	2	0	1	1	0
Zm00001eb004630	198	88	244	188	68	32	106	48
Zm00001eb004640	0	0	0	0	0	0	0	0
Zm00001eb004650	199	108	71	48	210	74	317	261
Zm00001eb004660	5733	6475	4694	6960	4957	5732	5721	7280
Zm00001eb004670	60	47	11	21	0	24	15	11
Zm00001eb004690	0	0	0	0	0	0	0	0
Zm00001eb004710	5	2	2	14	7	7	0	4
Zm00001eb004720	0	3	0	0	0	0	0	0
Zm00001eb004730	0	0	0	0	0	0	0	0
Zm00001eb004740	3	0	0	1	2	4	0	1
Zm00001eb004750	26	0	22	2	33	1	32	3
Zm00001eb004760	553	93	111	27	118	14	278	132
Zm00001eb004770	98	79	148	104	86	61	93	98
Zm00001eb004780	765	436	440	351	572	313	585	523
Zm00001eb004790	1736	1229	961	1161	1078	999	1079	1335
Zm00001eb004800	0	0	0	0	0	0	0	0
Zm00001eb004810	0	0	0	0	0	0	0	0
Zm00001eb004820	0	0	0	0	0	0	0	0
Zm00001eb004830	0	0	0	0	0	0	0	0
Zm00001eb004840	0	0	0	0	0	0	0	0
Zm00001eb004850	0	0	0	0	0	0	0	0
Zm00001eb004860	0	0	0	0	0	0	0	0
Zm00001eb004880	0	4	1	0	0	0	0	0
Zm00001eb004890	0	156	0	175	0	152	0	181
Zm00001eb004900	0	190	0	245	0	154	0	299
Zm00001eb004920	69	17	48	16	82	16	56	20
Zm00001eb004940	1035	957	745	895	853	622	870	841
Zm00001eb004950	1	0	3	1	2	0	3	0
Zm00001eb004960	19	158	15	110	20	90	17	134
Zm00001eb004970	0	0	0	0	0	0	0	0
Zm00001eb004980	0	0	1	0	0	0	0	0
Zm00001eb004990	391	420	369	272	396	366	361	414
Zm00001eb005000	182	176	145	159	126	121	110	187
Zm00001eb005010	670	255	338	183	328	100	390	242
Zm00001eb005020	1017	1437	1165	2019	728	1907	1070	1316
Zm00001eb005030	1197	930	783	765	710	593	574	1086
Zm00001eb005040	5	5	0	9	5	3	5	2
Zm00001eb005060	94	170	89	147	68	76	66	164
Zm00001eb005070	1908	1335	2043	1956	1040	862	1400	1690
Zm00001eb005080	0	0	0	0	1	1	0	0
Zm00001eb005100	59	78	58	106	25	15	40	69
Zm00001eb005110	21	7	26	13	4	4	18	7
Zm00001eb005120	206	197	160	187	203	166	234	215
Zm00001eb005130	2244	3062	1898	1710	3445	1828	2305	2361
Zm00001eb005140	2611	2115	1523	1088	1563	1339	2285	2102
Zm00001eb005150	29	0	8	0	4	0	12	0
Zm00001eb005160	1	0	1	0	0	0	3	0
Zm00001eb005170	9	6	7	2	8	1	1	10
Zm00001eb005180	0	0	0	0	0	0	0	0
Zm00001eb005190	1115	857	739	1048	1057	1057	1076	868
Zm00001eb005200	0	0	0	0	0	0	0	0
Zm00001eb005210	14	1	12	0	18	0	21	4
Zm00001eb005220	2204	2210	1387	1968	2172	2091	2563	2899
Zm00001eb005230	351	282	218	302	268	330	291	409
Zm00001eb005240	0	2	2	0	3	0	0	0
Zm00001eb005250	92	55	49	35	181	85	75	50
Zm00001eb005260	0	0	0	1	4	0	0	0
Zm00001eb005270	2	0	29	2	6	1	24	0
Zm00001eb005280	692	660	650	902	384	222	445	581
Zm00001eb005290	1	2	0	2	0	7	2	5
Zm00001eb005300	4	24	1	18	13	123	16	52
Zm00001eb005310	152	78	48	39	66	54	56	66
Zm00001eb005320	1151	1303	564	1094	827	1155	1013	1244
Zm00001eb005330	2849	2292	1625	1859	2213	1793	2065	1883
Zm00001eb005340	613	686	362	559	279	289	253	346
Zm00001eb005350	20	5	10	8	13	8	27	19
Zm00001eb005360	104	68	49	53	30	17	32	52
Zm00001eb005370	390	366	418	342	350	376	474	555
Zm00001eb005380	97	134	58	119	44	154	119	148
Zm00001eb005390	313	293	231	290	281	225	246	209
Zm00001eb005400	760	554	694	579	662	575	720	688
Zm00001eb005410	0	0	0	0	0	0	0	0
Zm00001eb005420	677	482	344	388	333	267	271	310
Zm00001eb005430	1605	1373	1022	1496	1202	1815	1408	1752
Zm00001eb005440	532	519	292	626	221	320	284	613
Zm00001eb005450	38	42	26	45	5	17	22	52
