""	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:0010035"	"GO:0010035"	"response to inorganic substance"	"11/35"	"98/7535"	3.27375893896467e-13	4.55350106965086e-12	3.85332391858999e-12	"LOC100278340/LOC100192931/LOC100282268/LOC103636523/LOC103646028/LOC103649716/LOC103634846/LOC103651039/LOC103646024/LOC103635780/LOC103631010"	11
"GO:1901700"	"GO:1901700"	"response to oxygen-containing compound"	"12/35"	"230/7535"	2.20545536918792e-10	2.8119555957146e-09	2.37957026675539e-09	"LOC100278340/LOC100192931/LOC100282268/LOC103636523/LOC103646028/LOC103649716/LOC103634846/LOC103651039/LOC103646024/LOC103635780/LOC103631010/LOC100275104"	12
"GO:0010033"	"GO:0010033"	"response to organic substance"	"14/35"	"401/7535"	9.71719375568206e-10	1.1436389573995e-08	9.67785289027444e-09	"LOC100278340/LOC100192931/LOC100282268/LOC103636523/LOC103646028/LOC103649716/LOC103634846/LOC103651039/LOC103646024/LOC103635780/LOC103631010/LOC100275104/LOC103654551/LOC541634"	14
"GO:0065003"	"GO:0065003"	"protein-containing complex assembly"	"11/35"	"248/7535"	8.1626645272728e-09	8.92062623337671e-08	7.54893035228989e-08	"LOC100278340/LOC100192931/LOC100282268/LOC103636523/LOC103646028/LOC103649716/LOC103634846/LOC103651039/LOC103646024/LOC103635780/LOC103631010"	11
"GO:0043933"	"GO:0043933"	"protein-containing complex organization"	"12/35"	"356/7535"	3.20751177337967e-08	3.27166200884727e-07	2.76858910965403e-07	"LOC100192747/LOC100278340/LOC100192931/LOC100282268/LOC103636523/LOC103646028/LOC103649716/LOC103634846/LOC103651039/LOC103646024/LOC103635780/LOC103631010"	12
"GO:0009628"	"GO:0009628"	"response to abiotic stimulus"	"11/35"	"305/7535"	6.98495537302079e-08	6.67936357545113e-07	5.65229941369445e-07	"LOC100278340/LOC100192931/LOC100282268/LOC103636523/LOC103646028/LOC103649716/LOC103634846/LOC103651039/LOC103646024/LOC103635780/LOC103631010"	11
"GO:0022607"	"GO:0022607"	"cellular component assembly"	"11/35"	"314/7535"	9.41001350110343e-08	8.46901215099309e-07	7.16675950858032e-07	"LOC100278340/LOC100192931/LOC100282268/LOC103636523/LOC103646028/LOC103649716/LOC103634846/LOC103651039/LOC103646024/LOC103635780/LOC103631010"	11
"GO:0009653"	"GO:0009653"	"anatomical structure morphogenesis"	"4/35"	"120/7535"	0.00218752268123023	0.018593942790457	0.0157348122684982	"LOC100275104/LOC103654551/LOC103639850/LOC103640239"	4
"GO:0071555"	"GO:0071555"	"cell wall organization"	"3/35"	"134/7535"	0.0237783230462113	0.191478075056333	0.162035109954792	"LOC103639850/LOC103638415/LOC103640239"	3
"GO:0045229"	"GO:0045229"	"external encapsulating structure organization"	"3/35"	"140/7535"	0.0266375213246749	0.197233429494766	0.166905482131794	"LOC103639850/LOC103638415/LOC103640239"	3
"GO:0048856"	"GO:0048856"	"anatomical structure development"	"5/35"	"371/7535"	0.0270712550286934	0.197233429494766	0.166905482131794	"LOC100275104/LOC103654551/LOC103639850/LOC103640239/LOC732779"	5
"GO:0009636"	"GO:0009636"	"response to toxic substance"	"2/35"	"58/7535"	0.0294520032438228	0.200881752262159	0.169992814091817	"LOC103626905/LOC542629"	2
"GO:0006979"	"GO:0006979"	"response to oxidative stress"	"3/35"	"147/7535"	0.0301979104707821	0.200881752262159	0.169992814091817	"LOC100272974/LOC103627003/LOC100273989"	3
"GO:0032502"	"GO:0032502"	"developmental process"	"5/35"	"428/7535"	0.0459426235386177	0.254780649882026	0.215603852325347	"LOC100275104/LOC103654551/LOC103639850/LOC103640239/LOC732779"	5
"GO:0042744"	"GO:0042744"	"hydrogen peroxide catabolic process"	"2/35"	"77/7535"	0.0493650917820414	0.254780649882026	0.215603852325347	"LOC103627003/LOC100273989"	2
"GO:0006857"	"GO:0006857"	"oligopeptide transport"	"1/35"	"11/7535"	0.0499569901729462	0.254780649882026	0.215603852325347	"LOC100216898"	1
"GO:0009914"	"GO:0009914"	"hormone transport"	"1/35"	"11/7535"	0.0499569901729462	0.254780649882026	0.215603852325347	"LOC103654551"	1
"GO:0015833"	"GO:0015833"	"peptide transport"	"1/35"	"11/7535"	0.0499569901729462	0.254780649882026	0.215603852325347	"LOC100216898"	1
"GO:0060918"	"GO:0060918"	"auxin transport"	"1/35"	"11/7535"	0.0499569901729462	0.254780649882026	0.215603852325347	"LOC103654551"	1
"GO:1905393"	"GO:1905393"	"plant organ formation"	"1/35"	"11/7535"	0.0499569901729462	0.254780649882026	0.215603852325347	"LOC103654551"	1
"GO:0042743"	"GO:0042743"	"hydrogen peroxide metabolic process"	"2/35"	"79/7535"	0.0516833628059664	0.255082403526221	0.215859206286379	"LOC103627003/LOC100273989"	2
"GO:0090626"	"GO:0090626"	"plant epidermis morphogenesis"	"1/35"	"13/7535"	0.0587758008304236	0.274845724103146	0.232583584896367	"LOC100275104"	1
"GO:0072593"	"GO:0072593"	"reactive oxygen species metabolic process"	"2/35"	"90/7535"	0.0651047050282421	0.274845724103146	0.232583584896367	"LOC103627003/LOC100273989"	2
"GO:0071554"	"GO:0071554"	"cell wall organization or biogenesis"	"3/35"	"203/7535"	0.0671549701062888	0.274845724103146	0.232583584896367	"LOC103639850/LOC103638415/LOC103640239"	3
"GO:0000154"	"GO:0000154"	"rRNA modification"	"1/35"	"15/7535"	0.0675150683154773	0.274845724103146	0.232583584896367	"LOC100273751"	1
"GO:0048527"	"GO:0048527"	"lateral root development"	"1/35"	"15/7535"	0.0675150683154773	0.274845724103146	0.232583584896367	"LOC103654551"	1
"GO:0090698"	"GO:0090698"	"post-embryonic plant morphogenesis"	"1/35"	"15/7535"	0.0675150683154773	0.274845724103146	0.232583584896367	"LOC103654551"	1
"GO:0042886"	"GO:0042886"	"amide transport"	"1/35"	"16/7535"	0.0718550912687964	0.274845724103146	0.232583584896367	"LOC100216898"	1
"GO:0048528"	"GO:0048528"	"post-embryonic root development"	"1/35"	"16/7535"	0.0718550912687964	0.274845724103146	0.232583584896367	"LOC103654551"	1
"GO:0048646"	"GO:0048646"	"anatomical structure formation involved in morphogenesis"	"1/35"	"16/7535"	0.0718550912687964	0.274845724103146	0.232583584896367	"LOC103654551"	1
"GO:0032956"	"GO:0032956"	"regulation of actin cytoskeleton organization"	"1/35"	"17/7535"	0.0761754891681967	0.277496424827002	0.234826695932035	"LOC103646028"	1
"GO:0032970"	"GO:0032970"	"regulation of actin filament-based process"	"1/35"	"17/7535"	0.0761754891681967	0.277496424827002	0.234826695932035	"LOC103646028"	1
"GO:0016126"	"GO:0016126"	"sterol biosynthetic process"	"1/35"	"18/7535"	0.0804763481571718	0.279838210637438	0.236808392902682	"LOC100285879"	1
"GO:0090696"	"GO:0090696"	"post-embryonic plant organ development"	"1/35"	"18/7535"	0.0804763481571718	0.279838210637438	0.236808392902682	"LOC103654551"	1
"GO:0042908"	"GO:0042908"	"xenobiotic transport"	"1/35"	"20/7535"	0.0890197921457568	0.2897878340064	0.245228094824817	"LOC103626905"	1
"GO:0046618"	"GO:0046618"	"xenobiotic export from cell"	"1/35"	"20/7535"	0.0890197921457568	0.2897878340064	0.245228094824817	"LOC103626905"	1
"GO:1990961"	"GO:1990961"	"xenobiotic detoxification by transmembrane export across the plasma membrane"	"1/35"	"20/7535"	0.0890197921457568	0.2897878340064	0.245228094824817	"LOC103626905"	1
"GO:0099402"	"GO:0099402"	"plant organ development"	"2/35"	"110/7535"	0.0920662386715319	0.291207546602822	0.24642950280115	"LOC103654551/LOC732779"	2
"GO:0090558"	"GO:0090558"	"plant epidermis development"	"1/35"	"21/7535"	0.0932625476048253	0.291207546602822	0.24642950280115	"LOC100275104"	1
"GO:0009664"	"GO:0009664"	"plant-type cell wall organization"	"1/35"	"22/7535"	0.0974861050753908	0.298307481530696	0.252437703668907	"LOC103639850"	1
"GO:0006081"	"GO:0006081"	"cellular aldehyde metabolic process"	"1/35"	"23/7535"	0.10169054888244	0.299204884211796	0.253197115638465	"LOC100284612"	1
"GO:0007389"	"GO:0007389"	"pattern specification process"	"1/35"	"23/7535"	0.10169054888244	0.299204884211796	0.253197115638465	"LOC732779"	1
"GO:0000413"	"GO:0000413"	"protein peptidyl-prolyl isomerization"	"1/35"	"24/7535"	0.105875962991747	0.301225440302387	0.254906977345674	"LOC100282887"	1
"GO:0009739"	"GO:0009739"	"response to gibberellin"	"1/35"	"25/7535"	0.110042431011357	0.301225440302387	0.254906977345674	"LOC100275104"	1
"GO:0051493"	"GO:0051493"	"regulation of cytoskeleton organization"	"1/35"	"25/7535"	0.110042431011357	0.301225440302387	0.254906977345674	"LOC103646028"	1
"GO:0009736"	"GO:0009736"	"cytokinin-activated signaling pathway"	"1/35"	"26/7535"	0.114190036193062	0.301225440302387	0.254906977345674	"LOC541634"	1
"GO:0051656"	"GO:0051656"	"establishment of organelle localization"	"1/35"	"26/7535"	0.114190036193062	0.301225440302387	0.254906977345674	"LOC103646028"	1
"GO:0071368"	"GO:0071368"	"cellular response to cytokinin stimulus"	"1/35"	"26/7535"	0.114190036193062	0.301225440302387	0.254906977345674	"LOC541634"	1
"GO:0018208"	"GO:0018208"	"peptidyl-proline modification"	"1/35"	"27/7535"	0.118318861433872	0.302123150958944	0.255666649934297	"LOC100282887"	1
"GO:0006694"	"GO:0006694"	"steroid biosynthetic process"	"1/35"	"28/7535"	0.12242898927748	0.302123150958944	0.255666649934297	"LOC100285879"	1
"GO:0010015"	"GO:0010015"	"root morphogenesis"	"1/35"	"28/7535"	0.12242898927748	0.302123150958944	0.255666649934297	"LOC103654551"	1
"GO:0010411"	"GO:0010411"	"xyloglucan metabolic process"	"1/35"	"28/7535"	0.12242898927748	0.302123150958944	0.255666649934297	"LOC103638415"	1
"GO:0055085"	"GO:0055085"	"transmembrane transport"	"3/35"	"267/7535"	0.125827037833617	0.305579949024499	0.258591907327233	"LOC100216898/LOC103654551/LOC103626905"	3
"GO:0009735"	"GO:0009735"	"response to cytokinin"	"1/35"	"30/7535"	0.13059348119003	0.312200040969917	0.264194049117989	"LOC541634"	1
"GO:0034599"	"GO:0034599"	"cellular response to oxidative stress"	"1/35"	"32/7535"	0.138684165269215	0.320647978026641	0.271342974181472	"LOC100272974"	1
"GO:0003333"	"GO:0003333"	"amino acid transmembrane transport"	"1/35"	"33/7535"	0.142702032017925	0.320647978026641	0.271342974181472	"LOC103654551"	1
"GO:0140115"	"GO:0140115"	"export across plasma membrane"	"1/35"	"33/7535"	0.142702032017925	0.320647978026641	0.271342974181472	"LOC103626905"	1
"GO:0000902"	"GO:0000902"	"cell morphogenesis"	"1/35"	"34/7535"	0.146701689293235	0.320647978026641	0.271342974181472	"LOC100275104"	1
"GO:0006749"	"GO:0006749"	"glutathione metabolic process"	"1/35"	"34/7535"	0.146701689293235	0.320647978026641	0.271342974181472	"LOC542629"	1
"GO:0016125"	"GO:0016125"	"sterol metabolic process"	"1/35"	"34/7535"	0.146701689293235	0.320647978026641	0.271342974181472	"LOC100285879"	1
"GO:1905392"	"GO:1905392"	"plant organ morphogenesis"	"1/35"	"35/7535"	0.150683217206144	0.32319245221332	0.273496192791458	"LOC103654551"	1
"GO:0062197"	"GO:0062197"	"cellular response to chemical stress"	"1/35"	"36/7535"	0.154646695525849	0.32319245221332	0.273496192791458	"LOC100272974"	1
"GO:0008202"	"GO:0008202"	"steroid metabolic process"	"1/35"	"37/7535"	0.158592203681149	0.32319245221332	0.273496192791458	"LOC100285879"	1
"GO:0009725"	"GO:0009725"	"response to hormone"	"3/35"	"300/7535"	0.161523792016459	0.32319245221332	0.273496192791458	"LOC100275104/LOC103654551/LOC541634"	3
"GO:1903825"	"GO:1903825"	"organic acid transmembrane transport"	"1/35"	"38/7535"	0.162519820761859	0.32319245221332	0.273496192791458	"LOC103654551"	1
"GO:1905039"	"GO:1905039"	"carboxylic acid transmembrane transport"	"1/35"	"38/7535"	0.162519820761859	0.32319245221332	0.273496192791458	"LOC103654551"	1
"GO:0009719"	"GO:0009719"	"response to endogenous stimulus"	"3/35"	"301/7535"	0.162652410591017	0.32319245221332	0.273496192791458	"LOC100275104/LOC103654551/LOC541634"	3
"GO:0098754"	"GO:0098754"	"detoxification"	"1/35"	"40/7535"	0.170321696372234	0.334092558268612	0.282720224747432	"LOC103626905"	1
"GO:0033043"	"GO:0033043"	"regulation of organelle organization"	"1/35"	"44/7535"	0.185714197349039	0.355178402430037	0.30056376676226	"LOC103646028"	1
"GO:0048366"	"GO:0048366"	"leaf development"	"1/35"	"44/7535"	0.185714197349039	0.355178402430037	0.30056376676226	"LOC732779"	1
"GO:0009790"	"GO:0009790"	"embryo development"	"1/35"	"46/7535"	0.193306058739355	0.365133666507671	0.308988242039516	"LOC732779"	1
"GO:0051640"	"GO:0051640"	"organelle localization"	"1/35"	"50/7535"	0.208284053965849	0.383694454052296	0.324694997237237	"LOC103646028"	1
"GO:0006865"	"GO:0006865"	"amino acid transport"	"1/35"	"51/7535"	0.211986132537819	0.383694454052296	0.324694997237237	"LOC103654551"	1
"GO:0010817"	"GO:0010817"	"regulation of hormone levels"	"1/35"	"51/7535"	0.211986132537819	0.383694454052296	0.324694997237237	"LOC103654551"	1
"GO:0030029"	"GO:0030029"	"actin filament-based process"	"1/35"	"52/7535"	0.21567139247384	0.383694454052296	0.324694997237237	"LOC103646028"	1
"GO:0030036"	"GO:0030036"	"actin cytoskeleton organization"	"1/35"	"52/7535"	0.21567139247384	0.383694454052296	0.324694997237237	"LOC103646028"	1
"GO:0048827"	"GO:0048827"	"phyllome development"	"1/35"	"55/7535"	0.226627000582586	0.395815683708789	0.334952384562649	"LOC732779"	1
"GO:0022622"	"GO:0022622"	"root system development"	"1/35"	"56/7535"	0.230245724510341	0.395815683708789	0.334952384562649	"LOC103654551"	1
"GO:0048364"	"GO:0048364"	"root development"	"1/35"	"56/7535"	0.230245724510341	0.395815683708789	0.334952384562649	"LOC103654551"	1
"GO:0051128"	"GO:0051128"	"regulation of cellular component organization"	"1/35"	"57/7535"	0.233847997493646	0.397541595739198	0.33641290867507	"LOC103646028"	1
"GO:0071669"	"GO:0071669"	"plant-type cell wall organization or biogenesis"	"1/35"	"60/7535"	0.244556835195716	0.411177975658732	0.347952466501713	"LOC103639850"	1
"GO:0140352"	"GO:0140352"	"export from cell"	"1/35"	"62/7535"	0.251615128294668	0.418446898142219	0.354103670254509	"LOC103626905"	1
"GO:0042546"	"GO:0042546"	"cell wall biogenesis"	"1/35"	"63/7535"	0.255120209320988	0.419713892753883	0.3551758431973	"LOC103638415"	1
"GO:0019953"	"GO:0019953"	"sexual reproduction"	"1/35"	"64/7535"	0.258609341102808	0.420927970092869	0.356203235785503	"LOC103640239"	1
"GO:0015849"	"GO:0015849"	"organic acid transport"	"1/35"	"71/7535"	0.282592564584092	0.450381899805896	0.381128129866703	"LOC103654551"	1
"GO:0046942"	"GO:0046942"	"carboxylic acid transport"	"1/35"	"71/7535"	0.282592564584092	0.450381899805896	0.381128129866703	"LOC103654551"	1
"GO:0009888"	"GO:0009888"	"tissue development"	"1/35"	"73/7535"	0.289305336220475	0.451670575936048	0.382218650430918	"LOC100275104"	1
"GO:1901617"	"GO:1901617"	"organic hydroxy compound biosynthetic process"	"1/35"	"73/7535"	0.289305336220475	0.451670575936048	0.382218650430918	"LOC100285879"	1
"GO:0048731"	"GO:0048731"	"system development"	"2/35"	"237/7535"	0.301912636855533	0.46659225695855	0.394845872761622	"LOC103654551/LOC732779"	2
"GO:0010410"	"GO:0010410"	"hemicellulose metabolic process"	"1/35"	"83/7535"	0.321964404782918	0.492605539317865	0.416859176718936	"LOC103638415"	1
"GO:0030154"	"GO:0030154"	"cell differentiation"	"1/35"	"85/7535"	0.328318967655757	0.497211774194786	0.42075712573759	"LOC100275104"	1
"GO:0048869"	"GO:0048869"	"cellular developmental process"	"1/35"	"86/7535"	0.331474516129857	0.497211774194786	0.42075712573759	"LOC100275104"	1
"GO:0010383"	"GO:0010383"	"cell wall polysaccharide metabolic process"	"1/35"	"88/7535"	0.337742467611762	0.501695121792229	0.424551083456789	"LOC103638415"	1
"GO:0044042"	"GO:0044042"	"glucan metabolic process"	"1/35"	"93/7535"	0.353163623381596	0.519558022859463	0.439667263926481	"LOC103638415"	1
"GO:0044036"	"GO:0044036"	"cell wall macromolecule metabolic process"	"1/35"	"95/7535"	0.359233913790504	0.523455131523306	0.442965126779268	"LOC103638415"	1
"GO:0007275"	"GO:0007275"	"multicellular organism development"	"2/35"	"280/7535"	0.375610409932259	0.54215464829845	0.458789279261846	"LOC103654551/LOC732779"	2
"GO:0009733"	"GO:0009733"	"response to auxin"	"1/35"	"108/7535"	0.397363227751027	0.565721176503493	0.478732058547847	"LOC103654551"	1
"GO:0006364"	"GO:0006364"	"rRNA processing"	"1/35"	"110/7535"	0.403030119208371	0.565721176503493	0.478732058547847	"LOC100273751"	1
"GO:0016072"	"GO:0016072"	"rRNA metabolic process"	"1/35"	"110/7535"	0.403030119208371	0.565721176503493	0.478732058547847	"LOC100273751"	1
"GO:0005975"	"GO:0005975"	"carbohydrate metabolic process"	"3/35"	"496/7535"	0.407848585902101	0.567280305845649	0.480051445607257	"LOC100216780/LOC100280970/LOC103638415"	3
"GO:0070887"	"GO:0070887"	"cellular response to chemical stimulus"	"2/35"	"302/7535"	0.412257965200852	0.568247465547121	0.480869888285489	"LOC100272974/LOC541634"	2
"GO:0015711"	"GO:0015711"	"organic anion transport"	"1/35"	"115/7535"	0.416971814195207	0.569613281891667	0.482025687462504	"LOC103654551"	1
"GO:0048367"	"GO:0048367"	"shoot system development"	"1/35"	"117/7535"	0.422459476713075	0.572002654310624	0.484047653802592	"LOC732779"	1
"GO:0032501"	"GO:0032501"	"multicellular organismal process"	"2/35"	"314/7535"	0.431838583661004	0.579572835966084	0.490453793077595	"LOC103654551/LOC732779"	2
"GO:0044248"	"GO:0044248"	"cellular catabolic process"	"2/35"	"319/7535"	0.439903002938129	0.585262256082902	0.49526836944064	"LOC103627003/LOC100273989"	2
"GO:1901615"	"GO:1901615"	"organic hydroxy compound metabolic process"	"1/35"	"127/7535"	0.449153802141546	0.592418376962557	0.50132411672786	"LOC100285879"	1
"GO:0007010"	"GO:0007010"	"cytoskeleton organization"	"1/35"	"129/7535"	0.454346935988874	0.594145993216219	0.502786083010629	"LOC103646028"	1
"GO:0033993"	"GO:0033993"	"response to lipid"	"1/35"	"131/7535"	0.459492497265886	0.595782644760005	0.504171071933131	"LOC100275104"	1
"GO:0006457"	"GO:0006457"	"protein folding"	"1/35"	"135/7535"	0.469642590831172	0.603826188211507	0.51097778568982	"LOC100282887"	1
"GO:0009451"	"GO:0009451"	"RNA modification"	"1/35"	"142/7535"	0.486961449145894	0.615744642308445	0.521063577598478	"LOC100273751"	1
"GO:0065008"	"GO:0065008"	"regulation of biological quality"	"1/35"	"142/7535"	0.486961449145894	0.615744642308445	0.521063577598478	"LOC103654551"	1
"GO:0008380"	"GO:0008380"	"RNA splicing"	"1/35"	"150/7535"	0.506082073162506	0.634676698310356	0.537084512502056	"LOC732779"	1
"GO:0018193"	"GO:0018193"	"peptidyl-amino acid modification"	"1/35"	"160/7535"	0.529011209447962	0.658038333703563	0.556853904682066	"LOC100282887"	1
"GO:0042254"	"GO:0042254"	"ribosome biogenesis"	"1/35"	"162/7535"	0.533471305474706	0.658234755948629	0.557020123712978	"LOC100273751"	1
"GO:0034470"	"GO:0034470"	"ncRNA processing"	"1/35"	"168/7535"	0.5466068174651	0.669046744577283	0.566169587774378	"LOC100273751"	1
"GO:0051604"	"GO:0051604"	"protein maturation"	"1/35"	"175/7535"	0.561477806790316	0.681500192212806	0.576708108993293	"LOC100282887"	1
"GO:0006396"	"GO:0006396"	"RNA processing"	"2/35"	"403/7535"	0.565689702032852	0.681500192212806	0.576708108993293	"LOC100273751/LOC732779"	2
"GO:0009791"	"GO:0009791"	"post-embryonic development"	"1/35"	"187/7535"	0.585875689469234	0.700304535068693	0.592620968788781	"LOC103654551"	1
"GO:0005976"	"GO:0005976"	"polysaccharide metabolic process"	"1/35"	"202/7535"	0.614523974868062	0.722825813518027	0.611679222997711	"LOC103638415"	1
"GO:0034660"	"GO:0034660"	"ncRNA metabolic process"	"1/35"	"206/7535"	0.621832359849108	0.722825813518027	0.611679222997711	"LOC100273751"	1
"GO:0009755"	"GO:0009755"	"hormone-mediated signaling pathway"	"1/35"	"211/7535"	0.630778735521659	0.722825813518027	0.611679222997711	"LOC541634"	1
"GO:0022613"	"GO:0022613"	"ribonucleoprotein complex biogenesis"	"1/35"	"212/7535"	0.632543173568729	0.722825813518027	0.611679222997711	"LOC100273751"	1
"GO:0016567"	"GO:0016567"	"protein ubiquitination"	"1/35"	"213/7535"	0.634299419495958	0.722825813518027	0.611679222997711	"LOC103641943"	1
"GO:0032870"	"GO:0032870"	"cellular response to hormone stimulus"	"1/35"	"214/7535"	0.636047510224945	0.722825813518027	0.611679222997711	"LOC541634"	1
"GO:0071495"	"GO:0071495"	"cellular response to endogenous stimulus"	"1/35"	"215/7535"	0.637787482515906	0.722825813518027	0.611679222997711	"LOC541634"	1
"GO:0000003"	"GO:0000003"	"reproduction"	"1/35"	"227/7535"	0.658047075234166	0.7348992884002	0.621896198646196	"LOC103640239"	1
"GO:0032446"	"GO:0032446"	"protein modification by small protein conjugation"	"1/35"	"227/7535"	0.658047075234166	0.7348992884002	0.621896198646196	"LOC103641943"	1
"GO:0071310"	"GO:0071310"	"cellular response to organic substance"	"1/35"	"243/7535"	0.683354924488721	0.757632633672278	0.641133910847542	"LOC541634"	1
"GO:0008610"	"GO:0008610"	"lipid biosynthetic process"	"1/35"	"276/7535"	0.729936492867157	0.803455276321403	0.679910553749794	"LOC100285879"	1
"GO:0070647"	"GO:0070647"	"protein modification by small protein conjugation or removal"	"1/35"	"281/7535"	0.736386463215383	0.80476520622824	0.681019059966107	"LOC103641943"	1
"GO:0033554"	"GO:0033554"	"cellular response to stress"	"1/35"	"290/7535"	0.74762131962214	0.81124866597296	0.686505579048325	"LOC100272974"	1
"GO:0046907"	"GO:0046907"	"intracellular transport"	"1/35"	"327/7535"	0.78911650899047	0.84804538093969	0.717644182012947	"LOC103646028"	1
"GO:0043687"	"GO:0043687"	"post-translational protein modification"	"1/35"	"332/7535"	0.794188373166998	0.84804538093969	0.717644182012947	"LOC103641943"	1
"GO:0051649"	"GO:0051649"	"establishment of localization in cell"	"1/35"	"336/7535"	0.798160358531473	0.84804538093969	0.717644182012947	"LOC103646028"	1
"GO:0006412"	"GO:0006412"	"translation"	"1/35"	"377/7535"	0.834810125604146	0.877362556504453	0.742453350189527	"LOC732840"	1
"GO:0043043"	"GO:0043043"	"peptide biosynthetic process"	"1/35"	"380/7535"	0.837221785945426	0.877362556504453	0.742453350189527	"LOC732840"	1
"GO:0006518"	"GO:0006518"	"peptide metabolic process"	"1/35"	"395/7535"	0.848776167437601	0.883420092639136	0.747579438559434	"LOC732840"	1
"GO:0043604"	"GO:0043604"	"amide biosynthetic process"	"1/35"	"419/7535"	0.86562507000082	0.894869160203551	0.757268019986493	"LOC732840"	1
"GO:0043603"	"GO:0043603"	"amide metabolic process"	"1/35"	"471/7535"	0.896111767021395	0.909172855371873	0.769372282151637	"LOC732840"	1
"GO:0007165"	"GO:0007165"	"signal transduction"	"1/35"	"484/7535"	0.902613324921503	0.909172855371873	0.769372282151637	"LOC541634"	1
"GO:0006629"	"GO:0006629"	"lipid metabolic process"	"1/35"	"486/7535"	0.903577816332267	0.909172855371873	0.769372282151637	"LOC100285879"	1
"GO:0023052"	"GO:0023052"	"signaling"	"1/35"	"486/7535"	0.903577816332267	0.909172855371873	0.769372282151637	"LOC541634"	1
"GO:0006996"	"GO:0006996"	"organelle organization"	"1/35"	"498/7535"	0.909172855371873	0.909172855371873	0.769372282151637	"LOC103646028"	1
